sample,stage,gsm,celltype,n_spots,HLA_I_mean,HLA_II_mean,TLS_mean,HLA_G_mean,DM1_like_mean
LPTC-1,LPTC,GSM7980868,T cell,5,0.7091911240293268,0.5527976900736491,-0.015129939317703248,0.0,1.0046474933624268
LPTC-2,LPTC,GSM7980869,B cell,274,0.766100864251289,0.8799893082812464,0.09025147498959174,0.0,0.3449820280075073
LPTC-2,LPTC,GSM7980869,Endothelial cell,103,1.0777675970645446,1.1445250277688976,0.004275338528225724,0.0,0.24754200875759125
LPTC-2,LPTC,GSM7980869,Fibroblast,991,0.8337655760265956,0.871862884506087,-0.0029675935904986918,0.0006334359059110284,0.12329670041799545
LPTC-2,LPTC,GSM7980869,Malignant cell,1999,0.7667091038715932,0.45710083404540697,-0.028010304449736446,0.011451746337115765,-0.25047728419303894
LPTC-2,LPTC,GSM7980869,Myeloid cell,51,0.7678273505200053,1.2246708583675958,0.020741028785705565,0.0,0.37719884514808655
LPTC-2,LPTC,GSM7980869,NK cell,3,0.49059829214760536,0.3851553747389052,-0.02971741914749146,0.0,0.6858742833137512
LPTC-2,LPTC,GSM7980869,T cell,650,0.7710537832650647,0.8189860489551839,0.016818455818066232,0.002123575657606125,0.36492374539375305
LPTC-3,LPTC,GSM7980870,B cell,1,0.4018210788866631,1.3282522685842493,0.0,0.0,0.45497575402259827
LPTC-3,LPTC,GSM7980870,Endothelial cell,4,0.8303527039916891,0.261691798333087,-0.025802930295467374,0.0,0.33820754289627075
LPTC-3,LPTC,GSM7980870,Fibroblast,201,0.6695481273803594,0.6883730145841175,0.03552992379783991,0.0,0.3098706305027008
LPTC-3,LPTC,GSM7980870,Malignant cell,3052,0.6465555659656423,0.6060263160749142,-0.0014670445184134246,0.005926183424890041,-0.032955341041088104
LPTC-3,LPTC,GSM7980870,Myeloid cell,57,0.7560460844082452,1.6093262593643909,0.05118462738237882,0.0,0.4453956186771393
LPTC-3,LPTC,GSM7980870,T cell,21,0.48035972285048745,0.5324202743762216,-0.011644468421027773,0.0,0.5285897254943848
LPTC-4,LPTC,GSM7980871,B cell,106,0.7197353702830093,0.6948751218588848,0.1920360786678656,0.05658276751637459,1.0025947093963623
LPTC-4,LPTC,GSM7980871,Endothelial cell,5,0.9974087200881842,0.4371084090073903,0.016068807721137997,0.2680125832557678,0.8828402757644653
LPTC-4,LPTC,GSM7980871,Fibroblast,286,0.7483925522564024,0.76637774881922,0.007530311722230246,0.05891778692603111,0.6729652881622314
LPTC-4,LPTC,GSM7980871,Malignant cell,4224,0.6192439426216056,0.2705485731223128,-0.004488080004900412,0.3135446012020111,-0.08739317953586578
LPTC-4,LPTC,GSM7980871,Myeloid cell,53,0.844553444854654,1.3448575517816364,0.003106562551462426,0.17422087490558624,0.5897610783576965
LPTC-4,LPTC,GSM7980871,T cell,33,0.6506785546100936,0.5343890599770978,0.032275059584415317,0.0,1.0525493621826172
ATC-1,ATC,GSM7980872,Malignant cell,4615,1.0607130561520965,0.5646174265843132,-0.006056013502511535,0.002252469304949045,-0.0010237452806904912
ATC-1,ATC,GSM7980872,Myeloid cell,99,1.2553933739280136,1.4762144305779434,0.06386038669432052,0.005962126888334751,0.04633287340402603
ATC-1,ATC,GSM7980872,T cell,1,0.6124051172066581,0.2611991928284427,0.0,0.0,0.13761356472969055
ATC-2,ATC,GSM7980873,B cell,1,0.4075477926354659,0.5811686134338379,-0.029615489959716797,0.0,0.026224691420793533
ATC-2,ATC,GSM7980873,Malignant cell,2253,1.2466586627752347,0.7068460566164351,-0.0041646487986940935,0.0007389398524537683,0.0011024191044270992
ATC-2,ATC,GSM7980873,Myeloid cell,58,1.3008523319074765,1.1586704465575601,0.17050054037982018,0.0,-0.062265876680612564
ATC-2,ATC,GSM7980873,T cell,42,0.781394474899261,0.434652662504287,-0.014788293997446697,0.0,0.026224693283438683
ATC-3,ATC,GSM7980874,Malignant cell,1611,0.7832556629360994,0.3924461588884224,0.0006862202204183639,0.0008684697677381337,-0.000204626630875282
ATC-3,ATC,GSM7980874,Myeloid cell,10,0.9443472764667712,0.9905574162801107,-0.006514070130357838,0.0,0.03296556696295738
ATC-4,ATC,GSM7980875,Fibroblast,54,0.8047321718747621,0.8023772935219754,0.017157217720408496,0.0,0.49250170588493347
ATC-4,ATC,GSM7980875,Malignant cell,2378,0.8805259509566168,0.7674189710924529,0.0009253286951090201,0.0018901070579886436,-0.03673457354307175
ATC-4,ATC,GSM7980875,Myeloid cell,154,0.9693927756066364,1.191428731819252,0.02521841895270657,0.013779005035758018,0.3945438861846924
