sample_id	PC1	PC2	PC3	PC4	PC5	cohort
Pt48_Pre_E9047561-7	-0.6230014242862273	1.4265161048357557	0.6216276680792331	-0.4349173565156307	-0.12203269901550408	Riaz_GSE91061_pre
Pt49_Pre_AD667851-6	2.87408177812204	1.4198763306359738	0.19051594347642078	0.12775547423177383	0.25629747332922975	Riaz_GSE91061_pre
Pt5_Pre_E9021022-6	2.063632884957447	-0.4290359928636621	-0.15393014413270228	0.627901586809344	0.5615866131284967	Riaz_GSE91061_pre
Pt52_Pre_AD506075-6	-1.064642577652729	1.027626695889371	0.9247920573595481	-0.3911227616241912	-0.1233642927192284	Riaz_GSE91061_pre
Pt59_Pre_AD823915-5	2.576854634197594	0.45433651709692957	0.4505844808153502	0.03880155613954143	0.5023424000547915	Riaz_GSE91061_pre
Pt62_Pre_AD608303-5	-1.8068564627073394	-1.5603836033605594	-1.0282114464594683	0.030614449950932047	-0.30022037474345536	Riaz_GSE91061_pre
Pt65_Pre_AD793919-6	1.467511193890513	0.4145289366193733	-0.7761964354583054	0.35235273853923665	-0.24540940975163775	Riaz_GSE91061_pre
Pt66_Pre_AD667850-6	-1.1992525067003332	-1.2938802369498192	-0.7455431377893061	0.9828220374573063	0.2145290507945	Riaz_GSE91061_pre
Pt67_Pre_AD506074-6	-1.8818827083519654	2.7950074832231637	0.2017803938463181	0.06438796310957647	-0.12666969019806565	Riaz_GSE91061_pre
Pt72_Pre_AD793922-5	-2.004110291693847	-1.7406569075261051	-0.49618649993279673	0.3020599983285084	-0.35474277590302983	Riaz_GSE91061_pre
Pt76_Pre_AD667852-6	-1.909107278303327	-0.8809897506898784	0.1738718138272495	0.4491845307931338	0.570934660556794	Riaz_GSE91061_pre
Pt77_Pre_AD733591-7	3.1481133687138954	1.2304310990758462	-1.185316800616614	-0.7078890893900932	0.02311484044760066	Riaz_GSE91061_pre
Pt78_Pre_AD467018-5	-4.061944037002102	-0.6400687294783314	-1.5308059900046564	-0.11169103725815373	-0.19716627160072614	Riaz_GSE91061_pre
Pt79_Pre_AD733587-5	0.06550442982706514	0.0773104113395348	-0.20532978672402907	1.6587105646659646	-0.7694305729631261	Riaz_GSE91061_pre
Pt8_Pre_AD153354-6	0.5646040074885866	0.7159601893444439	0.559458130351335	0.26974156243643116	-0.08290651175962051	Riaz_GSE91061_pre
Pt82_Pre_AD823914-8	0.5914953715466259	0.320490514585949	0.06867212522043388	0.1569034384949526	-0.18801047412564414	Riaz_GSE91061_pre
Pt84_Pre_AD486532-5	-3.5441633531262187	-0.9079146316966332	-1.186370836229793	-0.21324242510259972	-0.6559690529344714	Riaz_GSE91061_pre
Pt85_Pre_AD486329-5	-2.247498459594551	-2.017143537287656	-0.4046802265774761	0.6215398726077216	-0.4475042635576198	Riaz_GSE91061_pre
Pt89_Pre_AE070951-5	-1.1001764904890534	0.959748870796594	0.4260208115202091	0.25100575020318333	-0.4741741530716625	Riaz_GSE91061_pre
Pt9_Pre_E9021024-6	-1.4036060938790067	-0.44649817276895776	1.31247426255552	-0.5852939720750538	0.2612456082107493	Riaz_GSE91061_pre
Pt90_Pre_AD467873-6	1.2296577134670286	0.35899934394992533	0.8405732236972419	-0.3770894662698276	0.34296449471594337	Riaz_GSE91061_pre
Pt92_Pre_AE134060-5	2.761447535637645	-0.07161393113509984	-0.3870661400807181	1.121121835108047	0.7697787074060892	Riaz_GSE91061_pre
Pt94_Pre_AD732850-6	-0.12866483987877447	-0.6900503974115656	-1.0171649298520142	-0.8626229073272365	-0.5497279313388975	Riaz_GSE91061_pre
Pt98_Pre_AD733586-8	-1.8323965173790862	-1.264244259714976	-1.0712487533252244	0.22241137198197436	-0.24982485498669513	Riaz_GSE91061_pre
GSM2024824	1.4601107154696595	-0.10433327580753121	-0.5829711635110715	-0.10542900372893568	-0.5899061223471416	GSE76039
GSM2024825	0.7734957366083622	-1.292721489722165	0.36944605273944114	-0.07483061530314616	-0.12537246121725623	GSE76039
GSM2024826	2.590493743209167	-0.5185978443619722	0.23713785817939964	0.31794830963352494	0.31913270977880387	GSE76039
GSM2024827	-2.786549626728637	0.661317925048241	0.44147255486070786	-0.7672983640941211	-0.3743067163250221	GSE76039
GSM2024828	-2.6845411165938557	0.5147934040263586	0.27363042391479625	0.45018150957984027	0.32304814069305354	GSE76039
GSM2024829	-0.513302660425666	0.6415029753720973	0.9015993929300204	-0.12064452186395935	0.033569736253662115	GSE76039
GSM2024830	-2.377554787455152	0.5000105511892593	-0.14872916094580532	0.37371894617125095	-0.6381875229233612	GSE76039
GSM2024831	0.9910273877559368	-1.686586727533525	0.6221017811585174	-0.194541388648782	-0.3225233630444523	GSE76039
GSM2024832	-3.4519258676581486	0.5253196756474614	-0.08398722367451875	-0.24981028521848292	0.8320786088167024	GSE76039
GSM2024833	-3.2966803378442067	-0.024134588517151154	-0.5673406371796557	-0.1491213107345037	0.05235426982017339	GSE76039
GSM2024834	2.9717218979364084	0.20760817829657696	-0.627096051758402	0.638748578317704	0.22300346929711556	GSE76039
GSM2024835	-1.721735333368415	-0.22386742796552045	-0.37675864786509705	0.09664875378729647	-0.1755701134680764	GSE76039
GSM2024836	0.2143022067329451	-0.9347455947431802	-0.7758455707933507	-0.047421977744217976	0.10403738230658266	GSE76039
GSM2024837	-1.2407008145243381	-0.7634895723064787	0.6983848738415225	-0.6353474343392412	-0.43838786291920306	GSE76039
GSM2024838	1.5981466245411573	-0.6699622819247397	-0.6685640205662904	-0.04570547641075846	0.054263922627662935	GSE76039
GSM2024839	3.3971948414432176	0.7780881705733879	-0.81087230218773	-0.5419693651841709	-0.3111401280758854	GSE76039
GSM2024840	2.9505255073286336	-0.849536355837247	-0.3553324381894293	0.11620496684823445	1.2180352138671282	GSE76039
GSM2024841	-2.2923759448503302	0.49028148209981054	-0.3113898789474061	0.09557953656371071	0.4071760281376673	GSE76039
GSM2024842	-3.2215068578129773	0.45081498349585114	0.22041491899817164	0.5358909008687263	0.2725317565931497	GSE76039
GSM2024843	-1.8249806847619705	0.7550916904140847	0.16070838297313955	0.5565236799297152	0.24959003253619835	GSE76039
GSM2024844	-3.6688399114774235	0.23480623437588516	-0.5191095238944818	-0.39809472443141164	0.3064111129619782	GSE76039
GSM2024845	1.2890967005104887	-0.22952569130558603	-0.4695754274633198	-0.6353833408136705	-0.0025586356468055124	GSE76039
GSM2024846	1.5853838513578895	1.7387075147342463	-0.3875021292904336	-1.2340282487582728	-0.8482757953458387	GSE76039
GSM2024847	1.918443732472282	0.21037916244935376	0.0264323596995629	0.10723246772726354	-0.6688974112794139	GSE76039
GSM2024848	1.210362274334029	-0.849602231591654	0.07169245549302468	0.22532616954107795	-0.15066405088948484	GSE76039
GSM2024849	0.8840578296317823	0.2284428052790481	0.7714025355040511	-0.10649485740428609	-0.6611628772015263	GSE76039
GSM2024850	-2.4139326730015616	0.8796973637148944	0.18545762712462804	0.33028927840753985	-0.23196787272975733	GSE76039
GSM2024851	2.8542542917298697	-1.0066930914295804	-0.04304405913401302	0.03587231391117228	0.0182923018490082	GSE76039
GSM2024852	3.457007454076021	-0.11160181938489039	0.004098451272631546	0.13201680588788853	0.40190522331001427	GSE76039
GSM2024853	0.2551916613061717	-0.9417682322139778	-0.3894416528072665	0.7417271757862728	-0.0424950770386615	GSE76039
GSM2024854	-2.2534214047080434	0.363305833577556	0.6158913885474077	-0.39894828201356103	0.42695965578091377	GSE76039
GSM2024855	-0.22156481543559806	0.8815913838722261	0.4709554537645098	0.13012024327894078	-0.8810002175780942	GSE76039
GSM2024856	-2.3548645079020125	0.7692477534489846	0.2044738267264556	0.243341498916698	0.4231037297070885	GSE76039
GSM2024857	3.739953469201995	-0.425358224871381	-0.7752613037190632	0.6567050833149782	1.0831195955263049	GSE76039
