cohort	subtype	module	n	mean_z	sd_z
GSE126698	PTC	myeloid_suppressive	6	0.058684149522296426	0.6065879602597362
GSE126698	PTC	thyroid_differentiation	6	0.010349913121315857	0.35077550876521224
GSE76039	PDTC_or_ATC_advanced	HLA_class_I	37	-1.350271246165731e-16	0.9999999999999999
GSE76039	PDTC_or_ATC_advanced	HLA_class_II	37	-1.3622736572427596e-15	1.0
GSE76039	PDTC_or_ATC_advanced	IFNG_T_cell_inflamed	37	2.550512353868603e-17	1.0
GSE76039	PDTC_or_ATC_advanced	TLS_CXCL13_like	37	9.151838446234399e-17	1.0000000000000002
GSE76039	PDTC_or_ATC_advanced	checkpoint_exhaustion	37	2.4905002984834595e-16	0.9999999999999999
GSE76039	PDTC_or_ATC_advanced	myeloid_suppressive	37	2.2804581046354566e-16	1.0
GSE76039	PDTC_or_ATC_advanced	thyroid_differentiation	37	1.8457223362301879e-16	0.9999999999999998
GSE65144	ATC	HLA_class_I	12	0.3467563009802534	0.7496510620635328
GSE65144	ATC	HLA_class_II	12	0.32113410705855555	0.7229587030066255
GSE65144	ATC	IFNG_T_cell_inflamed	12	0.34159834804140443	0.9067019253884279
GSE65144	ATC	TLS_CXCL13_like	12	-0.3291833323953816	0.6392491517826949
GSE65144	ATC	checkpoint_exhaustion	12	0.32368164600170446	1.0781667790589409
GSE65144	ATC	myeloid_suppressive	12	0.6293523849024637	1.148020250704985
GSE65144	ATC	thyroid_differentiation	12	-0.787118788667608	0.18230088561130506
GSE65144	NT	HLA_class_I	13	-0.32008273936638787	1.0912770132001077
GSE65144	NT	HLA_class_II	13	-0.2964314834386665	1.1214040674190118
GSE65144	NT	IFNG_T_cell_inflamed	13	-0.31532155203822004	0.9782978306146903
GSE65144	NT	TLS_CXCL13_like	13	0.3038615375957367	1.163405889388418
GSE65144	NT	checkpoint_exhaustion	13	-0.298783057847727	0.8149049949045336
GSE65144	NT	myeloid_suppressive	13	-0.5809406629868895	0.058299131946781726
GSE65144	NT	thyroid_differentiation	13	0.7265711895393301	0.8902787281990997
GSE29265	ATC	HLA_class_I	9	0.07581284374248115	1.158138579517186
GSE29265	ATC	HLA_class_II	9	-0.07100054727715238	1.275596283445122
GSE29265	ATC	IFNG_T_cell_inflamed	9	0.2617956027325471	1.3334946394870792
GSE29265	ATC	TLS_CXCL13_like	9	-0.16916165024735588	0.8121243752544551
GSE29265	ATC	checkpoint_exhaustion	9	0.5774527207168849	1.528347253443436
GSE29265	ATC	myeloid_suppressive	9	1.087715700516712	1.3227091010445888
GSE29265	ATC	thyroid_differentiation	9	-1.3416015625353106	1.4244950650624717
GSE29265	NT	HLA_class_I	20	-0.15638690833017735	0.9990171664306888
GSE29265	NT	HLA_class_II	20	-0.15828821612725755	0.9129742598092657
GSE29265	NT	IFNG_T_cell_inflamed	20	-0.09225768832920936	0.9085480680703882
GSE29265	NT	TLS_CXCL13_like	20	0.17633039656133834	1.1021019290584775
GSE29265	NT	checkpoint_exhaustion	20	-0.19879289479308582	0.8279102731954937
GSE29265	NT	myeloid_suppressive	20	-0.5831855716946507	0.46268815187106976
GSE29265	NT	thyroid_differentiation	20	0.6388264434791759	0.17642555664800383
GSE29265	PTC	HLA_class_I	20	0.12227112864606031	0.8979938511427912
GSE29265	PTC	HLA_class_II	20	0.19023846240197848	0.9059514549688666
GSE29265	PTC	IFNG_T_cell_inflamed	20	-0.02555033290043689	0.8856302312028983
GSE29265	PTC	TLS_CXCL13_like	20	-0.10020765395002815	0.9405129484198255
GSE29265	PTC	checkpoint_exhaustion	20	-0.061060829529513194	0.7212030936686098
GSE29265	PTC	myeloid_suppressive	20	0.09371350646213081	0.7532090525082358
GSE29265	PTC	thyroid_differentiation	20	-0.03510574033828771	0.535215807619183
GSE33630	ATC	HLA_class_I	11	0.6587507097865534	0.5288975152440262
GSE33630	ATC	HLA_class_II	11	0.5812979019908258	0.5414308637282831
GSE33630	ATC	IFNG_T_cell_inflamed	11	0.48603881382113806	0.930541727226155
GSE33630	ATC	TLS_CXCL13_like	11	-0.18984984377958797	0.6349727999655108
GSE33630	ATC	checkpoint_exhaustion	11	1.0128997419028756	0.903313969238049
GSE33630	ATC	myeloid_suppressive	11	1.9726375157490923	0.44679046998668903
GSE33630	ATC	thyroid_differentiation	11	-2.295266373455199	1.078459671446942
GSE33630	PTC	HLA_class_I	49	0.281690054010816	0.9035563389262664
GSE33630	PTC	HLA_class_II	49	0.2945243000908532	0.8984218557483823
GSE33630	PTC	IFNG_T_cell_inflamed	49	0.10435908509720743	0.9776385746601263
GSE33630	PTC	TLS_CXCL13_like	49	0.011318993983196055	0.9475978699369922
GSE33630	PTC	checkpoint_exhaustion	49	-0.07287642706003025	0.9289539860106729
GSE33630	PTC	myeloid_suppressive	49	0.16670619134785783	0.6944807668448525
GSE33630	PTC	thyroid_differentiation	49	-0.142924638427722	0.41434930271316534
GSE33630	NT	HLA_class_I	45	-0.467757121204047	0.982188120307791
GSE33630	NT	HLA_class_II	45	-0.4627992805855751	0.9957547992030594
GSE33630	NT	IFNG_T_cell_inflamed	45	-0.23244493603990343	0.9784151672962639
GSE33630	NT	TLS_CXCL13_like	45	0.0340826128088653	1.1166491240915843
GSE33630	NT	checkpoint_exhaustion	45	-0.16824338299978175	0.9535875840687262
GSE33630	NT	myeloid_suppressive	45	-0.6637248010952257	0.5808301924729262
GSE33630	NT	thyroid_differentiation	45	0.7166941642436756	0.1959391319426226
GSE60542	NT	HLA_class_I	30	-0.5392738227817957	0.9108851543238057
GSE60542	NT	HLA_class_II	30	-0.5909042795512301	0.8925957476459268
GSE60542	NT	IFNG_T_cell_inflamed	30	-0.19182167492296812	0.9800049163266596
GSE60542	NT	TLS_CXCL13_like	30	-0.21834514589230042	0.844634865713579
GSE60542	NT	checkpoint_exhaustion	30	-0.24418515489877374	0.8309357357528665
GSE60542	NT	myeloid_suppressive	30	-0.7643081981871652	0.8087720861001975
GSE60542	NT	thyroid_differentiation	30	0.949429173613717	0.22877176249507025
GSE60542	unknown	HLA_class_I	34	0.055015583277349775	0.8109798795778989
GSE60542	unknown	HLA_class_II	34	0.17353275966491025	0.7723893807946406
GSE60542	unknown	IFNG_T_cell_inflamed	34	-0.1259111036544685	0.8579933598467766
GSE60542	unknown	TLS_CXCL13_like	34	-0.3371619991650561	0.6762675857961882
GSE60542	unknown	checkpoint_exhaustion	34	-0.19793980470590086	0.6937114777229735
GSE60542	unknown	myeloid_suppressive	34	0.17637032617193116	0.7099118824929721
GSE60542	unknown	thyroid_differentiation	34	-0.10599585197016342	0.4874074004217934
GSE60542	PTC_nodal_met	HLA_class_I	28	0.5109887447151417	1.0108126286396748
GSE60542	PTC_nodal_met	HLA_class_II	28	0.4223933770689265	1.0576208334681418
GSE60542	PTC_nodal_met	IFNG_T_cell_inflamed	28	0.3584152775693227	1.0842823624653952
GSE60542	PTC_nodal_met	TLS_CXCL13_like	28	0.6433522267278903	1.1674715611293411
GSE60542	PTC_nodal_met	checkpoint_exhaustion	28	0.501982428820134	1.2641743184337213
GSE60542	PTC_nodal_met	myeloid_suppressive	28	0.6047376734203347	0.9713583962010386
GSE60542	PTC_nodal_met	thyroid_differentiation	28	-0.8885362943366423	1.0826931637996324
