	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation
Pt49_Pre_AD667851-6	0.22975517890772132	0.4872881355932203	0.23728813559322035	0.22598870056497167	-0.3050847457627119	-0.15012106537530262	-0.8601694915254238
Pt5_Pre_E9021022-6	0.3954802259887005	0.4533898305084746	0.19661016949152532	-0.12052730696798498	-0.2245762711864407	0.0823244552058112	-0.8559322033898306
Pt52_Pre_AD506075-6	0.2787193973634651	0.4576271186440678	0.04067796610169489	0.02636534839924673	-0.3559322033898305	0.15496368038740913	-0.6313559322033898
Pt59_Pre_AD823915-5	0.19585687382297554	0.5127118644067796	0.2508474576271186	0.007532956685499032	-0.2584745762711864	0.062953995157385	-0.8516949152542372
Pt62_Pre_AD608303-5	0.36158192090395475	0.538135593220339	0.08813559322033904	-0.19774011299435024	-0.17796610169491525	0.1694915254237288	-0.8029661016949152
Pt65_Pre_AD793919-6	0.32015065913370994	0.4661016949152542	0.16271186440677957	0.23728813559322035	-0.3220338983050847	-0.14043583535108958	-0.8516949152542372
Pt66_Pre_AD667850-6	0.591337099811676	0.1652542372881356	0.21694915254237282	-0.23352165725047083	-0.24152542372881355	0.26634382566585946	-0.8305084745762712
Pt67_Pre_AD506074-6	0.32391713747645956	0.3559322033898305	0.08135593220338978	0.3314500941619586	-0.3940677966101695	-0.27602905569007263	-0.559322033898305
Pt72_Pre_AD793922-5	0.48964218455743874	0.4957627118644068	-0.01694915254237288	-0.3389830508474576	-0.2584745762711864	0.3535108958837773	-0.6949152542372882
Pt76_Pre_AD667852-6	0.583804143126177	0.211864406779661	0.027118644067796634	-0.3691148775894539	-0.0635593220338983	0.1452784503631961	-0.5508474576271186
Pt77_Pre_AD733591-7	0.09792843691148766	0.3559322033898305	0.14576271186440667	0.591337099811676	-0.2796610169491525	-0.24213075060532685	-0.8220338983050848
Pt78_Pre_AD467018-5	0.4369114877589453	0.3093220338983051	-0.02372881355932201	-0.04896421845574383	-0.4449152542372881	0.1694915254237288	-0.4194915254237288
Pt79_Pre_AD733587-5	0.5273069679849341	0.652542372881356	0.12542372881355943	-0.24105461393596986	-0.2669491525423729	-0.11622276029055685	-0.7627118644067796
Pt8_Pre_AD153354-6	0.34651600753295664	0.4661016949152542	0.13898305084745768	0.037664783427495276	-0.3983050847457627	0.0871670702179176	-0.75
Pt82_Pre_AD823914-8	0.2711864406779661	0.559322033898305	0.07796610169491516	0.04519774011299431	-0.2669491525423729	0.029055690072639244	-0.7711864406779662
Pt84_Pre_AD486532-5	0.36911487758945377	0.6186440677966102	-0.3508474576271187	-0.08851224105461392	-0.288135593220339	0.23728813559322035	-0.4152542372881356
Pt85_Pre_AD486329-5	0.5875706214689266	0.4915254237288136	-0.09491525423728817	-0.4444444444444444	-0.2245762711864407	0.3970944309927361	-0.6567796610169492
Pt89_Pre_AE070951-5	0.4143126177024482	0.4915254237288136	0.006779661016949128	0.07532956685499055	-0.4067796610169492	0.024213075060532722	-0.6652542372881356
Pt9_Pre_E9021024-6	0.335216572504708	0.4872881355932203	-0.03728813559322039	-0.36158192090395486	-0.2330508474576271	0.48910411622276034	-0.6059322033898306
Pt90_Pre_AD467873-6	0.1883239171374765	0.4406779661016949	0.2237288135593221	-0.03389830508474576	-0.2796610169491525	0.16464891041162216	-0.7584745762711864
Pt92_Pre_AE134060-5	0.376647834274953	0.4406779661016949	0.37966101694915266	-0.18079096045197737	-0.17372881355932204	-0.11622276029055685	-0.8601694915254238
Pt94_Pre_AD732850-6	0.16195856873822978	0.4872881355932203	-0.05423728813559327	0.32391713747645956	-0.22033898305084745	0.12590799031477	-0.8559322033898306
Pt98_Pre_AD733586-8	0.36911487758945377	0.576271186440678	0.09152542372881366	-0.18455743879472689	-0.11440677966101695	0.06779661016949153	-0.8432203389830508
