cluster_1,,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
CCL17,CCR7,1.0,0.0,,0.0,0.0,,,,
CCL3L1,CXCR6,1.0,0.0,,0.0,0.0,,,,
CXCL6,CCR6,,0.014,,,0.08,,,,
IL1A,C3,0.0,0.998,,1.0,1.0,,,,
IL6,CSF1,0.988,0.006,,0.32,0.012,,,,
IL6,GZMB,1.0,0.0,,0.432,0.0,,,,
IL1A,MMP9,0.032,0.406,,1.0,0.962,,,,
SAA1,PTGS2,,0.034,,,1.0,,,,
FGFR4,PLAU,,,,,,,,,
TNF,PLAU,,,,0.494,0.126,,,,
CSF2,CSF1,0.98,0.006,,0.794,0.098,,0.0,0.0,
CXCL5,CCR4,,,,,,,,,
VWF,ITGA6,0.002,1.0,,0.004,0.998,,,,
CXCL8,CCR4,,,,,,,,,
IL2,PRF1,,,,,,,,,
RELN,ITGA6,,,,0.14,1.0,,,,
FGF7,VEGFA,1.0,0.02,,0.0,0.0,,,,
CCL2,PTGS2,,0.404,,,0.0,,,,
NR0B2,TNF,,,,,,,,,
CXCL13,CCR4,,,,,,,,,
IL13,VEGFA,,,,,,,,,
S100A9,MMP1,1.0,0.012,,0.0,0.0,,,,
IL2,CES1,,,,,,,,,
CXCL3,CCR6,,0.016,,,0.016,,,,
CXCL11,CCR4,,,,,,,,,
TNF,MMP9,,,,0.456,0.446,,,,
CXCL9,CXCR6,1.0,0.0,,0.0,0.0,,,,
CXCL10,CCR4,,,,,,,,,
IL10,F3,,,,,,,,,
OSM,PLAT,,,,0.014,0.196,,,,
CCL23,KDR,,,,0.0,0.028,,,,
IFNG,HSP90AA1,,,,0.01,0.942,,,,
CCL19,CCR4,,,,,,,,,
XCL2,CCR6,,,,,0.006,,,,
IL2,TNFRSF4,,,,,,,,,
CXCL5,CCR7,0.0,0.0,,1.0,1.0,,0.004,0.002,
SAA1,HMOX1,0.0,0.0,,1.0,1.0,,,,
IFNG,IL17A,,,,,,,,,
CCL20,CCR7,1.0,0.0,,0.048,0.0,,,,
CXCL5,CXCR6,0.0,0.0,,1.0,1.0,,0.004,0.002,
CCL15,CCR4,,,,,,,,,
CCL15,CXCR6,,,,0.02,0.0,,,,
CCL19,CXCR6,1.0,0.0,,0.0,0.0,,,,
IL6,DCN,1.0,0.0,,0.612,0.0,,,,
CXCL13,CXCR6,1.0,0.0,,0.0,0.0,,,,
IL2,TNFRSF18,,,,,,,,,
CCL18,CCR4,,,,,,,,,
ADIPOQ,F3,,,,,,,,,
CCL11,CCR6,,,,,0.0,,,,
IFNG,MMP13,,,,,0.012,,,,
CCL23,CXCR6,,,,0.0,0.0,,,,
CSF2,HDC,,,,,,,,,
TNF,VCAM1,,,,0.51,0.004,,,,
OSM,LDLR,,,,0.01,0.748,,,,
CSF3,MPL,,,,,,,,,
IL11,LIFR,0.232,0.538,,0.786,0.758,,,,
IL6,LIFR,0.62,0.54,,0.288,0.37,,,,
OSM,IL13RA2,,,,0.006,1.0,,,,
LEP,MPL,,,,,,,,,
IL11,IL13RA2,0.0,1.0,,0.598,1.0,,,,
IL6,IL13RA2,0.0,1.0,,0.226,1.0,,,,
IL13,LIFR,,,,,,,,,
GAS1,PTCH1,0.932,0.164,,0.108,0.068,,,,
LEP,KDR,,,,,,,,,
GDF15,TTN,0.0,0.048,,1.0,1.0,,,,
S100A8,MDM2,0.996,0.998,,0.0,0.004,,,,
VEGFA,MDM2,0.302,0.998,,0.014,0.676,,,,
SHH,MDM2,,,,,,,,,
CSF3,ACE,1.0,0.0,,0.99,0.0,,,,
NTS,GRIA1,,,,,,,,,
IFNG,GRIA1,,,,,,,,,
TNF,GRIA1,,,,,,,,,
VCAM1,CDH5,1.0,0.018,,0.004,0.0,,,,
TNF,CDH5,,,,0.486,0.03,,,,
IL1B,CDH5,0.402,0.018,,0.998,0.576,,,,
ANGPT2,CDH5,0.994,0.018,,0.108,0.006,,,,
CXCL8,CDH5,0.936,0.018,,0.396,0.058,,,,
ADM,NOS1,0.012,0.412,,0.978,0.982,,,,
IGF1,NOS1,,,,0.126,0.29,,,,
