sample	sample_type	DM1_local	DM1_score	DM1_use	driver_anchor_v17	dm_status	tert_pos	driver_simple	HLA_A	HLA_B	HLA_C	B2M
TCGA-BJ-A45G-01	Primary Tumor	-1.0966999733035345	-1.2502395900485426	-1.2502395900485426	RAS	False	False	RAS	13.83	13.19	12.81	15.27
TCGA-BJ-A45H-01	Primary Tumor	-0.9212897337431715	-1.1189940346379168	-1.1189940346379168	BRAF	False	False	BRAF	14.44	14.98	14.51	16.19
TCGA-BJ-A45I-01	Primary Tumor	1.122763898735981	0.1179674300670731	0.1179674300670731	BRAF	False	False	BRAF	16.51	16.29	15.9	17.59
TCGA-BJ-A45J-01	Primary Tumor	-0.07107726304991219	-0.54980329799954	-0.54980329799954	BRAF	False	False	BRAF	14.67	14.32	14.32	15.87
TCGA-BJ-A45K-01	Primary Tumor	-1.0357072276854864	-1.1440413209364388	-1.1440413209364388	unknown	True	False	TripleNeg	13.96	13.41	13.8	14.1
TCGA-BJ-A4O8-01	Primary Tumor	0.5518863432744383	-0.1185231579406828	-0.1185231579406828	BRAF	False	False	BRAF	15.22	15.11	14.28	15.99
TCGA-BJ-A4O9-01	Primary Tumor	0.4582785050740629	-0.1579020442606312	-0.1579020442606312	BRAF	False	False	BRAF	13.67	13.79	13.01	14.37
TCGA-CE-A13K-01	Primary Tumor	0.34026134802734015	-0.3385724133055197	-0.3385724133055197	unknown	True	False	TripleNeg	14.96	14.54	15.05	15.45
TCGA-CE-A27D-01	Primary Tumor	-0.8719659506398845	-1.2381966453103788	-1.2381966453103788	unknown	True	False	TripleNeg	16.1	15.94	15.11	17.04
TCGA-CE-A3MD-01	Primary Tumor	-0.10861829177954582	-0.608058410253929	-0.608058410253929	unknown	True	False	TripleNeg	16.23	16.35	15.0	16.95
TCGA-CE-A3ME-01	Primary Tumor	0.7116177184685387	-0.0407243326551016	-0.0407243326551016	BRAF	False	False	BRAF	14.81	15.1	14.01	15.61
TCGA-CE-A481-01	Primary Tumor	-0.4291551538574013	-0.9164775525784395	-0.9164775525784395	unknown	True	False	TripleNeg	14.84	14.75	14.1	15.98
TCGA-CE-A482-01	Primary Tumor	0.29415125339319625	-0.2619683010524684	-0.2619683010524684	unknown	True	False	TripleNeg	14.59	14.22	14.35	15.21
TCGA-CE-A483-01	Primary Tumor	0.375596605943447	-0.248973094886111	-0.248973094886111				TripleNeg	14.18	14.63	13.49	16.16
TCGA-CE-A484-01	Primary Tumor	-0.2988721664834934	-0.6478191750761907	-0.6478191750761907	unknown	True	True	TripleNeg	13.83	13.95	13.37	14.7
TCGA-CE-A485-01	Primary Tumor	0.07916491087660169	-0.7312404746778994	-0.7312404746778994				TripleNeg	14.15	14.55	14.1	15.48
TCGA-DE-A0XZ-01	Primary Tumor	0.5170421124336666	0.002204097423517	0.002204097423517	BRAF	False	False	BRAF	15.55	15.79	15.14	16.3
TCGA-DE-A0Y2-01	Primary Tumor	0.33731188814965857	-0.4421562842707658	-0.4421562842707658	unknown	True	False	TripleNeg	15.02	15.03	14.41	16.07
TCGA-DE-A0Y3-01	Primary Tumor	0.6789421993472816	-0.0766156533215779	-0.0766156533215779	BRAF	False	False	BRAF	14.92	15.14	14.67	16.38
TCGA-DE-A2OL-01	Primary Tumor	-1.1031430339451624	-1.1483101498011536	-1.1483101498011536	unknown	True	False	TripleNeg	13.42	13.08	11.99	13.47
TCGA-DE-A3KN-01	Primary Tumor	0.13421778524574046	-0.6299856700868716	-0.6299856700868716	unknown	True	False	TripleNeg	13.65	13.6	13.01	15.14
TCGA-DE-A4M8-01	Primary Tumor	-0.1438309958874994	-0.7010656279729461	-0.7010656279729461	unknown	True	False	TripleNeg	16.2	16.66	16.22	17.3
TCGA-DE-A4M9-01	Primary Tumor	-0.7727146172438991	-0.8420014218087585	-0.8420014218087585	unknown	True	False	TripleNeg	12.51	11.78	12.53	13.82
TCGA-DE-A4MA-01	Primary Tumor	0.7058205805966006	-0.2066208476688384	-0.2066208476688384				TripleNeg	15.73	16.6	15.72	16.41
TCGA-DE-A4MB-01	Primary Tumor	0.2552630576261069	-0.3409406189589825	-0.3409406189589825	BRAF	False	False	BRAF	14.94	15.53	14.52	16.51
TCGA-DE-A4MC-01	Primary Tumor	0.562949241191748	-0.0922587615046696	-0.0922587615046696				TripleNeg	16.08	15.99	14.98	17.44
TCGA-DE-A4MD-01	Primary Tumor	1.1946521613660672	-0.0853960868495037	-0.0853960868495037	BRAF	False	False	BRAF	15.05	15.91	14.55	16.11
TCGA-DE-A69J-01	Primary Tumor	0.4935744496723052	-0.156436107294924	-0.156436107294924	BRAF	False	False	BRAF	15.42	15.14	14.74	16.38
TCGA-DE-A69K-01	Primary Tumor	0.06995307538815679	-0.5016362532188696	-0.5016362532188696	unknown	True	False	TripleNeg	14.93	15.01	14.3	15.65
TCGA-DE-A7U5-01	Primary Tumor	0.7949219454761859	0.0270786061672694	0.0270786061672694	BRAF	False	False	BRAF	15.73	15.88	15.35	16.72
TCGA-DJ-A13L-01	Primary Tumor	0.6896580316811111	-0.2136278067437031	-0.2136278067437031	BRAF	False	False	BRAF	15.62	16.29	14.92	17.38
TCGA-DJ-A13M-01	Primary Tumor	-0.6222256182142769	-0.9331031303367506	-0.9331031303367506	RAS	False	False	RAS	15.06	14.0	13.36	14.74
TCGA-DJ-A13O-01	Primary Tumor	-0.5073178233111822	-0.9494938056922384	-0.9494938056922384	BRAF	False	False	BRAF	15.85	15.98	15.15	16.56
TCGA-DJ-A13P-01	Primary Tumor	0.11371367753002645	-0.2582901484484114	-0.2582901484484114	BRAF	False	False	BRAF	14.11	14.08	13.22	15.39
TCGA-DJ-A13R-01	Primary Tumor	-0.3274469658977156	-1.1063140190013896	-1.1063140190013896	unknown	True	False	TripleNeg	16.77	16.4	15.55	17.27
TCGA-DJ-A13S-01	Primary Tumor	-0.4988745787413658	-0.7784049298943732	-0.7784049298943732				TripleNeg	13.4	14.1	13.81	15.54
TCGA-DJ-A13T-01	Primary Tumor	0.31313221108418876	-0.1736493333840227	-0.1736493333840227	BRAF	False	False	BRAF	14.62	15.12	14.2	15.84
TCGA-DJ-A13U-01	Primary Tumor	0.10488115718346004	-0.4690816519778509	-0.4690816519778509				TripleNeg	15.19	15.67	14.93	16.33
TCGA-DJ-A13V-01	Primary Tumor	0.2703096125785247	-0.1833424043195411	-0.1833424043195411	BRAF	False	False	BRAF	14.97	15.02	14.19	15.57
TCGA-DJ-A13W-01	Primary Tumor	-0.5361137025032955	-0.9580930984832152	-0.9580930984832152	unknown	True	False	TripleNeg	14.65	14.13	12.36	13.49
TCGA-DJ-A13X-01	Primary Tumor	-0.32975499070420183	-0.7647092217997582	-0.7647092217997582	BRAF	False	False	BRAF	13.78	14.18	13.4	15.54
TCGA-DJ-A1QD-01	Primary Tumor	0.7545431748125118	-0.176626674516068	-0.176626674516068	BRAF	False	False	BRAF	14.12	14.7	13.87	15.94
TCGA-DJ-A1QE-01	Primary Tumor	0.2802666687212656	-0.3849503968450364	-0.3849503968450364	BRAF	False	False	BRAF	14.61	15.08	13.97	15.53
TCGA-DJ-A1QF-01	Primary Tumor	0.498079937809943	-0.0794781577609718	-0.0794781577609718	BRAF	False	False	BRAF	13.65	13.86	13.09	15.2
TCGA-DJ-A1QG-01	Primary Tumor	0.10927684572690398	-0.5518003208060338	-0.5518003208060338	RAS	False	False	RAS	13.75	13.45	13.1	15.07
TCGA-DJ-A1QH-01	Primary Tumor	0.5685994636941452	-0.1800077364301496	-0.1800077364301496	BRAF	False	False	BRAF	15.0	15.18	14.21	16.49
TCGA-DJ-A1QI-01	Primary Tumor	0.34789493021761264	-0.2069714523432106	-0.2069714523432106	BRAF	False	True	BRAF	14.2	14.3	13.53	15.57
TCGA-DJ-A1QL-01	Primary Tumor	-1.1102031221663575	-1.2417346389330468	-1.2417346389330468	DICER1_EIF1AX_PPM1D	True	False	Other	13.89	14.22	13.16	14.23
TCGA-DJ-A1QM-01	Primary Tumor	-1.2594453663013023	-1.3320700540576036	-1.3320700540576036	BRAF	False	False	BRAF	14.29	14.09	13.22	14.96
TCGA-DJ-A1QN-01	Primary Tumor	0.3993220536641886	-0.1122040124710756	-0.1122040124710756	BRAF	False	False	BRAF	13.93	14.52	13.77	15.1
TCGA-DJ-A1QO-01	Primary Tumor	-0.05436997706978683	-0.7399064964514295	-0.7399064964514295	BRAF	False	True	BRAF	15.23	15.02	14.27	16.31
TCGA-DJ-A1QQ-01	Primary Tumor	-0.678377212308829	-0.9221196985352168	-0.9221196985352168	BRAF	False	False	BRAF	14.03	14.38	13.69	14.99
TCGA-DJ-A2PN-01	Primary Tumor	-0.03259718150006691	-0.5946355880328369	-0.5946355880328369	BRAF	False	False	BRAF	14.32	14.5	13.67	16.06
TCGA-DJ-A2PO-01	Primary Tumor	0.41014257305789203	-0.2507623038634376	-0.2507623038634376	unknown	True	False	TripleNeg	15.77	16.22	15.23	16.71
TCGA-DJ-A2PP-01	Primary Tumor	-0.30050753688290227	-0.6693715302535475	-0.6693715302535475	RAS	False	False	RAS	13.54	13.24	12.72	14.63
TCGA-DJ-A2PQ-01	Primary Tumor	0.40739744905107733	-0.2434849550990091	-0.2434849550990091	BRAF	False	False	BRAF	13.9	13.71	13.56	15.18
TCGA-DJ-A2PR-01	Primary Tumor	0.26315700955719157	-0.2520992310348328	-0.2520992310348328	BRAF	False	False	BRAF	15.87	16.06	15.16	16.84
TCGA-DJ-A2PS-01	Primary Tumor	-0.2065419203733657	-0.7690480258844263	-0.7690480258844263	BRAF	False	False	BRAF	14.71	14.65	14.12	16.09
TCGA-DJ-A2PT-01	Primary Tumor	0.9700759610410149	-0.0698628954340079	-0.0698628954340079	BRAF	False	False	BRAF	15.66	15.68	14.58	16.84
TCGA-DJ-A2PU-01	Primary Tumor	0.33620767178332533	-0.2381603657482398	-0.2381603657482398	BRAF	False	False	BRAF	14.45	14.16	13.39	14.87
TCGA-DJ-A2PV-01	Primary Tumor	0.05103998383018434	-0.6386929246507429	-0.6386929246507429	BRAF	False	False	BRAF	14.56	14.59	13.95	15.28
TCGA-DJ-A2PW-01	Primary Tumor	0.5841762523644618	-0.3928998388456376	-0.3928998388456376	BRAF	False	False	BRAF	15.44	16.26	15.09	16.51
TCGA-DJ-A2PX-01	Primary Tumor	0.0842473552412521	-0.5255002194774296	-0.5255002194774296	unknown	True	False	TripleNeg	15.15	15.36	15.06	16.68
TCGA-DJ-A2PY-01	Primary Tumor	0.7621967400299827	-0.0848687773742036	-0.0848687773742036	BRAF	False	False	BRAF	14.41	15.14	13.72	16.46
TCGA-DJ-A2PZ-01	Primary Tumor	0.034905741469081195	-0.8192576057858638	-0.8192576057858638	BRAF	False	False	BRAF	15.23	15.73	14.55	16.39
TCGA-DJ-A2Q0-01	Primary Tumor	1.2823271722707112	-0.446757433284793	-0.446757433284793	unknown	True	False	TripleNeg	15.72	15.91	15.42	16.66
TCGA-DJ-A2Q1-01	Primary Tumor	1.5190918925846686	0.0571839619465074	0.0571839619465074	unknown	True	False	TripleNeg	15.58	15.84	15.13	16.34
TCGA-DJ-A2Q2-01	Primary Tumor	-1.0341600574271412	-1.32441022039834	-1.32441022039834				TripleNeg	15.0	14.52	13.91	16.93
TCGA-DJ-A2Q3-01	Primary Tumor	0.15195206469352873	-0.5682514085702877	-0.5682514085702877	BRAF	False	False	BRAF	15.73	15.79	15.36	17.28
TCGA-DJ-A2Q4-01	Primary Tumor	-0.3040980528298657	-0.6150526748857477	-0.6150526748857477	BRAF	False	False	BRAF	14.5	14.77	13.54	16.21
TCGA-DJ-A2Q5-01	Primary Tumor	0.26409627479165604	-0.2158766296318198	-0.2158766296318198	BRAF	False	False	BRAF	15.66	16.08	15.26	16.91
TCGA-DJ-A2Q6-01	Primary Tumor	0.659062433748974	-0.0355049979947048	-0.0355049979947048	BRAF	False	False	BRAF	14.79	15.87	14.28	16.49
TCGA-DJ-A2Q7-01	Primary Tumor	0.18377057790353052	-0.4135438992688782	-0.4135438992688782	BRAF	False	False	BRAF	14.83	15.59	14.84	15.92
TCGA-DJ-A2Q9-01	Primary Tumor	1.195263579399342	-0.2869490553442854	-0.2869490553442854	unknown	True	False	TripleNeg	14.65	15.11	14.39	16.05
TCGA-DJ-A2QA-01	Primary Tumor	-0.5188609073471875	-1.0194609430038717	-1.0194609430038717	BRAF	False	False	BRAF	15.49	15.1	14.37	14.89
TCGA-DJ-A2QB-01	Primary Tumor	-0.055102880451182876	-0.8479535082004358	-0.8479535082004358	RAS	False	False	RAS	14.22	13.8	12.75	14.88
TCGA-DJ-A2QC-01	Primary Tumor	0.476821221242832	-0.2752517730094809	-0.2752517730094809	BRAF	False	True	BRAF	14.24	14.82	13.7	15.26
TCGA-DJ-A3UK-01	Primary Tumor	0.3024993020789507	-0.2067094022573112	-0.2067094022573112	BRAF	False	False	BRAF	13.55	13.89	12.9	15.05
TCGA-DJ-A3UM-01	Primary Tumor	0.002987681544437709	-0.320877042878025	-0.320877042878025	BRAF	False	False	BRAF	15.01	15.44	14.73	16.31
TCGA-DJ-A3UN-01	Primary Tumor	-0.024786516315047274	-0.5426711883762623	-0.5426711883762623	BRAF	False	False	BRAF	14.51	14.77	14.21	15.77
TCGA-DJ-A3UO-01	Primary Tumor	-0.044550252605524865	-0.510020594633312	-0.510020594633312	BRAF	False	False	BRAF	15.35	15.7	15.29	16.38
TCGA-DJ-A3UP-01	Primary Tumor	-0.4794704749609272	-0.782087402094771	-0.782087402094771	RAS	False	False	RAS	14.67	14.43	13.55	15.63
TCGA-DJ-A3UQ-01	Primary Tumor	0.14432019265268828	-0.5667064103188866	-0.5667064103188866	BRAF	False	False	BRAF	15.01	15.34	14.65	16.49
TCGA-DJ-A3UR-01	Primary Tumor	0.2644172098277173	-0.4135005996816852	-0.4135005996816852	BRAF	False	False	BRAF	14.47	14.03	14.02	15.41
TCGA-DJ-A3US-01	Primary Tumor	-0.8680346508581821	-0.990098669672608	-0.990098669672608	unknown	True	False	TripleNeg	15.39	15.71	14.8	16.66
TCGA-DJ-A3UT-01	Primary Tumor	-1.3459104570128653	-1.2831866996442225	-1.2831866996442225	RAS	False	False	RAS	13.12	13.16	12.66	14.63
TCGA-DJ-A3UU-01	Primary Tumor	-0.507744585295477	-0.864722470783081	-0.864722470783081	BRAF	False	False	BRAF	15.28	15.68	14.23	16.21
TCGA-DJ-A3UV-01	Primary Tumor	-0.9982706249106756	-1.2151874393120357	-1.2151874393120357	unknown	True	False	TripleNeg	15.19	14.98	14.3	15.97
TCGA-DJ-A3UW-01	Primary Tumor	0.43094951722157837	-0.3863514445859696	-0.3863514445859696	BRAF	False	True	BRAF	15.63	16.78	15.8	17.39
TCGA-DJ-A3UX-01	Primary Tumor	-0.6401842623800368	-1.0692559349728974	-1.0692559349728974	BRAF	False	False	BRAF	15.37	16.1	15.02	16.72
TCGA-DJ-A3UY-01	Primary Tumor	-0.1805552321893898	-0.8942816774145603	-0.8942816774145603	BRAF	False	False	BRAF	14.38	14.43	14.17	16.03
TCGA-DJ-A3UZ-01	Primary Tumor	-0.5625370241942023	-1.0702261279715246	-1.0702261279715246				TripleNeg	14.96	15.15	14.1	16.52
TCGA-DJ-A3V0-01	Primary Tumor	0.3765612946589679	-0.1924562978103562	-0.1924562978103562	BRAF	False	False	BRAF	15.75	15.86	15.15	16.92
TCGA-DJ-A3V2-01	Primary Tumor	0.35870284675199837	-0.1875125368689501	-0.1875125368689501	BRAF	False	False	BRAF	15.6	15.96	15.21	17.13
TCGA-DJ-A3V3-01	Primary Tumor	-0.1757470660921387	-0.6136034843365077	-0.6136034843365077	unknown	True	False	TripleNeg	15.01	15.8	15.24	16.37
TCGA-DJ-A3V4-01	Primary Tumor	-0.08044986502104533	-0.7792402415214924	-0.7792402415214924	BRAF	False	False	BRAF	15.14	15.65	14.52	16.98
TCGA-DJ-A3V5-01	Primary Tumor	0.28822006189922844	-0.3392052724089386	-0.3392052724089386	BRAF	False	False	BRAF	14.98	14.68	14.07	16.0
TCGA-DJ-A3V6-01	Primary Tumor	0.5446247946049626	-0.2073555619572742	-0.2073555619572742	BRAF	False	False	BRAF	15.62	15.32	14.63	16.97
TCGA-DJ-A3V7-01	Primary Tumor	0.8320574430438601	-0.0353810546312617	-0.0353810546312617	BRAF	False	False	BRAF	15.55	15.71	15.06	17.29
TCGA-DJ-A3V8-01	Primary Tumor	0.11183699941814902	-0.496749385427169	-0.496749385427169	BRAF	False	False	BRAF	14.91	14.83	14.48	16.55
TCGA-DJ-A3V9-01	Primary Tumor	-0.3884286949611436	-0.7652800395190109	-0.7652800395190109	BRAF	False	False	BRAF	14.7	14.71	14.39	15.85
TCGA-DJ-A3VA-01	Primary Tumor	0.4506649512937077	-0.205517908443882	-0.205517908443882	BRAF	False	False	BRAF	14.53	14.59	14.35	16.33
TCGA-DJ-A3VB-01	Primary Tumor	0.557180508789751	-0.2385831123049999	-0.2385831123049999	BRAF	False	False	BRAF	16.12	16.3	15.09	17.33
TCGA-DJ-A3VD-01	Primary Tumor	0.2560624779016435	-0.6367861991289913	-0.6367861991289913	BRAF	False	False	BRAF	15.08	15.88	15.56	16.6
TCGA-DJ-A3VE-01	Primary Tumor	0.3515051578959971	-0.1986932088341288	-0.1986932088341288	BRAF	False	False	BRAF	14.43	14.31	13.99	15.2
TCGA-DJ-A3VF-01	Primary Tumor	1.338885347737422	0.1654127459397416	0.1654127459397416	BRAF	False	False	BRAF	14.96	15.6	14.67	16.94
TCGA-DJ-A3VG-01	Primary Tumor	-1.188257413059923	-1.207484206767293	-1.207484206767293	RAS	False	False	RAS	14.43	14.18	13.54	15.3
TCGA-DJ-A3VI-01	Primary Tumor	0.34245546041101343	-0.2677737157518043	-0.2677737157518043	BRAF	False	False	BRAF	14.57	14.4	13.87	16.45
TCGA-DJ-A3VJ-01	Primary Tumor	-0.10773566037259832	-0.6290559811282955	-0.6290559811282955	BRAF	False	False	BRAF	14.92	15.27	15.0	16.26
TCGA-DJ-A3VK-01	Primary Tumor	-0.41421650199534554	-0.7586243303170386	-0.7586243303170386	unknown	True	False	TripleNeg	13.61	14.17	13.14	15.11
TCGA-DJ-A3VL-01	Primary Tumor	-0.8870035842885285	-0.977880982648879	-0.977880982648879	BRAF	True	False	BRAF	15.25	15.85	15.12	17.36
TCGA-DJ-A3VM-01	Primary Tumor	-0.1738617671130958	-0.590831801235203	-0.590831801235203	unknown	True	True	TripleNeg	12.75	13.05	12.34	14.76
TCGA-DJ-A4UL-01	Primary Tumor	0.3238474367340816	-0.244421972959745	-0.244421972959745	BRAF	False	False	BRAF	15.58	15.99	14.79	16.39
TCGA-DJ-A4UP-01	Primary Tumor	-0.34583153606209044	-0.9678820298219548	-0.9678820298219548	unknown	True	False	TripleNeg	15.32	15.61	15.22	15.97
TCGA-DJ-A4UQ-01	Primary Tumor	-0.49084872891016423	-0.8064787530338192	-0.8064787530338192	unknown	True	False	TripleNeg	14.41	14.27	13.73	15.33
