run	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1	p_DM2	DM_call	sample_alias	tissue_tag
ERR1518664	10956.0	73143.5711421	708719.2571	55474.7653	71539.993063674	47329.483	23423.42681	9413.9928	0.9521977291877202	DM2	SNU-GMI-FA22	FA
ERR1518665	7051.3736	14785.94892761	884338.4098	35031.591199999995	25127.710800393448	22972.821	8993.943510000001	1697.1663999999998	0.9934026828557064	DM2	SNU-GMI-FA22-N	Normal
ERR1518666	5062.62	96239.0727223	787012.9856	27020.3706	33780.07610001182	18186.688	17893.3066	14804.8659	0.5423061974235819	DM2	SNU-GMI-FA23	FA
ERR1518667	12019.9024	69344.6654992	793743.679	37853.53	41809.4096	30998.732	12888.0507	1341.31057111	0.9799271438769112	DM2	SNU-GMI-FA24	FA
ERR1518668	13414.0	72417.4035147162	710026.9763	44940.3729	86707.4057	39314.485	25194.20662	7985.1315	0.947555800129006	DM2	SNU-GMI-FA25	FA
ERR1518669	2630.98	30423.850219972	928361.8104	16081.8714	6336.011000008351	9563.511	5850.84663	750.7753327	0.91128901373599	DM2	SNU-GMI-FTC01	FTC
ERR1518670	5495.2	27023.01233078252	907053.3237	24242.3617	10970.38615138554	17154.456000000002	7584.67581	476.08337071688	0.9856979181075576	DM2	SNU-GMI-FTC01-N	Normal
ERR1518671	3401.86	13898.439253006722	926507.943	18958.3931	11123.767460854477	15358.814	6855.9	3894.4321067	0.9348615802499068	DM2	SNU-GMI-FTC02	FTC
ERR1518672	5678.15783	120795.43013667	753050.8211000001	39900.1362	28324.8936	21669.794	19722.18965	10858.679237	0.7027611019657815	DM2	SNU-GMI-FTC03	FTC
ERR1518673	5168.85	65356.304331324	834765.06	35611.8732	20824.88100004029	19398.115	15125.89862	3749.6686	0.8948720592669004	DM2	SNU-GMI-FTC03-N	Normal
ERR1518674	6371.52	49454.5117	861790.5989	35684.474	9434.894379787602	21655.695	14976.36	632.310824019	0.9793800707932988	DM2	SNU-GMI-FTC04	FTC
ERR1518675	22607.1	10164.088	703669.907125558	97839.2900219638	53853.4659594	70979.642	40246.610400000005	639.32455	0.9998686161754962	DM2	SNU-GMI-FTC05	FTC
ERR1518676	3488.87	37249.547	904883.7159	21785.694	10083.75949852	12051.852	7414.444359999999	3042.5218504	0.8559109454269755	DM2	SNU-GMI-FTC05-N	Normal
ERR1518677	3582.22	41061.28410303	898317.3622	23139.53967	10008.5061573601	14572.86	8869.24042	449.6514	0.9642928258445838	DM2	SNU-GMI-FTC06	FTC
ERR1518678	7091.58	305196.1573	570160.646	46684.2172	18151.19122310865	25863.621	13999.2289	12852.5953	0.5328860660862045	DM2	SNU-GMI-FTC07	FTC
ERR1518679	3455.95	28486.91625328442	910995.428	23390.3569	11425.70509711	13475.758	7699.045709999999	1070.99802	0.9572358577705586	DM2	SNU-GMI-FTC08	FTC
ERR1518680	5605.05	92666.76238359064	821332.4006	28824.873	20734.536900000003	18566.856	9890.24275	2378.9541372226	0.8660149023077033	DM2	SNU-GMI-FTC08-N	Normal
ERR1518681	4104.12	46774.10480044	823521.1596	18517.4874	29937.9580756748	12955.939	24000.70869	40188.4203	0.3308789314386917	DM1	SNU-GMI-FTC09	FTC
ERR1518682	4627.5	51432.2688	859089.1241	21541.423000000003	27238.33436996791	14970.026	16791.726599999998	4309.8897118	0.7974978117754888	DM2	SNU-GMI-FTC09-N	Normal
ERR1518683	7098.56	257072.2886046	615515.157	34110.6722	28481.0011185156	25230.469	23007.62178	9484.4622	0.4981139750005224	DM1	SNU-GMI-FTC10	FTC
ERR1518684	8187.63	89312.78233866	801134.5989999999	41076.1456	18724.809577	24626.571	12939.65	3997.146	0.9113116195894244	DM2	SNU-GMI-FTC10-N	Normal
ERR1518685	3165.47	22676.4182	911472.8246	29698.7746	10755.139386625027	13226.401	7507.129999999999	1497.9667975716102	0.9696925340090796	DM2	SNU-GMI-FTC11	FTC
ERR1518686	3282.72	35393.89720614911	905675.2376	16496.75475	15474.775989501284	11509.181	9776.02454	2391.3736979	0.8245697424737025	DM2	SNU-GMI-FTC11-N	Normal
ERR1518687	3935.69	138819.28152	801630.6814	17892.394200000002	12956.2517	11898.553	6039.168460000001	6828.7436557	0.3542849876979635	DM1	SNU-GMI-FTC12	FTC
ERR1518688	4919.97	45843.6733399	879470.4251999999	28019.09649	15383.23337214	15544.989999999998	9548.48477	1269.1404000569505	0.9516124707125434	DM2	SNU-GMI-FTC12-N	Normal
ERR1518689	3987.7	36440.0773	898872.8251	22334.7325	12743.16981312422	15329.124	9952.63	340.6715798298	0.9762842990645292	DM2	SNU-GMI-FTC13	FTC
ERR1518690	7907.4	39754.95731463996	849911.7689	32311.422	25414.5674029482	28852.369	14241.98102	1605.5914514	0.9759077453592002	DM2	SNU-GMI-FTC13-N	Normal
ERR1518691	9186.34	89149.276637398	739977.8709	49736.079	41843.81390014954	38813.822	31191.5627	101.17690389151	0.9968667306858952	DM2	SNU-GMI-FTC14	FTC
ERR1518692	8946.6413	92705.277575368	817899.6066	32576.344	15337.151040493934	22336.315	9114.95877	1083.323205	0.9523135443239924	DM2	SNU-GMI-FTC14-N	Normal
ERR1518693	3083.98	15389.81540429	928440.3437	18964.55025	10217.5409115047	14482.505	6287.10305	3133.1924974	0.9329120262165286	DM2	SNU-GMI-FTC15	FTC
ERR1518694	3825.85	42250.83381501984	888167.6572	24163.4008	14716.7374	13523.762	9254.74098	4097.52736115	0.8447819325970358	DM2	SNU-GMI-FTC15-N	Normal
ERR1518695	3567.96	12871.2625	928934.7577	20795.3524	7135.518796576416	19459.664	6947.05325	288.3357	0.9930050643811676	DM2	SNU-GMI-FTC16	FTC
ERR1518696	5578.69	53405.81547	851637.7768999999	25930.8831	26393.8932729919	18982.635	14542.45226	3527.6178507000004	0.8817397373958558	DM2	SNU-GMI-FTC16-N	Normal
ERR1518697	2708.07	27463.86	911511.3301	23884.55	10123.551087939668	11563.356	8328.57	4416.395600000001	0.8603406767661897	DM2	SNU-GMI-FTC17	FTC
ERR1518698	4930.3	80611.69821862	842143.459	26482.8487	17613.860370222083	15354.021	11218.99422	1644.4440978685302	0.8783766806499749	DM2	SNU-GMI-FTC17-N	Normal
ERR1518699	22942.7	22529.132995537	540267.6463	74803.9251	109329.2671107888	80689.88	73324.29789999999	76113.014	0.9795077522721848	DM2	SNU-GMI-FTC18	FTC
ERR1518700	3661.12	46486.6860164977	890969.8153	19981.77006	15875.077000888834	11497.665	7417.888129999999	4110.484900131568	0.7787413922656485	DM2	SNU-GMI-FTC18-N	Normal
ERR1518701	16077.6	39734.3365013	759082.5319000001	68064.02189999999	31693.7398921	51121.938	31706.1835	2519.8219000000004	0.9939705463842096	DM2	SNU-GMI-FTC19	FTC
ERR1518702	8823.55	300471.207	448598.13	37846.70245	52292.907	33221.091	40700.26	78045.7020227	0.2079378163335682	DM1	SNU-GMI-FTC20	FTC
ERR1518703	7668.79287	62322.25443	836168.5458	34486.2142	19327.95573313	22904.016	13568.27923	3554.61797	0.9236733205844312	DM2	SNU-GMI-FTC20-N	Normal
ERR1518704	3151.72	107181.67910137	816750.8572	19521.6938	11954.3831	10849.3002	13671.2023	16919.2911	0.2209100669998502	DM1	SNU-GMI-FTC21	FTC
ERR1518705	11944.5	94935.20303687	684945.3433000001	48240.3539	58797.9220695379	40416.781	36410.4239	24309.5595	0.8236560053154272	DM2	SNU-GMI-FTC22	FTC
ERR1518706	8811.69	79713.59346561901	796598.0745	34732.6839	26137.562900856847	27445.988	18119.24679	8441.5788691	0.8405628971492847	DM2	SNU-GMI-FTC22-N	Normal
ERR1518707	4920.44	76594.95676085	844722.892	27654.63885	16398.01380134686	19071.634	6577.604609999999	4059.178499	0.8273953950451153	DM2	SNU-GMI-FTC23	FTC
ERR1518708	5272.59	45036.612999402	887529.8400999999	19513.06946	14053.55620419386	16487.392	7520.40424	4585.8300293	0.8112671602800371	DM2	SNU-GMI-FTC23-N	Normal
ERR1518709	6016.9262	116817.1615838	783900.1024	28948.975700000003	20753.5433	19764.726	13392.3903	10405.73	0.6014316683494262	DM2	SNU-GMI-FTC24	FTC
ERR1518710	4436.03	45893.06630546	884921.4419	24366.56536	13955.010000019533	14505.924	9643.50484	2278.556185	0.8966875114780604	DM2	SNU-GMI-FTC24-N	Normal
ERR1518711	5592.9	96152.0924615945	806181.687	30941.090900000003	18879.55889154051	22790.293	19026.3768	435.9602	0.9587582073479896	DM2	SNU-GMI-FTC25	FTC
ERR1518712	9135.05	110985.6875	766224.3762	36806.3733	19384.73260244014	28427.715	19002.7779	10032.6883862	0.7631689585015298	DM2	SNU-GMI-FTC25-N	Normal
ERR1518713	21105.1	59936.982741977	688627.247	62203.5525	67394.9895092192	56476.683	25764.65145	18491.3412	0.9658475954777938	DM2	SNU-GMI-FTC26	FTC
ERR1518714	11364.5	109587.3818100303	698888.642	43759.3651	53886.63526487	34695.756	25637.51699	22180.4785	0.7792309524447717	DM2	SNU-GMI-FTC27	FTC
ERR1518715	44753.3	10568.63726	484362.008	137338.401	126816.10288905488	134765.37900000002	50680.5756	10715.5097716	0.9997139357086996	DM2	SNU-GMI-FTC28	FTC
ERR1518716	21712.546	49550.87786572	737063.6410000001	42388.1641	71483.3867	40292.868	25493.9336	12014.2071	0.9607022694909813	DM2	SNU-GMI-FTC29	FTC
ERR1518717	13880.8	30619.21935313169	831209.706	46898.764	23950.18478572	41535.028000000006	11392.9788	513.81823	0.9977076572086158	DM2	SNU-GMI-FTC30	FTC
ERR1518718	9347.2	73016.96450261	797311.1199	37118.1744	37935.6077801499	29774.502	12412.23376	3084.0289	0.949686640813842	DM2	SNU-GMI-FV01	FVPTC
ERR1518719	12048.2	36734.23199642	788937.342	51068.0771	56257.2997	35936.593	16376.45691	2641.9704	0.9910674098964196	DM2	SNU-GMI-FV01-N	Normal
ERR1518720	18816.7786	8920.959180035128	774267.839	74307.3682	42153.03327006607	59657.269	21600.16491	276.95459	0.9998982977000578	DM2	SNU-GMI-FV02	FVPTC
ERR1518721	25969.1	21497.12462	706509.4888	86128.4699	58247.228366953925	75538.955	25228.1853	881.7196230000001	0.999576604735685	DM2	SNU-GMI-FV03	FVPTC
ERR1518722	7023.3	9685.8756641727	903156.768	23588.8018	23649.85109	23684.873	6115.70169	3095.29423341	0.9887654542880364	DM2	SNU-GMI-FV04	FVPTC
ERR1518723	9375.65	7057.24716232	895879.9709000001	31989.7808	16345.315	30559.177	8497.57107	294.7841777854	0.9993474112263804	DM2	SNU-GMI-FV05	FVPTC
ERR1518724	36328.2	3228.8086	600576.704	99224.708	83029.7721669368	113717.529	48618.8273	15275.0674	0.99978368207359	DM2	SNU-GMI-FV06	FVPTC
ERR1518725	73875.5	3554.8333344721	376022.435	194945.929	81375.9817395	205031.6	65072.988	120.6648	0.9999992213047476	DM2	SNU-GMI-FV07	FVPTC
ERR1518726	13642.7	4296.79421	843517.6733	42923.38400000797	27083.95071689	58450.9518	9653.72346	431.044	0.9998291005807726	DM2	SNU-GMI-FV08	FVPTC
ERR1518727	6441.7	1532.4258815463	922064.5999	27160.67556126	12051.883483664	25314.670400000003	5421.6677	12.7597885898	0.9999857978021948	DM2	SNU-GMI-FV09	FVPTC
ERR1518728	10139.8	15352.374356819	847853.9057	34760.7223	39458.2827	34442.797	15428.02546	2564.0007011	0.9929378675638012	DM2	SNU-GMI-FV09-N	Normal
ERR1518729	3916.18	172054.502827408	743134.1019	22809.710546	21839.95883841	19409.3958	6963.48365	9873.079419008	0.3750801451069308	DM1	SNU-GMI-FV10	FVPTC
ERR1518730	4606.72	72466.2384	862706.2788	19121.67326	15483.4981	17929.346400000002	5081.01531	2605.1318010000005	0.793838057679439	DM2	SNU-GMI-FV11	FVPTC
ERR1518731	1315.18	14019.384586	965739.5261	7882.301167	3489.30147806	6156.6733	1263.841	134.083873	0.9586658565717046	DM2	SNU-GMI-FV12	FVPTC
ERR1518732	960.957	41375.364197628354	941875.6449	5310.433144	2007.707180292932	3990.57164	1219.90454	3259.21134196	0.1363823990594486	DM1	SNU-GMI-FV13	FVPTC
ERR1518733	3748.52371	75504.57650000001	892079.89162	8545.546001973	7123.809091190001	8068.28	2823.04927	2105.6501201888	0.4310520282983925	DM1	SNU-GMI-FV14	FVPTC
ERR1518734	1724.64	39825.4029	935141.63659	8471.592361145871	5428.70827174	7247.202579999999	1608.54979	552.64088	0.7511597124357751	DM2	SNU-GMI-FV15	FVPTC
ERR1518735	3623.13	12183.249256017649	936485.3258	19562.80968	7466.72642104	16753.5464	3759.51572	165.23781	0.9959626166743462	DM2	SNU-GMI-FV16	FVPTC
ERR1518736	8155.92	1785.0084474757869	902280.55162	36477.75612	11721.8559295	31971.8413	7589.220579999999	17.6655	0.9999882416402268	DM2	SNU-GMI-FV17	FVPTC
ERR1518737	6672.95	27524.51729	897040.7970499999	25929.86708829	13387.527484088	23007.7971	6151.25627	285.1844	0.9935406373070838	DM2	SNU-GMI-FV18	FVPTC
ERR1518738	3332.96	16676.3535320383	929306.2951	21236.082589	8093.100523159999	17325.190599999998	3879.74234	150.87619999999998	0.9949987378200728	DM2	SNU-GMI-FV19	FVPTC
ERR1518739	2365.93	8808.2971	951837.96478	19439.16027001968	4524.847404864	9624.202	3346.75	53.2408	0.9981493782855722	DM2	SNU-GMI-FV20	FVPTC
ERR1518740	7654.12	26757.4311105353	883538.84877	26112.07716	16346.25174846	29751.4685	5791.25412	4048.6454895	0.9607153930217492	DM2	SNU-GMI-FV21	FVPTC
ERR1518741	3638.79	28454.44050585	916896.2953	24538.67231	5652.58421	14678.6753	5317.9474900000005	822.5854306398	0.966837931805533	DM2	SNU-GMI-FV22	FVPTC
ERR1518742	12789.1	1302.4329095624498	852589.398	32383.989500000003	23191.9866551	58201.738	17721.739999999998	1819.115602466133	0.9997529040164996	DM2	SNU-GMI-FV23	FVPTC
ERR1518743	3446.31	612.2072000862926	959927.2848	14618.680540177998	6390.9434798651	11773.8214	3225.06685	7.0879984	0.9999843067556912	DM2	SNU-GMI-FV24	FVPTC
ERR1518744	3195.41	16871.221503	932811.1705	14744.2172	7074.612190003578	10884.0589	5205.63937	9214.4067304	0.7582697291267758	DM2	SNU-GMI-FV25	FVPTC
ERR1518745	3873.27	10342.65140875	936352.7172	16845.66724	9318.622260119844	15466.1348	5444.241959999999	2357.26990431	0.9655146900566406	DM2	SNU-GMI-FV26	FVPTC
ERR1518746	13572.0	21261.1514494	820918.546	52734.23714	29505.42790312	48186.224	13785.0494	36.72660213267	0.9998555056471046	DM2	SNU-GMI-FV27	FVPTC
ERR1518747	4413.2	56911.06052000001	876012.9064	20516.28671	19660.579289884	16001.7246	5457.65611	1026.0405212	0.9236412192645266	DM2	SNU-GMI-FV28	FVPTC
ERR1518748	9691.56	3052.6110877	860906.0260999999	55261.81573	21165.3833672994	36317.87	13284.94447	320.0674	0.9999070270652538	DM2	SNU-GMI-FV29	FVPTC
ERR1518749	6229.5484	51303.290061	878264.5061	22700.0557	14026.157630003388	13843.102	6209.48343	7423.9478677	0.7846352016942977	DM2	SNU-GMI-FV29-N	Normal
ERR1518750	29412.0	10605.134609	716690.1707	84665.48760000001	41952.49187978	86235.78	29933.3026	505.3128451852001	0.9998822427345964	DM2	SNU-GMI-FV30	FVPTC
ERR1518751	4623.47451	60377.39512378	863816.2392	20673.4503	22646.952617643	16667.003	7446.26693	3749.2885861	0.8022547519493992	DM2	SNU-GMI-FV30-N	Normal
ERR1518752	4034.23	5894.40303763	932430.4024	22220.5496	12556.3882	14177.831	8086.138489999999	600.2212000000001	0.996235474094328	DM2	SNU-GMI-FV31	FVPTC
ERR1518753	5194.45803	40316.01072436	889574.3665	26712.54373	14044.530200768571	15811.057	7535.6385	811.9970788200001	0.9703470207182224	DM2	SNU-GMI-FV31-N	Normal
ERR1518754	12565.4	414.47483	861433.2763	41690.259	27986.8690920344	38181.558	17705.2863	22.9565	0.9999987052357848	DM2	SNU-GMI-FV32	FVPTC
ERR1518755	4959.96	52369.87044903	857353.3740000001	24856.4524	26628.461748930004	18315.716	12701.74077	2814.1351177	0.8900738471289411	DM2	SNU-GMI-FV32-N	Normal
ERR1518756	9061.76	6946.6121276137	884676.7319	39397.7621	19759.290967661345	30318.955	9823.66812	15.5511000836735	0.9999543306299647	DM2	SNU-GMI-FV33	FVPTC
ERR1518757	4272.46	42137.61381252	880705.0757	22912.44025	17117.12499525	14943.644	11177.70191	6733.1533	0.7856180567287107	DM2	SNU-GMI-FV33-N	Normal
ERR1518758	5592.11	7287.5519	904413.1847	34048.6626	12543.39409424	24745.163	10839.48175	529.75077	0.998363803444888	DM2	SNU-GMI-FV34	FVPTC
ERR1518759	3410.78	41857.99002841	893296.6926	17453.6769	17097.546717533798	11553.098	8873.01978	6456.3574	0.6738645681322011	DM2	SNU-GMI-FV34-N	Normal
ERR1518760	8894.9	9989.51781	872668.6031	51641.9721	12555.67941625824	31142.858	12331.34	775.19237748563	0.9988442023497456	DM2	SNU-GMI-FV35	FVPTC
ERR1518761	7219.42	52828.69105534	835726.1688	39334.0553	22101.44990247029	23522.396	15363.49897	3904.4063	0.9436739040378638	DM2	SNU-GMI-FV35-N	Normal
ERR1518762	15142.3	891.07332	802973.95	79177.073	31323.77067808786	51522.805	18884.05509	84.3461	0.9999975313700196	DM2	SNU-GMI-FV36	FVPTC
ERR1518763	4116.16	65319.75701423	863966.7664	26966.2589	13101.8681220226	12901.029	9690.84253	3937.14290655	0.7978857730211604	DM2	SNU-GMI-FV36-N	Normal
ERR1518764	8586.1	3686.81641864703	852865.8943	59999.9531	23529.95627342965	29326.652	13557.04216	8448.0071208	0.9984710409264598	DM2	SNU-GMI-FV37	FVPTC
ERR1518765	3083.6	45103.002604903006	897539.1967	16966.85688	13989.817292737	12574.146	7873.56331	2868.9831342	0.7615681130335225	DM2	SNU-GMI-FV37-N	Normal
ERR1518766	3261.17111	53111.23398016	896905.8877999999	15475.2259	8331.144201782967	10290.893	7912.04391	4712.36646472	0.5654998329377118	DM2	SNU-GMI-FV38	FVPTC
ERR1518767	10432.6	8707.99296526	854621.2298000001	43647.8809	23174.80439997189	40177.121	18960.43113	277.1127	0.9995369722529056	DM2	SNU-GMI-FV39	FVPTC
ERR1518768	3262.77	10560.999425143	941791.9402	17020.88884	9573.706192318092	12196.337	4971.56669	622.33591	0.985856551498257	DM2	SNU-GMI-FV40	FVPTC
ERR1518769	13837.3	15392.21130252	819670.0536	51991.2052	32351.2904976	49008.631	16638.6	1111.30030014659	0.9985330695826242	DM2	SNU-GMI-FV41	FVPTC
ERR1518770	15175.8	97303.7108937	714924.2448	63174.8398	41642.8786054	45586.733	18930.4312	3261.810367649	0.9784645735753972	DM2	SNU-GMI-FV42	FVPTC
ERR1518771	6313.76	14154.99795517	880270.2159000001	40097.8695	19797.4321	23750.194	14378.1	1237.079509	0.9950539029281226	DM2	SNU-GMI-FV43	FVPTC
ERR1518772	4421.11	4336.9790851689	926416.081	32866.6119	8282.052165619738	16042.31	7630.710000000001	4.65966	0.9999678772380408	DM2	SNU-GMI-FV44	FVPTC
ERR1518773	1712.46	2001.4195	974918.1764	6861.917750011466	1577.2237591101473	7138.937349999999	2314.13973	3475.70629	0.9320019726093024	DM2	SNU-GMI-FV45	FVPTC
ERR1518774	7458.9	11239.949552552	877455.1673999999	42450.0049	18207.83942700097	29306.509	13734.23245	147.006300487886	0.999464246245066	DM2	SNU-GMI-FV46	FVPTC
ERR1518775	2978.87	30071.879849	913173.2278	22522.93133073	8580.72027933819	10254.8374	7901.08125	4516.413	0.8309291548699144	DM2	SNU-GMI-FV47	FVPTC
ERR1518776	8079.04	39447.159876099	853558.8149	30721.66394	28754.238585298	25960.118	10462.67344	3015.8355412778283	0.9617553598032568	DM2	SNU-GMI-FV48	FVPTC
ERR1518777	17879.8748	65708.951011948	760030.1259	57107.9953	31851.870355383864	47790.975	18290.7651	1338.6047999999998	0.9924290645450528	DM2	SNU-GMI-PTC01	PTC
ERR1518778	19216.2	3642.740990065759	759957.2309000001	84963.9286	30096.9999962	75694.421	26294.3019	134.708	0.9999842971478228	DM2	SNU-GMI-PTC02	PTC
ERR1518779	27191.7	658.6048	707896.931	96762.2197	46901.266097004176	91873.92	28632.5656	82.95271	0.9999993294975544	DM2	SNU-GMI-PTC03	PTC
ERR1518780	26927.9	1023.101300301749	671416.758	95280.725	70535.38493180154	92424.33	42378.1186	14.1511	0.9999996992069896	DM2	SNU-GMI-PTC04	PTC
ERR1518781	52671.5	5483.09349	510325.7706	150873.04379999998	79347.0010934218	150440.81999999998	50750.5612	107.943	0.99999719418833	DM2	SNU-GMI-PTC05	PTC
ERR1518782	8270.19	13532.5865543	890268.5897	31691.9409	13915.010364679289	28348.883	12748.49743	1224.5131	0.9940729724908728	DM2	SNU-GMI-PTC06	PTC
ERR1518783	48614.1	1112.54168	516250.788	157765.7842	73186.4286222568	153728.52	49270.9509	71.181	0.999999731899236	DM2	SNU-GMI-PTC07	PTC
ERR1518784	29972.6	5540.5073807554	702482.9027	92663.0239	40332.2174927	96191.85	32446.5213	370.6162000000001	0.9999657267403916	DM2	SNU-GMI-PTC08	PTC
ERR1518785	29575.1	9470.86249828	671969.6393	100146.3616	48578.7211093	95980.47	43206.395	1072.5971519	0.9998605079844094	DM2	SNU-GMI-PTC09	PTC
