cohort	contrast	group_high	group_low	score	n_high	n_low	cohens_d	ci_lo	ci_hi	mw_p	stratum	extra
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	HT13	31	361	-0.04718463776848278	-0.4140293476974951	0.3196600721605296	0.9578451309964928	BRAF_like_all	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	FA12	31	361	-0.10184819006878257	-0.4687473040707355	0.2650509239331704	0.7561502372433075	BRAF_like_all	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	FA12	6	386	0.02210172356884738	-0.7842613409716791	0.828464788109374	0.6641217108183247	BRAF_like_all	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	FA12	31	361	-0.10184819006878257	-0.4687473040707355	0.2650509239331704	0.7561502372433075	BRAF_like_all	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	MAPK9	31	361	-0.43153970493258176	-0.7996112222015384	-0.06346818766362511	0.022933456701953934	BRAF_like_all	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	MAPK9	6	386	-0.9536827049298262	-1.762802968371008	-0.1445624414886444	0.2764379307270533	BRAF_like_all	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	MAPK9	31	361	-0.43153970493258176	-0.7996112222015384	-0.06346818766362511	0.022933456701953934	BRAF_like_all	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	RAI8	31	361	-0.20229066064642773	-0.5693937078926798	0.16481238659982442	0.11056745844822766	BRAF_like_all	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	RAI8	6	386	-0.0010661380450069718	-0.8074277218537044	0.8052954457636904	0.9196398726516243	BRAF_like_all	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	RAI8	31	361	-0.20229066064642773	-0.5693937078926798	0.16481238659982442	0.11056745844822766	BRAF_like_all	
TCGA-THCA	DM1_vs_DM2_refractory_combined_rate	DM1	DM2	refractory_combined	87	25	-0.0910344827586207			0.22619528046735665	BRAF_like_all	rate_DM1=0.069; rate_DM2=0.160; OR=0.389
TCGA-THCA	DM1_vs_DM2_postRT_rate	DM1	DM2	postRT	87	25	-0.04			0.22321428571428573	BRAF_like_all	rate_DM1=0.000; rate_DM2=0.040; OR=0.000
TCGA-THCA	DM1_vs_DM2_new_tumor_event_rate	DM1	DM2	new_tumor_event	87	25	-0.0910344827586207			0.22619528046735665	BRAF_like_all	rate_DM1=0.069; rate_DM2=0.160; OR=0.389
TCGA-THCA	HT_Q4_vs_Q1_refractory_rate	HT_Q4	HT_Q1	rai_refractory_combined	98	98	-0.020408163265306117			0.782641278525654	BRAF_like_all	rate_Q4=0.061; rate_Q1=0.082; OR=0.734
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	HT13	31	361	-0.04718463776848278	-0.4140293476974951	0.3196600721605296	0.9578451309964928	BRAF_like_cPTC	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	HT13	6	386	0.38837249734339374	-0.41844723527144434	1.1951922299582318	0.17484333153176143	BRAF_like_cPTC	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	HT13	31	361	-0.04718463776848278	-0.4140293476974951	0.3196600721605296	0.9578451309964928	BRAF_like_cPTC	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	FA12	31	361	-0.10184819006878257	-0.4687473040707355	0.2650509239331704	0.7561502372433075	BRAF_like_cPTC	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	FA12	6	386	0.02210172356884738	-0.7842613409716791	0.828464788109374	0.6641217108183247	BRAF_like_cPTC	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	FA12	31	361	-0.10184819006878257	-0.4687473040707355	0.2650509239331704	0.7561502372433075	BRAF_like_cPTC	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	MAPK9	31	361	-0.43153970493258176	-0.7996112222015384	-0.06346818766362511	0.022933456701953934	BRAF_like_cPTC	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	MAPK9	6	386	-0.9536827049298262	-1.762802968371008	-0.1445624414886444	0.2764379307270533	BRAF_like_cPTC	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	MAPK9	31	361	-0.43153970493258176	-0.7996112222015384	-0.06346818766362511	0.022933456701953934	BRAF_like_cPTC	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	RAI8	31	361	-0.20229066064642773	-0.5693937078926798	0.16481238659982442	0.11056745844822766	BRAF_like_cPTC	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	RAI8	6	386	-0.0010661380450069718	-0.8074277218537044	0.8052954457636904	0.9196398726516243	BRAF_like_cPTC	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	RAI8	31	361	-0.20229066064642773	-0.5693937078926798	0.16481238659982442	0.11056745844822766	BRAF_like_cPTC	
TCGA-THCA	DM1_vs_DM2_refractory_combined_rate	DM1	DM2	refractory_combined	87	25	-0.0910344827586207			0.22619528046735665	BRAF_like_cPTC	rate_DM1=0.069; rate_DM2=0.160; OR=0.389
TCGA-THCA	DM1_vs_DM2_postRT_rate	DM1	DM2	postRT	87	25	-0.04			0.22321428571428573	BRAF_like_cPTC	rate_DM1=0.000; rate_DM2=0.040; OR=0.000
TCGA-THCA	DM1_vs_DM2_new_tumor_event_rate	DM1	DM2	new_tumor_event	87	25	-0.0910344827586207			0.22619528046735665	BRAF_like_cPTC	rate_DM1=0.069; rate_DM2=0.160; OR=0.389
TCGA-THCA	HT_Q4_vs_Q1_refractory_rate	HT_Q4	HT_Q1	rai_refractory_combined	98	98	-0.020408163265306117			0.782641278525654	BRAF_like_cPTC	rate_Q4=0.061; rate_Q1=0.082; OR=0.734
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	HT13	40	473	-0.013318561383025212	-0.3360606256832418	0.30942350291719134	0.9747442147099877	all_primary	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	HT13	6	507	0.5690332858520353	-0.23660693830662582	1.3746735100106964	0.07614145879702419	all_primary	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	HT13	40	473	-0.013318561383025212	-0.3360606256832418	0.30942350291719134	0.9747442147099877	all_primary	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	FA12	40	473	-0.16281920953221637	-0.4857139854403709	0.16007556637593814	0.3096979004281686	all_primary	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	FA12	6	507	-0.1668382007490473	-0.97179037828019	0.6381139767820954	0.8341621803480996	all_primary	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	FA12	40	473	-0.16281920953221637	-0.4857139854403709	0.16007556637593814	0.3096979004281686	all_primary	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	MAPK9	40	473	-0.22289705951681713	-0.5459261631874734	0.10013204415383922	0.12351916971065631	all_primary	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	MAPK9	6	507	-0.6680353943849122	-1.473960166330425	0.1378893775606005	0.5058437158005069	all_primary	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	MAPK9	40	473	-0.22289705951681713	-0.5459261631874734	0.10013204415383922	0.12351916971065631	all_primary	
TCGA-THCA	refractory_combined_yes_vs_no	refractory_combined	no	RAI8	40	473	-0.2760487702714865	-0.5992315338247972	0.047133993281824216	0.05742280022506038	all_primary	
TCGA-THCA	postRT_post_RAI_yes_vs_no	postRT_post_RAI	no	RAI8	6	507	-0.28583849456965443	-1.0909159478715962	0.5192389587322874	0.44336880861453093	all_primary	
TCGA-THCA	new_tumor_event_yes_vs_no	new_tumor_event	no	RAI8	40	473	-0.2760487702714865	-0.5992315338247972	0.047133993281824216	0.05742280022506038	all_primary	
TCGA-THCA	DM1_vs_DM2_refractory_combined_rate	DM1	DM2	refractory_combined	110	69	0.00026350461133069214			1.0	all_primary	rate_DM1=0.073; rate_DM2=0.072; OR=1.004
TCGA-THCA	DM1_vs_DM2_postRT_rate	DM1	DM2	postRT	110	69	-0.014492753623188406			0.38547486033519557	all_primary	rate_DM1=0.000; rate_DM2=0.014; OR=0.000
TCGA-THCA	DM1_vs_DM2_new_tumor_event_rate	DM1	DM2	new_tumor_event	110	69	0.00026350461133069214			1.0	all_primary	rate_DM1=0.073; rate_DM2=0.072; OR=1.004
TCGA-THCA	cox_PFI_per_SD	panel_HT13	unit_SD	HT13_per_SD	349	14	-0.30026308938388163	-0.8761235668060652	0.27559738803830197	0.3068010922007669	BRAF_like_cPTC	HR=0.741 [0.42,1.32]
TCGA-THCA	cox_PFI_per_SD	panel_FA12	unit_SD	FA12_per_SD	349	14	0.14976938815004454	-0.26286896822382777	0.5624077445239168	0.4768488900535627	BRAF_like_cPTC	HR=1.162 [0.77,1.75]
TCGA-THCA	cox_PFI_per_SD	panel_MAPK9	unit_SD	MAPK9_per_SD	349	14	-0.5729514755078567	-1.0234766164302227	-0.12242633458549079	0.012682327553371836	BRAF_like_cPTC	HR=0.564 [0.36,0.88]
TCGA-THCA	cox_PFI_per_SD	panel_RAI8	unit_SD	RAI8_per_SD	349	14	0.21879701831361986	-0.2670341151391472	0.704628151766387	0.37740824444484	BRAF_like_cPTC	HR=1.245 [0.77,2.02]
TCGA-THCA	cox_PFI_DM_vs_others	is_DM1	others	is_DM1	81	268	-0.3026123471366107	-1.579506541145411	0.9742818468721897	0.6422940760882456	BRAF_like_cPTC	HR=0.739 [0.21,2.65]
TCGA-THCA	cox_PFI_DM_vs_others	is_DM2	others	is_DM2	23	326	1.7371792145489033	0.38372346942833363	3.0906349596694733	0.011881615753925568	BRAF_like_cPTC	HR=5.681 [1.47,21.99]
