	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F31_127N|ATC	0.006907142	0.5188568	0.3783937	0.5217802	0.6433816	0.6244684	0.006907142	ATC
F31_132N|ATC	0.006907142	0.5922355	0.5066709	0.6029966	0.6801852	1.0021808	0.006907142	ATC
F31_133N|ATC	0.006907142	0.5843917	0.4253786	0.4788033	0.8529426	1.8425224	0.006907142	ATC
F31_134N|ATC	0.006907142	0.8672671	0.5520775	0.8717323	0.7920605	0.9156308	0.006907142	ATC
F32_128N|ATC	0.006907142	0.8234066	0.5100751	0.4963569	1.24616	0.4450164	0.006907142	ATC
F32_129C|ATC	0.006907142	0.6132312	0.3659803	0.5452738	0.9053162	0.4720751	0.006907142	ATC
F32_134N|ATC	0.006907142	0.7314059	0.424238	0.4624332	0.9341334	0.5304386	0.006907142	ATC
F33_131C|ATC	1.217523	0.6153585	0.5496106	0.492986	0.8541019	0.9097943	0.006907142	ATC
F34_129N|ATC	0.5654159	0.5731237	0.5460143	0.5940361	1.416695	0.6893809	0.006907142	ATC
F34_131N|ATC	0.5969218	0.5835092	0.5367227	0.4859595	0.9453653	1.225795	0.006907142	ATC
F1_128N|PDTC	0.364133	0.5992206	0.5078742	0.7187731	0.6647249	0.7299189	0.006907142	PDTC
F1_130N|PDTC	0.4562448	0.8254846	0.6624078	1.2142245	0.8626579	1.576554	0.006907142	PDTC
F2_127N|PDTC	0.2303756	0.4872898	0.3735436	0.416592	0.676684	0.5528571	0.006907142	PDTC
F2_132N|PDTC	0.5421396	1.445374	1.8030901	0.9070071	1.622256	1.3769975	0.006907142	PDTC
F3_128N|PDTC	0.3547373	0.5511049	0.4916351	0.9291401	1.361829	1.1819109	0.006907142	PDTC
F3_133C|PDTC	0.5133642	1.4459206	1.1121424	1.2465341	1.197844	2.0833805	0.006907142	PDTC
F4_127N|PDTC	0.9835215	1.0715525	0.3616348	1.9937421	1.375516	1.1773332	1.634623	PDTC
F4_132C|PDTC	0.9766741	0.9621795	0.6610492	1.2527685	1.386648	0.9121108	0.8738302	PDTC
F5_130N|PDTC	0.006907142	0.4611513	0.3475808	0.8359935	1.395414	0.8938026	0.006907142	PDTC
F5_130C|PDTC	0.006907142	0.5173164	0.375099	0.499135	0.9159146	0.7233414	0.006907142	PDTC
F6_127C|PDTC	0.006907142	0.6141032	0.3855552	0.6477956	1.171456	0.9769254	0.006907142	PDTC
F6_128C|PDTC	0.006907142	0.7585867	0.5570619	0.7268285	0.8643219	1.0825397	0.006907142	PDTC
F6_132N|PDTC	0.006907142	0.5794113	0.4051317	0.8824245	1.107526	1.3688326	0.006907142	PDTC
