query_id	query_term	pmid	year	journal	authors	title	relevance	abstract_500
D	(thyroid AND sacituzumab)	37740463	2023	Clinical and translational medicine	Nieto-Jiménez C; Sanvicente A; Díaz-Tejeiro C	Uncovering therapeutic opportunities in the clinical development of antibody-drug conjugates.	HIGH	Antibody-drug conjugates (ADCs) are a family of therapeutic agents that have demonstrated clinical activity in several indications. In this article, we performed a deep analysis of their clinical landscape matched with public genomic human datasets from tumour antigen targets (TATs), to identify empty areas for clinical development. We observed that TATs used in haematological malignancies were more specific than the ones developed in solid cancers. Those included CD19, CD22, CD30, CD33 and CD79
D	(thyroid AND sacituzumab)	41384307	2025	Analytical chemistry	Zeng T; Li B; Xu J	Integrated Biomimetic Platform for Enhancing the Efficient Capture and Visual Identification of Circulating Tumor Cells.	LOW	The nondestructive capture and direct identification of circulating tumor cells (CTCs) have emerged as the critical technologies in modern oncology for oncology research, clinical diagnosis, and personalized therapy optimization. However, technical challenges still exist due to the extreme rarity and significant phenotypic heterogeneity. Herein, we present an innovative biomimetic detection platform engineered by integrating platelet membrane-camouflaged magnetic beads (PM-MBs) with rolling circ
D	(thyroid AND sacituzumab)	39067901	2024	Lancet (London, England)	Harada K; Ozaki A; Tanimoto T	Sacituzumab govitecan for metastatic breast cancer: the TROPiCS-02 trial.	LOW	
D	(thyroid AND sacituzumab)	40809034	2025	Frontiers in oncology	Ying W; Pi H; He X	Case Report: Personalized treatment in stage IV breast cancer using the patient-derived organoids.	LOW	Breast cancer, especially stage IV breast cancer, is highly heterogeneous at morphological and molecular levels. Recently, the role of patient-derived organoids (PDOs) has become increasingly prominent in cancer research and personalized medicine. They are not only used to predict the clinical responses of patients with multiple cancer types, but also applied to drug development. In this study, we reported a case of stage IV breast cancer who responded well to sacituzumab govitecan that was high
E	(thyroid AND TROP2 AND ADC)	35158847	2022	Cancers	Toda S; Sato S; Saito N	TROP-2, Nectin-4, GPNMB, and B7-H3 Are Potentially Therapeutic Targets for Anaplastic Thyroid Carcinoma.	MEDIUM	Anaplastic thyroid carcinoma (ATC) is a highly aggressive thyroid tumor with a poor prognosis. However, there are limited choices for ATC treatment. Recently, the effectiveness of antibody-drug conjugates has been demonstrated in various carcinomas. Whether the targets of antibody-drug conjugates are expressed in anaplastic thyroid carcinoma remains unclear. Fifty-four patients with ATC were enrolled in this study. Tissue microarrays were constructed using the archives of formalin-fixed paraffin
E	(thyroid AND TROP2 AND ADC)	37740463	2023	Clinical and translational medicine	Nieto-Jiménez C; Sanvicente A; Díaz-Tejeiro C	Uncovering therapeutic opportunities in the clinical development of antibody-drug conjugates.	HIGH	Antibody-drug conjugates (ADCs) are a family of therapeutic agents that have demonstrated clinical activity in several indications. In this article, we performed a deep analysis of their clinical landscape matched with public genomic human datasets from tumour antigen targets (TATs), to identify empty areas for clinical development. We observed that TATs used in haematological malignancies were more specific than the ones developed in solid cancers. Those included CD19, CD22, CD30, CD33 and CD79
E	(thyroid AND TROP2 AND ADC)	41384307	2025	Analytical chemistry	Zeng T; Li B; Xu J	Integrated Biomimetic Platform for Enhancing the Efficient Capture and Visual Identification of Circulating Tumor Cells.	LOW	The nondestructive capture and direct identification of circulating tumor cells (CTCs) have emerged as the critical technologies in modern oncology for oncology research, clinical diagnosis, and personalized therapy optimization. However, technical challenges still exist due to the extreme rarity and significant phenotypic heterogeneity. Herein, we present an innovative biomimetic detection platform engineered by integrating platelet membrane-camouflaged magnetic beads (PM-MBs) with rolling circ
F	(BRAF AND irinotecan AND cancer)	31566309	2019	The New England journal of medicine	Kopetz S; Grothey A; Yaeger R	Encorafenib, Binimetinib, and Cetuximab in	LOW	Patients with metastatic colorectal cancer with the In this open-label, phase 3 trial, we enrolled 665 patients with The median overall survival was 9.0 months in the triplet-therapy group and 5.4 months in the control group (hazard ratio for death, 0.52; 95% confidence interval [CI], 0.39 to 0.70; P<0.001). The confirmed response rate was 26% (95% CI, 18 to 35) in the triplet-therapy group and 2% (95% CI, 0 to 7) in the control group (P<0.001). The median overall survival in the doublet-therapy
F	(BRAF AND irinotecan AND cancer)	33503393	2021	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Tabernero J; Grothey A; Van Cutsem E	Encorafenib Plus Cetuximab as a New Standard of Care for Previously Treated	LOW	BEACON CRC evaluated encorafenib plus cetuximab with or without binimetinib versus investigators' choice of irinotecan or FOLFIRI plus cetuximab in patients with In this open-label, phase III trial, 665 patients with Patients received triplet (n = 224), doublet (n = 220), or control (n = 221). Median OS was 9.3 months (95% CI, 8.2 to 10.8) for triplet and 5.9 months (95% CI, 5.1 to 7.1) for control (hazard ratio [HR], 0.60 [95% CI, 0.47 to 0.75]). Median OS for doublet was 9.3 months (95% CI, 8.
F	(BRAF AND irinotecan AND cancer)	36693125	2023	Cancer discovery	Weng W; Meng T; Zhao Q	Antibody-Exatecan Conjugates with a Novel Self-immolative Moiety Overcome Resistance in Colon and Lung Cancer.	HIGH	Antibody-drug conjugates (ADC) using DNA topoisomerase I inhibitor DXd/SN-38 have transformed cancer treatment, yet more effective ADCs are needed for overcoming resistance. We have designed an ADC class using a novel self-immolative T moiety for traceless conjugation and release of exatecan, a more potent topoisomerase I inhibitor with less sensitivity to multidrug resistance (MDR). Characterized by enhanced therapeutic indices, higher stability, and improved intratumoral pharmacodynamic respon
F	(BRAF AND irinotecan AND cancer)	33356422	2021	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Kopetz S; Guthrie KA; Morris VK	Randomized Trial of Irinotecan and Cetuximab With or Without Vemurafenib in BRAF-Mutant Metastatic Colorectal Cancer (SWOG S1406).	MEDIUM	One hundred six patients with Progression-free survival, the primary end point, was improved with the addition of vemurafenib (hazard ratio, 0.50, Simultaneous inhibition of EGFR and BRAF combined with irinotecan is effective in
F	(BRAF AND irinotecan AND cancer)	35666229	2022	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Rossini D; Antoniotti C; Lonardi S	Upfront Modified Fluorouracil, Leucovorin, Oxaliplatin, and Irinotecan Plus Panitumumab Versus Fluorouracil, Leucovorin, and Oxaliplatin Plus Panitumumab for Patients With	LOW	To verify whether the intensification of the upfront chemotherapy backbone with a modified schedule of modified fluorouracil, leucovorin, oxaliplatin, and irinotecan (mFOLFOXIRI) increases the activity of fluorouracil, leucovorin, and oxaliplatin when both regimens are combined with panitumumab as initial treatment for TRIPLETE was a prospective, open-label, phase III trial in which previously untreated patients with unresectable From September 2017 to September 2021, 435 patients were enrolled 
F	(BRAF AND irinotecan AND cancer)	30476968	2019	JAMA oncology	Cremolini C; Rossini D; Dell'Aquila E	Rechallenge for Patients With RAS and BRAF Wild-Type Metastatic Colorectal Cancer With Acquired Resistance to First-line Cetuximab and Irinotecan: A Phase 2 Single-Arm Clinical Trial.	HIGH	Based on a small retrospective study, rechallenge with cetuximab-based therapy for patients with KRAS wild-type metastatic colorectal cancer (mCRC) who were previously treated with the same anti-epidermal growth factor receptor-based regimen might be efficacious. Recent data suggest the role of liquid biopsy as a tool to track molecular events in circulating tumor DNA (ctDNA). To prospectively assess the activity of cetuximab plus irinotecan as third-line treatment for patients with RAS and BRAF
F	(BRAF AND irinotecan AND cancer)	33836264	2021	Annals of oncology : official journal of the European Society for Medical Oncology	Grothey A; Fakih M; Tabernero J	Management of BRAF-mutant metastatic colorectal cancer: a review of treatment options and evidence-based guidelines.	HIGH	Colorectal cancer (CRC) is still a leading cause of cancer-related deaths in the United States and worldwide, despite recent improvements in cancer management. CRC, like many malignancies, is a heterogeneous disease, with subtypes characterized by genetic alterations. One common mutation in CRC is in the BRAF gene (most commonly V600E substitution). This occurs in ∼10% of patients with metastatic CRC (mCRC) and is a marker of poor prognosis. Herein, we review the clinical and translational liter
F	(BRAF AND irinotecan AND cancer)	26338525	2015	The Lancet. Oncology	Cremolini C; Loupakis F; Antoniotti C	FOLFOXIRI plus bevacizumab versus FOLFIRI plus bevacizumab as first-line treatment of patients with metastatic colorectal cancer: updated overall survival and molecular subgroup analyses of the open-label, phase 3 TRIBE study.	MEDIUM	In the TRIBE study, FOLFOXIRI (fluorouracil, leucovorin, oxaliplatin, and irinotecan) plus bevacizumab significantly improved progression-free survival of patients with metastatic colorectal cancer compared with FOLFIRI (fluorouracil, leucovorin, and irinotecan) plus bevacizumab. In this updated analysis, we aimed to provide mature results for overall survival-a secondary endpoint-and report treatment efficacy in RAS and BRAF molecular subgroups. TRIBE was an open-label, multicentre, phase 3 ran
F	(BRAF AND irinotecan AND cancer)	35032765	2022	ESMO open	Lamarca A; Edeline J; Goyal L	How I treat biliary tract cancer.	MEDIUM	Management of biliary tract cancers (BTCs) is rapidly evolving. Curative management relies on surgical resection followed by adjuvant capecitabine for cholangiocarcinoma and gallbladder cancers. Unfortunately relapse rate remains high, and better adjuvant strategies are urgently required. A majority of patients are diagnosed with advanced disease, when chemotherapy with cisplatin and gemcitabine followed by second-line 5-FU and oxaliplatin /irinotecan is the cornerstone of treatment for most pat
F	(BRAF AND irinotecan AND cancer)	34637336	2022	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Lenz HJ; Van Cutsem E; Luisa Limon M	First-Line Nivolumab Plus Low-Dose Ipilimumab for Microsatellite Instability-High/Mismatch Repair-Deficient Metastatic Colorectal Cancer: The Phase II CheckMate 142 Study.	LOW	Nivolumab received US Food and Drug Administration approval as a single agent or in combination with ipilimumab in patients with microsatellite instability-high/mismatch repair-deficient (MSI-H/dMMR) metastatic colorectal cancer (mCRC) that progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan based on CheckMate 142. Presented are results of nivolumab plus low-dose ipilimumab in the first-line therapy cohort from the phase II CheckMate 142 study. Patients with no pr
F	(BRAF AND irinotecan AND cancer)	39591547	2025	JCO oncology practice	Chung V; Mizrahi JD; Pant S	Novel Therapies for Pancreatic Cancer.	MEDIUM	Pancreatic adenocarcinoma (PDAC) unfortunately remains a highly fatal disease with a 5-year survival rate of only 11%. If surgical resection is not possible, systemic chemotherapy represents the standard-of-care approach to management. Combination chemotherapy regimens using fluorouracil (fluorouracil, oxaliplatin, leucovorin, and irinotecan; and fluorouracil, leucovorin, and oxaliplatin) or gemcitabine with albumin-bound paclitaxel have the potential to improve overall survival for patients wit
F	(BRAF AND irinotecan AND cancer)	38181312	2024	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Pinto C; Orlandi A; Normanno N	Fluorouracil, Leucovorin, and Irinotecan Plus Cetuximab Versus Cetuximab as Maintenance Therapy in First-Line Therapy for	LOW	The intensity of anti-EGFR-based first-line therapy for In this multicenter, open-label, phase III trial, patients with untreated Overall, 606 patients were randomly assigned, with 300 assigned to arm A and 306 to arm B. The median follow-up was 22.3 months. In the mPP population, 291 events occurred with a PFS of 10 versus 12.2 months for arms B and A, respectively ( The ERMES study did not demonstrate noninferiority of maintenance with Cet alone. Despite a more favorable safety profile, mainte
F	(BRAF AND irinotecan AND cancer)	39576946	2025	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Avallone A; Giuliani F; De Stefano A	Intermittent or Continuous Panitumumab Plus Fluorouracil, Leucovorin, and Irinotecan for First-Line Treatment of	LOW	To investigate whether intermittent treatment after an induction phase of first-line schedule of fluorouracil, leucovorin, and irinotecan (FOLFIRI) plus panitumumab (PAN) prevents or delays the onset of resistance and improves safety and compliance with treatment in patients with unresectable IMPROVE (ClinicalTrials.gov identifier: NCT04425239) was an open-label, multicenter, randomized phase II noncomparative trial. Patients with unresectable Between May 2018 and June 2021, 69 patients were ran
F	(BRAF AND irinotecan AND cancer)	38592721	2024	JAMA network open	Ciardiello D; Martinelli E; Troiani T	Anti-EGFR Rechallenge in Patients With Refractory ctDNA RAS/BRAF wt Metastatic Colorectal Cancer: A Nonrandomized Controlled Trial.	HIGH	The available evidence regarding anti-epidermal growth factor receptor (EGFR) inhibitor rechallenge in patients with refractory circulating tumor DNA (ctDNA) RAS/BRAF wild-type (wt) metastatic colorectal cancer (mCRC) is derived from small retrospective and prospective studies. To evaluate the efficacy of anti-EGFR rechallenge in patients with refractory ctDNA RAS/BRAF wt mCRC. This nonrandomized controlled trial used a pooled analysis of individual patient data from patients with RAS/BRAF wt ct
F	(BRAF AND irinotecan AND cancer)	39761503	2025	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Raghav KPS; Guthrie KA; Tan B	Trastuzumab Plus Pertuzumab Versus Cetuximab Plus Irinotecan in Patients With	LOW	Patients with Between October 2017 and March 2022, 54 participants were assigned to TP (n = 26) and CETIRI (n = 28). Median PFS did not vary significantly by treatment: 4.7 (95% CI, 1.9 to 7.6) and 3.7 (95% CI, 1.6 to 6.7) months in the TP and CETIRI groups, respectively. Efficacy of TP versus CETIRI differed significantly by TP appears to be a safe and effective cytotoxic chemotherapy-free option for patients with
F	(BRAF AND irinotecan AND cancer)	37329889	2023	The Lancet. Oncology	Bond MJG; Bolhuis K; Loosveld OJL	First-line systemic treatment strategies in patients with initially unresectable colorectal cancer liver metastases (CAIRO5): an open-label, multicentre, randomised, controlled, phase 3 study from the Dutch Colorectal Cancer Group.	LOW	Patients with initially unresectable colorectal cancer liver metastases might qualify for local treatment with curative intent after reducing the tumour size by induction systemic treatment. We aimed to compare the currently most active induction regimens. In this open-label, multicentre, randomised, phase 3 study (CAIRO5), patients aged 18 years or older with histologically confirmed colorectal cancer, known RAS/BRAF Between Nov 13, 2014, and Jan 31, 2022, 530 patients (327 [62%] male and 203 [
F	(BRAF AND irinotecan AND cancer)	33956173	2021	Der Pathologe	Hummel M; Hegewisch-Becker S; Neumann J	[BRAF-V600E testing in metastatic colorectal cancer and new, chemotherapy-free therapy options. German version].	MEDIUM	In the past 25 years, treatment of metastatic colorectal cancer (mCRC) has undergone profound changes. The approval of newer chemotherapeutics such as irinotecan and oxaliplatin was followed in 2005 by the first targeted therapies, for example, monoclonal antibodies directed against the epidermal growth factor receptor (EGFR), as cetuximab and panitumumab, or the angiogenesis inhibitors bevacizumab, ramucirumab, and aflibercept. With the rapidly progressing molecular characterization of mCRC in 
F	(BRAF AND irinotecan AND cancer)	35074651	2022	European journal of cancer (Oxford, England : 1990)	Wang Z; Qin BD; Ye CY	Cetuximab and vemurafenib plus FOLFIRI (5-fluorouracil/leucovorin/irinotecan) for BRAF V600E-mutated advanced colorectal cancer (IMPROVEMENT): An open-label, single-arm, phase II trial.	HIGH	Current therapeutic regimens for patients with v-raf murine sarcoma viral oncogene homolog B1 (BRAF) V600E-mutated colorectal cancer show unsatisfactory efficacy. To improve outcomes in this area, we assessed the safety and efficacy of a new protocol using vemurafenib and cetuximab combined with FOLFIRI (5-fluorouracil/leucovorin/irinotecan) in patients with BRAF V600E-mutated colorectal cancer. This was an investigator-initiated, open-label, single-arm, phase II trial conducted in patients with
F	(BRAF AND irinotecan AND cancer)	38217945	2024	EBioMedicine	Yang L; Zhang W; Fan N	Efficacy, safety and genomic analysis of SCT200, an anti-EGFR monoclonal antibody, in patients with fluorouracil, irinotecan and oxaliplatin refractory RAS and BRAF wild-type metastatic colorectal cancer: a phase Ⅱ study.	HIGH	Limited therapeutic options are available for metastatic colorectal cancer (mCRC) patients after failure of first- and second-line therapies, representing an unmet medical need for novel therapies. This is an open-label, single arm, multicenter, phase Ⅱ study aiming to perform the efficacy, safety and genomic analysis of SCT200, a noval fully humanized IgG1 anti-epidermal growth factor receptor (EGFR) monoclonal antibody, in patients with fluorouracil, irinotecan and oxaliplatin refractory RAS a
F	(BRAF AND irinotecan AND cancer)	40328753	2025	Signal transduction and targeted therapy	Shi Y; Ba Y; Wang J	First-line treatment of anti-EGFR monoclonal antibody cetuximab β plus FOLFIRI versus FOLFIRI alone in Chinese patients with RAS/BRAF wild-type metastatic colorectal cancer: a randomized, phase 3 trial.	HIGH	Cetuximab plus irinotecan, fluorouracil, and leucovorin (FOLFIRI) represents a first-line therapeutic standard for RAS/BRAF wild-type metastatic colorectal cancer (mCRC) patients. Despite this established approach, cetuximab β (CMAB009), as a modified antibody of cetuximab, prospectively selected for dual RAS/BRAF wild-type patients, has not yet been validated in the Chinese mCRC patients through phase 3 trial. In this study (ClinicalTrials.gov identifier: NCT03206151), patients with RAS/BRAF wi
G	(BRAF AND topotecan AND cancer)	34560251	2021	Pharmacological research	Oliveira ÉA; Chauhan J; Silva JRD	TOP1 modulation during melanoma progression and in adaptative resistance to BRAF and MEK inhibitors.	LOW	In melanomas, therapy resistance can arise due to a combination of genetic, epigenetic and phenotypic mechanisms. Due to its crucial role in DNA supercoil relaxation, TOP1 is often considered an essential chemotherapeutic target in cancer. However, how TOP1 expression and activity might differ in therapy sensitive versus resistant cell types is unknown. Here we show that TOP1 expression is increased in metastatic melanoma and correlates with an invasive gene expression signature. More specifical
G	(BRAF AND topotecan AND cancer)	28280620	2017	Journal of gastrointestinal oncology	Borazanci E; Millis SZ; Kimbrough J	Potential actionable targets in appendiceal cancer detected by immunohistochemistry, fluorescent in situ hybridization, and mutational analysis.	LOW	Appendiceal cancers are rare and consist of carcinoid, mucocele, pseudomyxoma peritonei (PMP), goblet cell carcinoma, lymphoma, and adenocarcinoma histologies. Current treatment involves surgical resection or debulking, but no standard exists for adjuvant chemotherapy or treatment for metastatic disease. Samples were identified from approximately 60,000 global tumors analyzed at a referral molecular profiling CLIA-certified laboratory. A total of 588 samples with appendix primary tumor sites wer
G	(BRAF AND topotecan AND cancer)	32822286	2020	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Monk BJ; Grisham RN; Banerjee S	MILO/ENGOT-ov11: Binimetinib Versus Physician's Choice Chemotherapy in Recurrent or Persistent Low-Grade Serous Carcinomas of the Ovary, Fallopian Tube, or Primary Peritoneum.	LOW	Low-grade serous ovarian carcinomas (LGSOCs) have historically low chemotherapy responses. Alterations affecting the MAPK pathway, most commonly KRAS/BRAF, are present in 30%-60% of LGSOCs. The purpose of this study was to evaluate binimetinib, a potent MEK1/2 inhibitor with demonstrated activity across multiple cancers, in LGSOC. This was a 2:1 randomized study of binimetinib (45 mg twice daily) versus physician's choice chemotherapy (PCC). Eligible patients had recurrent measurable LGSOC after
G	(BRAF AND topotecan AND cancer)	36559089	2022	Pharmaceutics	Zhang Y; Vagiannis D; Budagaga Y	Encorafenib Acts as a Dual-Activity Chemosensitizer through Its Inhibitory Effect on ABCC1 Transporter In Vitro and Ex Vivo.	MEDIUM	Encorafenib (LGX818, trade name Braftovi), a novel BRAF inhibitor, has been approved for the treatment of melanoma and colorectal cancer. In the present work, we evaluated encorafenib's possible antagonistic effects on the pharmacokinetic mechanisms of multidrug resistance (MDR), as well as its perpetrator role in drug interactions. Firstly, encorafenib potently inhibited the efflux function of the ABCC1 transporter in drug accumulation assays, while moderate and null interaction levels were rec
H	(SN-38 AND mutation AND selectivity)	37489084	2023	Cancer discovery	Farin HF; Mosa MH; Ndreshkjana B	Colorectal Cancer Organoid-Stroma Biobank Allows Subtype-Specific Assessment of Individualized Therapy Responses.	MEDIUM	In colorectal cancers, the tumor microenvironment plays a key role in prognosis and therapy efficacy. Patient-derived tumor organoids (PDTO) show enormous potential for preclinical testing; however, cultured tumor cells lose important characteristics, including the consensus molecular subtypes (CMS). To better reflect the cellular heterogeneity, we established the colorectal cancer organoid-stroma biobank of matched PDTOs and cancer-associated fibroblasts (CAF) from 30 patients. Context-specific
H	(SN-38 AND mutation AND selectivity)	37057596	2023	Cancer research	Murai J; Pommier Y	BRCAness, Homologous Recombination Deficiencies, and Synthetic Lethality.	LOW	"The concept of ""BRCAness"" was first described in 2004 to define the situation in which a homologous recombination repair (HRR) defect in a tumor relates to and phenocopies BRCA1 or BRCA2 loss-of-function mutations. Soon after the discovery of synthetic lethality of PARP1/2 inhibitors in BRCA1- or BRCA2-deficient cells, McCabe and colleagues extended the concept of BRCAness to homologous recombination deficiency (HRD) by studying the sensitivity of cancer cells to PARP inhibitors. They geneticall"
H	(SN-38 AND mutation AND selectivity)	29703791	2019	Gut	Seidlitz T; Merker SR; Rothe A	Human gastric cancer modelling using organoids.	MEDIUM	Gastric cancer is the second leading cause of cancer-related deaths and the fifth most common malignancy worldwide. In this study, human and mouse gastric cancer organoids were generated to model the disease and perform drug testing to delineate treatment strategies. Human gastric cancer organoid cultures were established, samples classified according to their molecular profile and their response to conventional chemotherapeutics tested. Targeted treatment was performed according to specific dru
H	(SN-38 AND mutation AND selectivity)	39591547	2025	JCO oncology practice	Chung V; Mizrahi JD; Pant S	Novel Therapies for Pancreatic Cancer.	MEDIUM	Pancreatic adenocarcinoma (PDAC) unfortunately remains a highly fatal disease with a 5-year survival rate of only 11%. If surgical resection is not possible, systemic chemotherapy represents the standard-of-care approach to management. Combination chemotherapy regimens using fluorouracil (fluorouracil, oxaliplatin, leucovorin, and irinotecan; and fluorouracil, leucovorin, and oxaliplatin) or gemcitabine with albumin-bound paclitaxel have the potential to improve overall survival for patients wit
H	(SN-38 AND mutation AND selectivity)	32379280	2020	JAMA oncology	Chen EX; Jonker DJ; Loree JM	Effect of Combined Immune Checkpoint Inhibition vs Best Supportive Care Alone in Patients With Advanced Colorectal Cancer: The Canadian Cancer Trials Group CO.26 Study.	LOW	Single-agent immune checkpoint inhibition has not shown activities in advanced refractory colorectal cancer (CRC), other than in those patients who are microsatellite-instability high (MSI-H). To evaluate whether combining programmed death-ligand 1 (PD-L1) and cytotoxic T-lymphocyte-associated protein 4 (CTLA-4) inhibition improved patient survival in metastatic refractory CRC. A randomized phase 2 study was conducted in 27 cancer centers across Canada between August 2016 and June 2017, and data
