cluster_1,,Epithelial cell,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
TNFSF14,TNFRSF6B,0.015265825996424424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCT,RAMP2,0.1370988509358215,0.15635679819827553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCT,RAMP3,0.1690124212827841,0.21639545419459816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCT,TSHR,0.4515848577606912,0.0,0.07108578653821106,0.0,0.0,0.0,0.0,0.0,0.0
COMP,CD36,0.11426052798207714,0.3902987417849627,0.0,0.32476305541047296,0.6008012692133585,0.0,0.0,0.0,0.0
CCL2,ACKR4,0.021794628181488685,0.0,0.0,0.2206654244778203,0.0,0.0,0.06517821189590935,0.0,0.0
CCL13,ACKR4,0.003626687216461236,0.0,0.0,0.15440809668279162,0.0,0.0,0.0,0.0,0.0
CXCL6,ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEACAM6,STAB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,ITGA6,0.04651898423689005,0.0,0.08011008058387242,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,CD36,0.11751491246624356,0.39355312626912914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWF,SCARA5,0.3353667124105364,0.5484528890586792,0.39770211551823764,0.16879818962573723,0.38188436627388,0.23113359273343848,0.24699184683391728,0.46007802348206006,0.30932724994161853
FGF7,FGFR4,0.03914638728664804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTH2,TSHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFF2,MUC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFF1,MUC5AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A1,RYR2,0.21779622392539671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCGB3A1,MARCO,0.01216110876643509,0.0,0.0,0.0,0.0,0.0,0.07686930101655201,0.0,0.0
ANGPTL4,GPIHBP1,0.05307401732646208,0.17826512536510994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4,TIE1,0.07494410364243931,0.25051479618852507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF1,INSR,0.0943906953203062,0.0,0.10003773347973413,0.2744299234270129,0.0,0.2800769615864408,0.0,0.0,0.0
PCSK9,LDLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL11,ACKR1,0.07276621684918995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPT2,TIE1,0.06115363536494443,0.23672432791103018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCA,TSHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS2,NOTCH4,0.04239875311944999,0.15432009902194505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS2,ITGA6,0.0476690058419907,0.0,0.08126010218897307,0.0,0.0,0.0,0.0,0.0,0.0
THBS2,CD36,0.11866493407134421,0.3947031478742298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A8,CD36,0.10918988793893578,0.38522810174182137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A12,CD36,0.10661989546962529,0.38265810927251087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A9,CD36,0.127779926491577,0.40381814029446256,0.0,0.0,0.0,0.0,0.2636954051268806,0.5397336189297662,0.0
CALCB,TSHR,0.4484848425686536,0.0,0.06798577134617353,0.0,0.0,0.0,0.0,0.0,0.0
MDK,ITGA6,0.1662367081985683,0.0,0.19982780454555069,0.17529878455899828,0.0,0.20888988090598065,0.0,0.0,0.0
ADM,TSHR,0.4639940555082923,0.0,0.08349498428581217,0.0,0.0,0.0,0.5252158834391973,0.0,0.14471681221671728
CGA,RAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL8,CD79A,0.008888605320234066,0.15726366888818044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTH2,RAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,LRP1,0.44849100723127766,0.6235783369376131,0.0,0.580989304223871,0.7560766339302063,0.0,0.2521472413428435,0.42723457104917884,0.0
PCSK9,LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,LRP1,0.19752602920210652,0.3726133589084419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWF,LRP1,0.45962665296882943,0.6347139826751648,0.0,0.2930581301840302,0.4681454598903656,0.0,0.3712517873922103,0.5463391170985457,0.0
CGA,RAMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL11,ACKR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL7,ACKR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL8,ACKR4,0.003211060876443991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A9,CD68,0.05025585937804575,0.0,0.09926202275291447,0.0,0.0,0.0,0.18617133801334937,0.0,0.23517750138821808
S100A8,CD68,0.03166582082540452,0.0,0.08067198420027324,0.0,0.0,0.0,0.0,0.0,0.0
PTH2,RAMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF,FLT4,0.039213511608076186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS2,NOTCH3,0.15714160933320323,0.12107239968176053,0.131043306101791,0.0,0.0,0.0,0.0,0.0,0.0
SCGB3A1,NOTCH3,0.15473159940485012,0.11866238975340741,0.12863329617343786,0.0,0.0,0.0,0.21943979165496705,0.18337058200352435,0.1933414884235548
CXCL8,KDR,0.08936007943312044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL9,FCGR2A,0.04567901007454804,0.0,0.0,0.0,0.0,0.0,0.07987584068702559,0.0,0.0
VEGFD,FLT1,0.12328249791585047,0.29197183821573897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF,ICOS,0.0038988407672478627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,F3,0.07489678956041433,0.22371527843013522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL12,CCR4,0.17537355941813826,0.0,0.0,0.0,0.0,0.0,0.1404665682703798,0.0,0.0
CCL3,CCR4,0.0062039585090151025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTN,PTPRB,0.06645131902686202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL8,ACKR1,0.07312954738249186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDN1,ADGRL4,0.04720138533973864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDK,TSPAN1,0.43864405687302965,0.0,0.0,0.44770613323345965,0.0,0.0,0.0,0.0,0.0
CCL1,ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF1,ITGA6,0.07372789907441278,0.0,0.10731899542139514,0.2537671271811195,0.0,0.2873582235281018,0.0,0.0,0.0
CCL18,ACKR1,0.07291889619203953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL3,ACKR1,0.0716535033601703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL5,ACKR1,0.07290404749922431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL9,ACKR1,0.10485874091629746,0.0,0.0,0.0,0.0,0.0,0.139055571528775,0.0,0.0
CXCL10,ACKR1,0.07386900889186439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL13,ACKR1,0.0731242397889734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL7,ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPP1,ITGB6,0.01358257955691677,0.0,0.04646169927896336,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4,CDH5,0.10706734854730196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4,CDH11,0.051622535207763144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC1A2,GRIA1,0.0007513717604901772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC1A6,GRIA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOE,TYROBP,0.30631753397674977,0.6623923948440817,0.0,0.438815830969343,0.794890691836675,0.0,0.10997376808831555,0.4660486289556476,0.0
CCL20,ACKR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM3D,FPR2,0.0028423216377633427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-G,KLRD1,0.007624594019908532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGFR4,MCAM,0.06690303267677554,0.22109601663041525,0.19946212035557218,0.0,0.0,0.0,0.0,0.0,0.0
LAIR2,FGFR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL2,DLK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFSF9,FCRL1,0.0008656943545621984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCN,LRP1,0.9382115004410435,1.113298830147379,0.0,1.463689379929717,1.6387767096360524,0.0,0.8700811677178594,1.0451684974241948,0.0
IFNG,MPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPO,MPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAPLN1,IL1RL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMA3G,FCGR2A,0.023429657420585073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCAM1,VCAM1,0.017525041662931302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL5,ACKR4,0.045895625589790615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLT4,FCRL1,0.036717139782115105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRLF1,LIFR,0.345409632092137,0.5252266549685138,0.1281804940978098,0.39628723065412547,0.5761042535305023,0.17905809265979822,0.36993606168645,0.5497530845628268,0.15270692369212274
PCSK9,CD36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,GP9,0.012563879981822934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFNB2,FCRL1,0.015608958523682874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCAN,LDLR,0.03061376635120231,0.0,0.0,0.0,0.0,0.0,0.07954178203804163,0.0,0.0
CEACAM5,CEACAM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEACAM6,CEACAM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN1,ITGA6,0.30701454444187987,0.0,0.34060564078886224,0.0,0.0,0.0,0.1433208485813942,0.0,0.17691194492837659
CCL3L1,CCR4,0.005150848717400522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSG,CXCL12,0.1753546759548176,0.0,0.14044768480705913,0.0,0.0,0.0,0.0,0.0,0.0
KDR,FLT1,0.20809806267987102,0.37678740297975954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDR,CDH5,0.15505952629317715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL8,MMP9,0.007239704410447582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL22,CCR7,0.006670049344650423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLT4,KDR,0.12167479711420397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDR,FLT4,0.12167479711420397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,MMP2,0.15986428991075222,0.0,0.2595543729011385,0.0,0.0,0.0,0.0,0.0,0.0
NPPA,MME,0.0022498829001411395,0.0,0.06802543500558775,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,MMP9,0.015357127766204036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFTPA1,SFTPA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDR,PLCG2,0.21443972506837625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFNG,TNF,0.0034905231856053173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRSS3,F2RL3,0.02759073442705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF1,TNF,0.022126607964312258,0.0,0.0,0.0,0.0,0.0,0.07674964740955148,0.0,0.0
KDR,HSP90AA1,0.6175240236807634,0.4936207222463967,0.3639619113440638,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,ELANE,0.01306188316374964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AREG,MMP9,0.005547048564971521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1RN,IL2RA,0.005388487778953762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL1,ACKR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSG,F2RL3,0.02788918622533126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRSS2,F2RL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRSS1,F2RL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS4,CD36,0.11387496964427168,0.38991318344715725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDK,PTPRB,0.18097023304664728,0.0,0.0,0.19003230940707722,0.0,0.0,0.0,0.0,0.0
CSF2,CSF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFNG,IFNG,0.0013388889004485776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL13,IL13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1A,IL1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,IL1B,0.0027956597095292308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1RN,IL1B,0.005808934144370272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL2,IL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL22,IL22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,IL6,0.008543993877075431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLU,TYROBP,1.2074674060673354,1.5635422669346675,0.0,0.7081504551803365,1.0642253160476685,0.0,0.28264338870589184,0.6387182495732239,0.0
ICOS,CD40LG,0.0018795369036907394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL26,CXCR6,0.001651568624920882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGFA,MMP9,0.4070405850648455,0.0,0.0,0.40239426748637847,0.0,0.0,0.08393428027791533,0.0,0.0
OSM,CXCL10,0.0032627165707108242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBS1,VCAM1,0.02095765937883374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFNG,TYMS,0.003983152750270819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF1,VEGFA,0.4231841250749408,0.4185378074964738,0.1000778202880106,0.0,0.0,0.0,0.47780716452018,0.473160846941713,0.15470085973324982
VEGFA,CSF1,0.4231841250749408,0.0,0.47780716452018,0.4185378074964738,0.0,0.473160846941713,0.1000778202880106,0.0,0.15470085973324982
CSF2,FLT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFNG,CD74,0.8303504955517134,0.8861383943244665,0.4285288440799001,0.0,0.0,0.0,0.0,0.0,0.0
CCL1,CCR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,IL17A,0.004525184967796928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL10,PTGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL1,CXCR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWF,THBS1,0.28649090086145906,0.0,0.0,0.11992237807665988,0.0,0.0,0.19811603528483995,0.0,0.0
XCL2,CCR7,0.004690224438710929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
