generation	pulls_cd8_reweight	pulls_cd4_reweight	pulls_public_reweight	pulls_axis_shift	pulls_synergy_shift	pulls_gate_shift	pulls_transform_flip	reward_cd8_reweight	reward_cd4_reweight	reward_public_reweight	reward_axis_shift	reward_synergy_shift	reward_gate_shift	reward_transform_flip
27	515	524	504	521	553	546	533	0.44111188216124086	0.49137673399051895	0.3763288843463187	0.47322643974216694	0.6628255535216877	0.6225950096038139	0.5465162746118661
28	534	542	523	541	571	565	552	0.44385373607806133	0.4920076168791421	0.3763288843463187	0.4817427843245481	0.6649112516323238	0.6259254984547856	0.5508220526490057
29	552	561	541	559	591	585	571	0.4442983932643051	0.49288077342015524	0.37716027651967743	0.4817427843245481	0.6689046871241533	0.6308243107316623	0.5514601627098146
30	571	580	558	578	610	605	590	0.44430839676111855	0.49803020221975647	0.37725954210778356	0.4871931854148529	0.6692012516086336	0.6416433556849974	0.5564321557400712
31	588	599	577	597	629	625	609	0.44430839676111855	0.5048955633523435	0.3811156430160455	0.49105441739534783	0.6739035052172642	0.6490230220667884	0.5586785998384884
32	607	618	595	615	649	644	628	0.4467450352053576	0.510992826186118	0.3831889338959257	0.49255171231421424	0.6802361711870053	0.653601813113554	0.5624825698274748
33	625	637	613	634	668	664	647	0.44909952619936744	0.514883429168055	0.3852746726046513	0.49531410863160397	0.6804681209948557	0.6579241486085505	0.5669278629667386
34	644	656	631	653	687	683	666	0.4526738459829657	0.5169826647959745	0.38604380717122366	0.49920926893037243	0.682249986903529	0.6602456336617252	0.5669278629667386
35	663	675	650	671	707	702	684	0.4529127408578213	0.5185546096834269	0.38628275113548605	0.4993620084505206	0.6852717119142995	0.6603086183131007	0.5670773568448497
36	681	694	668	690	727	721	703	0.4549540898718313	0.5189677676616742	0.38682640635654886	0.4994971598385456	0.6924225123368252	0.661954855362843	0.5712225235732633
37	700	713	686	708	746	740	723	0.46049936968504546	0.5224308092593757	0.38852732789934796	0.5011337259287878	0.6924225123368252	0.6661544069600379	0.5721682527443099
38	719	732	704	727	764	760	742	0.46049936968504546	0.5246944107248677	0.389423175932717	0.5011337259287878	0.6927456404902069	0.6696949042695572	0.5758138521329154
39	738	750	723	745	784	780	760	0.461999748576446	0.5252682670413057	0.3904455276981533	0.5014725412423354	0.6931646780493533	0.672404531490733	0.5758138521329154
40	756	769	741	764	803	799	780	0.4639470692379035	0.5268312501944714	0.39278130577990245	0.5046113289837151	0.6957685821986841	0.6744620764130671	0.5788709832231792
41	775	787	760	783	822	818	799	0.46641731851055646	0.5280650931098345	0.3929273776914589	0.5046832442147808	0.6984588163619877	0.6768160633136122	0.5816331269163928
42	793	807	778	802	842	837	817	0.4677377989434792	0.5309299415829765	0.39542990369682307	0.5062351298772872	0.7004580179407522	0.6773410730478436	0.5830268368808181
43	812	825	797	820	861	857	836	0.46898143271448534	0.5315808627905811	0.3955366065195952	0.5081563050589392	0.7008654866381129	0.6832300505062122	0.5842730431391991
44	831	844	815	839	880	876	855	0.47059128625214874	0.5338363710433616	0.39679929550802107	0.5081900385192961	0.7016527712600475	0.684847483356574	0.5850092618585384
45	850	863	833	857	899	896	874	0.47311125727345604	0.5354993983218027	0.3985067272317707	0.509242935423676	0.7026950024867981	0.6880729716198823	0.5873488088410426
46	868	881	853	876	918	915	893	0.4737709920752441	0.5363559993481111	0.39894070293548867	0.50926059076633	0.7036595609745588	0.6914120578438926	0.5893732968359676
47	887	900	870	894	937	936	912	0.4746438301248418	0.5374611343567888	0.3989920924886903	0.5099423526456011	0.7062786822984893	0.6957572772095716	0.5906798989859047
48	905	920	888	913	957	954	931	0.47615518580163374	0.539723320309386	0.3997387273633105	0.5112369137186759	0.708098786429622	0.6977667957397656	0.5911914065022424
49	924	938	906	932	976	974	950	0.47820020912202144	0.5410707216664152	0.400711682115271	0.5112879790424184	0.709056120916533	0.701209075230423	0.5922540456065695
50	942	957	925	951	995	993	969	0.4785236360868361	0.5420581916570345	0.40099661173408496	0.5123657877836222	0.7100703481827507	0.7016756862989039	0.5946212365162671
51	962	976	943	969	1014	1012	988	0.4816621335672885	0.5438523233306063	0.40165498257767285	0.5132346527896189	0.7112593606018377	0.7033964787115489	0.5960605516171124
52	981	996	961	987	1033	1031	1007	0.48376006685508954	0.5490336788974761	0.40174436825577187	0.5135911238222304	0.7117496112647934	0.7034230931489359	0.5980637357722016
53	999	1014	980	1006	1052	1051	1026	0.4839725333725099	0.5497082792145388	0.40401257997698725	0.5137392913487869	0.7127997883682072	0.7053491827836469	0.5980637357722016
54	1018	1033	998	1025	1071	1070	1045	0.48450160921825514	0.5519505531383718	0.40401257997698725	0.5146639986139387	0.7130489509022361	0.7064975568544921	0.6000419802224815
55	1036	1053	1017	1043	1090	1089	1064	0.4849575618647938	0.5559417232692099	0.4040633198389456	0.5149857285671369	0.7144082250100997	0.7072503008117709	0.6006628341578798
56	1054	1072	1035	1062	1110	1108	1083	0.4850011996537482	0.5579098608265298	0.4051979224633412	0.5152504074990449	0.717159631517234	0.709844725993194	0.6028323065893024
57	1073	1092	1053	1080	1129	1127	1102	0.487350640234678	0.5621881365911464	0.4060804923242277	0.5165844103430883	0.718820557683826	0.7100794491842364	0.6044512545525865
58	1092	1110	1072	1099	1148	1146	1121	0.4877740819134194	0.5650474271153103	0.40671854748838354	0.5174659747998284	0.7193464349203184	0.7105522835632018	0.6052967968650095
59	1110	1129	1091	1118	1167	1166	1139	0.4877740819134194	0.5652587193641917	0.40772081478728484	0.5187036549061691	0.7215308714597289	0.7115033284136477	0.6058124475468745
60	1129	1148	1110	1136	1187	1184	1158	0.4882022757514668	0.5678183268129479	0.4099097399985484	0.5203415288438744	0.7230445311399978	0.711626005061198	0.606098280737752
61	1147	1168	1128	1155	1206	1203	1177	0.4887097226448355	0.5694927965157932	0.41241398938362395	0.5203415288438744	0.7234819308777252	0.7131819747376074	0.607567735418693
62	1166	1187	1146	1174	1225	1222	1196	0.4887097226448355	0.57255355200397	0.41357785116312906	0.5203415288438744	0.72355893732199	0.7131819747376074	0.6078758644746786
63	1184	1206	1166	1192	1244	1241	1215	0.4887097226448355	0.5740163389793972	0.4140606167331756	0.5214481127067879	0.7246593802997079	0.7148936137259471	0.6092916077139845
64	1202	1225	1184	1211	1263	1261	1234	0.4887097226448355	0.5749166529786296	0.41540718055756976	0.5214481127067879	0.7264273045996491	0.7161984933245461	0.6107062389505744
65	1222	1244	1202	1229	1282	1280	1253	0.4912584673697593	0.5761804388112877	0.4162245133868828	0.5214481127067879	0.7272904506062194	0.7167437099400347	0.6140897103197077
66	1240	1262	1221	1248	1301	1299	1273	0.49143259456847876	0.5762784937234305	0.4171395804470537	0.5216512641763039	0.7272904506062194	0.7181232558560869	0.6144794864782634
67	1259	1281	1239	1267	1320	1318	1292	0.49254231853139974	0.5785299516592223	0.4186914495156132	0.5216512641763039	0.7282069430247275	0.7182465482119164	0.6171981499548554
68	1277	1301	1258	1285	1339	1338	1310	0.49254231853139974	0.5797973041252128	0.41908019749068814	0.5220572680060808	0.7285722800392972	0.7213078855932111	0.6179211275251733
69	1296	1319	1276	1304	1359	1357	1329	0.49405940196241904	0.5801785149615241	0.41908019749068814	0.5224006163179196	0.7298750544920279	0.7220693787660936	0.6193687013736979
70	1315	1338	1295	1322	1378	1376	1348	0.49405940196241904	0.5810102895277666	0.41932520081960256	0.5225184630881436	0.730895714250757	0.7221788596701978	0.6201644486150496
71	1333	1357	1313	1341	1397	1395	1368	0.49405940196241904	0.5811341399943823	0.4196008937831468	0.5232384359585963	0.7311381509242506	0.7223571150235523	0.6219796290291922
72	1352	1376	1331	1360	1416	1414	1387	0.49405940196241904	0.5819460111792402	0.41975622222058107	0.5232384359585963	0.7314905895657701	0.722932684724219	0.6224814710534211
73	1371	1395	1350	1378	1435	1433	1406	0.49405940196241904	0.5828068738337894	0.4203646712453337	0.5232633437322686	0.732699919922062	0.7232460099719583	0.6224814710534211
74	1389	1414	1368	1397	1455	1452	1425	0.49463543225895357	0.5833984384915858	0.42064453989304995	0.5233114666378805	0.7336434099112183	0.7234180266107678	0.6242919536241236
