lineage	hallmark	n	n_genes	spearman_r	p	fdr
adrenocortical cancer	Estrogen Response Late	79	196	0.2863680623174294	0.010510965937993883	0.01946475173702571
adrenocortical cancer	Wnt-beta Catenin Signaling	79	42	0.27232229795520935	0.015184398262881111	0.027114996898001984
adrenocortical cancer	Myc Targets V2	79	58	-0.2629990262901655	0.019195454635287594	0.032496557686886196
adrenocortical cancer	Mitotic Spindle	79	196	0.2623661148977605	0.01949793461213172	0.032496557686886196
adrenocortical cancer	Pperoxisome	79	101	-0.2564995131450828	0.022501283625740484	0.036292392944742714
adrenocortical cancer	Protein Secretion	79	95	0.24919668938656284	0.02678281314829716	0.04184814554421431
adrenocortical cancer	Reactive Oxygen Species Pathway	79	45	0.24739532619279458	0.02793908766617031	0.04233195100934896
adrenocortical cancer	Glycolysis	79	196	0.24547224926971764	0.02921976760644226	0.042970246480062146
adrenocortical cancer	Hedgehog Signaling	79	35	0.24306231742940604	0.03089425578625619	0.04413465112322313
adrenocortical cancer	Androgen Response	79	96	0.18132911392405066	0.10975663036297932	0.15243976439302684
adrenocortical cancer	Unfolded Protein Response	79	106	0.1702775073028238	0.1335324642805999	0.18044927605486472
adrenocortical cancer	Myc Targets V1	79	188	-0.16404576436222007	0.14855987773985432	0.1954735233419136
adrenocortical cancer	Xenobiotic Metabolism	79	197	0.1542356377799416	0.17472970710046945	0.22401244500060186
adrenocortical cancer	mTORC1 Signaling	79	192	-0.1445715676728335	0.20366150016676438	0.2545768752084555
adrenocortical cancer	Bile Acid Metabolism	79	112	0.1342259006815969	0.2382565742852531	0.29055679790884525
adrenocortical cancer	UV Response Up	79	152	0.12960077896786756	0.25496813486412595	0.2994149070932837
adrenocortical cancer	Oxidative Phosphorylation	79	182	-0.12891918208373906	0.257496820100224	0.2994149070932837
adrenocortical cancer	G2-M Checkpoint	79	184	-0.07461051606621227	0.5134376028577242	0.583451821429232
adrenocortical cancer	Spermatogenesis	79	132	0.06764849074975657	0.5536039730971627	0.6151155256635141
adrenocortical cancer	Fatty Acid Metabolism	79	154	-0.05413826679649464	0.6355930425072842	0.6789172136952567
adrenocortical cancer	DNA Repair	79	140	-0.05372444011684519	0.6381821808735413	0.6789172136952567
adrenocortical cancer	Pancreas Beta Cells	79	40	0.04474196689386563	0.6954034202427137	0.7216918577019796
adrenocortical cancer	E2F Targets	79	187	-0.04291626095423564	0.70725802054794	0.7216918577019796
adrenocortical cancer	Adipogenesis	79	189	-0.039459591041869524	0.7298923303364692	0.7298923303364692
bladder urothelial carcinoma	IL-6/JAK/STAT3 Signaling	427	87	0.7921544896774548	3.5501621087087684e-93	1.775081054354384e-91
bladder urothelial carcinoma	Allograft Rejection	427	195	0.7872769017968698	2.767709914854051e-91	6.919274787135128e-90
bladder urothelial carcinoma	Inflammatory Response	427	197	0.7683376187876454	2.19095906592649e-84	3.651598443210817e-83
bladder urothelial carcinoma	Complement	427	195	0.7677375729788567	3.534936894841743e-84	4.4186711185521785e-83
bladder urothelial carcinoma	Interferon Gamma Response	427	196	0.7628505828906331	1.6493225812050108e-82	1.6493225812050108e-81
bladder urothelial carcinoma	IL-2/STAT5 Signaling	427	194	0.6750538469055486	4.197414508610418e-58	3.497845423842015e-57
bladder urothelial carcinoma	TNF-alpha Signaling via NF-kB	427	197	0.6691471026249421	9.188687083096171e-57	6.563347916497265e-56
bladder urothelial carcinoma	Interferon Alpha Response	427	92	0.6673759424942485	2.2863336061537986e-56	1.4289585038461242e-55
bladder urothelial carcinoma	Apoptosis	427	158	0.6562130558746996	6.20579040648919e-54	3.447661336938439e-53
bladder urothelial carcinoma	KRAS Signaling Up	427	193	0.6063998515375999	3.1343141841862926e-44	1.5671570920931462e-43
bladder urothelial carcinoma	Epithelial Mesenchymal Transition	427	194	0.5728971654347719	1.3011351600905746e-38	5.91425072768443e-38
bladder urothelial carcinoma	PI3K/AKT/mTOR  Signaling	427	104	0.5510302507553363	2.798652235955921e-35	1.166105098314967e-34
bladder urothelial carcinoma	Apical Junction	427	194	0.5474147165820108	9.431868293042142e-35	3.627641651170054e-34
bladder urothelial carcinoma	mTORC1 Signaling	427	192	0.5280880934449966	4.8884836965063883e-32	1.7458870344665675e-31
bladder urothelial carcinoma	Hypoxia	427	190	0.5222476270215132	2.990034582249584e-31	9.966781940831947e-31
bladder urothelial carcinoma	Pperoxisome	427	101	-0.4938358510184749	1.2362012474496257e-27	3.8631288982800804e-27
bladder urothelial carcinoma	Angiogenesis	427	36	0.49135459300925827	2.466692969224049e-27	7.254979321247203e-27
bladder urothelial carcinoma	Coagulation	427	136	0.4806296026503744	4.582752962695012e-26	1.272986934081948e-25
bladder urothelial carcinoma	UV Response Up	427	152	0.47022567456215764	7.080925427603307e-25	1.8634014283166596e-24
bladder urothelial carcinoma	Mitotic Spindle	427	196	0.43070465076347464	1.0293758998899382e-20	2.573439749724846e-20
bladder urothelial carcinoma	Hedgehog Signaling	427	35	0.4218773650020237	7.416103421967358e-20	1.765738909992228e-19
bladder urothelial carcinoma	G2-M Checkpoint	427	184	0.40641890256815905	2.0530750859652452e-18	4.666079740830103e-18
bladder urothelial carcinoma	heme Metabolism	427	190	0.4024038516374792	4.73044684022419e-18	1.0283580087443893e-17
bladder urothelial carcinoma	Reactive Oxygen Species Pathway	427	45	0.39326937571499165	3.0303773512897685e-17	6.31328614852035e-17
bladder urothelial carcinoma	Apical Surface	427	43	0.3874261348695821	9.649215819700758e-17	1.9298431639401516e-16
bladder urothelial carcinoma	Unfolded Protein Response	427	106	0.3834645686282549	2.0885482995056044e-16	4.0164390375107777e-16
bladder urothelial carcinoma	Androgen Response	427	96	0.38269297106370415	2.424563287394112e-16	4.4899320136928e-16
bladder urothelial carcinoma	TGF-beta Signaling	427	54	0.38246469779300896	2.533775738644302e-16	4.524599533293397e-16
bladder urothelial carcinoma	UV Response Dn	427	137	0.3818933210107897	2.828767522940374e-16	4.877185384379955e-16
bladder urothelial carcinoma	E2F Targets	427	187	0.3492391456136852	1.079641890023217e-13	1.799403150038695e-13
bladder urothelial carcinoma	Glycolysis	427	196	0.3470519763286321	1.5697864396505477e-13	2.531913612339593e-13
bladder urothelial carcinoma	Pancreas Beta Cells	427	40	0.30728002148019107	8.660453393277356e-11	1.353195842699587e-10
bladder urothelial carcinoma	p53 Pathway	427	190	0.2978309569381973	3.3989300782083033e-10	5.149894057891369e-10
bladder urothelial carcinoma	Myc Targets V1	427	188	0.29609709736895407	4.344956795083296e-10	6.38964234571073e-10
