gene	pseudobulk_count	log1p_cpm	n_feature_rows	external_dataset	sample	gsm	label	patient	compartment	tissue_site
CIITA	1032.0	3.6646927398954543	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CLEC10A	1521.0	4.0442937519718125	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CXCL10	3802.0	4.949885014573595	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CXCL11	464.0	2.8961945578090162	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CXCL13	3362.0	4.827820520019636	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
CXCL9	228.0	2.241252113472045	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
EPCAM	177.0	2.018232401929741	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
FCER1A	2573.0	4.562808389018846	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
FCGR3A	1457.0	4.002074642349022	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
FOXE1	5.0	0.16917077318674584	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
GZMB	12943.0	6.169897077633494	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-A	81536.0	8.008625612116376	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-B	144719.0	8.5822296901717	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-C	52932.0	7.576768750567191	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DMA	14274.0	6.267586637273719	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DMB	7889.0	5.676150328419295	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DOA	927.0	3.5602891996116153	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DOB	293.0	2.4682089329989525	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DPA1	61155.0	7.721103429150884	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DPB1	80549.0	7.996450741752875	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DQA1	29464.0	6.99133775244381	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DQA2	11788.0	6.076628942534518	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DQB1	33364.0	7.115538522436571	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DQB2	904.0	3.5358880778973534	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DRA	147378.0	8.600433092683621	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DRB1	77641.0	7.9596932941916165	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DRB3	0.0		0	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DRB4	0.0		0	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-DRB5	39061.0	7.273067082694837	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-E	20572.0	6.632497001286456	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-F	4977.0	5.217511184268192	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
HLA-G	157.0	1.9151154634865268	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
IFNG	3329.0	4.818035782695999	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
IGHG1	5763.0	5.363402454632316	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
IGHG2	755.0	3.3615094034968798	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
IGKC	122443.0	8.415115468804247	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
IRF1	1407.0	3.9678042090651853	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
ITGAX	581.0	3.109875789524861	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
JCHAIN	15954.0	6.3786567599388775	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
KRT18	255.0	2.3418482071922413	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
KRT8	320.0	2.5491819971038745	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
LAMP3	482.0	2.9321893460528257	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
LST1	12463.0	6.132186777929774	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
LTB	33804.0	7.128629612533521	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
LTBR	341.0	2.607919377946792	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
LYZ	28422.0	6.955365787929534	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
MIF	3967.0	4.9920732134975205	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
MS4A1	731.0	3.3303431650163473	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
MZB1	1515.0	4.040410569605612	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
NKX2-1	91.0	1.4712481833500175	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
NLRC5	602.0	3.143825225549512	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
POU2AF1	129.0	1.7501589081195092	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
PRF1	2673.0	4.60054691670297	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
PSMB10	1534.0	4.052655938450805	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
PSMB8	8319.0	5.7290458602649394	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
PSMB9	11004.0	6.007969283147978	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
RFX5	758.0	3.3653377631767634	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
SLC5A5	5.0	0.16917077318674584	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
STAT1	4544.0	5.127007983504014	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
TAP1	3316.0	4.814154747972818	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
TAP2	1070.0	3.6999427209308706	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
TAPBP	4222.0	5.053961740595036	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
TG	117.0	1.6701836579396532	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
TPO	13.0	0.39152720363705223	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
TSHR	79.0	1.3641237698457314	1	GSE184362	GSM5585102_PTC1_T	GSM5585102	PTC1_T	PTC1	Tumor	Tumor
AICDA	70.0	1.3381655833942525	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
B2M	442318.0	9.785257089939261	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
C1QA	141.0	1.896758991852739	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
C1QB	112.0	1.7046154900846235	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CCL19	28.0	0.7536860029905552	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CCL21	516.0	3.078637788836558	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CCR7	5368.0	5.378253694122401	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD19	2172.0	4.480215787166654	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD1C	485.0	3.019617202566871	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD22	2085.0	4.439808931583131	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD27	6311.0	5.539402487366495	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD38	463.0	2.975512415489148	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD3D	16502.0	6.498160661000621	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD3E	10562.0	6.052788452078564	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD3G	3814.0	5.038355756506956	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD4	740.0	3.4251523078892663	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD68	286.0	2.52486500765342	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD74	199302.0	8.988117887785927	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD79A	17340.0	6.547622252699281	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD79B	8440.0	5.829099098901509	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD8A	1482.0	4.103221596810581	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CD8B	1797.0	4.293047760951782	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CIITA	517.0	3.0804848766757744	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CLEC10A	89.0	1.5206751888664551	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CXCL10	43.0	1.0033482561226124	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CXCL11	1.0	0.039386141918588545	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CXCL13	1993.0	4.395225592348411	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
CXCL9	6.0	0.21594358234038705	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
EPCAM	34.0	0.861137384431333	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
FCER1A	122.0	1.775120360183745	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
FCGR3A	269.0	2.4686319473101115	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
FOXE1	3.0	0.11378945453131528	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
GZMB	1630.0	4.196908040418507	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-A	54138.0	7.685167774337044	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-B	107932.0	8.374903740621168	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-C	57081.0	7.738079047668224	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DMA	9736.0	5.971555617028737	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DMB	4803.0	5.267581857430842	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DOA	933.0	3.650152454119301	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DOB	1843.0	4.317982749205435	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DPA1	29168.0	7.067097019377609	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DPB1	38977.0	7.3567819142151825	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DQA1	13258.0	6.279648693688035	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DQA2	7119.0	5.659429587856225	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DQB1	16682.0	6.508993116921363	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DQB2	175.0	2.0831982919723897	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DRA	78641.0	8.058381413360767	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DRB1	36286.0	7.285289509555279	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DRB3	0.0		0	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DRB4	0.0		0	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-DRB5	18920.0	6.6347061252381945	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-E	22355.0	6.801334651153462	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-F	4913.0	5.290110439178958	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
HLA-G	37.0	0.9108222973846914	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
IFNG	1101.0	3.8117481629452503	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
IGHG1	35007.0	7.249430605722341	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
IGHG2	1944.0	4.3706431495425955	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
IGKC	221602.0	9.094167038241837	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
IRF1	2334.0	4.551364141327978	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
ITGAX	67.0	1.306040472573504	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
JCHAIN	6132.0	5.510743987454498	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
KRT18	131.0	1.834585834343803	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
KRT8	93.0	1.55519323409051	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
LAMP3	105.0	1.6521268956170059	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
LST1	1576.0	4.163733283229964	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
LTB	25681.0	6.939891995007723	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
LTBR	63.0	1.2615357432985548	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
LYZ	3090.0	4.829366509785964	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
MIF	5360.0	5.376769158878607	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
MS4A1	11776.0	6.161346932825571	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
MZB1	1665.0	4.217836900532321	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
NKX2-1	20.0	0.5896966191929285	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
NLRC5	663.0	3.319049644440591	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
POU2AF1	1120.0	3.8284828483788584	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
PRF1	902.0	3.61725450351887	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
PSMB10	1862.0	4.328103252984495	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
PSMB8	5092.0	5.325719136642485	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
PSMB9	6999.0	5.642489344545223	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
RFX5	747.0	3.434262293421808	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
SLC5A5	13.0	0.4201808202143802	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
STAT1	1765.0	4.2753275312865435	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
TAP1	2696.0	4.694131839726567	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
TAP2	743.0	3.4290667540443507	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
TAPBP	4021.0	5.090874006267957	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
TG	233.0	2.337960925436314	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
TPO	46.0	1.0465870657069862	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
TSHR	25.0	0.6952956228463303	1	GSE184362	GSM5585103_PTC1_P	GSM5585103	PTC1_P	PTC1	Paratumor	Paratumor
AICDA	76.0	1.72512698219432	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
B2M	233262.0	9.55818392607057	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
C1QA	50.0	1.3950118070189237	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
C1QB	79.0	1.7570533004894613	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CCL19	1.0	0.0589294863834392	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CCL21	82.0	1.7879917855556462	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CCR7	3578.0	5.385348779137265	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD19	1396.0	4.451294037625915	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD1C	375.0	3.1681157190265568	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD22	976.0	4.098396900663277	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD27	3020.0	5.216648104410654	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD38	342.0	3.080052830935333	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD3D	12346.0	6.620616638930523	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD3E	8265.0	6.219972030708017	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD3G	2946.0	5.191975863462823	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD4	494.0	3.4335361180407498	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD68	63.0	1.573629990904924	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD74	74745.0	8.42025372071243	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD79A	9692.0	6.378950165108373	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD79B	3364.0	5.323967055402183	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD8A	971.0	4.093346253988378	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CD8B	1067.0	4.186123880187524	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
CIITA	252.0	2.790951094620909	1	GSE184362	GSM5585104_PTC2_T	GSM5585104	PTC2_T	PTC2	Tumor	Tumor
