generation	pulls_jitter	pulls_swap	pulls_boost	pulls_drop	pulls_temperature	pulls_feature_focus	reward_jitter	reward_swap	reward_boost	reward_drop	reward_temperature	reward_feature_focus
13	168	169	167	172	166	166	0.033354013917984426	0.042598895554365135	0.026699904500146143	0.0661525666768562	0.015085274338965338	0.0189443947265463
14	180	181	179	184	178	178	0.033355339822139896	0.04260038146805589	0.026699904500146143	0.06615432940972987	0.015093346754375458	0.018947803803904484
15	192	193	191	196	190	190	0.0333595048945059	0.04260170099952898	0.02670093849155386	0.06615439611149021	0.015095133212782219	0.018950479959453537
16	204	205	203	209	201	202	0.033360876688215746	0.04260179757016469	0.026701560080085174	0.06615607732766338	0.015096045862177832	0.01895283019231575
17	216	217	216	220	213	214	0.03336145162106241	0.042602346025612414	0.026702391188866303	0.06615659314559741	0.015097404735939124	0.018954028159642755
18	228	229	227	233	225	226	0.03336151823725153	0.042602514508529254	0.02670250722594758	0.06615661521089788	0.015097766004309787	0.018954148658213987
19	240	241	239	245	237	238	0.03336172438018847	0.04260252313321611	0.02670254581064424	0.06615661521089788	0.015097861222466036	0.018954316432810314
20	252	253	251	256	249	251	0.03336180219668128	0.042602602539591694	0.02670262128710066	0.06615662115219301	0.015097906055818955	0.018954351407231007
21	264	266	263	268	262	261	0.03336180900634622	0.04260262079695043	0.026702638498386277	0.06615663167136998	0.015097924075345603	0.018954372336156267
22	276	277	275	281	273	274	0.03336181237095359	0.04260262195209874	0.026702644872376835	0.06615663529310722	0.015097939853572773	0.01895437834743441
23	288	289	287	293	285	286	0.03336181572059238	0.04260262195209874	0.026702650123317517	0.06615663529310722	0.01509794375184026	0.01895438080944889
24	300	301	299	305	297	298	0.03336181635835622	0.04260262195209874	0.026702650978219666	0.06615663538861616	0.015097944622457615	0.018954381828042433
25	312	313	311	317	309	310	0.03336181660241855	0.04260262207302301	0.026702651149989043	0.06615663556798823	0.01509794582030588	0.018954382265719216
26	324	325	323	329	321	322	0.033361816635333774	0.0426026220758875	0.026702651345555717	0.06615663558969531	0.015097945952624148	0.01895438228886992
27	336	338	335	341	333	333	0.03336181671614358	0.0426026220758875	0.026702651434790337	0.06615663562357565	0.01509794619548499	0.018954382373720158
28	348	349	347	354	345	345	0.033361816815132506	0.04260262210603982	0.026702651449827863	0.06615663567458763	0.015097946220719027	0.018954382408317927
29	361	361	359	365	357	357	0.033361816867929384	0.042602622135309964	0.026702651465605798	0.06615663567458763	0.015097946251242389	0.01895438243029346
30	372	373	372	377	369	369	0.033361816892840124	0.042602622135309964	0.026702651474172168	0.06615663567458763	0.015097946271464102	0.01895438245443337
31	384	386	383	389	381	381	0.03336181689875062	0.04260262213940991	0.026702651474630357	0.06615663567458763	0.015097946275601792	0.01895438245692438
32	397	397	395	401	393	393	0.033361816900646435	0.04260262214007038	0.02670265147784623	0.06615663567689534	0.015097946281392938	0.018954382457407326
33	408	409	407	414	405	405	0.03336181690259177	0.04260262214015731	0.026702651478142325	0.06615663567696084	0.015097946282383479	0.018954382458098995
34	420	421	419	426	416	418	0.03336181690305018	0.04260262214030408	0.026702651478197947	0.06615663567696084	0.01509794628506933	0.01895438245964287
35	432	434	431	438	428	429	0.033361816903099695	0.042602622140490376	0.02670265147843931	0.06615663567696084	0.01509794628630523	0.01895438246001757
36	445	445	443	450	440	441	0.033361816903437425	0.04260262214066357	0.02670265147843931	0.06615663567696084	0.01509794628658856	0.0189543824600239
37	456	458	455	462	452	453	0.03336181690357054	0.04260262214066368	0.02670265147861739	0.06615663567696084	0.015097946286839137	0.0189543824600672
38	468	470	467	474	464	465	0.03336181690358042	0.042602622140680446	0.026702651478618278	0.06615663567696084	0.015097946287044417	0.018954382460143027
39	480	482	478	487	476	477	0.033361816903597075	0.042602622140685775	0.026702651478618278	0.06615663567696084	0.015097946287063735	0.018954382460156793
40	492	494	490	498	489	489	0.033361816903605734	0.042602622140688995	0.026702651478629935	0.0661566356769645	0.015097946287081387	0.018954382460163788
41	504	506	502	510	501	501	0.03336181690360718	0.042602622140688995	0.026702651478631156	0.0661566356769645	0.015097946287092268	0.01895438246017056
42	516	518	515	522	512	513	0.03336181690360773	0.042602622140688995	0.026702651478632822	0.0661566356769645	0.015097946287100483	0.018954382460172337
43	528	530	527	534	524	525	0.03336181690360851	0.042602622140688995	0.026702651478633377	0.0661566356769645	0.015097946287104036	0.018954382460175
44	541	542	538	546	536	537	0.033361816903608954	0.042602622140689106	0.026702651478633377	0.0661566356769645	0.01509794628710448	0.018954382460175445
45	552	554	550	559	548	549	0.033361816903609176	0.04260262214068922	0.0267026514786336	0.0661566356769645	0.01509794628710559	0.018954382460175778
46	565	566	562	570	560	561	0.03336181690360929	0.04260262214068922	0.0267026514786336	0.0661566356769645	0.01509794628710559	0.018954382460175778
47	577	578	574	582	572	573	0.03336181690360929	0.04260262214068922	0.0267026514786336	0.0661566356769645	0.01509794628710559	0.018954382460175778
