source	ancestry	tag	phenocode	description	n_cases	n_controls	build	url	tabix_url
FinnGen_R12	FIN(EUR)	PSOR	L12_PSORIASIS	Psoriasis	12760	482181	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_L12_PSORIASIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_L12_PSORIASIS.gz.tbi
FinnGen_R12	FIN(EUR)	RA	M13_RHEUMA	Rheumatoid arthritis (broad)	16314	315115	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_M13_RHEUMA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_M13_RHEUMA.gz.tbi
FinnGen_R12	FIN(EUR)	T1D	T1D	Type 1 diabetes	4721	403489	GRCh38	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_T1D.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_T1D.gz.tbi
PanUKBB	EUR	GD-EUR-EUR	phecode:242.1	Graves' disease | NA	554	399034	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-242.1-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-242.1-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	HYPOTHY-EUR-EUR	phecode:244	Hypothyroidism | NA	18404	399034	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244-both_sexes.tsv.bgz.tbi
PanUKBB	EAS	HYPOTHY-EUR-EAS	phecode:244	Hypothyroidism | NA	71	2598	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244-both_sexes.tsv.bgz.tbi
PanUKBB	CSA	HYPOTHY-EUR-CSA	phecode:244	Hypothyroidism | NA	512	8290	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244-both_sexes.tsv.bgz.tbi
PanUKBB	AFR	HYPOTHY-EUR-AFR	phecode:244	Hypothyroidism | NA	144	6389	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	HYPOTHY-NOS-EUR-EUR	phecode:244.4	Hypothyroidism NOS | NA	17562	399034	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244.4-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244.4-both_sexes.tsv.bgz.tbi
PanUKBB	EAS	HYPOTHY-NOS-EUR-EAS	phecode:244.4	Hypothyroidism NOS | NA	62	2598	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244.4-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244.4-both_sexes.tsv.bgz.tbi
PanUKBB	CSA	HYPOTHY-NOS-EUR-CSA	phecode:244.4	Hypothyroidism NOS | NA	494	8290	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244.4-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244.4-both_sexes.tsv.bgz.tbi
PanUKBB	AFR	HYPOTHY-NOS-EUR-AFR	phecode:244.4	Hypothyroidism NOS | NA	126	6389	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-244.4-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-244.4-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	CHRONIC-LYMPHOCYTIC-THY-EUR-EUR	phecode:245.21	Chronic lymphocytic thyroiditis | NA	249	399034	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-245.21-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-245.21-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	CHRONIC-THY-EUR-EUR	phecode:245.2	Chronic thyroiditis | NA	265	399034	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-245.2-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-245.2-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	ICD10-E03-OTHER-HYPOTHY-EUR	icd10:E03	E03 Other hypothyroidism | NA	17592	402939	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E03-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E03-both_sexes.tsv.bgz.tbi
PanUKBB	EAS	ICD10-E03-OTHER-HYPOTHY-EAS	icd10:E03	E03 Other hypothyroidism | NA	62	2647	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E03-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E03-both_sexes.tsv.bgz.tbi
PanUKBB	CSA	ICD10-E03-OTHER-HYPOTHY-CSA	icd10:E03	E03 Other hypothyroidism | NA	495	8381	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E03-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E03-both_sexes.tsv.bgz.tbi
PanUKBB	AFR	ICD10-E03-OTHER-HYPOTHY-AFR	icd10:E03	E03 Other hypothyroidism | NA	127	6509	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E03-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E03-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	ICD10-E05-THYROTOX-EUR	icd10:E05	E05 Thyrotoxicosis [hyperthyroidism] | NA	2250	418281	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E05-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E05-both_sexes.tsv.bgz.tbi
PanUKBB	CSA	ICD10-E05-THYROTOX-CSA	icd10:E05	E05 Thyrotoxicosis [hyperthyroidism] | NA	57	8819	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E05-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E05-both_sexes.tsv.bgz.tbi
PanUKBB	AFR	ICD10-E05-THYROTOX-AFR	icd10:E05	E05 Thyrotoxicosis [hyperthyroidism] | NA	76	6560	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E05-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E05-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	ICD10-E06-THYROIDITIS-EUR	icd10:E06	E06 Thyroiditis | NA	344	420187	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E06-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E06-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	SELF-HYPER-EUR	categorical:20002:1226	Non-cancer illness code, self-reported | hypothyroidism/myxoedema	20563	399910	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20002-both_sexes-1226.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20002-both_sexes-1226.tsv.bgz.tbi
PanUKBB	CSA	SELF-HYPER-CSA	categorical:20002:1226	Non-cancer illness code, self-reported | hypothyroidism/myxoedema	543	8306	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20002-both_sexes-1226.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20002-both_sexes-1226.tsv.bgz.tbi
PanUKBB	AFR	SELF-HYPER-AFR	categorical:20002:1226	Non-cancer illness code, self-reported | hypothyroidism/myxoedema	135	6489	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20002-both_sexes-1226.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20002-both_sexes-1226.tsv.bgz.tbi
PanUKBB	EUR	SELF-HYPOTHY-MYXOEDEMA-EUR	categorical:20002:1225	Non-cancer illness code, self-reported | hyperthyroidism/thyrotoxicosis	3197	417276	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20002-both_sexes-1225.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20002-both_sexes-1225.tsv.bgz.tbi
PanUKBB	CSA	SELF-HYPOTHY-MYXOEDEMA-CSA	categorical:20002:1225	Non-cancer illness code, self-reported | hyperthyroidism/thyrotoxicosis	63	8786	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20002-both_sexes-1225.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20002-both_sexes-1225.tsv.bgz.tbi
PanUKBB	AFR	SELF-HYPOTHY-MYXOEDEMA-AFR	categorical:20002:1225	Non-cancer illness code, self-reported | hyperthyroidism/thyrotoxicosis	71	6553	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20002-both_sexes-1225.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20002-both_sexes-1225.tsv.bgz.tbi
PanUKBB	EUR	RX-LEVO-EUR	prescriptions:levothyroxine	NA | NA	13915	406616	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/prescriptions-levothyroxine-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/prescriptions-levothyroxine-both_sexes.tsv.bgz.tbi
PanUKBB	CSA	RX-LEVO-CSA	prescriptions:levothyroxine	NA | NA	454	8422	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/prescriptions-levothyroxine-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/prescriptions-levothyroxine-both_sexes.tsv.bgz.tbi
PanUKBB	AFR	RX-LEVO-AFR	prescriptions:levothyroxine	NA | NA	86	6550	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/prescriptions-levothyroxine-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/prescriptions-levothyroxine-both_sexes.tsv.bgz.tbi
PanUKBB	EUR	RX-CARBIM-EUR	prescriptions:carbimazole	NA | NA	966	419565	GRCh37	s3://pan-ukb-us-east-1/sumstats_flat_files/prescriptions-carbimazole-both_sexes.tsv.bgz	s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/prescriptions-carbimazole-both_sexes.tsv.bgz.tbi
