gene	mean_DM1	mean_DM2	cohens_d	t	pval	fdr	abs_d	direction
EMP3	0.6556372831759774	-1.4150192460058288	3.337993425294769	9.607668276284729	1.1737981469188522e-09	4.55488276267162e-07	3.337993425294769	up_in_DM1
PROS1	0.23164426340443736	-1.7456671214003918	3.3330239698523245	10.478318583534888	1.0091325522167762e-11	1.3293462447070364e-08	3.3330239698523245	up_in_DM1
MRC2	0.47000118716794614	-1.7527063422048925	3.3083930981642706	9.53166300021435	1.3280764621361172e-09	4.961257577732071e-07	3.3083930981642706	up_in_DM1
ALOX5	0.4941617379472466	-1.4258943814870428	3.29978827015431	11.219065620452367	1.48332851140649e-13	5.99811756302527e-10	3.29978827015431	up_in_DM1
PLXNC1	0.27199430864648394	-1.4920772513188083	3.2962820569370312	10.962422056920945	5.006494794129073e-13	1.2530755820225655e-09	3.2962820569370312	up_in_DM1
CLIP3	0.2906942822382211	-1.7085968043166433	3.296149698907927	11.030409887133764	3.5490012209057436e-13	9.652306163013434e-10	3.296149698907927	up_in_DM1
CHI3L1	0.6746162631014184	-1.470755298891073	3.2622737068370444	11.335049696752638	7.528252017814664e-14	4.1872137723085157e-10	3.2622737068370444	up_in_DM1
JAK3	0.5643133266934108	-1.45854220448859	3.262110986144186	10.969651202650246	3.663626535164314e-13	9.652306163013434e-10	3.262110986144186	up_in_DM1
ATP6V1B2	0.5246984581692201	-1.6470355438995985	3.202166322733694	9.324453352365424	1.493237076041567e-09	5.416555184962954e-07	3.202166322733694	up_in_DM1
DUSP5	0.1801684209521312	-1.7018429552570433	3.1710073790957956	10.324749488457284	4.694916466849255e-12	7.833937616584666e-09	3.1710073790957956	up_in_DM1
LGALS3	0.4569920574005559	-1.4815876178845913	3.166419974771491	8.88578007707803	9.653365610601581e-09	2.0599719106995486e-06	3.166419974771491	up_in_DM1
STING1	0.6266928163331366	-1.4038362837774006	3.1336685153703825	9.895661543249343	3.4882398438761317e-11	3.637798127182321e-08	3.1336685153703825	up_in_DM1
TMSB4X	0.46947390221395763	-1.5625924731750354	3.1101922271719125	9.40155107715029	4.250256831759197e-10	2.0858760439627635e-07	3.1101922271719125	up_in_DM1
TIMP1	0.3312276398937187	-1.643363889380048	3.1011327628971648	8.432644815030974	4.748356613643213e-08	6.7526487319815894e-06	3.1011327628971648	up_in_DM1
CDH3	0.58995916642013	-1.5224578932623496	3.083059459302543	8.451960010720562	3.8458930224410114e-08	5.746797400517975e-06	3.083059459302543	up_in_DM1
DUSP4	0.7035676675231655	-1.5353813868856363	3.0792839328880706	8.702222291694298	1.1717743965158068e-08	2.365188820193075e-06	3.0792839328880706	up_in_DM1
SLC22A31	0.4128692621943897	-1.445723497868095	3.0701140781507106	10.899621963162542	2.1108819705222244e-13	7.044435312026768e-10	3.0701140781507106	up_in_DM1
PLK3	0.42982949033597045	-1.5351891138671518	3.045488938985468	10.321295963632105	1.713368504221618e-12	3.5057656188791656e-09	3.045488938985468	up_in_DM1
LRG1	0.528579986500027	-1.424213403193856	3.0326310144612583	11.14367034864924	1.5577036301755665e-13	5.99811756302527e-10	3.0326310144612583	up_in_DM1
PLP2	0.6844550638713041	-1.6264844957623514	3.023844768488887	7.994416011698108	1.865603076326932e-07	1.8696130991556634e-05	3.023844768488887	up_in_DM1
MCUB	0.46314915364210746	-1.4626559890107826	3.0198662302338457	8.338192660435286	4.1103623530040016e-08	6.051662313725715e-06	3.0198662302338457	up_in_DM1
SPOCK2	0.22492641382985346	-1.4045837609302214	2.9980056898526968	10.876485962063585	2.559900939117896e-13	8.008970075647727e-10	2.9980056898526968	up_in_DM1
FAS	0.6098660688112647	-1.1553295170187614	2.991739410532781	8.900205765771894	2.064386970720295e-09	6.843647879491161e-07	2.991739410532781	up_in_DM1
MAMLD1	0.3380471177652916	-1.3396922571298215	2.9727692720269014	9.919472441762274	7.0885005770057145e-12	1.0436357702463296e-08	2.9727692720269014	up_in_DM1
CYP2S1	0.4412502364562662	-1.409951356262576	2.9707469065658554	9.036632525875595	8.214916555846717e-10	3.4548122990228814e-07	2.9707469065658554	up_in_DM1
FCHO1	0.47218950192343007	-1.4114391542158364	2.9587996799528935	11.081187148636166	3.0850738451828574e-13	9.084272149539028e-10	2.9587996799528935	up_in_DM1
B4GALT5	0.6107279049057847	-1.1741973942485606	2.9549147724580953	9.526048325993141	4.817161991219227e-11	4.5497640557821143e-08	2.9549147724580953	up_in_DM1
IGFBP6	0.41047825601004423	-1.8612941000039025	2.944114620028728	10.210521807982062	1.6193406574349768e-12	3.5057656188791656e-09	2.944114620028728	up_in_DM1
NRP2	0.5099899359930672	-1.4691088274585826	2.9437453513556178	9.718824221022594	1.5627126875324887e-11	1.862530278869079e-08	2.9437453513556178	up_in_DM1
AKIRIN2	0.1374115858131832	-1.3897676282183473	2.9388383386507018	9.099673650661037	4.313223618762408e-10	2.09622667871853e-07	2.9388383386507018	up_in_DM1
SERPINA1	0.3616974698663081	-1.3130782833290375	2.931305265941159	8.112858918845065	6.114505812381946e-08	8.195852469129512e-06	2.931305265941159	up_in_DM1
SDC3	0.4610870446637439	-1.2378730568181424	2.8883425468355313	9.285727081322415	9.679107990226738e-11	7.125246879040736e-08	2.8883425468355313	up_in_DM1
ENDOD1	0.21075766403638063	-1.335784667823907	2.880180713059731	9.446221730142058	3.812290948734764e-11	3.816713206235296e-08	2.880180713059731	up_in_DM1
EMILIN2	0.8931017378756892	-1.4934520309336146	2.8717864322749165	9.253179949853276	9.940582657930506e-11	7.211676618705584e-08	2.8717864322749165	up_in_DM1
FMNL1	0.7821441184009843	-1.430514875639146	2.845792533330738	9.288043940234022	6.559881182277539e-11	5.5656700376686276e-08	2.845792533330738	up_in_DM1
EHBP1L1	0.7861914026145149	-1.2376300121143946	2.834179894758017	9.160162006454502	1.1743060001418342e-10	8.164362465986102e-08	2.834179894758017	up_in_DM1
SLIT2	0.2730023152173373	-1.7345683432632768	2.820756762957436	8.678587541905767	1.4285634043896636e-09	5.258163742421895e-07	2.820756762957436	up_in_DM1
TNFRSF10A	0.5549203877987188	-1.1680110411861764	2.8177698640366504	7.832701355917815	9.896977431704223e-08	1.168225335477492e-05	2.8177698640366504	up_in_DM1
PARP14	0.4376032907812277	-1.4057547198462328	2.813271056472841	7.519374592061248	3.781445267552961e-07	2.9347532899715673e-05	2.813271056472841	up_in_DM1
MEDAG	0.45213074195901615	-1.705190935893934	2.8113464439247977	10.449810033618933	1.289641168742805e-12	2.9344026193148784e-09	2.8113464439247977	up_in_DM1
DRAM1	0.3205375813338068	-1.3222806820528936	2.8034085704341303	9.8710813294723	3.756309988418279e-12	6.4839091517324904e-09	2.8034085704341303	up_in_DM1
CTSH	0.36522983707089524	-1.5104790578319176	2.802787105042872	8.9625972478796	2.5830609333334763e-10	1.5212101670683194e-07	2.802787105042872	up_in_DM1
EPOP	0.21536304502008302	-1.2495820016063637	2.799198716731753	9.675240202806654	7.575163133663332e-12	1.0834214746997688e-08	2.799198716731753	up_in_DM1
KRT15	0.7371726115052032	-1.2777222897422875	2.793728741682339	10.631503461400946	1.7508518213268435e-12	3.5057656188791656e-09	2.793728741682339	up_in_DM1
IRF5	0.48398987122393594	-1.5220210970528731	2.7932363040002426	8.282013565527437	9.16287722027993e-09	1.994240469099012e-06	2.7932363040002426	up_in_DM1
GALE	0.4079029128253939	-1.5254437364144338	2.789333730538275	9.13945679750256	8.928967401108226e-11	6.772215911585993e-08	2.789333730538275	up_in_DM1
ALOX15B	0.4507731679850633	-1.5806305612132856	2.788462530170086	9.564686170238033	1.1408133567061293e-11	1.4276708752498855e-08	2.788462530170086	up_in_DM1
AL031985.3	0.35569662215968256	-1.1947449190288062	2.7809741689085614	9.691790662804644	6.670682189012816e-12	1.0118818455078894e-08	2.7809741689085614	up_in_DM1
PLAUR	0.6891990923777993	-1.3679617108950586	2.753071375435728	9.312127481836816	2.89588025424382e-11	3.084297314190152e-08	2.753071375435728	up_in_DM1
IL1RAP	0.3431343382280017	-1.4963905828669024	2.748429147760053	9.946270285775972	3.2478426262184745e-12	5.806446649401586e-09	2.748429147760053	up_in_DM1
ENTPD2	0.04279996128153359	-1.1927430178407321	2.7425571621633087	10.402274402877762	2.7645473864485336e-12	5.1254708544755814e-09	2.7425571621633087	up_in_DM1
KCTD12	0.8171299700553001	-1.5715850163745637	2.738840260728708	9.064703206993805	8.786580536482831e-11	6.772215911585993e-08	2.738840260728708	up_in_DM1
S100A11	0.46652306201650523	-1.2234345964914675	2.731809017677521	8.280011238283354	5.463042132961957e-09	1.3275192383097556e-06	2.731809017677521	up_in_DM1
KCTD17	0.30127693019132157	-1.5986277470160608	2.727042021955739	7.330558882114052	4.987163249839574e-07	3.6501244680348155e-05	2.727042021955739	up_in_DM1
CHI3L2	0.4223780555014856	-1.4729269544702488	2.7227606745504835	7.716571034012209	8.637529984542085e-08	1.057157642949163e-05	2.7227606745504835	up_in_DM1
SFN	0.5421179034856425	-1.337992227220716	2.700152064253524	10.620397568383874	9.020965903697027e-12	1.2543653089090715e-08	2.700152064253524	up_in_DM1
MCF2L2	0.2459990242557316	-1.1555419309167496	2.696837131036963	9.144470650312167	4.478770939868231e-11	4.311506071306229e-08	2.696837131036963	up_in_DM1
RASSF5	0.8573468820978065	-1.3430504246160146	2.6756311400648753	6.804142460022342	3.0507249743107696e-06	0.00013971144510409707	2.6756311400648753	up_in_DM1
CREB5	0.5286274871928558	-1.4575450933094436	2.6744484365290457	10.27517475088831	6.396958391151533e-12	1.0006841973258233e-08	2.6744484365290457	up_in_DM1
TUBA1A	0.5622571404438832	-1.3105240072998399	2.6715699924714946	9.067843361576582	5.491962117255909e-11	4.90922570831422e-08	2.6715699924714946	up_in_DM1
LPCAT4	0.6809738665972814	-1.429754673588508	2.6530655449072635	7.866013657171597	2.422462543340547e-08	4.096744256572334e-06	2.6530655449072635	up_in_DM1
KCNAB2	0.652786098767565	-1.6652153755303645	2.6461618807523615	8.444708128421917	1.0675820937423485e-09	4.2025600853413856e-07	2.6461618807523615	up_in_DM1
MYO1G	0.46348900642255825	-1.3250947650922567	2.642504253895568	9.517369962264787	1.0643195569035495e-11	1.366095086653279e-08	2.642504253895568	up_in_DM1
HPSE	0.32769245821035764	-1.5322764120998862	2.6421238081153047	9.051581858170879	5.054885933563621e-11	4.6858792604134765e-08	2.6421238081153047	up_in_DM1
PEA15	0.5587956197299573	-1.5304362067092825	2.6363047341801056	8.14762055771968	4.822809519157149e-09	1.2516517678271246e-06	2.6363047341801056	up_in_DM1
SLC35F2	0.23728389595266794	-1.4901372658543215	2.631577674619491	8.261480613137774	2.5166395933625328e-09	8.111199969403519e-07	2.631577674619491	up_in_DM1
THEMIS2	0.34830927419719776	-1.601776020810928	2.6154252296068057	7.038409390007431	8.81854569461486e-07	5.609132914625549e-05	2.6154252296068057	up_in_DM1
IFI16	0.6333731520236252	-1.4894760675038012	2.5993469969456577	8.170189033840792	3.1110354145180585e-09	9.325282082631435e-07	2.5993469969456577	up_in_DM1
FAM20A	0.4476645201387424	-1.4904095945484896	2.5953572838401624	8.121090394506519	3.909027131622573e-09	1.0810943654959269e-06	2.5953572838401624	up_in_DM1
CDC42EP1	0.5689648058445973	-1.287901772173411	2.5910694199442372	8.366625995713438	1.019550556007367e-09	4.0505287089378395e-07	2.5910694199442372	up_in_DM1
INPP4A	0.3344939189199059	-1.2170654679142436	2.590044332034109	7.851317629288868	1.5573931062076347e-08	2.908954630990365e-06	2.590044332034109	up_in_DM1
RIN1	0.6334914622726054	-1.1071300942230051	2.5871597088398874	8.691038702873605	1.913516272343688e-10	1.1825530563083993e-07	2.5871597088398874	up_in_DM1
SCD	0.5764342593301014	-1.393091906945625	2.5862360714767942	6.900326905315527	1.3246585130069954e-06	7.613060372457426e-05	2.5862360714767942	up_in_DM1
ARF6	0.600595843456719	-0.9437064663115345	2.58096130753495	8.723426143632267	1.5818149139486576e-10	1.015160140544127e-07	2.58096130753495	up_in_DM1
BID	0.4119609067590364	-1.2128641127787871	2.5792350591198008	7.462479390806433	1.017666375978294e-07	1.1902416693626505e-05	2.5792350591198008	up_in_DM1
GJB3	0.17874969896252305	-1.378984160160153	2.5780528961227698	9.22010244651285	2.4461311625697202e-11	2.7210763052425568e-08	2.5780528961227698	up_in_DM1
TMEM154	0.6812277537738662	-1.5038881373991062	2.5755540763686606	8.165213151250502	2.6108774872458213e-09	8.219830519279958e-07	2.5755540763686606	up_in_DM1
ALOX5AP	0.5160120958143222	-1.501632279777148	2.573481450685766	8.041148569788197	4.9708990751079255e-09	1.2573361060438383e-06	2.573481450685766	up_in_DM1
ST8SIA4	0.416516482826606	-1.023376072543383	2.567769099551832	7.55627932474939	5.8800849559477285e-08	7.998513389261723e-06	2.567769099551832	up_in_DM1
PKP2	0.46276742971944024	-1.3691023091094283	2.560520739138165	9.394301925056737	1.8466168758064496e-11	2.14971971090975e-08	2.560520739138165	up_in_DM1
CLDN1	0.4977956634824739	-1.6563841805090105	2.5600125233697253	6.639113278054023	3.2633308520088945e-06	0.00014769965261289444	2.5600125233697253	up_in_DM1
GRAMD1A	0.4401408065838167	-1.1738425550114135	2.5541419719797482	7.322383869251013	1.662345351970919e-07	1.7264249715551923e-05	2.5541419719797482	up_in_DM1
GBP2	0.43315334462842503	-1.321925977265624	2.551664176910546	7.915310903697604	8.069058695077286e-09	1.8032184828490125e-06	2.551664176910546	up_in_DM1
ITGAM	0.6728091508828887	-1.3861436987040443	2.543814473147302	7.928758388670209	7.035602296400684e-09	1.5936116730915179e-06	2.543814473147302	up_in_DM1
STRA6	0.2612273952089339	-1.3082783505164135	2.5426254683011424	9.819402814315398	2.5144151833291473e-11	2.7362303314584878e-08	2.5426254683011424	up_in_DM1
CAMK2N1	0.20385409119252249	-1.7198712589442056	2.540524516489344	7.9818025225121	5.164970712110611e-09	1.2836218275719823e-06	2.540524516489344	up_in_DM1
SERPINB8	0.5893842491471275	-1.5043774658086673	2.540237952910619	7.462819442759745	7.578818371927141e-08	9.508282958945586e-06	2.540237952910619	up_in_DM1
AMOT	0.34953962167404246	-1.2110729766569048	2.5401997906517546	8.4234805364302	5.154895344147723e-10	2.434375010729686e-07	2.5401997906517546	up_in_DM1
UNC5CL	0.47716291343789696	-1.287038931856411	2.5392507855493847	9.541280164545334	2.0222109226846394e-11	2.3006325992669928e-08	2.5392507855493847	up_in_DM1
SYT12	0.23532349536707348	-1.3327810853849271	2.5326574739341803	10.236116246267368	1.0578120467959408e-10	7.564565062644458e-08	2.5326574739341803	up_in_DM1
PCED1B	0.730849009546273	-1.2466969279596634	2.53150829397216	7.046709268800618	5.093046459927988e-07	3.705635460626093e-05	2.53150829397216	up_in_DM1
GRHL3	0.4812420538058694	-1.0516735087566433	2.5308351127223268	8.45924102298491	4.0577490715914604e-10	2.0111168616408448e-07	2.5308351127223268	up_in_DM1
CCDC88C	0.5961975660099017	-1.3592461667601077	2.521899085964203	8.657282202883138	1.565143142451197e-10	1.015160140544127e-07	2.521899085964203	up_in_DM1
FXYD5	0.5350270161725506	-1.2660439384668338	2.521211976933634	6.896921000769862	9.226111221253911e-07	5.794738714096967e-05	2.521211976933634	up_in_DM1
RAC2	0.5353032067813985	-1.5954740703413084	2.5181978657439466	8.026290980936873	3.3913032643304755e-09	9.92759408221374e-07	2.5181978657439466	up_in_DM1
EPHB3	0.3806810443411399	-1.3256414670658683	2.5109023552321137	8.897449058855267	6.284290804469761e-11	5.423776363623229e-08	2.5109023552321137	up_in_DM1
UGCG	0.6303474984582962	-1.3363143999370242	2.509381030009428	8.050935021317274	2.772506212441237e-09	8.620255651079716e-07	2.509381030009428	up_in_DM1
VASP	0.6560822923963736	-1.0206296543049682	2.509094841381677	8.02361498004452	3.193971285301793e-09	9.516893726168877e-07	2.509094841381677	up_in_DM1
FLNA	0.420607502615233	-1.2177098758084113	2.508751736677249	7.315696410364377	1.234605891152542e-07	1.3703304146189346e-05	2.508751736677249	up_in_DM1
PTK2B	0.3583081631482896	-1.5558343454239945	2.506175936694679	8.109572223001562	1.9881029745170704e-09	6.679225415998356e-07	2.506175936694679	up_in_DM1
SYT1	0.5273539646578288	-1.0952739417116983	2.503478885208348	10.015579123570632	9.241072327509108e-11	6.904322366723147e-08	2.503478885208348	up_in_DM1
TMSB10	0.3835582285041157	-1.3171183154989792	2.4969100907400406	7.02303563320603	4.527370429868287e-07	3.3825538653484584e-05	2.4969100907400406	up_in_DM1
ARHGAP23	0.35961114646267334	-1.3584400904475147	2.4933329698904685	6.441910756049125	5.027454222141579e-06	0.0002062822159442321	2.4933329698904685	up_in_DM1
S1PR2	0.566051499695847	-1.5650626953542428	2.4921541374630984	7.215565458117706	1.777476453338408e-07	1.8158554347186537e-05	2.4921541374630984	up_in_DM1
SLC1A5	0.40202338606234006	-1.4057723110456248	2.48790829310828	8.656041976474627	1.390791500136829e-10	9.282698788513251e-08	2.48790829310828	up_in_DM1
CORO2A	0.2561205218790504	-1.7692297073296515	2.487672670437605	6.972568949008246	5.359714661454734e-07	3.838291795752519e-05	2.487672670437605	up_in_DM1
NOD1	0.18000143389819095	-1.455243683568552	2.486523809730392	7.492005934496503	4.3086147165008394e-08	6.252552336147724e-06	2.486523809730392	up_in_DM1
CTSC	0.6937706289917617	-1.1293180365797284	2.4835204450089234	8.486439486343464	2.733824999708302e-10	1.5912768818069555e-07	2.4835204450089234	up_in_DM1
P2RY6	0.6355174835173197	-1.2106129827535919	2.483497111270829	8.98166664162742	5.222970044838304e-11	4.753662445536651e-08	2.483497111270829	up_in_DM1
SH3BGRL3	0.41333720463109674	-1.2803129003487947	2.482763273817226	8.006029740104307	2.8385865713835043e-09	8.771232505575028e-07	2.482763273817226	up_in_DM1
PLCD3	0.23158083368638424	-1.3844339558176584	2.4766139355481376	7.28960255986029	1.105214220575859e-07	1.2718347920364679e-05	2.4766139355481376	up_in_DM1
SH3BP2	0.40461052676041753	-1.4214498289074138	2.4752424676404385	7.758502645299415	9.81660867619578e-09	2.0734168654557317e-06	2.4752424676404385	up_in_DM1
SPTBN2	0.35788320025987386	-1.3151440768940923	2.4723606868957537	7.770021927726103	9.024495854118504e-09	1.9726996221199304e-06	2.4723606868957537	up_in_DM1
AMIGO2	0.6164590284689326	-1.2522395189695856	2.468411201386645	7.033183098987866	3.571698206652925e-07	2.820064177107762e-05	2.468411201386645	up_in_DM1
IL17RD	0.1622109846535969	-1.6170323549690582	2.465019807833335	8.17062077683648	1.074608835598101e-09	4.2025600853413856e-07	2.465019807833335	up_in_DM1
FLII	0.395266935166489	-0.9596997184690714	2.4610215260162476	8.14392897668222	1.1935121022651789e-09	4.585662992100085e-07	2.4610215260162476	up_in_DM1
EBI3	0.33963568388657145	-1.3275278668797845	2.4579675948318913	8.709299858635527	1.1014450961266513e-10	7.765653327029284e-08	2.4579675948318913	up_in_DM1
LYN	0.41882505899299205	-1.1868661515627477	2.4524147073782476	7.934622043425572	3.250402239587953e-09	9.57109619466434e-07	2.4524147073782476	up_in_DM1
RELB	0.5461426779761102	-1.4429622187190205	2.438846106961796	8.096292816990369	1.2993141072561555e-09	4.92735345310823e-07	2.438846106961796	up_in_DM1
PDE5A	0.14264562644755388	-1.7406599597930317	2.4383378982656576	8.915944986403234	7.052736208858285e-11	5.787637199066034e-08	2.4383378982656576	up_in_DM1
BHLHE40	0.5145486046927294	-1.2063375407825287	2.4347362038570544	7.055151068540854	2.550265623759802e-07	2.2240626584349853e-05	2.4347362038570544	up_in_DM1
HLA-DQB2	0.6091835941254956	-1.248650449219552	2.4263401323324847	8.338025852956102	4.000407168640744e-10	2.0068028867655765e-07	2.4263401323324847	up_in_DM1
AHNAK2	0.4534759500896645	-1.3159527541740246	2.4232984374434117	7.589279119367014	1.5693773744711617e-08	2.910249989200195e-06	2.4232984374434117	up_in_DM1
OPTN	0.49176589410944627	-1.6656142167562	2.4212154901139775	6.7298402928083085	1.0425007299039677e-06	6.348601160283798e-05	2.4212154901139775	up_in_DM1
PPP1R1B	0.5114061877908569	-1.2667879956377806	2.4201059690997653	9.371783264761927	8.803577367947925e-11	6.772215911585993e-08	2.4201059690997653	up_in_DM1
NTAN1	0.55692451391517	-1.1853836196263654	2.414579536750656	6.979835592908265	3.1721250722532734e-07	2.565270385571153e-05	2.414579536750656	up_in_DM1
TACSTD2	0.2466241809065946	-1.2969074097737037	2.4122670840472336	7.0167330319530095	2.6165075105261566e-07	2.2556570008744888e-05	2.4122670840472336	up_in_DM1
ANXA1	0.40949930724619343	-1.46194796072579	2.4064084390157316	6.819501294669915	6.344635072656309e-07	4.362633825096559e-05	2.4064084390157316	up_in_DM1
MDK	0.3600153869473622	-1.2325815478606272	2.404872725955952	6.550522417390281	2.053498798381217e-06	0.00010372759116989601	2.404872725955952	up_in_DM1
GBP3	0.5070370694765449	-0.8589544106663137	2.403506577964046	6.602396080486112	1.6334247985292e-06	8.681326064723474e-05	2.403506577964046	up_in_DM1
MNDA	0.7168369313563792	-1.3239664153055801	2.3995087793045746	7.758570977630302	5.397524446358174e-09	1.3244572487048895e-06	2.3995087793045746	up_in_DM1
G0S2	0.8064233044831837	-1.2157425055246067	2.393675149841655	8.264103299863876	4.78507509125943e-10	2.282831983222267e-07	2.393675149841655	up_in_DM1
SFTPB	0.36577940263979836	-1.3207955551457191	2.392220913366215	7.994546541022684	1.5776346624472204e-09	5.681527764948414e-07	2.392220913366215	up_in_DM1
PARP4	0.4380130659633238	-1.1779169606865203	2.3897015786635856	7.262474445448803	6.536211136142261e-08	8.543218655176201e-06	2.3897015786635856	up_in_DM1
PFKFB3	0.5654396205533212	-1.2973474111407033	2.3894050446762916	8.372514333932298	3.1298958269325604e-10	1.7804127875521603e-07	2.3894050446762916	up_in_DM1
SFXN3	0.5922568936301681	-1.2027555334023774	2.388771066907275	6.717778483302642	8.991409809277807e-07	5.685665963114505e-05	2.388771066907275	up_in_DM1
VWA5A	0.3150677070096658	-1.3069848148790906	2.3847552344923417	7.520806936931956	1.6544117801762673e-08	3.0225016383964814e-06	2.3847552344923417	up_in_DM1
MIR31HG	0.5084140599221736	-1.2810331316593244	2.3843971461038915	8.230157171268004	5.31118230456577e-10	2.4617329981662345e-07	2.3843971461038915	up_in_DM1
NECTIN4	0.2928356964667115	-1.3894401248268298	2.3839473135874716	8.306947484599908	3.9298579313031853e-10	2.0068028867655765e-07	2.3839473135874716	up_in_DM1
SCN1B	0.402673619601428	-1.5200696540256458	2.3839428897806414	8.199702002566225	6.007808390901644e-10	2.738632430301501e-07	2.3839428897806414	up_in_DM1
RSPO4	0.015275500267882628	-1.5468920591742295	2.382944312709682	8.355167189017271	3.289561403997806e-10	1.78987896479698e-07	2.382944312709682	up_in_DM1
RASD2	0.3209878422114102	-1.0787690235329153	2.375360412940259	8.721485326405135	1.3152567770804754e-10	8.968978038579987e-08	2.375360412940259	up_in_DM1
STAT1	0.37046303456368	-1.1655446898025716	2.372536827354147	7.9826380363145475	1.48477519832408e-09	5.416555184962954e-07	2.372536827354147	up_in_DM1
YWHAH	0.7219581615294006	-1.1871502110349599	2.372370149634472	7.758852419832355	4.4186737468309345e-09	1.1891933893487254e-06	2.372370149634472	up_in_DM1
TRIM14	0.3261122054030119	-1.5903502417637205	2.363786399444558	6.30128846227294	4.595860104842359e-06	0.00019155667371207225	2.363786399444558	up_in_DM1
IGSF6	0.6097132709501933	-1.2371317822488408	2.362836591073615	7.910413530723815	1.9707820694018756e-09	6.665770866899939e-07	2.362836591073615	up_in_DM1
PHYHIP	0.2830496088208784	-1.4128919961211437	2.3616717180506592	6.8486383071299315	4.106136072653006e-07	3.132878754324625e-05	2.3616717180506592	up_in_DM1
NFKB2	0.6209558775266419	-1.3846019947751043	2.3519033582899733	6.251788977459325	5.274690385431955e-06	0.00021501665416445668	2.3519033582899733	up_in_DM1
NABP1	0.6134125628824261	-1.2131716792739122	2.347022406922548	8.62975288293141	1.7566571721208505e-10	1.1130980344560195e-07	2.347022406922548	up_in_DM1
LCP1	0.5718868222897604	-1.3589525999575902	2.3454890733743565	7.315121993047631	3.543668984182076e-08	5.440298133403786e-06	2.3454890733743565	up_in_DM1
SDC4	0.26710185282754606	-1.277732120528394	2.3439094671568514	8.153057149581025	6.335029007907876e-10	2.806361788299579e-07	2.3439094671568514	up_in_DM1
