drug	moa	n_drug_genes	n_intersection	spearman_r	spearman_p	connectivity_score	fdr_pass_intersection	intersection_genes	verdict
OTX015	BET bromodomain inhibitor (birabresib)	15	12	0.05120915564991891	0.8744170680699109	-0.2762746206888951	10	B2M;CCND1;CIITA;FN1;FOSL1;HLA-A;HMGA2;ICAM1;LCN2;MYC;PLAU;TMPRSS4	opposing
selumetinib	MEK1/2 inhibitor	40	32	-0.06991126899682784	0.7037901380802642	-0.2916430782581269	26	B2M;CCND1;CIITA;CXCL10;CXCL9;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;HLA-B;HLA-DRA;HLA-DRB1;HMGA2;ICAM1;IFNG;LCN2;MYC;PHLDA1;PLAU;S100A4;SPRY2;SPRY4;STAT1;TACSTD2;TIMP1;TMPRSS4	opposing
encorafenib	BRAF V600E inhibitor (3rd gen)	32	24	0.1276884796138123	0.5521164107020985	-0.30021145708321945	18	B2M;CCND1;CIITA;CXCL10;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;HLA-DRA;ICAM1;LCN2;MYC;PHLDA1;S100A4;SPRY2;SPRY4;STAT1;TIMP1	opposing
cobimetinib	MEK1/2 inhibitor	27	21	0.08341060116016318	0.719253039003286	-0.31805544634381355	16	B2M;CCND1;CIITA;CXCL10;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;HLA-A;ICAM1;LCN2;MYC;PHLDA1;SPRY2;SPRY4;STAT1;TIMP1	opposing
ulixertinib	ERK1/2 inhibitor	28	22	0.11536755044103547	0.6091774225540667	-0.333860880769888	16	B2M;CCND1;CIITA;CXCL10;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;ICAM1;LCN2;MYC;PHLDA1;SPRY2;SPRY4;STAT1;TIMP1	opposing
trametinib	MEK1/2 inhibitor	38	30	-0.03267802273989507	0.8638895471996743	-0.35617473542643135	24	B2M;CCND1;CIITA;CXCL10;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;HLA-DRA;HLA-DRB1;HMGA2;ICAM1;IFNG;LCN2;MYC;PHLDA1;PLAU;S100A4;SPRY2;SPRY4;STAT1;TACSTD2;TIMP1;TMPRSS4	opposing
GSK2879552	LSD1 inhibitor (epigenetic re-diff)	9	6	0.0	1.0	-0.36931304490640054	6	CIITA;FN1;HLA-DRA;HMGA2;LCN2;MYC	opposing
AZD-0364	ERK1/2 inhibitor (MAPK-pathway blockade)	35	27	0.05206826946220601	0.7964631360209481	-0.4044730063730908	21	B2M;CCND1;CIITA;CXCL10;DIO2;DUSP4;DUSP5;DUSP6;ETV1;ETV4;ETV5;FN1;FOSL1;HLA-A;HLA-DRA;HMGA2;ICAM1;LCN2;MYC;PHLDA1;PLAU;S100A4;SPRY2;SPRY4;STAT1;TIMP1;TMPRSS4	opposing
tanespimycin	HSP90 inhibitor (clears BRAF V600E)	16	11	-0.19364916731037088	0.5683217589713181	-0.549466257214784	9	B2M;CCND1;DUSP4;DUSP6;ETV1;FN1;HLA-A;LCN2;MYC;PLAU;STAT1	opposing
sorafenib	VEGFR/RAF/PDGFR multikinase	21	15	-0.3471825374147068	0.2048444407476489	-0.77794152903356	13	CCND1;DIO2;DUSP4;DUSP5;DUSP6;ETV1;FN1;HLA-A;LCN2;MET;MYC;PLAU;STAT1;TIMP1;TMPRSS4	opposing
lenvatinib	VEGFR/FGFR/RET/KIT multikinase	21	15	-0.38575837490522974	0.15557949721454714	-0.7821904022264861	13	CCND1;DIO2;DUSP4;DUSP5;DUSP6;ETV1;FN1;HLA-A;LCN2;MYC;PLAU;STAT1;TACSTD2;TIMP1;TMPRSS4	opposing
FK866	NAMPT inhibitor (NAD+ depletion)	7	7			-1.0	6	CCND1;FN1;HMGA2;LCN2;MYC;PLAU;S100A4	opposing
everolimus	mTORC1 inhibitor	12	8			-1.0	7	CCND1;FN1;HMGA2;LCN2;MYC;PLAU;S100A4;TIMP1	opposing
cabozantinib	MET/VEGFR/RET multikinase	17	11	-0.5	0.11730680301423817	-1.0	10	DIO2;DUSP4;DUSP6;ETV1;FN1;LCN2;MET;MYC;PLAU;TIMP1;TMPRSS4	opposing
anti-ICAM1	anti-ICAM1 antibody (DM1-up direct neutralization)	1	1				0	ICAM1	insufficient_overlap
cisplatin	DNA-crosslink (platinum)	2	2				0	CCND1;MYC	insufficient_overlap
doxorubicin	topoII / DNA intercalator	2	2				0	CCND1;MYC	insufficient_overlap
metformin	AMPK activator / biguanide	6	4				0	CCND1;FN1;HMGA2;MYC	insufficient_overlap
paclitaxel	taxane / mitotic spindle	2	2				0	CCND1;MYC	insufficient_overlap
simvastatin	HMG-CoA reductase / mevalonate	3	3				0	FN1;HMGA2;PLAU	insufficient_overlap
