target	target_mode	feature_set	n	n_features	pooled_rho	sample_centered_rho	median_sample_rho	samples_rho_gt_0_1
MAPK_output_score	coord_qc_residual_target	radius48_only	15489	26	0.019959176094062447	0.037536055072571364	0.026730934717620402	1
MAPK_output_score	coord_qc_residual_target	radius96_only	15489	26	0.03230383383449437	0.056720980107008344	0.03159306279305091	1
MAPK_output_score	coord_qc_residual_target	rgb_distribution	15489	24	0.05478008086237404	0.06988347082424994	0.07181505886659399	1
MAPK_output_score	coord_qc_residual_target	hsv_gray_summary	15489	16	0.02711797939537571	0.05759600159955514	0.05561543724895332	1
MAPK_output_score	coord_qc_residual_target	density_texture	15489	10	-0.007353903297714304	-0.004021839806710274	0.01878235501155536	0
MAPK_output_score	coord_qc_residual_target	stain_proxy_only	15489	4	0.015632795572492884	0.026603982757333645	0.03955918852701236	0
MAPK_output_score	coord_qc_residual_target	color_means_only	15489	14	0.009871432507589753	0.030102325640588342	0.015325177760848723	0
HLA_II_AP_score	raw_smoothed	all_HE_features	15489	52	0.22758108158087312	0.19903498704946695	0.2085270180671086	4
HLA_II_AP_score	raw_smoothed	radius48_only	15489	26	0.11345923967033156	0.06157579537893055	0.05564428917920201	2
HLA_II_AP_score	raw_smoothed	radius96_only	15489	26	0.23590302813595154	0.2084372164320699	0.21747219950378086	4
HLA_II_AP_score	raw_smoothed	rgb_distribution	15489	24	0.06290958807494425	0.026397275803060016	0.07432386381389715	2
HLA_II_AP_score	raw_smoothed	hsv_gray_summary	15489	16	0.12374365694307538	0.08757059367225421	0.10944257789166664	2
HLA_II_AP_score	raw_smoothed	density_texture	15489	10	-0.008601721839416383	-0.03801573655275062	-0.03233436668400194	2
HLA_II_AP_score	raw_smoothed	stain_proxy_only	15489	4	-0.3827379198699663	-0.4399674904448635	-0.4578549058935529	1
HLA_II_AP_score	raw_smoothed	color_means_only	15489	14	-0.24421620650542183	-0.30178275923423625	-0.4090029359412831	1
HLA_II_AP_score	coord_qc_residual_target	all_HE_features	15489	52	0.1860896260520274	0.18607773931836544	0.22387441884864218	3
HLA_II_AP_score	coord_qc_residual_target	radius48_only	15489	26	0.14664539888636424	0.14522519984795287	0.15869678508732016	3
HLA_II_AP_score	coord_qc_residual_target	radius96_only	15489	26	0.19263644167430707	0.19467818861011904	0.22620551884757695	3
HLA_II_AP_score	coord_qc_residual_target	rgb_distribution	15489	24	0.18237261787025688	0.19181911822286712	0.23102927699272272	3
HLA_II_AP_score	coord_qc_residual_target	hsv_gray_summary	15489	16	0.1571282375014843	0.1649466890885498	0.2079132567314308	3
HLA_II_AP_score	coord_qc_residual_target	density_texture	15489	10	0.07387163142092568	0.06422057054912043	0.07709321113959744	1
HLA_II_AP_score	coord_qc_residual_target	stain_proxy_only	15489	4	0.1443013718760852	0.14902118731675204	0.13837125471869488	2
HLA_II_AP_score	coord_qc_residual_target	color_means_only	15489	14	0.1510063130896334	0.13928345358673294	0.1747003017783007	3
Tumor_ZCCHC12_score	raw_smoothed	all_HE_features	15489	52	0.2252569802471186	0.23266838311662003	0.19264363292346043	2
Tumor_ZCCHC12_score	raw_smoothed	radius48_only	15489	26	0.2370052733853559	0.1789621360286318	0.14213627559617076	2
Tumor_ZCCHC12_score	raw_smoothed	radius96_only	15489	26	0.23726359711308914	0.2355174976881087	0.19927810033102228	3
Tumor_ZCCHC12_score	raw_smoothed	rgb_distribution	15489	24	0.04724907825733585	0.10098043321555566	0.10965153842200698	2
Tumor_ZCCHC12_score	raw_smoothed	hsv_gray_summary	15489	16	0.2599153903645261	0.2576673313058629	0.2541695544095059	4
Tumor_ZCCHC12_score	raw_smoothed	density_texture	15489	10	0.17917182838119497	0.18420138739562775	0.10978940013938657	2
Tumor_ZCCHC12_score	raw_smoothed	stain_proxy_only	15489	4	-0.11892787230805237	-0.12076302966976621	-0.09465420835940914	1
Tumor_ZCCHC12_score	raw_smoothed	color_means_only	15489	14	0.03073356880702606	-0.08054411192297106	-0.12474519423031327	1
Tumor_ZCCHC12_score	coord_qc_residual_target	all_HE_features	15489	52	0.0734133644370759	0.09820601251933862	0.09411926641530721	2
Tumor_ZCCHC12_score	coord_qc_residual_target	radius48_only	15489	26	0.08204124845084214	0.1068579546359401	0.10084198472351485	2
Tumor_ZCCHC12_score	coord_qc_residual_target	radius96_only	15489	26	0.07520117750919293	0.10558507832478974	0.10195717715725013	2
Tumor_ZCCHC12_score	coord_qc_residual_target	rgb_distribution	15489	24	0.048589568518458796	0.059540696764759656	0.06268056744876477	0
Tumor_ZCCHC12_score	coord_qc_residual_target	hsv_gray_summary	15489	16	0.08803531817942126	0.10597373406313304	0.10527323747920649	2
Tumor_ZCCHC12_score	coord_qc_residual_target	density_texture	15489	10	0.08162116838820796	0.07574415792893484	0.09525086550013528	2
Tumor_ZCCHC12_score	coord_qc_residual_target	stain_proxy_only	15489	4	0.026532800973931348	0.0358750334074466	0.05179784460440006	1
Tumor_ZCCHC12_score	coord_qc_residual_target	color_means_only	15489	14	0.04849940582756013	0.04997912402407476	0.048256454469882464	1
