arm	call	class6_call_pct	other_call_pct	odds_ratio	fisher_p	bh_q
12q	Loss	0.0	0.0		1.0	1.0
15q	Gain	0.0	0.0		1.0	1.0
16p	Loss	0.0	0.29411764705882354	0.0	1.0	1.0
12p	Loss	0.0	0.0		1.0	1.0
5q	Loss	0.0	0.0		1.0	1.0
5p	Loss	0.0	0.0		1.0	1.0
3p	Gain	0.0	0.0		1.0	1.0
2q	Gain	0.0	0.29411764705882354	0.0	1.0	1.0
20q	Loss	0.0	0.0		1.0	1.0
20p	Loss	0.0	0.0		1.0	1.0
2p	Gain	0.0	0.0		1.0	1.0
19p	Loss	0.0	0.0		1.0	1.0
8p	Gain	0.0	0.0		1.0	1.0
7q	Loss	0.0	0.0		1.0	1.0
7p	Loss	0.0	0.0		1.0	1.0
8q	Gain	0.0	0.29411764705882354	0.0	1.0	1.0
9p	Gain	0.0	0.0		1.0	1.0
9q	Gain	0.0	0.29411764705882354	0.0	1.0	1.0
