gene	d	p	n_a	n_b	cohort	stratum	contrast
CD79B			0	0	Mun2025_protein	all	PDTC_vs_PTC
MS4A1	-0.18480642699716743	0.22298885733238547	46	177	Mun2025_protein	all	PDTC_vs_PTC
AICDA			0	0	Mun2025_protein	all	PDTC_vs_PTC
CXCL13	-0.1613646123787604	0.17303227435790566	46	177	Mun2025_protein	all	PDTC_vs_PTC
CCR6			0	0	Mun2025_protein	all	PDTC_vs_PTC
IFNG			0	0	Mun2025_protein	all	PDTC_vs_PTC
HLA-DRA	0.6493736417203037	0.008244341023927808	17	35	GSE151179	all	post-RAI_vs_pre-RAI
HLA-DRB1			0	0	GSE151179	all	post-RAI_vs_pre-RAI
HLA-DPA1			0	0	GSE151179	all	post-RAI_vs_pre-RAI
HLA-DPB1	0.5159751648908935	0.05528501203816273	17	35	GSE151179	all	post-RAI_vs_pre-RAI
HLA-DQA1	0.41795669407041586	0.14143099374813034	17	35	GSE151179	all	post-RAI_vs_pre-RAI
HLA-DQB1			0	0	GSE151179	all	post-RAI_vs_pre-RAI
CD79A			0	0	GSE151179	all	post-RAI_vs_pre-RAI
CD79B			0	0	GSE151179	all	post-RAI_vs_pre-RAI
MS4A1			0	0	GSE151179	all	post-RAI_vs_pre-RAI
AICDA	0.11236940985585278	0.7298535023628838	17	35	GSE151179	all	post-RAI_vs_pre-RAI
CXCL13	0.306177820605459	0.2953489877940038	17	35	GSE151179	all	post-RAI_vs_pre-RAI
CCR6			0	0	GSE151179	all	post-RAI_vs_pre-RAI
IFNG	-0.04697779294995823	0.8817161567265213	17	35	GSE151179	all	post-RAI_vs_pre-RAI
