gene	cohen_d	abs_d	rank	in_TIERA67	in_8gene	in_top5000_MAD
MST1R	-2.7152968165472444	2.7152968165472444	66	False	False	True
TMEM43	-2.7087294944160387	2.7087294944160387	67	False	False	False
CTSH	-2.7073990634413616	2.7073990634413616	68	False	False	True
TAGLN2	-2.7049337805385685	2.7049337805385685	69	False	False	False
AC012668.3	-2.694104353236748	2.694104353236748	70	False	False	False
GRB7	-2.6885554547215182	2.6885554547215182	71	False	False	True
MTMR11	-2.6859000969596685	2.6859000969596685	72	False	False	True
ALDH3B1	-2.671519925281636	2.671519925281636	73	False	False	True
RIN1	-2.6508591075844157	2.6508591075844157	74	False	False	True
TBC1D2	-2.650658948422366	2.650658948422366	75	False	False	True
RASGRF1	-2.6475783518894564	2.6475783518894564	76	False	False	True
MAMLD1	-2.6446243849437114	2.6446243849437114	77	False	False	True
TMC6	-2.6352779813294585	2.6352779813294585	78	False	False	True
AHR	-2.6318117159029004	2.6318117159029004	79	False	False	True
LINC01586	2.6240417758091015	2.6240417758091015	80	False	False	True
MLEC	2.616582391940952	2.616582391940952	81	False	False	False
LGI3	2.606344693312965	2.606344693312965	82	False	False	True
CDC42EP1	-2.604567450514015	2.604567450514015	83	False	False	True
TNFRSF12A	-2.602292699950421	2.602292699950421	84	False	False	True
GNA14	2.595314138971786	2.595314138971786	85	False	False	True
MT1F	2.5832807986679556	2.5832807986679556	86	False	False	True
FAXC	-2.582546685680455	2.582546685680455	87	False	False	True
CAMK2N1	-2.5817960983785664	2.5817960983785664	88	False	False	True
NAGPA-AS1	2.57988181457834	2.57988181457834	89	False	False	True
SFXN3	-2.573349220706684	2.573349220706684	90	False	False	False
IL17RD	-2.563252947916501	2.563252947916501	91	False	False	True
ERBB3	-2.5585827825738665	2.5585827825738665	92	False	False	True
LDHD	2.5484757766588837	2.5484757766588837	93	False	False	True
SFN	-2.5376792480183723	2.5376792480183723	94	False	False	True
MXRA8	-2.5344887403726917	2.5344887403726917	95	False	False	True
FSTL3	-2.5333114343347263	2.5333114343347263	96	False	False	True
DUSP6	-2.530455694726573	2.530455694726573	97	True	False	True
AC254633.1	-2.529139719981219	2.529139719981219	98	False	False	True
TDH	2.528560123583491	2.528560123583491	99	False	False	False
CST6	-2.523447670760831	2.523447670760831	100	False	False	True
CLDN10	-2.5197399634805295	2.5197399634805295	101	False	False	True
NOD1	-2.518915701035518	2.518915701035518	102	False	False	True
QSOX1	-2.5188263285055172	2.5188263285055172	103	False	False	True
JAK3	-2.518021849275633	2.518021849275633	104	False	False	True
MPPED2	2.5153253396190447	2.5153253396190447	105	False	False	True
CTXN1	-2.514251073493537	2.514251073493537	106	False	False	True
ABTB2	-2.511149600373845	2.511149600373845	107	False	False	True
VASN	-2.508094561665716	2.508094561665716	108	False	False	True
CTSC	-2.5071748683070636	2.5071748683070636	109	False	False	True
ACSF2	2.5031460518275264	2.5031460518275264	110	False	False	True
C1orf116	-2.500470048781155	2.500470048781155	111	False	False	True
ARNTL	-2.492696066857961	2.492696066857961	112	False	False	True
YBX3	-2.4906487322173207	2.4906487322173207	113	False	False	False
FAM111A-DT	-2.4826188962438684	2.4826188962438684	114	False	False	True
KATNAL2	2.479751463927145	2.479751463927145	115	False	False	True
CACNB4	2.47963646117782	2.47963646117782	116	False	False	True
PALM	-2.4726265206832228	2.4726265206832228	117	False	False	True
PLEKHD1	2.4720564955901403	2.4720564955901403	118	False	False	True
SFTPC	2.470616632048533	2.470616632048533	119	False	False	False
STXBP5L	2.469237053441251	2.469237053441251	120	False	False	True
SPOCK2	-2.464726582460777	2.464726582460777	121	False	False	True
FCHO1	-2.459692447622978	2.459692447622978	122	False	False	True
ENDOD1	-2.4584407757017726	2.4584407757017726	123	False	False	True
CD276	-2.4555574079097187	2.4555574079097187	124	False	False	False
MUC1	-2.4549159591418	2.4549159591418	125	False	False	True
LDLR	-2.4542824886763945	2.4542824886763945	126	False	False	True
LRG1	-2.4533153152667793	2.4533153152667793	127	False	False	True
DRAM1	-2.4452645795120955	2.4452645795120955	128	False	False	True
FLNA	-2.442627585402763	2.442627585402763	129	False	False	True
CHI3L1	-2.4424595484221645	2.4424595484221645	130	False	False	True
SPTBN2	-2.4414755607928145	2.4414755607928145	131	False	False	True
SELENOV	2.4380822618618434	2.4380822618618434	132	False	False	True
RASGEF1B	-2.4366366221165316	2.4366366221165316	133	False	False	True
OTOS	2.436576772228178	2.436576772228178	134	False	False	True
DOK7	-2.432085043581766	2.432085043581766	135	False	False	True
PPM1L	2.431346477959879	2.431346477959879	136	False	False	True
SEL1L3	-2.429276847333029	2.429276847333029	137	False	False	True
SORBS2	2.428688867971254	2.428688867971254	138	False	False	True
KLK7	-2.427997490516074	2.427997490516074	139	False	False	True
MT1G	2.426421880231471	2.426421880231471	140	False	False	True
ELF3	-2.4233909937818123	2.4233909937818123	141	False	False	True
AC106795.2	2.4191485842343616	2.4191485842343616	142	False	False	True
ATIC	-2.41638088909973	2.41638088909973	143	False	False	False
TGFBR1	-2.4135189496869884	2.4135189496869884	144	False	False	True
LRRC52-AS1	-2.397088754210437	2.397088754210437	145	False	False	True
CXCL16	-2.3903311152365703	2.3903311152365703	146	False	False	True
COL8A1	-2.389842571351416	2.389842571351416	147	False	False	True
AP002358.1	-2.3894056505880714	2.3894056505880714	148	False	False	True
MFGE8	-2.3886974415374818	2.3886974415374818	149	False	False	True
ZMAT4	2.3884509669135072	2.3884509669135072	150	False	False	True
RASD2	-2.3761394790474584	2.3761394790474584	151	False	False	True
AC084212.1	2.3734714155936274	2.3734714155936274	152	False	False	False
WNT4	2.3701465482885844	2.3701465482885844	153	False	False	True
DRAXIN	-2.3565221363479965	2.3565221363479965	154	False	False	True
WNT10A	-2.3527987213589	2.3527987213589	155	False	False	True
MGAT3	-2.351958280268282	2.351958280268282	156	False	False	True
UNC5CL	-2.3519105440312296	2.3519105440312296	157	False	False	True
AMOT	-2.3515400694123865	2.3515400694123865	158	False	False	True
GPAM	2.351034422150956	2.351034422150956	159	False	False	True
PLEKHA4	-2.350441794039119	2.350441794039119	160	False	False	True
AHNAK2	-2.3498656311318493	2.3498656311318493	161	False	False	True
SPX	2.3495371098787534	2.3495371098787534	162	False	False	True
PLAUR	-2.3495013034022088	2.3495013034022088	163	False	False	True
TMEM92	-2.3485033533820934	2.3485033533820934	164	False	False	True
AC141930.2	2.348033274381631	2.348033274381631	165	False	False	False
CDC42EP5	-2.3464674151160865	2.3464674151160865	166	False	False	True
CDH3	-2.3461931909174827	2.3461931909174827	167	False	False	True
ZYX	-2.3436666286145824	2.3436666286145824	168	False	False	False
CLU	-2.3404080280090547	2.3404080280090547	169	False	False	True
ALOX5	-2.338366085306359	2.338366085306359	170	False	False	True
AC096669.1	2.3355800562262856	2.3355800562262856	171	False	False	False
ELMO1	2.334980045637453	2.334980045637453	172	False	False	True
RARG	-2.3345706592192674	2.3345706592192674	173	False	False	False
MPZL2	-2.3332035938661266	2.3332035938661266	174	False	False	True
TBC1D8-AS1	2.3314316365537326	2.3314316365537326	175	False	False	False
ICAM5	-2.3270857374012848	2.3270857374012848	176	False	False	True
RND3	-2.3220951898559754	2.3220951898559754	177	False	False	True
SCARA3	-2.317541854200731	2.317541854200731	178	False	False	True
BTBD11	2.3133337455402874	2.3133337455402874	179	False	False	True
STRA6	-2.313061571270369	2.313061571270369	180	False	False	True
KLK10	-2.312877731530863	2.312877731530863	181	True	False	True
UPP1	-2.311232948203558	2.311232948203558	182	False	False	True
KRT15	-2.3072335659361927	2.3072335659361927	183	False	False	True
AC009549.1	-2.307074066170174	2.307074066170174	184	False	False	True
WTIP	-2.3068009850376927	2.3068009850376927	185	False	False	True
BASP1	-2.3045176691531113	2.3045176691531113	186	False	False	True
WASF3	2.3044885089271636	2.3044885089271636	187	False	False	True
S100A10	-2.3029665863189828	2.3029665863189828	188	False	False	True
LIPH	-2.3021591824034258	2.3021591824034258	189	False	False	True
IRF5	-2.3011848173506295	2.3011848173506295	190	False	False	True
LINC01607	2.299072353085838	2.299072353085838	191	False	False	False
PLAU	-2.2989133418704863	2.2989133418704863	192	False	False	True
DSC2	-2.297024480601775	2.297024480601775	193	False	False	True
AL034548.2	2.2959885455710456	2.2959885455710456	194	False	False	False
LINC00607	-2.2919001488121853	2.2919001488121853	195	False	False	True
CXCL17	-2.287613262449738	2.287613262449738	196	False	False	True
DIRAS2	2.280853081101683	2.280853081101683	197	False	False	True
VDAC3	2.280828649911969	2.280828649911969	198	False	False	False
TPO	2.27993335507436	2.27993335507436	199	True	True	True
ITPR1-DT	2.2754584006550393	2.2754584006550393	200	False	False	False
LINC02861	2.2749806235818597	2.2749806235818597	201	False	False	False
ITGB4	-2.2710304114157194	2.2710304114157194	202	False	False	True
EIPR1-IT1	2.268523850584102	2.268523850584102	203	False	False	False
MGAT4B	-2.2683169941845613	2.2683169941845613	204	False	False	False
ACACB	2.26830392602888	2.26830392602888	205	False	False	True
ACOT7	-2.268045544863517	2.268045544863517	206	False	False	False
GBP2	-2.2670097259618065	2.2670097259618065	207	False	False	True
SPATS2L	-2.267006294124525	2.267006294124525	208	False	False	False
ARHGAP23	-2.2656178609173967	2.2656178609173967	209	False	False	True
STK17B	-2.265108351313489	2.265108351313489	210	False	False	True
KCP	-2.2613191312803793	2.2613191312803793	211	False	False	True
ALOX15B	-2.2596827953041863	2.2596827953041863	212	False	False	True
IGFBP6	-2.259222469889295	2.259222469889295	213	False	False	True
THEMIS2	-2.2524258548323908	2.2524258548323908	214	False	False	True
PAPSS1	-2.251205052732286	2.251205052732286	215	False	False	False
MCUB	-2.2504874445382277	2.2504874445382277	216	False	False	True
DIO1	2.248055471095391	2.248055471095391	217	True	True	True
SOX4	-2.242069521959028	2.242069521959028	218	False	False	True
EHBP1L1	-2.241745774628973	2.241745774628973	219	False	False	True
C16orf89	2.236775712559244	2.236775712559244	220	False	False	True
SHROOM4	-2.2364205814366263	2.2364205814366263	221	False	False	True
EBF4	2.236011652424254	2.236011652424254	222	False	False	True
TGM1	-2.2353056719642614	2.2353056719642614	223	False	False	True
CD55	-2.233986475502457	2.233986475502457	224	False	False	True
GSN	-2.233688397596327	2.233688397596327	225	False	False	True
SLC39A11	2.232766922610024	2.232766922610024	226	False	False	False
FLRT1	2.2286804864332987	2.2286804864332987	227	False	False	True
GCNT4	-2.2252993413403144	2.2252993413403144	228	False	False	True
NUCB2	2.224674047029119	2.224674047029119	229	False	False	True
PPP1R1B	-2.2228247548729043	2.2228247548729043	230	False	False	True
MEDAG	-2.222099275179324	2.222099275179324	231	False	False	True
LEMD1	-2.222020899301774	2.222020899301774	232	False	False	True
AL445253.1	2.2199905733621246	2.2199905733621246	233	False	False	False
DPP4	-2.2173844649868633	2.2173844649868633	234	False	False	True
MBOAT2	-2.214944993560018	2.214944993560018	235	False	False	True
AL031985.3	-2.214322980235303	2.214322980235303	236	False	False	True
SDC3	-2.208278628551494	2.208278628551494	237	False	False	True
CD58	-2.2066656471743396	2.2066656471743396	238	False	False	False
ANKRD46	2.2049434433673336	2.2049434433673336	239	False	False	True
MICAL2	-2.2046608665333296	2.2046608665333296	240	False	False	True
IFIT5	-2.203026526950365	2.203026526950365	241	False	False	True
PRSS23	-2.2017217693442763	2.2017217693442763	242	False	False	True
LPAR5	-2.200106945159872	2.200106945159872	243	False	False	True
SLC25A15	2.1982571795831714	2.1982571795831714	244	False	False	True
ST6GALNAC5	-2.1961063816179753	2.1961063816179753	245	False	False	True
FAM167A	2.1941126834748816	2.1941126834748816	246	False	False	True
FLII	-2.1910160876672875	2.1910160876672875	247	False	False	False
PKP2	-2.189148598129262	2.189148598129262	248	False	False	True
MTARC2	2.186156697214059	2.186156697214059	249	False	False	True
PAIP2B	2.1860842832246568	2.1860842832246568	250	False	False	True
S100A6	-2.18365966787197	2.18365966787197	251	False	False	True
LLGL1	-2.181818830772218	2.181818830772218	252	False	False	True
GOLGA8M	2.1814956166499493	2.1814956166499493	253	False	False	True
TMSB4X	-2.1794931602096366	2.1794931602096366	254	False	False	True
GRHL3	-2.1770043268757853	2.1770043268757853	255	False	False	True
AC007613.1	2.173638580503158	2.173638580503158	256	False	False	False
S100A11	-2.1735921003312226	2.1735921003312226	257	False	False	True
TNC	-2.1728392258483225	2.1728392258483225	258	False	False	True
MYO1G	-2.172808683327391	2.172808683327391	259	False	False	True
NXN	-2.172674688873155	2.172674688873155	260	False	False	True
RYR1	-2.169457326836884	2.169457326836884	261	False	False	True
TNFRSF21	-2.1687119236885892	2.1687119236885892	262	False	False	True
SCEL	-2.1685521973391353	2.1685521973391353	263	False	False	True
CCDC149	2.163983442428419	2.163983442428419	264	False	False	False
KRT80	-2.1637842514155574	2.1637842514155574	265	False	False	True
DCUN1D3	-2.162691371998755	2.162691371998755	266	False	False	False
AC008014.1	2.16178115597629	2.16178115597629	267	False	False	False
CCL13	-2.160279437548748	2.160279437548748	268	False	False	True
LOH12CR2	2.1577881602226507	2.1577881602226507	269	False	False	False
CYP1B1-AS1	-2.1574183163213294	2.1574183163213294	270	False	False	True
CYP46A1	2.1561597621533983	2.1561597621533983	271	False	False	True
LINC00886	2.154527302267943	2.154527302267943	272	False	False	True
PPL	-2.151969789680969	2.151969789680969	273	False	False	True
ADIG	2.146689002061789	2.146689002061789	274	False	False	False
GALE	-2.1447069877451757	2.1447069877451757	275	False	False	True
SMIM3	-2.142230637982432	2.142230637982432	276	False	False	True
CATSPER1	-2.142207492737681	2.142207492737681	277	False	False	True
SLC5A8	2.141246747412595	2.141246747412595	278	True	False	True
MT1H	2.141128084225543	2.141128084225543	279	False	False	True
AL031710.1	2.139715471647771	2.139715471647771	280	False	False	False
GGCT	-2.1382134639915447	2.1382134639915447	281	False	False	True
TMSB10	-2.1367859012925003	2.1367859012925003	282	False	False	True
IGSF9	-2.13440169137408	2.13440169137408	283	False	False	True
INAFM2	2.1343662968947332	2.1343662968947332	284	False	False	True
PAM	-2.133288492220116	2.133288492220116	285	False	False	False
KLF16	-2.132880294468073	2.132880294468073	286	False	False	False
LINC01789	2.1325155342269273	2.1325155342269273	287	False	False	True
CFAP99	2.132322171132853	2.132322171132853	288	False	False	False
INHBB	-2.1292947219559917	2.1292947219559917	289	False	False	True
CLDN16	-2.1281503262427943	2.1281503262427943	290	False	False	True
CFH	-2.1278952224194803	2.1278952224194803	291	False	False	True
KCNQ1	2.1275800470398094	2.1275800470398094	292	False	False	True
SGMS2	-2.1251409710890203	2.1251409710890203	293	False	False	True
FAM43A	-2.1220064735504978	2.1220064735504978	294	False	False	True
PELI1	-2.120866115048686	2.120866115048686	295	False	False	True
ARF6	-2.1190170439798797	2.1190170439798797	296	False	False	False
IFTAP	2.1188404824617173	2.1188404824617173	297	False	False	True
NPTXR	-2.1174374632819846	2.1174374632819846	298	False	False	True
KCNIP3	2.117183868020054	2.117183868020054	299	False	False	True
BCAS4	-2.116922191323816	2.116922191323816	300	False	False	True
ARHGAP24	2.115599256284949	2.115599256284949	301	False	False	True
KCTD17	-2.1113049886949975	2.1113049886949975	302	False	False	True
TMEM163	-2.1077578317952153	2.1077578317952153	303	False	False	True
ARSJ	-2.1069256563004886	2.1069256563004886	304	False	False	True
BEAN1	-2.106622350971996	2.106622350971996	305	False	False	True
GPR153	-2.1062105756161746	2.1062105756161746	306	False	False	True
AL451042.2	-2.1050055413273734	2.1050055413273734	307	False	False	False
LINC01550	2.1050037467391465	2.1050037467391465	308	False	False	True
CLDN1	-2.1015597925519662	2.1015597925519662	309	False	False	True
PLXNC1	-2.1010009354412422	2.1010009354412422	310	False	False	True
HMGA1	-2.1009681468613888	2.1009681468613888	311	False	False	True
SNTA1	2.0997675764472787	2.0997675764472787	312	False	False	True
MAFF	-2.098951351515024	2.098951351515024	313	False	False	True
AC093673.1	-2.0984603619087348	2.0984603619087348	314	False	False	True
RBBP8NL	2.0978058919352085	2.0978058919352085	315	False	False	True
IQGAP2	2.09660625182431	2.09660625182431	316	False	False	True
MAP2	-2.0952491909519435	2.0952491909519435	317	False	False	True
HPSE	-2.089582781630275	2.089582781630275	318	False	False	True
SLC25A47P1	-2.087468679476969	2.087468679476969	319	False	False	True
LINC01885	2.087204569273004	2.087204569273004	320	False	False	False
ADIPOR2	2.0852592634572478	2.0852592634572478	321	False	False	False
EMP2	-2.0848920196453786	2.0848920196453786	322	False	False	True
ANXA3	-2.0844256843283127	2.0844256843283127	323	False	False	True
EHD2	-2.082169806668567	2.082169806668567	324	False	False	False
IL4R	-2.081353450635864	2.081353450635864	325	False	False	False
INHBC	2.081175756517527	2.081175756517527	326	False	False	False
ETNPPL	2.075420387420528	2.075420387420528	327	False	False	False
KLF8	-2.0713051992648897	2.0713051992648897	328	False	False	False
MRC2	-2.07055500409711	2.07055500409711	329	False	False	True
AL158166.1	-2.0700441124753	2.0700441124753	330	False	False	False
TNFRSF1A	-2.0697628197645015	2.0697628197645015	331	False	False	False
LINC01936	2.069349005334733	2.069349005334733	332	False	False	True
KANK2	-2.0688540948104435	2.0688540948104435	333	False	False	False
NRSN2-AS1	2.068216645167421	2.068216645167421	334	False	False	False
CLPB	2.0667767341517713	2.0667767341517713	335	False	False	False
PLCD4	2.0659504559562407	2.0659504559562407	336	False	False	False
LSR	-2.0651695427926025	2.0651695427926025	337	False	False	False
ANXA2P2	-2.064449581038576	2.064449581038576	338	False	False	True
AL157996.2	2.0639200235484303	2.0639200235484303	339	False	False	False
TMEM38A	2.061172406383838	2.061172406383838	340	False	False	True
PON2	-2.059962835620226	2.059962835620226	341	False	False	False
TMEM116	2.059877027048328	2.059877027048328	342	False	False	False
RAC2	-2.0574247367194545	2.0574247367194545	343	False	False	True
RNF157	2.057167735013347	2.057167735013347	344	False	False	True
TMC8	-2.0548533877262183	2.0548533877262183	345	False	False	True
EPHA4	-2.0535251537943062	2.0535251537943062	346	False	False	True
PERP	-2.0531911717852243	2.0531911717852243	347	False	False	True
FAXDC2	2.0531111345660475	2.0531111345660475	348	False	False	True
MACIR	2.0526443489184856	2.0526443489184856	349	False	False	False
CD47	-2.0507227870865057	2.0507227870865057	350	False	False	True
WWTR1-AS1	2.0498765409562747	2.0498765409562747	351	False	False	False
PTPRF	-2.0461598641760905	2.0461598641760905	352	False	False	True
MDFIC	-2.04560320265527	2.04560320265527	353	False	False	True
CD109	-2.0455977053338272	2.0455977053338272	354	False	False	True
OSMR	-2.0450970591559257	2.0450970591559257	355	False	False	True
DUSP15	2.04420535631477	2.04420535631477	356	False	False	True
PRPSAP1	2.0433429277539865	2.0433429277539865	357	False	False	False
EPHA10	-2.0388266699635813	2.0388266699635813	358	False	False	True
MMP15	2.0385911304889346	2.0385911304889346	359	False	False	True
ANKRD9	2.0347531092533253	2.0347531092533253	360	False	False	True
NRP2	-2.0306130459212395	2.0306130459212395	361	False	False	True
PTPRU	-2.03053048222934	2.03053048222934	362	False	False	True
PRSS22	-2.0295894837931083	2.0295894837931083	363	False	False	True
COPZ2	2.0283086631409883	2.0283086631409883	364	False	False	True
RIMKLA	2.0277627871492996	2.0277627871492996	365	False	False	True
LYN	-2.0271812599879384	2.0271812599879384	366	False	False	True
TMEM79	-2.026871610802619	2.026871610802619	367	False	False	True
MDK	-2.0257500765047394	2.0257500765047394	368	False	False	True
TECTB	2.0255671038655745	2.0255671038655745	369	False	False	False
CYB561	2.0253056640060447	2.0253056640060447	370	False	False	True
TUBB6	-2.0250170198648303	2.0250170198648303	371	False	False	False
ADGRV1	2.0242424495003495	2.0242424495003495	372	False	False	True
ITPR1	2.023931367222377	2.023931367222377	373	False	False	True
PLP2	-2.0220570967330795	2.0220570967330795	374	False	False	True
PPARGC1A	2.0220064176681554	2.0220064176681554	375	False	False	True
INF2	-2.0213411401654957	2.0213411401654957	376	False	False	True
CA5A	2.019420412745799	2.019420412745799	377	False	False	False
FOXQ1	-2.0180013680162388	2.0180013680162388	378	False	False	True
AC026748.3	2.017808698992174	2.017808698992174	379	False	False	False
ESPN	-2.0177424993076767	2.0177424993076767	380	False	False	True
SLC25A42	2.016619120200004	2.016619120200004	381	False	False	True
SERTAD2	-2.015759095993139	2.015759095993139	382	False	False	False
GRIN2C	2.013249206591517	2.013249206591517	383	False	False	True
CDCP1	-2.0110556892819162	2.0110556892819162	384	False	False	True
NEXMIF	2.0084313648414764	2.0084313648414764	385	False	False	False
LAD1	-2.008035903134647	2.008035903134647	386	False	False	True
ACTN1	-2.007111979541387	2.007111979541387	387	False	False	True
SLIT2	-2.005180865348052	2.005180865348052	388	False	False	True
BNC1	-2.004890961918006	2.004890961918006	389	False	False	True
UGCG	-2.003382179039947	2.003382179039947	390	False	False	False
OGDHL	2.0024181270405843	2.0024181270405843	391	False	False	True
YIPF1	1.9980579401896696	1.9980579401896696	392	False	False	False
RAD18	-1.9975870071425559	1.9975870071425559	393	False	False	False
FAHD2A	1.996798784138092	1.996798784138092	394	False	False	False
TFAP2C	-1.9956146029788921	1.9956146029788921	395	False	False	True
FAM167A-AS1	1.995368830930808	1.995368830930808	396	False	False	False
LINC02454	-1.9936493945971823	1.9936493945971823	397	False	False	True
CDH11	-1.9901664886266688	1.9901664886266688	398	False	False	True
NFE2L3	-1.98983487175701	1.98983487175701	399	False	False	True
SLC27A4	1.9893832736062573	1.9893832736062573	400	False	False	False
PDE9A	-1.9887219242806897	1.9887219242806897	401	False	False	True
CNN3	-1.9883096920415364	1.9883096920415364	402	False	False	False
SIRT4	1.9873037942569913	1.9873037942569913	403	False	False	False
SLPI	-1.9872560682879594	1.9872560682879594	404	False	False	True
MROH6	-1.9870910367725527	1.9870910367725527	405	False	False	True
VWA5A	-1.9868710143493726	1.9868710143493726	406	False	False	False
CFI	-1.9830081881612334	1.9830081881612334	407	False	False	True
RTN4IP1	1.9795570712968276	1.9795570712968276	408	False	False	False
ZNF536	1.978887484762506	1.978887484762506	409	False	False	False
CDC42BPG	-1.978872992254241	1.978872992254241	410	False	False	True
INAVA	-1.97656385096335	1.97656385096335	411	False	False	True
ECE1	-1.9760990102109612	1.9760990102109612	412	False	False	True
UBE2O	1.9757244669921965	1.9757244669921965	413	False	False	False
AL162718.2	1.972845589830787	1.972845589830787	414	False	False	False
SCD	-1.9712786909049955	1.9712786909049955	415	False	False	True
AL356740.1	1.9711883712825373	1.9711883712825373	416	False	False	False
LINC02028	1.9708108675208744	1.9708108675208744	417	False	False	False
WARS1P1	-1.969860345010531	1.969860345010531	418	False	False	True
FGF12	1.9679136026843291	1.9679136026843291	419	False	False	True
RPS29P11	-1.9660301272879237	1.9660301272879237	420	False	False	True
SRGAP2	-1.9657775785158726	1.9657775785158726	421	False	False	True
TRIM58	1.9646065430363036	1.9646065430363036	422	False	False	True
FAAH	1.9615463184910973	1.9615463184910973	423	False	False	True
FAM20A	-1.9604632156126502	1.9604632156126502	424	False	False	True
FAM178B	-1.959790632705832	1.959790632705832	425	False	False	True
ANKLE2	-1.9591935659155628	1.9591935659155628	426	False	False	False
WWOX	1.9584615326490342	1.9584615326490342	427	False	False	False
FAM27C	1.9579225274996486	1.9579225274996486	428	False	False	False
PYGM	1.957591725377773	1.957591725377773	429	False	False	True
SPATA4	1.9558261357275117	1.9558261357275117	430	False	False	False
LGALS1	-1.9548262076710732	1.9548262076710732	431	False	False	True
S100A4	-1.954493465336641	1.954493465336641	432	False	False	True
MCCC2	1.9535279199131486	1.9535279199131486	433	False	False	False
ROR1	-1.9525715686056655	1.9525715686056655	434	False	False	True
SPINT1	-1.9509712013427989	1.9509712013427989	435	False	False	True
IGFBPL1	1.9503571794250927	1.9503571794250927	436	False	False	True
