evidence	n	decile_obs_spearman	decile_obs_p	top_minus_bottom	monotonic_increases	top_decile_mean_obs	bottom_decile_mean_obs	group
GSE250521 UNI raw DM1/RAI	200	-0.043326837770229	0.5424054478446564	-0.05765007635810354	4	-0.05344776155765633	0.004202314800447216	GSM7980873_ATC-2
GSE250521 UNI raw DM1/RAI	200	0.08061102831082446	0.2564951293512144	0.2826589094826494	4	0.026686013897639926	-0.25597289558500946	GSM7980874_ATC-3
GSE250521 UNI raw DM1/RAI	200	0.5278926607862505	9.556264548033164e-16	2.2617386411678155	5	1.900395865790949	-0.36134277537686665	GSM7980875_ATC-4
GSE250521 UNI coord+QC residual DM1/RAI	3200	0.20634907430055613	4.119057851090382e-32	0.1281238846414285	8	0.07297543636149659	-0.05514844827993191	NA
GSE250521 UNI coord+QC residual DM1/RAI	200	0.44081509599582946	6.462864227011706e-11	0.3130230886636721	7	0.20527214632916232	-0.10775094233450981	GSM7980860_N-1
GSE250521 UNI coord+QC residual DM1/RAI	200	0.19444709672210014	0.00579705480411852	0.08164146235019264	5	0.028586591125692173	-0.05305487122450046	GSM7980861_N-2
GSE250521 UNI coord+QC residual DM1/RAI	200	0.006271514361636973	0.9297673575247649	-0.01634787078343316	3	-0.001132925054649078	0.015214945728784082	GSM7980862_N-3
GSE250521 UNI coord+QC residual DM1/RAI	200	0.13833513409226167	0.05076106867494995	0.18561516758588587	6	0.09259172870478208	-0.0930234388811038	GSM7980863_N-4
GSE250521 UNI coord+QC residual DM1/RAI	200	0.4111460088234699	1.4701059403207073e-09	0.3098960847163619	5	0.09059250583145896	-0.21930357888490293	GSM7980864_PTC-1
GSE250521 UNI coord+QC residual DM1/RAI	200	0.4791678184381479	7.085592379263539e-13	0.3121482930777604	8	0.20523639071481536	-0.10691190236294504	GSM7980865_PTC-2
GSE250521 UNI coord+QC residual DM1/RAI	200	0.17885876535206982	0.011275018275470387	0.07746311213289	4	0.05550475488973387	-0.02195835724315614	GSM7980866_PTC-3
GSE250521 UNI coord+QC residual DM1/RAI	200	0.1146661976793529	0.10592193457787086	0.11733443973442029	5	0.10227133320410609	-0.015063106530314207	GSM7980867_PTC-4
GSE250521 UNI coord+QC residual DM1/RAI	200	0.1897133094395184	0.007132077557745238	0.1636339613521407	6	0.13251891707479163	-0.031115044277349062	GSM7980868_LPTC-1
GSE250521 UNI coord+QC residual DM1/RAI	200	0.20111058073133947	0.004296373593060917	0.11925820840893514	5	0.0179563137034403	-0.10130189470549485	GSM7980869_LPTC-2
GSE250521 UNI coord+QC residual DM1/RAI	200	0.28873087272613296	3.3784690203911325e-05	0.10803003107927489	6	0.0549355913952579	-0.05309443968401699	GSM7980870_LPTC-3
GSE250521 UNI coord+QC residual DM1/RAI	200	0.19007512757576667	0.007021127871074524	0.09973327249673689	5	0.02729513636758584	-0.07243813612915105	GSM7980871_LPTC-4
GSE250521 UNI coord+QC residual DM1/RAI	200	-0.10073619943379385	0.15580915243702592	-0.041276248909616176	3	-0.023493208056028912	0.017783040853587263	GSM7980872_ATC-1
GSE250521 UNI coord+QC residual DM1/RAI	200	0.046222266905718644	0.5157363029014262	0.009437874804196323	5	0.009657532642243146	0.00021965783804682332	GSM7980873_ATC-2
GSE250521 UNI coord+QC residual DM1/RAI	200	-0.08065529287201394	0.25623321531994747	-0.013801271753217909	5	-0.019230144567100625	-0.005428872813882716	GSM7980874_ATC-3
GSE250521 UNI coord+QC residual DM1/RAI	200	0.2492323928523616	0.00037239402244294655	0.2241925493066559	5	0.1890443174786543	-0.03514823182800161	GSM7980875_ATC-4
GSE230424 H&E raw DM1/low-RAI	15489	0.6068803478680063	0.0	0.6985532550785131	9	0.38770262874879335	-0.3108506263297197	NA
GSE230424 H&E raw DM1/low-RAI	3647	0.5599357265076607	4.147115560987279e-300	0.7902559139795422	9	0.45723715486261873	-0.3330187591169234	P1
GSE230424 H&E raw DM1/low-RAI	3154	0.6048153037297733	0.0	0.7520241852353927	9	0.38728075949843455	-0.36474342573695817	P2
GSE230424 H&E raw DM1/low-RAI	4062	0.7847604054985734	0.0	0.8719955386845575	9	0.4366481926162271	-0.4353473460683304	P3
GSE230424 H&E raw DM1/low-RAI	4626	0.44132115086035134	8.28357255230796e-220	0.43738186565188986	9	0.2901483396721662	-0.1472335259797237	P4
GSE230424 H&E coord+QC residual DM1/low-RAI	15489	0.2223527403505529	8.735282533940214e-173	0.1585514992969712	8	0.07241785620523694	-0.08613364309173428	NA
GSE230424 H&E coord+QC residual DM1/low-RAI	3647	0.16340667729008543	3.0324317759052496e-23	0.13495419710978052	7	0.09659071640148963	-0.0383634807082909	P1
GSE230424 H&E coord+QC residual DM1/low-RAI	3154	0.3606228661672891	1.73201397124585e-97	0.2260673744210914	8	0.08027188856697534	-0.14579548585411606	P2
GSE230424 H&E coord+QC residual DM1/low-RAI	4062	0.15573715840757446	1.7974816754504628e-23	0.1194263997799496	5	0.009634684061640844	-0.10979171571830874	P3
GSE230424 H&E coord+QC residual DM1/low-RAI	4626	0.2202432128978783	6.2856109469840984e-52	0.16549238948391612	8	0.10319060537262795	-0.062301784111288165	P4
