generation	best_fitness	mean_fitness	best_train_ap	best_train_auc	best_source_balanced_ap	best_lowrisk_ap	best_top96_precision	best_diversity
29	0.8229829532974974	0.8197356101734027	0.9345679030106843	0.9300942164064703	0.7039253687847442	0.7853764736338156	1.0	0.11630695024773341
30	0.8234174639632907	0.8199254595144518	0.9351184665502001	0.9302712745735273	0.7054505824398591	0.7866945841578036	1.0	0.10975926614485365
31	0.8234174639632907	0.8199946568625857	0.9351184665502001	0.9302712745735273	0.7054505824398591	0.7866945841578036	1.0	0.10975926614485365
32	0.8234174639632907	0.8200173008315002	0.9351184665502001	0.9302712745735273	0.7054505824398591	0.7866945841578036	1.0	0.10975926614485365
33	0.824496074547968	0.8200082377725616	0.9355899538820636	0.9296902785101973	0.7116889393907445	0.7845482754703937	1.0	0.10491168728168065
34	0.8245214751057323	0.8206929973267796	0.9358421386807194	0.9303839479525639	0.7106822509910358	0.7766962818722498	1.0	0.13110867355327105
35	0.8245214751057323	0.8206660359984858	0.9358421386807194	0.9303839479525639	0.7106822509910358	0.7766962818722498	1.0	0.13110867355327105
36	0.8245214751057323	0.8213625464232717	0.9358421386807194	0.9303839479525639	0.7106822509910358	0.7766962818722498	1.0	0.13110867355327105
37	0.8249260488350283	0.8213034513350602	0.9361982504428334	0.9299033614991231	0.7114052449268239	0.7824718675631803	1.0	0.11708292372165652
38	0.8249260488350283	0.8217405168947258	0.9361982504428334	0.9299033614991231	0.7114052449268239	0.7824718675631803	1.0	0.11708292372165652
39	0.8249826258129339	0.8217909253959678	0.9365719662794563	0.9310822163083602	0.7121150520212594	0.7781311657077881	1.0	0.12308752873556017
40	0.8249826258129339	0.8218442659538944	0.9365719662794563	0.9310822163083602	0.7121150520212594	0.7781311657077881	1.0	0.12308752873556017
41	0.8249826258129339	0.8220407860049574	0.9365719662794563	0.9310822163083602	0.7121150520212594	0.7781311657077881	1.0	0.12308752873556017
42	0.8249826258129339	0.8219701247734376	0.9365719662794563	0.9310822163083602	0.7121150520212594	0.7781311657077881	1.0	0.12308752873556017
43	0.8249826258129339	0.8216936733660317	0.9365719662794563	0.9310822163083602	0.7121150520212594	0.7781311657077881	1.0	0.12308752873556017
44	0.8249826258129339	0.8220432561603331	0.9365719662794563	0.9310822163083602	0.7121150520212594	0.7781311657077881	1.0	0.12308752873556017
