pmid	year	journal	title	authors	query
41003925	2025	Discover oncology	Antibody-drug conjugates in triple-negative breast cancer (2010-2024): a bibliometric analysis of global trends and clinical translation.	Li XY; Li SQ; Xiang SL	"(datopotamab OR ""Dato-DXd"") AND thyroid"
41384307	2025	Analytical chemistry	Integrated Biomimetic Platform for Enhancing the Efficient Capture and Visual Identification of Circulating Tumor Cells.	Zeng T; Li B; Xu J	sacituzumab AND thyroid
40809034	2025	Frontiers in oncology	Case Report: Personalized treatment in stage IV breast cancer using the patient-derived organoids.	Ying W; Pi H; He X	sacituzumab AND thyroid
40882635	2025	Cancer cell	Multi-omic profiling of intraductal papillary neoplasms of the pancreas reveals distinct patterns and potential markers of progression.	Wang Y; Lih TM; Lee JW	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
40516821	2025	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	A Pooled Analysis of Datopotamab Deruxtecan in Patients With EGFR-Mutated NSCLC.	Ahn MJ; Lisberg A; Goto Y	"(datopotamab OR ""Dato-DXd"") AND thyroid"
39067901	2024	Lancet (London, England)	Sacituzumab govitecan for metastatic breast cancer: the TROPiCS-02 trial.	Harada K; Ozaki A; Tanimoto T	sacituzumab AND thyroid
39413161	2024	Science translational medicine	Intraoperative evaluation of tumor margins using a TROP2 near-infrared imaging probe to enable human breast-conserving surgery.	Chen W; Zhang Y; Zhang L	sacituzumab AND thyroid
38696857	2024	Pathology, research and practice	BRAF mutation, selected miRNAs and genes expression in primary papillary thyroid carcinomas and local lymph node metastases.	Kalfert D; Ludvikova M; Pesta M	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
38073379	2024	Cancer biomarkers : section A of Disease markers	Diagnostic and prognostic utility of TROP-2, SLP-2, and CXCL12 expression in papillary thyroid carcinoma.	Attia AS; Hussein S; Sameh H	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
38911573	2024	Plastic and reconstructive surgery. Global open	Breast Cancer Immunotherapy: A Clinical Review for the Plastic Surgeon.	Heron MJ; Zhu KJ; Zhu L	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
37870091	2024	Neuro-oncology	Systematic characterization of antibody-drug conjugate targets in central nervous system tumors.	Coy S; Lee JS; Chan SJ	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
38199926	2024	Pathology	Prognostic and predictive biomarkers in non-small cell lung carcinoma.	Odintsov I; Sholl LM	(TROP2[tiab] OR TACSTD2[tiab]) AND BRAF[tiab]
39509246	2024	The Journal of clinical investigation	68Ga-MY6349 PET/CT imaging to assess Trop2 expression in multiple types of cancer.	Chen H; Zhao L; Pang Y	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
38698420	2024	Journal of nanobiotechnology	Single-sEV profiling identifies the TACSTD2 + sEV subpopulation as a factor of tumor susceptibility in the elderly.	Ning N; Lu J; Li Q	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
37740463	2023	Clinical and translational medicine	Uncovering therapeutic opportunities in the clinical development of antibody-drug conjugates.	Nieto-Jiménez C; Sanvicente A; Díaz-Tejeiro C	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
37505760	2023	Asian Pacific journal of cancer prevention : APJCP	Immunohistochemical Expression of HBME-1 and TROP-2 in Some Follicular-Derived Thyroid Lesions.	Abu-Seadah SS; Attiah SM; Ali MY	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
37509415	2023	Biomedicines	Upper Tract Urothelial Carcinoma: A Rare Malignancy with Distinct Immuno-Genomic Features in the Era of Precision-Based Therapies.	Evmorfopoulos K; Mitrakas L; Karathanasis A	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
36693125	2023	Cancer discovery	Antibody-Exatecan Conjugates with a Novel Self-immolative Moiety Overcome Resistance in Colon and Lung Cancer.	Weng W; Meng T; Zhao Q	(TROP2[tiab] OR TACSTD2[tiab]) AND BRAF[tiab]
35355197	2023	Irish journal of medical science	TROP2: a potential marker in diagnosis of thyroid neoplasms.	Turan Z; Erkılıç S	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
35158847	2022	Cancers	TROP-2, Nectin-4, GPNMB, and B7-H3 Are Potentially Therapeutic Targets for Anaplastic Thyroid Carcinoma.	Toda S; Sato S; Saito N	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
35477165	2022	Pathobiology : journal of immunopathology, molecular and cellular biology	Trophoblast Cell Surface Antigen 2 Expression in Human Tumors: A Tissue Microarray Study on 18,563 Tumors.	Dum D; Taherpour N; Menz A	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
36452626	2022	Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India	TROP2 is a Good Indicator for Infiltrative Nature of Carcinoma Rather than Diagnosing Malignancy in Thyroid.	Kılınc E; Gunes P; Doganer A	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
35121239	2022	Annals of diagnostic pathology	TROP-2 and 5hmC expression in follicular-patterned thyroid neoplasm emphasizing tiny well-formed papillae.	Seok JY; Fan X	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
36632153	2022	Translational andrology and urology	Comparison of molecular profiles of upper tract urothelial carcinoma vs. urinary bladder cancer in the era of targeted therapy: a narrative review.	Tomiyama E; Fujita K; Hashimoto M	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
33901032	2021	Applied immunohistochemistry & molecular morphology : AIMM	Expression of Nectin-4 in Bladder Urothelial Carcinoma, in Morphologic Variants, and Nonurothelial Histotypes.	Hoffman-Censits JH; Lombardo KA; Parimi V	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
34833464	2021	Medicina (Kaunas, Lithuania)	Immunohistochemistry Helps to Distinguish Noninvasive Follicular Thyroid Neoplasm with Papillary-like Nuclear Features/Noninvasive Encapsulated Follicular Variant of Papillary Thyroid Carcinoma with Other Follicular Thyroid Lesions.	Chuang HW; Wang JS; Tsai JW	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
34659576	2021	Journal of Cancer	TROP2 modulates the progression in papillary thyroid carcinoma.	Sun H; Chen Q; Liu W	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
33289434	2021	International journal of surgical pathology	TROP-2, 5hmC, and IDH1 Expression in Anaplastic Thyroid Carcinoma.	Seok JY; Astvatsaturyan K; Peralta-Venturina M	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
33264108	2021	Applied immunohistochemistry & molecular morphology : AIMM	Diagnostic Value of TROP2 Expression in Papillary Thyroid Carcinoma.	Saffar H; Jahanbin B; Ameli F	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
32320975	2020	Pathobiology : journal of immunopathology, molecular and cellular biology	Impact of the Tumor Microenvironment on the Gene Expression Profile in Papillary Thyroid Cancer.	Oczko-Wojciechowska M; Pfeifer A; Jarzab M	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
31384753	2019	Clinical pathology (Thousand Oaks, Ventura County, Calif.)	Diagnostic Value of TROP-2 and CK19 Expression in Papillary Thyroid Carcinoma in Both Surgical and Cytological Specimens.	Abdou AG; Shabaan M; Abdallha R	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
30971541	2019	Indian journal of pathology & microbiology	The diagnostic significance of trophoblast cell-surface antigen-2 expression in benign and malignant thyroid lesions.	Sadullahoğlu C; Sayıner A; Süren D	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
30800635	2019	European thyroid journal	Evaluation of Diagnostic Utility of Immunohistochemistry Markers of TROP-2 and HBME-1 in the Diagnosis of Thyroid Carcinoma.	Zargari N; Mokhtari M	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
31949805	2018	International journal of clinical and experimental pathology	Overexpression of trophoblast cell surface antigen 2 is associated with BRAF V600E mutation and aggressive behavior in papillary thyroid cancer.	Guan Q; Wang Y; Liao T	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
29228520	2018	Journal of pathology and translational medicine	The Significance of TROP2 Expression in Predicting BRAF Mutations in Papillary Thyroid Carcinoma.	Kong JS; Kim HJ; Kim MJ	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
29951933	2018	European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery	The diagnostic value of TROP-2, SLP-2 and CD56 expression in papillary thyroid carcinoma.	Yang X; Hu Y; Shi H	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
28547974	2017	Polish journal of pathology : official journal of the Polish Society of Pathologists	Diagnostic value of TROP-2 expression in papillary thyroid carcinoma and comparison with HBME-1, galectin-3 and cytokeratin 19.	Murtezaoglu AR; Gucer H	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
28709407	2017	BMC cancer	Trop2 enhances invasion of thyroid cancer by inducing MMP2 through ERK and JNK pathways.	Guan H; Guo Z; Liang W	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
26862947	2017	Applied immunohistochemistry & molecular morphology : AIMM	The Potential Diagnostic Utility of TROP-2 in Thyroid Neoplasms.	Liu H; Shi J; Lin F	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
27311870	2016	Pathology	TROP-2 immunohistochemistry: a highly accurate method in the differential diagnosis of papillary thyroid carcinoma.	Bychkov A; Sampatanukul P; Shuangshoti S	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
26481593	2016	Diagnostic cytopathology	TROP-2 expression in papillary thyroid carcinoma: Potential Diagnostic Utility.	Simms A; Jacob RP; Cohen C	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
25164548	2015	Cytopathology : official journal of the British Society for Clinical Cytology	TROP-2 expression in papillary thyroid cancer: a preliminary cyto-histological study.	Addati T; Achille G; Centrone M	(TROP2[tiab] OR TACSTD2[tiab]) AND thyroid[tiab]
21453957	2011	Gynecologic oncology	High-grade, chemotherapy-resistant primary ovarian carcinoma cell lines overexpress human trophoblast cell-surface marker (Trop-2) and are highly sensitive to immunotherapy with hRS7, a humanized monoclonal anti-Trop-2 antibody.	Varughese J; Cocco E; Bellone S	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
21246534	2011	Cancer	Uterine serous papillary carcinomas overexpress human trophoblast-cell-surface marker (Trop-2) and are highly sensitive to immunotherapy with hRS7, a humanized anti-Trop-2 monoclonal antibody.	Varughese J; Cocco E; Bellone S	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
20060709	2010	European journal of cancer (Oxford, England : 1990)	Trop-2 overexpression as an independent marker for poor overall survival in ovarian carcinoma patients.	Bignotti E; Todeschini P; Calza S	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
15305371	2004	International journal of cancer	Gene expression profiles in primary ovarian serous papillary tumors and normal ovarian epithelium: identification of candidate molecular markers for ovarian cancer diagnosis and therapy.	Santin AD; Zhan F; Bellone S	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
10767324	2000	Human molecular genetics	Large and diverse numbers of human diseases with HIKE mutations.	Ciccarelli FD; Acciarito A; Alberti S	(TROP2[tiab] OR TACSTD2[tiab]) AND (papillary[tiab] OR PTC[tiab])
