agent_query	nct	title	phase	status	start	sponsor	conditions	thyroid_relevant
sacituzumab govitecan	NCT05601440	Liquid-biopsy Informed Platform Trial to Evaluate CDK4/6-inhibitor Resistant ER+/HER2- Metastatic Breast Cancer	PHASE2	RECRUITING	2023-06-13	Canadian Cancer Trials Group	Breast Cancer	False
sacituzumab govitecan	NCT04794699	Study of IDE397 in Participants With Solid Tumors Harboring MTAP Deletion	PHASE1	ACTIVE_NOT_RECRUITING	2021-04-14	IDEAYA Biosciences	Solid Tumor	False
sacituzumab govitecan	NCT06477419	A Study of Sacituzumab Govitecan in People With Mesothelioma	PHASE2	RECRUITING	2024-06-21	Memorial Sloan Kettering Cancer Center	Mesothelioma; Mesotheliomas Pleural; Mesothelioma; Pleura	False
sacituzumab govitecan	NCT05119907	Study of Sacituzumab Govitecan in Patients With Solid Tumor	PHASE2	ACTIVE_NOT_RECRUITING	2021-10-12	Gilead Sciences	Solid Tumor	False
sacituzumab govitecan	NCT06801834	Study of Sacituzumab Govitecan Versus Standard of Care in Participants With Previously Treated Extensive Stage Small Cell Lung Cancer	PHASE3	RECRUITING	2025-04-04	Gilead Sciences	Extensive Stage Small Cell Lung Cancer (ES-SCLC)	False
sacituzumab govitecan	NCT07299409	First-Line Sacituzumab Govitecan in Advanced Untreated Triple-Negative Breast Cancer Patients.	PHASE2	NOT_YET_RECRUITING	2025-12	Nathalie Levasseur	Advanced Triple Negative Breast Cancer; Breast Cancer Metastatic; Breast Cancer	False
sacituzumab govitecan	NCT05840211	Study of Sacituzumab Govitecan Versus Treatment of Physician's Choice in Patients With Hormone Receptor-positive/Human Epidermal Growth Factor Receptor 2 Negative (HR+/HER2-) Metas	PHASE3	ACTIVE_NOT_RECRUITING	2023-05-08	Gilead Sciences	Locally Advanced or Unresectable Metastatic Breast Cancer; Stage IV Breast Cancer	False
sacituzumab govitecan	NCT05097599	StrataPATH™ (Precision Indications for Approved Therapies)	PHASE2	TERMINATED	2022-04-29	Strata Oncology	Cancer; Advanced Solid Tumor	False
sacituzumab govitecan	NCT07339059	Study of Sacituzumab Govitecan With Atezolizumab/Durvalumab as Maintenance Therapy for Extensive-Stage Small Cell Lung Cancer	PHASE2	RECRUITING	2026-06-01	Bindu R Potugari	Small Cell Lung Cancer ( SCLC ); Extensive Stage Small Cell Lung Cancer (ES-SCLC)	False
sacituzumab govitecan	NCT03606967	Testing the Addition of an Individualized Vaccine to Durvalumab and Tremelimumab and Chemotherapy in Patients With Metastatic Triple Negative Breast Cancer	PHASE2	RECRUITING	2021-04-13	National Cancer Institute (NCI)	Anatomic Stage IV Breast Cancer AJCC v8; Invasive Breast Carcinoma; Metastatic Triple-Negative Breast Carcinoma	False
sacituzumab govitecan	NCT03964727	Study of Sacituzumab Govitecan in Participants With Metastatic Solid Tumors	PHASE2	ACTIVE_NOT_RECRUITING	2019-10-15	Gilead Sciences	Metastatic Solid Tumor	False
sacituzumab govitecan	NCT04863885	Combination of Ipi/Nivo Plus Sacituzumab Govitecan in Metastatic Cisplatin Ineligible Urothelial Carcinoma Patients	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2021-04-30	H. Lee Moffitt Cancer Center and Research Institute	Metastatic Urothelial Carcinoma	False
sacituzumab govitecan	NCT07474558	SCALp Cooling for pReventing aLopecia With nEw anTibody-drug Conjugates	PHASE2	NOT_YET_RECRUITING	2026-09	Jules Bordet Institute	Advanced or Metastatic Solid Tumour; Antibody-Drug Conjugate; Alopecia	False
sacituzumab govitecan	NCT05838521	A Study of Sacituzumab Govitecan (IMMU-132) in Patients With Recurrent or Persistent Cervical Cancer	PHASE2	RECRUITING	2023-06-02	Yale University	Cervical Cancer	False
sacituzumab govitecan	NCT06161532	Sacituzumab Govitecan With or Without Atezolizumab Immunotherapy in Rare Genitourinary Tumors (SMART) Such as High Grade Neuroendocrine Carcinomas, Adenocarcinoma, and Squamous Cel	PHASE2	RECRUITING	2024-08-01	National Cancer Institute (NCI)	Small Cell Carcinoma of the Bladder; Small Cell Carcinoma of the Urinary Tract; Squamous Cell Carcinoma of the Bladder; Squamous Cell Carcinoma of the Urinary Tract; Primary Adenocarcinoma of the Blad	False
sacituzumab govitecan	NCT06055465	Neoadjuvant Sacituzumab Govitecan Plus Pembrolizumab in Resectable Non-Small Cell Lung Cancer	PHASE2	RECRUITING	2024-02-28	Chinese University of Hong Kong	Lung Cancer	False
sacituzumab govitecan	NCT05770531	Circulating Tumor DNA to Guide Changes in Standard of Care Chemotherapy	PHASE2	RECRUITING	2023-08-04	Vanderbilt-Ingram Cancer Center	Metastatic HER2-Negative Breast Carcinoma; Metastatic Triple-Negative Breast Carcinoma	False
sacituzumab govitecan	NCT06827613	A Study of Invikafusp Alfa (STAR0602), a Selective T Cell Receptor (TCR)-Targeting, Bifunctional Antibody-fusion Molecule, in Combination With Sacituzumab Govitecan in Participants	PHASE1,PHASE2	RECRUITING	2025-03-24	Marengo Therapeutics, Inc.	Triple Negative Locally Advanced Non-resectable Breast Cancer; HR+, HER2-, Advanced Breast Cancer	False
sacituzumab govitecan	NCT06178588	Sacituzumab Govitecan for the Treatment for Patients With Locally Advanced, Recurrent, or Metastatic Cholangiocarcinoma	PHASE2	ACTIVE_NOT_RECRUITING	2024-02-01	University of Kansas Medical Center	Locally Advanced Cholangiocarcinoma; Metastatic Cholangiocarcinoma; Recurrent Cholangiocarcinoma; Stage III Hilar Cholangiocarcinoma AJCC v8; Stage III Intrahepatic Cholangiocarcinoma AJCC v8; Stage I	False
sacituzumab govitecan	NCT04639986	Asian Study of Sacituzumab Govitecan (IMMU-132) in HR+/HER2- Metastatic Breast Cancer (MBC)	PHASE3	ACTIVE_NOT_RECRUITING	2020-11-23	Gilead Sciences	Metastatic Breast Cancer	False
sacituzumab govitecan	NCT06238921	Sacituzumab Govitecan and Zimberelimab w/SRS in the Management of Metastatic Triple Negative Breast Cancer With Brain Metastases	PHASE1,PHASE2	RECRUITING	2024-12-19	H. Lee Moffitt Cancer Center and Research Institute	Breast Cancer; Triple Negative Breast Cancer	False
sacituzumab govitecan	NCT04143711	Study of DF1001 in Patients With Advanced Solid Tumors	PHASE1,PHASE2	COMPLETED	2019-11-11	Dragonfly Therapeutics	Solid Tumor, Adult	False
sacituzumab govitecan	NCT04039230	Study to Evaluate Sacituzumab Govitecan in Combination With Talazoparib in Patients With Metastatic Breast Cancer.	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2019-10-09	Massachusetts General Hospital	Breast Cancer	False
sacituzumab govitecan	NCT06682728	Adjuvant Sacituzumab Govitecan and Nivolumab in Muscle-Invasive Urothelial Carcinoma At High-Risk Recurrence	PHASE2	RECRUITING	2024-11-15	University of California, Irvine	Urothelial Carcinoma; Muscle-invasive Bladder Cancer	False
sacituzumab govitecan	NCT05708144	NIR Fluorescent Molecular Probe for the Identification of Breast Tissue	NA	COMPLETED	2023-02-17	Xiang'an Hospital of Xiamen University	Breast Cancer	False
sacituzumab govitecan	NCT04595565	Sacituzumab Govitecan in Primary HER2-negative Breast Cancer	PHASE3	ACTIVE_NOT_RECRUITING	2020-10-28	GBG Forschungs GmbH	HER2-negative Breast Cancer; Triple Negative Breast Cancer	False
sacituzumab govitecan	NCT07077564	The Efficacy of TROP2-ADC in Advanced Extrapulmonary High-Grade Neuroendocrine Neoplasms Failure of Standard Therapy	PHASE2	NOT_YET_RECRUITING	2025-07-20	Second Affiliated Hospital, School of Medicine, Zhejiang University	Neuroendocrine Neoplasms (Tumours)	False
sacituzumab govitecan	NCT06889610	A Phase II Clinical Study of Multimodal Ablation Combined With Systemic Drug Therapy for Advanced Solid Tumors.	PHASE2	RECRUITING	2025-11-04	Fudan University	Triple Negative Breast Cancer Metastatic; Melanoma Metastatic; Colorectal Cancer Metastatic	False
sacituzumab govitecan	NCT04434040	Atezolizumab + Sacituzumab Govitecan to Prevent Recurrence in TNBC (ASPRIA)	PHASE2	RECRUITING	2020-07-02	Dana-Farber Cancer Institute	Breast Cancer; Triple Negative Breast Cancer; Residual Cancer; Circulating Tumor DNA	False
sacituzumab govitecan	NCT04916002	A Trial To Find Out If Vidutolimod Together With Cemiplimab Is Safe And If It Works In Adult Participants With Advanced Cancer Or Metastatic Cancer	PHASE2	TERMINATED	2021-11-30	Regeneron Pharmaceuticals	Merkel Cell Carcinoma; Cutaneous Squamous Cell Carcinoma; Basal Cell Carcinoma; Triple Negative Breast Cancer; Non-Small Cell Lung Cancer; Oropharynx Squamous Cell Carcinoma	False
sacituzumab govitecan	NCT06528483	Bladder Preservation With Sacituzumab Govitecan + Zimberelimab for Muscle-Invasive Bladder Cancer	PHASE2	NOT_YET_RECRUITING	2024-12-02	Fondazione IRCCS Istituto Nazionale dei Tumori, Milano	Bladder Cancer; Bladder Urothelial Carcinoma; Bladder Neoplasm; Muscle-Invasive Bladder Carcinoma	False
sacituzumab govitecan	NCT07151586	Testing Two Different Drugs (Sacituzumab-govitecan and Trastuzumab-deruxtecan) Combinations Prescribed in an Alterning Pattern to Patients With Metastatic or Locally Advanced Tripl	PHASE2	NOT_YET_RECRUITING	2025-10	UNICANCER	Triple Negative Breast Neoplasms; Neoplasm Metastasis; HER 2 Low-expressing Breast Cancer	False
sacituzumab govitecan	NCT07040644	A Study of Sacituzumab Govitecan Plus Toripalimab Versus Toripalimab Plus Nab-Paclitaxel in PD-L1 Positive Advanced TNBC	PHASE2	NOT_YET_RECRUITING	2025-09	Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University	Triple Negative Breast Neoplasms	False
sacituzumab govitecan	NCT07492914	Neoadjuvant Sacituzumab Govitecan Plus Tagitanlimab for Resectable Head and Neck Squamous Cell Carcinoma	PHASE2	NOT_YET_RECRUITING	2026-03-20	West China Hospital	Resectable Head and Neck Squamous Cell Carcinoma	False
sacituzumab govitecan	NCT07471776	Study on Using TROP2-PET and 18F-FDG PET to Predict the Efficacy of Anti TROP2 ADC Treatment in Advanced Breast Cancer	PHASE2	RECRUITING	2026-03-11	Fudan University	Metastatic Breast Cancer ( HER2 Negative)	False
sacituzumab govitecan	NCT06798506	Real-world Patient-reported Outcome of Sacituzumab Govitecan in Chinese Metastatic Triple-negative Breast Cancer		NOT_YET_RECRUITING	2025-02-15	Fudan University	TNBC - Triple-Negative Breast Cancer	False
sacituzumab govitecan	NCT07393555	Treatment for Advanced Non-small Cell Lung Cancer With Actionable Genomic Alterations After Targeted Treatment and Chemotherapy (An Expanded Lung-MAP Treatment Trial)	PHASE2	NOT_YET_RECRUITING	2026-08-07	SWOG Cancer Research Network	Recurrent Lung Non-Small Cell Carcinoma; Stage IV Lung Cancer AJCC v8	False
sacituzumab govitecan	NCT05675579	A Phase II Study of Neoadjuvant Sacituzumab Govitecan and Pembrolizumab Therapy for Immunochemotherapy-resistant Early-stage Triple-negative Breast Cancer (TNBC)	PHASE2	ACTIVE_NOT_RECRUITING	2023-05-23	M.D. Anderson Cancer Center	Breast Cancer	False
sacituzumab govitecan	NCT05327530	A Study of the Safety and Efficacy of Various Combinations of Avelumab as Therapy in Locally Advanced or Metastatic Urothelial Carcinoma (JAVELIN Bladder Medley)	PHASE2	ACTIVE_NOT_RECRUITING	2022-08-17	EMD Serono Research & Development Institute, Inc.	Locally Advanced or Metastatic Urothelial Carcinoma	False
sacituzumab govitecan	NCT04986579	Scalp Cooling in MBC	PHASE2	RECRUITING	2021-10-07	Dana-Farber Cancer Institute	Metastatic Breast Cancer; Chemotherapy-induced Alopecia	False
sacituzumab tirumotecan	NCT07108816	A Single-center, Phase II Clinical Trial Evaluating the Efficacy of Sacituzumab Tirumotecan in Combination With Tagitanlimab as Neoadjuvant Therapy for PD-L1-positive, Resectable S	PHASE2	NOT_YET_RECRUITING	2025-08-15	Henan Cancer Hospital	Resectable Stage II-IIIB NSCLC	False
sacituzumab tirumotecan	NCT06356311	A Study to Evaluate Sacituzumab Tirumotecan (MK-2870) in Advanced/Metastatic Gastroesophageal Adenocarcinoma (MK-2870-015)	PHASE3	ACTIVE_NOT_RECRUITING	2024-05-03	Merck Sharp & Dohme LLC	Gastroesophageal Cancer	False
sacituzumab tirumotecan	NCT05816252	A Study of SKB264 (MK-2870; Sac-TMT) for the Treatment of Participants With Advanced or Metastatic Non-small Cell Lung Cancer (SKB264-II-04) (MK-2870-003)	PHASE2	ACTIVE_NOT_RECRUITING	2023-04-19	Klus Pharma Inc.	Non-small Cell Lung Cancer	False
sacituzumab tirumotecan	NCT06824467	A Study to Evaluate the Efficacy and Safety of Sacituzumab Tirumotecan (MK-2870) Maintenance Treatment Versus Standard of Care in Participants With Platinum-sensitive Recurrent Ova	PHASE3	RECRUITING	2025-04-09	Merck Sharp & Dohme LLC	Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Cancer	False
sacituzumab tirumotecan	NCT06049212	Sacituzumab Tirumotecan (MK-2870) as Monotherapy and in Combination With Pembrolizumab in Participants With Advanced Solid Tumors (MK-2870-008)	PHASE1	ACTIVE_NOT_RECRUITING	2023-10-26	Merck Sharp & Dohme LLC	Non-small Cell Lung Cancer; Solid Tumors; Programmed Cell Death-1 (PD1, PD-1); Programmed Cell Death 1 Ligand 1(PDL1, PD-L1); Programmed Cell Death 1 Ligand 2 (PDL2, PD-L2)	False
sacituzumab tirumotecan	NCT06483334	A Study of Efficacy and Safety of Sacituzumab Tirumotecan (MK-2870) Plus Enfortumab Vedotin (EV) With and Without Pembrolizumab in Advanced Urothelial Carcinoma (MK-3475-04C/KEYMAK	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2024-07-17	Merck Sharp & Dohme LLC	Metastatic Urothelial Carcinoma; Locally Advanced Urothelial Carcinoma	False
sacituzumab tirumotecan	NCT07153965	Sacituzumab Tirumotecan Plus Tagitanlimab in Previously Treated Locally Advanced or Metastatic Triple Negative Breast Cancer	PHASE2	NOT_YET_RECRUITING	2025-09-01	Tianjin Medical University Cancer Institute and Hospital	Triple Negative Breast Cancer (TNBC); PD-L1 Positive	False
sacituzumab tirumotecan	NCT07438626	Phase II Trial of Sacituzumab Tirumotecan in Patients With SMARCB1-Deficient Renal Medullary Carcinoma	PHASE2	NOT_YET_RECRUITING	2026-06-01	M.D. Anderson Cancer Center	Phase II; Sacituzumab; Tirumotecan; SMARCB1-deficient Renal Medullary Carcinoma	False
sacituzumab tirumotecan	NCT06966700	A Clinical Study of Sacituzumab Tirumotecan (Sac-TMT, MK-2870) in People With Breast Cancer (MK-2870-032)	PHASE3	RECRUITING	2025-06-30	Merck Sharp & Dohme LLC	Breast Neoplasms; Triple Negative Breast Neoplasms; HR Low-Positive/HER2-Negative Breast Neoplasms	False
sacituzumab tirumotecan	NCT06445972	Substudy 06D: Combination Therapies in Second Line (2L) Gastroesophageal Adenocarcinoma (MK-3475-06D/Keymaker-U06)	PHASE1,PHASE2	RECRUITING	2024-08-07	Merck Sharp & Dohme LLC	Gastroesophageal Junction; Gastroesophageal Adenocarcinoma; Esophageal Neoplasms; Esophageal Cancer	False
sacituzumab tirumotecan	NCT06993506	Real-world Study of SKB264 Monotherapy or Combination Therapy in Recurrent or Metastatic HER2-negative Breast Cancer		NOT_YET_RECRUITING	2025-08-01	Cancer Institute and Hospital, Chinese Academy of Medical Sciences	HER2-negative Breast Cancer; Recurrence; Metastasis	False
sacituzumab tirumotecan	NCT07054242	A Prospective, Single-center, Phase II Study of Sacituzumab Tirumotecan in Combination With Pembrolizumab for Neoadjuvant Treatment of Triple-Negative Breast Cancer (TNBC)	PHASE2	NOT_YET_RECRUITING	2025-10-30	Yantai Yuhuangding Hospital	Neoadjuvant Therapy; Stage II to III (T1cN1-2 or T2-4N0-2) TNBC Breast Cancer	False
sacituzumab tirumotecan	NCT07007780	Sacituzumab Tirumotecan in Neoadjuvant Treatment of Early-Stage TNBC	PHASE2	NOT_YET_RECRUITING	2025-08-20	Xijing Hospital	Triple -Negative Breast Cancer	False
sacituzumab tirumotecan	NCT07548060	A Phase II Study of Sacituzumab Tirumotecan in Combination With Furmonertinib in Patients With Non-squamous Non-Small Cell Lung Cancer Who Have Progressed After EGFR-TKI and Platin	PHASE2	RECRUITING	2026-02-01	Tianjin Medical University Cancer Institute and Hospital	NSCLC Stage IV; EGFR Gene Mutation	False
sacituzumab tirumotecan	NCT07244874	Sac-TMT Combined With Toripalimab for First-line Treatment of PD-L1 Positive a/mTNBC	PHASE2	NOT_YET_RECRUITING	2025-12-01	Tianjin Medical University Cancer Institute and Hospital	TNBC - Triple-Negative Breast Cancer; PD-L1 Positive	False
sacituzumab tirumotecan	NCT07329322	Phase II Study of Sacituzumab Tirumotecan in Combination With Osimertinib or Sacituzumab Tirumotecan for Neoadjuvant Treatment in Patients With Resectable Epidermal Growth Factor R	PHASE2	NOT_YET_RECRUITING	2026-02-01	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Non-Small Cell Lung Cancer	False
sacituzumab tirumotecan	NCT06469944	Substudy 06C: A Study of Investigational Agents With Pembrolizumab (MK-3475) and Chemotherapy in Participants With First-Line Locally Advanced Unresectable/Metastatic Gastroesophag	PHASE1,PHASE2	RECRUITING	2024-09-20	Merck Sharp & Dohme LLC	Gastroesophageal Junction; Gastroesophageal Adenocarcinoma; Esophageal Neoplasms; Esophageal Cancer	False
sacituzumab tirumotecan	NCT06170788	Sacituzumab Tirumotecan (MK-2870) in Combination With Pembrolizumab Versus Pembrolizumab Alone in Metastatic Non-small Cell Lung Cancer (NSCLC) With Programmed Cell Death Ligand 1 	PHASE3	RECRUITING	2023-12-15	Merck Sharp & Dohme LLC	Non-small Cell Lung Cancer (NSCLC)	False
sacituzumab tirumotecan	NCT06459180	A Study to Compare Sacituzumab Tirumotecan (MK-2870) Monotherapy Versus Treatment of Physician's Choice as Second-line Treatment for Participants With Recurrent or Metastatic Cervi	PHASE3	RECRUITING	2024-07-24	Merck Sharp & Dohme LLC	Cervical Cancer	False
sacituzumab tirumotecan	NCT07388875	Sacituzumab Tirumotecan Plus Anlotinib in Previously Treated ES-SCLC	PHASE2	NOT_YET_RECRUITING	2026-02-24	China Medical University, China	Extensive-Stage Small Cell Lung Cancer	False
sacituzumab tirumotecan	NCT07458113	Sac-TMT for Active TNBC Brain Metastases	PHASE2	NOT_YET_RECRUITING	2026-05	Yale University	Metastatic Triple Negative Breast Cancers	False
sacituzumab tirumotecan	NCT07323056	Neoadjuvant Sacituzumab Tirumotecan and Limertinib for Potentially Resectable Stage Ⅲ EGFR-mutant Non-small Cell Lung Cancer	PHASE2	RECRUITING	2026-01-01	Shanghai Pulmonary Hospital, Shanghai, China	EGFR-mutant Non-small Cell Lung Cancer; Potentially Resectable	False
sacituzumab tirumotecan	NCT07109284	SKB264 Combined With KL-A167 Neoadjuvant Therapy for Early-stage, High-risk ER+/HER2- Breast Cancer	PHASE2	NOT_YET_RECRUITING	2025-09	West China Hospital	ER+HER2- Breast Cancer	False
sacituzumab tirumotecan	NCT07197008	Sacituzumab Tirumotecan (Sac-TMT) Plus Bevacizumab in 3rd Generation EGFR-TKI Treated Advanced EGFR-mutant Nonsquamous NSCLC With Brain Metastasis	PHASE2	NOT_YET_RECRUITING	2025-10-01	Li-kun Chen	Lung Cancer	False
sacituzumab tirumotecan	NCT07348861	A Phase II Study of Neoadjuvant Sacituzumab Tirumotecan in Combination With Iparomlimab and Tuvonralimab in Locally Advanced Cervical Cancer	PHASE2	NOT_YET_RECRUITING	2026-02-01	Zheng Min	Cervical Cancer	False
sacituzumab tirumotecan	NCT06132958	Sacituzumab Tirumotecan (MK-2870) in Post Platinum and Post Immunotherapy Endometrial Cancer (MK-2870-005)	PHASE3	ACTIVE_NOT_RECRUITING	2023-12-06	Merck Sharp & Dohme LLC	Endometrial Cancer	False
sacituzumab tirumotecan	NCT07105852	Exploring the Safety and Efficacy of Sacituzumab Tirumotecan Combined With Pucotenlimab in the Treatment of Advanced Cholangiocarcinoma	PHASE2	RECRUITING	2025-07-03	Sir Run Run Shaw Hospital	Cholangiocarcinoma	False
sacituzumab tirumotecan	NCT07343479	Sacituzumab Tirumotecan Plus Third-Generation TKI With/Without Radiotherapy for EGFR-Mutant NSCLC Brain Metastases	PHASE2	NOT_YET_RECRUITING	2026-05-01	Zhejiang Cancer Hospital	NSCLC (Advanced Non-small Cell Lung Cancer); EGFR Gene Mutations; Brain Metastasis	False
sacituzumab tirumotecan	NCT06706219	Efficacy and Safety of Sacituzumab Tirumotecan (SKB264) in Combination With Toripalimab in Patients With Initially Unresectable Stage III NSCLC	PHASE2	NOT_YET_RECRUITING	2026-05-10	Hunan Province Tumor Hospital	Non Small Cell Lung Cancer (Stage III)	False
sacituzumab tirumotecan	NCT07179783	Sacituzumab Tirumotecan in Combination With Tagitanlimab in the Treatment of Aggressive Variant Prostate Cancer (AVPC) and Neuroendocrine Prostate Cancer (NEPC)	PHASE2	RECRUITING	2025-09-22	Tianjin Medical University Second Hospital	Prostate Cancer (Adenocarcinoma); Prostate Cancer Metastatic Castration-Resistant; Prostate Adenocarcinoma With Neuroendocrine Differentiation	False
sacituzumab tirumotecan	NCT07157956	CVL006 Combination Therapy in Advanced Solid Tumors	PHASE1,PHASE2	NOT_YET_RECRUITING	2025-09-10	Convalife (Shanghai) Co., Ltd.	Advanced Solid Tumor	False
sacituzumab tirumotecan	NCT04152499	Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies (KL264-01)	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2020-02-28	Klus Pharma Inc.	Epithelial Ovarian Cancer; Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma; Urothelial Carcinoma; Non-Small Cell Lung Cancer; Small-Cell Lung Cancer; Endometrial Carcinoma; Head and N	False
sacituzumab tirumotecan	NCT06145308	Precision Treatment of Recurrent/Metastatic Salivary Gland Carcinoma Guided by Molecular Typing	PHASE2	RECRUITING	2023-08-15	Peking Union Medical College	Salivary Gland Carcinoma; Precision Therapy	False
sacituzumab tirumotecan	NCT06841354	A Study of Sacituzumab Tirumotecan (Sac-TMT, MK-2870) as Monotherapy and in Combination With Pembrolizumab (MK-3475) in Participants With Triple-Negative Breast Cancer (MK-2870-011	PHASE3	RECRUITING	2025-03-16	Merck Sharp & Dohme LLC	Triple Negative Breast Neoplasms	False
sacituzumab tirumotecan	NCT07286149	A Clinical Study of MK-1084 With Other Treatments for Non-small Cell Lung Cancer (MK-3475-01F)	PHASE1,PHASE2	RECRUITING	2026-04-30	Merck Sharp & Dohme LLC	Lung Neoplasm Malignant	False
sacituzumab tirumotecan	NCT06312137	A Study to Assess Efficacy and Safety of Pembrolizumab With or Without Sacituzumab Tirumotecan (MK- 2870) in Adult Participants With Resectable Non Small Cell Lung Cancer (NSCLC) N	PHASE3	RECRUITING	2024-04-03	Merck Sharp & Dohme LLC	Non Small Cell Lung Cancer	False
sacituzumab tirumotecan	NCT07324629	Sacituzumab Tirumotecan in Participants With Locally Advanced or Metastatic Thymic Carcinoma	PHASE2	NOT_YET_RECRUITING	2026-01	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Thymic Carcinoma	False
sacituzumab tirumotecan	NCT07128693	A Single-center, Multicohort, Phase II Clinical Study Evaluating the Combination Therapy of Sacituzumab Tirumotecan in Patients With Unresectable, Locally Advanced, Recurrent, or M	PHASE2	NOT_YET_RECRUITING	2025-09	The First Affiliated Hospital of Zhengzhou University	Esophageal Squamous Cell Carcinoma	False
sacituzumab tirumotecan	NCT05319730	A Study to Evaluate Investigational Agents With or Without Pembrolizumab (MK-3475) in Participants With Advanced Esophageal Cancer Previously Exposed to Programmed Cell Death 1 Pro	PHASE1,PHASE2	RECRUITING	2023-05-16	Merck Sharp & Dohme LLC	Esophageal Squamous Cell Carcinoma	False
sacituzumab tirumotecan	NCT07256236	SKB264 Plus QL1706 in Recurrent or Metastatic Cervical Cancer	PHASE2	RECRUITING	2026-01-28	Fujian Cancer Hospital	Cervical Cancer	False
sacituzumab tirumotecan	NCT07438600	Study of Sacituzumab Tirumotecan Combined With Toripalimab for Resectable Stage II-IIIB NSCLC	PHASE2	NOT_YET_RECRUITING	2026-02-24	Tianjin Medical University Cancer Institute and Hospital	NSCLC (Non-small Cell Lung Cancer)	False
sacituzumab tirumotecan	NCT06422143	Pembrolizumab With or Without Maintenance Sacituzumab Tirumotecan (Sac-TMT; MK-2870) in Metastatic Squamous Non-small Cell Lung Cancer (NSCLC) [MK-2870-023]	PHASE3	RECRUITING	2024-06-10	Merck Sharp & Dohme LLC	Non-small Cell Lung Cancer; NSCLC	False
sacituzumab tirumotecan	NCT07511023	Phase 2 Trial Of Sacituzumab Tirumotecan For Treatment Of Refractory Metastatic Or Unresectable Squamous Cell Carcinoma Of The Anus/Rectum	PHASE2	NOT_YET_RECRUITING	2026-09-25	M.D. Anderson Cancer Center	Phase 2; Sacituzumab Tirumotecan; Refractory Metastatic; Unresectable Squamous; Cell Carcinoma of the Anus/ Rectum	False
