run_accession	sample_alias	sample_title
SRR21626578	GSM6591361	PDFP_3-T
SRR21626579	GSM6591362	PDFP_5T
SRR21626580	GSM6591363	PDFP_6T1
SRR21626581	GSM6591364	PDFP_7T
SRR21626582	GSM6591365	PDFP_8T
SRR21626590	GSM6591261	351T
SRR21626591	GSM6591262	352T
SRR21626595	GSM6591266	356T
SRR21626599	GSM6591270	360T
SRR21626608	GSM6591279	369T1
SRR21626609	GSM6591280	370T1
SRR21626615	GSM6591286	378T1
SRR21626622	GSM6591293	386T
SRR21626628	GSM6591299	396T
SRR21626629	GSM6591300	397T
SRR21626630	GSM6591301	398T
SRR21626633	GSM6591304	401T
SRR21626635	GSM6591306	403T
SRR21626644	GSM6591315	493T
SRR21626652	GSM6591323	ATCFP_10T1
SRR21626654	GSM6591325	ATCFP_4-T
SRR21626656	GSM6591327	ATCFP_7-T1
SRR21626659	GSM6591330	FP1_T
SRR21626660	GSM6591331	FP11_T
SRR21626661	GSM6591332	FP12_T
SRR21626663	GSM6591334	FP15_T
SRR21626665	GSM6591336	FP19_T
SRR21626673	GSM6591344	FP32_T
SRR21626674	GSM6591345	FP33_T
SRR21626678	GSM6591349	FP38_T
SRR21626679	GSM6591350	FP39_T
SRR21626682	GSM6591353	FP6_T
SRR21626683	GSM6591354	FP7_T
SRR21626685	GSM6591356	FP9_T
SRR21626059	GSM6590738	5-N
SRR21626065	GSM6590744	12-N
SRR21626067	GSM6590746	14-N
SRR21626068	GSM6590747	15-N
SRR21626069	GSM6590748	16-N
SRR21626073	GSM6590752	20-N
SRR21626074	GSM6590753	21N
SRR21626075	GSM6590754	23-N
SRR21626081	GSM6590760	32-N
SRR21626086	GSM6590765	38-N
SRR21626090	GSM6590769	42-N
SRR21626092	GSM6590771	45-N
SRR21626095	GSM6590774	48-N
SRR21626096	GSM6590775	49-N
SRR21626100	GSM6590779	56-N
SRR21626101	GSM6590780	57-N
SRR21626103	GSM6590782	59-N
SRR21626105	GSM6590784	61-N
SRR21626106	GSM6590785	62N
SRR21626107	GSM6590786	63-N
SRR21626108	GSM6590787	65N
SRR21626115	GSM6590794	100N
SRR21626116	GSM6590795	101N
SRR21626120	GSM6590799	121N
SRR21626121	GSM6590800	137N
SRR21626122	GSM6590801	143N
SRR21626123	GSM6590802	148N
SRR21626126	GSM6590805	158N
SRR21626127	GSM6590806	160N-P
SRR21626129	GSM6590808	163N
SRR21626131	GSM6590810	169N
SRR21626136	GSM6590815	182N
SRR21626142	GSM6590821	189N-P
SRR21626149	GSM6590828	204N
SRR21626150	GSM6590829	205N
SRR21626151	GSM6590830	206-N
SRR21626153	GSM6590832	208N
SRR21626154	GSM6590833	210N
SRR21626155	GSM6590834	211N
SRR21626156	GSM6590835	212N
SRR21626157	GSM6590836	213-N
SRR21626162	GSM6590841	220-N
SRR21626163	GSM6590842	221-N
SRR21626166	GSM6590845	224-N
SRR21626172	GSM6590851	232-N
SRR21626173	GSM6590852	233-N
SRR21626177	GSM6590856	238-N
SRR21626180	GSM6590859	241-N
SRR21626181	GSM6590860	243-N
SRR21626182	GSM6590861	244-N
SRR21626185	GSM6590864	247-N
SRR21626190	GSM6590869	254-N2
SRR21626194	GSM6590873	258-N
SRR21626196	GSM6590875	260-N
SRR21626197	GSM6590876	262-N
SRR21626199	GSM6590878	264-N-P
SRR21626201	GSM6590880	267-N-P
SRR21626202	GSM6590881	268N
SRR21626214	GSM6590893	285N
SRR21626217	GSM6590896	289N
SRR21626220	GSM6590899	297N
SRR21626221	GSM6590900	298N
SRR21626224	GSM6590903	301N
SRR21626228	GSM6590907	306N
SRR21626230	GSM6590909	308N
SRR21626242	GSM6590921	353N
SRR21626244	GSM6590923	355N
SRR21626247	GSM6590926	358N
SRR21626251	GSM6590930	362N
SRR21626252	GSM6590931	363N
SRR21626254	GSM6590933	366N
SRR21626255	GSM6590934	373N
SRR21626259	GSM6590938	381N
SRR21626263	GSM6591046	55-T
SRR21626269	GSM6591052	61-T
SRR21626271	GSM6591054	64-T
SRR21626272	GSM6591055	65-T-P
SRR21626273	GSM6591056	66-T
SRR21626275	GSM6591058	68-T
SRR21626279	GSM6591062	73-T
SRR21626280	GSM6591063	75-T
SRR21626284	GSM6591067	79-T
SRR21626288	GSM6591071	84-T
SRR21626292	GSM6591075	88-T
SRR21626296	GSM6591079	93-T
SRR21626299	GSM6591082	98-T
SRR21626300	GSM6591083	99-T
SRR21626304	GSM6591087	103-T_P
SRR21626308	GSM6591091	107-T-P
SRR21626309	GSM6591092	108-T_P
SRR21626312	GSM6591095	111T-P
SRR21626315	GSM6591098	114-T
SRR21626316	GSM6591099	115-T
SRR21626322	GSM6591105	121-T
SRR21626327	GSM6591110	126-T
SRR21626329	GSM6591112	128-T
SRR21626336	GSM6591119	136-T
SRR21626338	GSM6591121	138-T
SRR21626341	GSM6591124	141-T
SRR21626343	GSM6591126	143T
SRR21626345	GSM6591128	145-T
SRR21626347	GSM6591130	147-T_P
SRR21626365	GSM6591148	165-T_P
SRR21626367	GSM6590942	390N
SRR21626368	GSM6590943	393N
SRR21626370	GSM6590945	396N
SRR21626372	GSM6590947	398N
SRR21626377	GSM6590952	404N
SRR21626382	GSM6590957	492N
SRR21626383	GSM6590958	493N
SRR21626386	GSM6590961	497N
SRR21626388	GSM6590963	499N
SRR21626389	GSM6590964	510N
SRR21626396	GSM6590971	ATCFP_8-N
SRR21626397	GSM6590972	ATCFP_9N
SRR21626403	GSM6590978	FP20_N
SRR21626405	GSM6590980	FP22_N
SRR21626409	GSM6590984	FP32_N
SRR21626411	GSM6590986	FP37_N
SRR21626414	GSM6590989	FP7_N
SRR21626415	GSM6590990	FP8_N
SRR21626417	GSM6590992	PDFP_11N
SRR21626418	GSM6590993	PDFP_3-N
SRR21626421	GSM6590996	PDFP_9N
SRR21626423	GSM6590998	2-T
SRR21626429	GSM6591004	10-T
SRR21626432	GSM6591007	13T
SRR21626435	GSM6591010	16-T
SRR21626443	GSM6591018	25-T
SRR21626444	GSM6591019	26-T
SRR21626447	GSM6591022	29-T
SRR21626453	GSM6591028	36-T
SRR21626454	GSM6591029	37-T
SRR21626456	GSM6591031	39-T
SRR21626459	GSM6591034	42-T
SRR21626470	GSM6591045	54T
SRR21626471	GSM6591150	168T
SRR21626472	GSM6591151	169-T_P
SRR21626480	GSM6591159	178-T_P
SRR21626482	GSM6591161	180-T_P
SRR21626485	GSM6591164	183-T_P
SRR21626488	GSM6591167	186-T_P
SRR21626491	GSM6591170	200T-P
SRR21626492	GSM6591171	201-T
SRR21626493	GSM6591172	202-T
SRR21626494	GSM6591173	203-T
SRR21626495	GSM6591174	204T
SRR21626498	GSM6591177	207-T
SRR21626503	GSM6591182	213-T
SRR21626506	GSM6591185	218-T
SRR21626507	GSM6591186	219-T
SRR21626510	GSM6591189	222-T
SRR21626518	GSM6591197	232-T
SRR21626520	GSM6591199	235-T
SRR21626524	GSM6591203	240-T
SRR21626527	GSM6591206	243-T
SRR21626530	GSM6591209	246-T
SRR21626534	GSM6591213	253-T
SRR21626539	GSM6591218	258-T
SRR21626544	GSM6591223	270-T_P
SRR21626547	GSM6591226	274T
SRR21626549	GSM6591228	278T
SRR21626557	GSM6591236	290T
SRR21626560	GSM6591239	297T
SRR21626561	GSM6591240	298T
SRR21626563	GSM6591242	300T
SRR21626565	GSM6591244	302T
SRR21626573	GSM6591252	313T
SRR21626574	GSM6591253	314T
SRR21626583	GSM6591254	315T
SRR21626584	GSM6591255	316T-P
SRR21626585	GSM6591256	318T
SRR21626586	GSM6591257	346T
SRR21626587	GSM6591258	347T
SRR21626588	GSM6591259	348T
SRR21626589	GSM6591260	350T
SRR21626594	GSM6591265	355T
SRR21626596	GSM6591267	357T
SRR21626597	GSM6591268	358T
SRR21626605	GSM6591276	366T
SRR21626606	GSM6591277	367T
SRR21626610	GSM6591281	371T1
SRR21626611	GSM6591282	373T
SRR21626612	GSM6591283	374T
SRR21626613	GSM6591284	375T
SRR21626616	GSM6591287	379T2
SRR21626617	GSM6591288	381T
SRR21626621	GSM6591292	385T
SRR21626623	GSM6591294	388T
SRR21626624	GSM6591295	389T1
SRR21626632	GSM6591303	400T
SRR21626634	GSM6591305	402T
SRR21626638	GSM6591309	407T
SRR21626640	GSM6591311	409T
SRR21626641	GSM6591312	475T
SRR21626642	GSM6591313	484T
SRR21626643	GSM6591314	492T
SRR21626647	GSM6591318	498T
SRR21626648	GSM6591319	499T
SRR21626653	GSM6591324	ATCFP_2-T
SRR21626657	GSM6591328	ATCFP_8-T
SRR21626658	GSM6591329	ATCFP_9T2
SRR21626662	GSM6591333	FP13_T
SRR21626666	GSM6591337	FP20_T
SRR21626667	GSM6591338	FP21_T
SRR21626669	GSM6591340	FP23_T
SRR21626672	GSM6591343	FP31_T
SRR21626675	GSM6591346	FP34_T
SRR21626676	GSM6591347	FP35_T
SRR21626680	GSM6591351	FP4_T
SRR21626681	GSM6591352	FP5_T
SRR21626684	GSM6591355	FP8_T
SRR21626061	GSM6590740	8-N
SRR21626062	GSM6590741	9-N
SRR21626064	GSM6590743	11-N
SRR21626066	GSM6590745	13-N
SRR21626070	GSM6590749	17-N
SRR21626071	GSM6590750	18-N
SRR21626072	GSM6590751	19-N
SRR21626076	GSM6590755	24-N
SRR21626077	GSM6590756	25-N
SRR21626078	GSM6590757	27-N
SRR21626080	GSM6590759	30-N
SRR21626082	GSM6590761	33-N
SRR21626083	GSM6590762	34-N
SRR21626088	GSM6590767	40-N
SRR21626091	GSM6590770	43-N
SRR21626098	GSM6590777	53-N
SRR21626099	GSM6590778	54-N
SRR21626102	GSM6590781	58-N
SRR21626113	GSM6590792	88N
SRR21626114	GSM6590793	93N
SRR21626125	GSM6590804	157N-P
SRR21626130	GSM6590809	166-N-P
SRR21626132	GSM6590811	171N
SRR21626133	GSM6590812	173N
SRR21626134	GSM6590813	176N
SRR21626139	GSM6590818	186N
SRR21626145	GSM6590824	198-N
SRR21626147	GSM6590826	202N-P
SRR21626152	GSM6590831	207-N
SRR21626158	GSM6590837	215-N
SRR21626159	GSM6590838	217-N-P
SRR21626161	GSM6590840	219-N
SRR21626164	GSM6590843	222-N
SRR21626165	GSM6590844	223-N
SRR21626167	GSM6590846	225-N
SRR21626168	GSM6590847	226-N
SRR21626169	GSM6590848	227-N
SRR21626170	GSM6590849	229-N
SRR21626174	GSM6590853	234-N
SRR21626179	GSM6590858	240-N
SRR21626188	GSM6590867	251-N
SRR21626195	GSM6590874	259N
SRR21626200	GSM6590879	266-N-P
SRR21626203	GSM6590882	272N
SRR21626204	GSM6590883	273N
SRR21626208	GSM6590887	279N
SRR21626210	GSM6590889	281N
SRR21626212	GSM6590891	283N
SRR21626213	GSM6590892	284N
SRR21626215	GSM6590894	286-N
SRR21626218	GSM6590897	290-N
SRR21626222	GSM6590901	299N
SRR21626223	GSM6590902	300N
SRR21626226	GSM6590905	303N
SRR21626227	GSM6590906	304N
SRR21626232	GSM6590911	311N
SRR21626233	GSM6590912	312N
SRR21626239	GSM6590918	349T
SRR21626240	GSM6590919	351N
SRR21626243	GSM6590922	354N
SRR21626246	GSM6590925	357N
SRR21626249	GSM6590928	360N
SRR21626250	GSM6590929	361N
SRR21626258	GSM6590937	380N
SRR21626261	GSM6590940	385N
SRR21626262	GSM6590941	386N
SRR21626265	GSM6591048	57-T
SRR21626266	GSM6591049	58-T
SRR21626267	GSM6591050	59-T
SRR21626270	GSM6591053	62-T
SRR21626274	GSM6591057	67-T_P
SRR21626277	GSM6591060	70-T
SRR21626278	GSM6591061	72-T
SRR21626281	GSM6591064	76-T
SRR21626282	GSM6591065	77-T
SRR21626283	GSM6591066	78-T
SRR21626286	GSM6591069	81-T
SRR21626287	GSM6591070	82-T
SRR21626291	GSM6591074	87T
SRR21626293	GSM6591076	89-T
SRR21626295	GSM6591078	92-T
SRR21626297	GSM6591080	96-T
SRR21626301	GSM6591084	100T
SRR21626302	GSM6591085	101-T-P
SRR21626305	GSM6591088	104-T_P
SRR21626306	GSM6591089	105T
SRR21626307	GSM6591090	106-T-P
SRR21626311	GSM6591094	110-T_P
SRR21626313	GSM6591096	112-T
SRR21626319	GSM6591102	118-T
SRR21626321	GSM6591104	120-T
SRR21626323	GSM6591106	122-T
SRR21626325	GSM6591108	124-T
SRR21626326	GSM6591109	125-T
SRR21626331	GSM6591114	130-T_P
SRR21626332	GSM6591115	131-T_P
SRR21626334	GSM6591117	134-T-P
SRR21626337	GSM6591120	137-T
SRR21626342	GSM6591125	142-T
SRR21626346	GSM6591129	146-T
SRR21626348	GSM6591131	148-T_P
SRR21626350	GSM6591133	150-T
SRR21626351	GSM6591134	151-T
SRR21626352	GSM6591135	152-T_P
SRR21626353	GSM6591136	153-T_P
SRR21626354	GSM6591137	154-T_P
SRR21626356	GSM6591139	156-T-P
SRR21626359	GSM6591142	159-T-P
SRR21626360	GSM6591143	160-T_P
SRR21626362	GSM6591145	162-T_P
SRR21626364	GSM6591147	164-T-P
SRR21626369	GSM6590944	394N
SRR21626373	GSM6590948	399N
SRR21626375	GSM6590950	402N
SRR21626381	GSM6590956	475N
SRR21626384	GSM6590959	494N
SRR21626385	GSM6590960	496N
SRR21626391	GSM6590966	ATCFP_1N
SRR21626392	GSM6590967	ATCFP_11N
SRR21626394	GSM6590969	ATCFP_3-N
SRR21626395	GSM6590970	ATCFP_6-N
SRR21626398	GSM6590973	FP10_N
SRR21626399	GSM6590974	FP13_N
SRR21626400	GSM6590975	FP15_N
SRR21626401	GSM6590976	FP17_N
SRR21626407	GSM6590982	FP25_N
SRR21626410	GSM6590985	FP36_N
SRR21626412	GSM6590987	FP39_N
SRR21626413	GSM6590988	FP4_N
SRR21626416	GSM6590991	PDFP_1N
SRR21626419	GSM6590994	PDFP_4N
SRR21626422	GSM6590997	1-T
SRR21626424	GSM6590999	3-T
SRR21626428	GSM6591003	9-B
SRR21626430	GSM6591005	11-B
SRR21626433	GSM6591008	14T
SRR21626434	GSM6591009	15-T
SRR21626436	GSM6591011	17-T
SRR21626439	GSM6591014	20-T
SRR21626441	GSM6591016	22-T
SRR21626442	GSM6591017	24-T
SRR21626446	GSM6591021	28-T
SRR21626448	GSM6591023	30-T
SRR21626452	GSM6591027	35-T
SRR21626455	GSM6591030	38-T
SRR21626457	GSM6591032	40-T
SRR21626458	GSM6591033	41-T
SRR21626460	GSM6591035	43T
SRR21626461	GSM6591036	45-T
SRR21626464	GSM6591039	48-T
SRR21626468	GSM6591043	52T
SRR21626469	GSM6591044	53-T
SRR21626474	GSM6591153	172-T
SRR21626478	GSM6591157	176-TR
SRR21626481	GSM6591160	179-T_P
SRR21626489	GSM6591168	195T
SRR21626490	GSM6591169	198-T
SRR21626497	GSM6591176	206-T
SRR21626500	GSM6591179	209-T-P
SRR21626508	GSM6591187	220-T
SRR21626512	GSM6591191	224-T
SRR21626513	GSM6591192	225-T
SRR21626514	GSM6591193	226-T_P
SRR21626515	GSM6591194	227-T_P
SRR21626516	GSM6591195	229TR
SRR21626521	GSM6591200	236-T
SRR21626522	GSM6591201	237-T
SRR21626525	GSM6591204	241-T
SRR21626528	GSM6591207	244-T
SRR21626531	GSM6591210	247-T
SRR21626533	GSM6591212	251-T
SRR21626535	GSM6591214	254-T5
SRR21626537	GSM6591216	256-T
SRR21626538	GSM6591217	257-T
SRR21626542	GSM6591221	262-T-P
SRR21626551	GSM6591230	281T
SRR21626552	GSM6591231	282T
SRR21626556	GSM6591235	286-T-P
SRR21626558	GSM6591237	292T
SRR21626559	GSM6591238	296T
SRR21626566	GSM6591245	303T
SRR21626567	GSM6591246	304T
SRR21626568	GSM6591247	305T
SRR21626571	GSM6591250	309T
SRR21626592	GSM6591263	353T
SRR21626593	GSM6591264	354T
SRR21626598	GSM6591269	359T
SRR21626600	GSM6591271	361T
SRR21626601	GSM6591272	362T
SRR21626602	GSM6591273	363T
SRR21626603	GSM6591274	364T
SRR21626604	GSM6591275	365T
SRR21626607	GSM6591278	368T1
SRR21626614	GSM6591285	377T1
SRR21626618	GSM6591289	382T
SRR21626619	GSM6591290	383T
SRR21626620	GSM6591291	384T1
SRR21626625	GSM6591296	393T
SRR21626626	GSM6591297	394T
SRR21626627	GSM6591298	395T1
SRR21626631	GSM6591302	399T
SRR21626636	GSM6591307	404T
SRR21626637	GSM6591308	405T1
SRR21626639	GSM6591310	408T
SRR21626645	GSM6591316	494T
SRR21626646	GSM6591317	497B
SRR21626649	GSM6591320	518T1
SRR21626650	GSM6591321	523T
SRR21626651	GSM6591322	ATCFP_1-T
SRR21626655	GSM6591326	ATCFP_5-T
SRR21626664	GSM6591335	FP18_T
SRR21626668	GSM6591339	FP22_T
SRR21626670	GSM6591341	FP26_T
SRR21626671	GSM6591342	FP28_T
SRR21626677	GSM6591348	FP36_T
SRR21626686	GSM6591357	PDFP_1-T
