run	n_het_loci	n_typed_loci	het_fraction
ERR1518687	6	6	1.0
ERR1518688	8	8	1.0
ERR1518689	8	8	1.0
ERR1518690	8	8	1.0
ERR1518691	2	3	0.6666666666666666
ERR1518692	7	8	0.875
ERR1518693	7	7	1.0
ERR1518694	7	7	1.0
ERR1518695	4	8	0.5
ERR1518696	4	8	0.5
ERR1518697	7	7	1.0
ERR1518698	6	7	0.8571428571428571
ERR1518699	4	8	0.5
ERR1518700	6	6	1.0
ERR1518701	3	6	0.5
ERR1518702	1	6	0.16666666666666666
ERR1518703	2	8	0.25
ERR1518704	6	6	1.0
ERR1518705	8	8	1.0
ERR1518706	8	8	1.0
ERR1518707	4	6	0.6666666666666666
ERR1518708	5	7	0.7142857142857143
ERR1518709	6	8	0.75
ERR1518710	6	8	0.75
ERR1518711	5	6	0.8333333333333334
ERR1518712	8	8	1.0
ERR1518713	6	6	1.0
ERR1518714	7	7	1.0
ERR1518715	8	8	1.0
ERR1518716	4	4	1.0
ERR1518717	6	7	0.8571428571428571
ERR1518718	8	8	1.0
ERR1518719	8	8	1.0
ERR1518720	8	8	1.0
ERR1518721	7	8	0.875
ERR1518722	4	4	1.0
ERR1518723	5	6	0.8333333333333334
ERR1518724	1	6	0.16666666666666666
ERR1518725	8	8	1.0
ERR1518726	7	7	1.0
ERR1518727	8	8	1.0
ERR1518728	4	4	1.0
ERR1518729	2	3	0.6666666666666666
ERR1518730	5	6	0.8333333333333334
ERR1518731	4	5	0.8
ERR1518732	6	7	0.8571428571428571
ERR1518733	7	8	0.875
ERR1518734	4	7	0.5714285714285714
ERR1518735	8	8	1.0
ERR1518736	7	8	0.875
ERR1518737	5	8	0.625
ERR1518738	3	6	0.5
ERR1518739	6	6	1.0
ERR1518740	7	7	1.0
ERR1518741	7	7	1.0
ERR1518742	6	8	0.75
ERR1518743	7	7	1.0
ERR1518744	3	6	0.5
ERR1518745	6	7	0.8571428571428571
ERR1518746	8	8	1.0
ERR1518747	6	7	0.8571428571428571
ERR1518748	8	8	1.0
ERR1518749	7	7	1.0
ERR1518750	8	8	1.0
ERR1518751	6	8	0.75
ERR1518752	7	8	0.875
ERR1518753	8	8	1.0
ERR1518754	8	8	1.0
ERR1518755	7	7	1.0
ERR1518756	7	8	0.875
ERR1518757	8	8	1.0
ERR1518758	7	8	0.875
ERR1518759	6	6	1.0
ERR1518760	8	8	1.0
ERR1518761	6	6	1.0
ERR1518762	6	8	0.75
ERR1518763	7	8	0.875
ERR1518764	8	8	1.0
ERR1518765	8	8	1.0
ERR1518766	6	6	1.0
ERR1518767	6	8	0.75
ERR1518768	7	8	0.875
ERR1518769	8	8	1.0
ERR1518770	6	8	0.75
ERR1518771	8	8	1.0
ERR1518772	7	8	0.875
ERR1518773	6	7	0.8571428571428571
ERR1518774	8	8	1.0
ERR1518775	8	8	1.0
ERR1518776	7	8	0.875
ERR1518777	7	8	0.875
ERR1518778	7	8	0.875
ERR1518779	5	8	0.625
ERR1518780	8	8	1.0
ERR1518781	7	8	0.875
ERR1518782	0	8	0.0
ERR1518783	6	8	0.75
ERR1518784	8	8	1.0
ERR1518785	8	8	1.0
ERR1518786	8	8	1.0
ERR1518787	7	8	0.875
ERR1518788	7	8	0.875
ERR1518789	8	8	1.0
ERR1518790	8	8	1.0
ERR1518791	8	8	1.0
ERR1518792	7	8	0.875
ERR1518793	5	8	0.625
ERR1518794	4	8	0.5
ERR1518795	8	8	1.0
ERR1518796	8	8	1.0
ERR1518797	8	8	1.0
ERR1518798	7	8	0.875
ERR1518799	8	8	1.0
ERR1518800	7	8	0.875
ERR1518801	5	7	0.7142857142857143
ERR1518802	8	8	1.0
ERR1518803	6	6	1.0
ERR1518804	8	8	1.0
ERR1518805	6	6	1.0
ERR1518806	5	8	0.625
ERR1518807	3	6	0.5
ERR1518808	7	8	0.875
ERR1518809	4	4	1.0
ERR1518810	7	8	0.875
ERR1518811	7	8	0.875
ERR1518812	7	8	0.875
ERR1518813	7	8	0.875
ERR1518814	8	8	1.0
ERR1518815	6	6	1.0
ERR1518816	7	8	0.875
ERR1518817	7	8	0.875
ERR1518818	7	8	0.875
ERR1518819	7	8	0.875
ERR1518820	5	6	0.8333333333333334
ERR1518821	6	6	1.0
ERR1518822	5	6	0.8333333333333334
ERR1518823	8	8	1.0
ERR1518824	8	8	1.0
ERR1518825	6	6	1.0
ERR1518826	8	8	1.0
ERR1518827	7	7	1.0
ERR1518828	8	8	1.0
ERR1518829	8	8	1.0
ERR1518830	6	7	0.8571428571428571
ERR1518831	7	8	0.875
ERR1518832	6	7	0.8571428571428571
ERR1518833	8	8	1.0
ERR1518834	8	8	1.0
ERR1518835	4	6	0.6666666666666666
ERR1518836	4	5	0.8
ERR1518837	7	7	1.0
ERR1518838	5	6	0.8333333333333334
ERR1518839	8	8	1.0
ERR1518840	8	8	1.0
ERR1518841	4	4	1.0
ERR1518842	8	8	1.0
ERR1518843	8	8	1.0
ERR1518844	7	8	0.875
ERR1518845	7	8	0.875
ERR1518846	5	6	0.8333333333333334
ERR1518847	6	8	0.75
ERR1518848	7	8	0.875
ERR1518849	5	5	1.0
ERR1518850	6	8	0.75
ERR1518851	7	8	0.875
ERR1518852	4	8	0.5
ERR1518853	8	8	1.0
ERR1518854	7	8	0.875
ERR1518855	4	8	0.5
ERR1518856	3	4	0.75
ERR1518857	8	8	1.0
ERR1518858	2	5	0.4
ERR1518859	8	8	1.0
ERR1518860	7	7	1.0
ERR1518861	6	6	1.0
ERR1518862	5	6	0.8333333333333334
ERR1518863	8	8	1.0
ERR1518864	7	7	1.0
ERR1518865	7	8	0.875
ERR1518866	8	8	1.0
ERR1518867	8	8	1.0
ERR1518868	7	8	0.875
ERR1518869	7	8	0.875
ERR1518870	8	8	1.0
ERR1518871	6	8	0.75
ERR1518872	8	8	1.0
ERR1518873	7	8	0.875
ERR1518874	4	6	0.6666666666666666
ERR1518875	7	8	0.875
ERR1518876	8	8	1.0
ERR1518877	5	6	0.8333333333333334
ERR1518878	6	7	0.8571428571428571
ERR1518879	6	7	0.8571428571428571
ERR1518880	7	8	0.875
ERR1518881	6	8	0.75
ERR1518882	6	8	0.75
ERR1518883	7	7	1.0
ERR1518884	7	8	0.875
ERR1518885	6	8	0.75
ERR1518886	5	7	0.7142857142857143
