claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite
BCR repertoire / TLS in thyroid cancer,precise measurement of the ckm angle $γ$ with a novel approa|,arxiv,1,,Precise measurement of the CKM angle $γ$ with a novel approach,,,The BESIII,0.0,0.0,100.0
BCR repertoire / TLS in thyroid cancer,searches for continuous gravitational waves from fifteen sup|,arxiv,1,,Searches for Continuous Gravitational Waves from Fifteen Supernova Remnants and Fomalhaut b with Advanced LIGO,,, The LIGO Scientific Collaboration,0.0,0.0,100.0
BCR repertoire / TLS in thyroid cancer,the physics of the b factories|,arxiv,1,,The Physics of the B Factories,,,A. J. Bevan,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1038/s41392-023-01705-z,openalex,1,10.1038/s41392-023-01705-z,Targeting the RAS/RAF/MAPK pathway for cancer therapy: from mechanism to clinical studies,2023.0,,Bahar,723.0,0.0,623.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12943-023-01827-6,openalex,1,10.1186/s12943-023-01827-6,PI3K/AKT/mTOR signaling transduction pathway and targeted therapies in cancer,2023.0,,Glaviano,1787.0,0.0,623.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s11033-020-05435-1,openalex,1,10.1007/s11033-020-05435-1,Role of PI3K/AKT pathway in cancer: the framework of malignant behavior,2020.0,,Jiang,570.0,0.0,620.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1038/s12276-020-00504-8,openalex,1,10.1038/s12276-020-00504-8,Glutamine reliance in cell metabolism,2020.0,,Yoo,961.0,0.0,620.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/cells9010198,openalex,1,10.3390/cells9010198,Targeting Aberrant RAS/RAF/MEK/ERK Signaling for Cancer Therapy,2020.0,,Degirmenci,531.0,0.0,620.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3892/etm.2020.8454,openalex,1,10.3892/etm.2020.8454,ERK/MAPK signalling pathway and tumorigenesis (Review),2020.0,,Guo,1449.0,0.0,620.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/cells8101118,openalex,1,10.3390/cells8101118,"The E-Cadherin and N-Cadherin Switch in Epithelial-to-Mesenchymal Transition: Signaling, Therapeutic Implications, and Challenges",2019.0,,Loh,1319.0,0.0,619.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1016/j.cell.2018.03.035,openalex,1,10.1016/j.cell.2018.03.035,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018.0,,Sánchez-Vega,3314.0,0.0,618.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1038/s41416-018-0327-z,openalex,1,10.1038/s41416-018-0327-z,The clinical role of the TME in solid cancer,2018.0,,Giraldo,742.0,0.0,618.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12943-018-0782-4,openalex,1,10.1186/s12943-018-0782-4,Mechanisms of receptor tyrosine kinase activation in cancer,2018.0,,Du,1047.0,0.0,618.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12943-018-0796-y,openalex,1,10.1186/s12943-018-0796-y,Function of the c-Met receptor tyrosine kinase in carcinogenesis and associated therapeutic opportunities,2018.0,,Zhang,559.0,0.0,618.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3389/fendo.2020.00102,openalex,1,10.3389/fendo.2020.00102,Update on Fundamental Mechanisms of Thyroid Cancer,2020.0,,Prete,463.0,0.0,583.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1016/j.modpat.2023.100242,"openalex,semantic_scholar_influential",2,10.1016/j.modpat.2023.100242,A Shift in Molecular Drivers of Papillary Thyroid Carcinoma Following the 2017 World Health Organization Classification: Characterization of 554 Consecutive Tumors With Emphasis on BRAF-Negative Cases,2023.0,Modern Pathology,Hang,20.0,0.0,243.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1530/erc-23-0117,openalex,1,10.1530/erc-23-0117,RET fusion genes in pediatric and adult thyroid carcinomas: cohort characteristics and prognosis,2023.0,,Pekova,20.0,0.0,143.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1097/pas.0000000000002256,openalex,1,10.1097/pas.0000000000002256,Multifocal Papillary Thyroid Carcinomas With Discordant Molecular Drivers,2024.0,,Rivera,6.0,0.0,130.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s00428-025-04375-0,europepmc_fulltext,1,10.1007/s00428-025-04375-0,Encapsulated neoplasms of the thyroid gland.,2026.0,,,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s00428-025-04380-3,europepmc_fulltext,1,10.1007/s00428-025-04380-3,Chromophobe thyroid carcinoma: a distinct entity associated with TSC gene alterations.,2026.0,,,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12885-026-15818-5,semantic_scholar_influential,1,10.1186/s12885-026-15818-5,Diagnostic accuracy in BRAF V600E-negative papillary thyroid cancer via 5-gene expression profiling of residual nucleic acids from mutation testing: a retrospective study,2026.0,BMC Cancer,Liangyi Wang,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s13044-026-00292-9,europepmc_fulltext,1,10.1186/s13044-026-00292-9,Assessing the clinical diagnostic utility of multiplex ddPCR assays in thyroid nodules.,2026.0,,,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3389/fendo.2026.1737469,europepmc_fulltext,1,10.3389/fendo.2026.1737469,Leveraging the transcriptome-phenotype relationship to guide clinical management of papillary thyroid cancer.,2026.0,,,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/biomedicines14010168,europepmc_fulltext,1,10.3390/biomedicines14010168,State of the Art on Thyroid Cancer Biology and Oncology.,2026.0,,,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/biomedicines14020453,europepmc_fulltext,1,10.3390/biomedicines14020453,"Cancer Stemness and Dedifferentiation in Anaplastic Thyroid Carcinoma: Insights into a Multigenic, Microenvironmental Network and the Role of CD44.",2026.0,,,0.0,0.0,126.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1093/ajcp/aqaf121.206,semantic_scholar_influential,1,10.1093/ajcp/aqaf121.206,"162 Non-Invasive Follicular Thyroid Neoplasm with Papillary-Like Nuclear Features with BRAF Mutation (BRAF:pK601E, c.1801A>G)",2025.0,American Journal of Clinical Pathology,Bhanupriya Kakarala,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1158/1538-7445.am2025-lb414,semantic_scholar_influential,1,10.1158/1538-7445.am2025-lb414,"Abstract LB414: Characterization of the genomic landscape of BRAF-, RAS-, and fusion-negative thyroid carcinomas underscores the role of tumor suppressor genes",2025.0,Cancer Research,Vicente R. Marczyk,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1530/etj-25-0104,europepmc_fulltext,1,10.1530/etj-25-0104,Somatic genetic alterations in the development and progression in thyroid tumors of follicular cells.,2025.0,,,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/biomedicines13122982,europepmc_fulltext,1,10.3390/biomedicines13122982,Dedifferentiation and Redifferentiation of Follicular-Cell-Derived Thyroid Carcinoma: Mechanisms and Therapeutic Implications.,2025.0,,,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/genes17010036,europepmc_fulltext,1,10.3390/genes17010036,Review of Genomic Drivers of Thyroid Cancer and Their Clinical Implications.,2025.0,,,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/ijms262211100,europepmc_fulltext,1,10.3390/ijms262211100,Inside the Matrix: Integrated Cytology and Molecular Testing of Thyroid FNAC Samples Using a Commercial Synthetic 3D Scaffold.,2025.0,,,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.7759/cureus.84879,semantic_scholar_influential,1,10.7759/cureus.84879,Outcomes of Prophylactic Central Neck Dissection in Clinically Node-Negative Papillary Thyroid Carcinoma: A Retrospective Study From a Tertiary Care Centre,2025.0,Cureus,Monika Ballabh,0.0,0.0,125.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s12020-024-03911-3,semantic_scholar_influential,1,10.1007/s12020-024-03911-3,A computational approach to assessing the prognostic implications of BRAF and RAS mutations in patients with papillary thyroid carcinoma,2024.0,Endocrine,Tahereh Haghzad,0.0,0.0,124.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1016/j.jmoldx.2023.04.007,semantic_scholar_influential,1,10.1016/j.jmoldx.2023.04.007,Molecular and cytogenetic features of NTRK fusions enriched in BRAF and RET double-negative papillary thyroid cancer.,2023.0,Journal of Molecular Diagnostics,Shafei Wu,0.0,0.0,123.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/cancers12071973,semantic_scholar_influential,1,10.3390/cancers12071973,Characterization of Driver Mutations in Anaplastic Thyroid Carcinoma Identifies RAS and PIK3CA Mutations as Negative Survival Predictors,2020.0,Cancers,Wei-An Lai,0.0,0.0,120.0
BRAF/RAS-negative ('dark matter') PTC subtypes,a mathematical model of thyroid disease response to radiothe|,arxiv,1,,A Mathematical Model of Thyroid Disease Response to Radiotherapy,,,Araceli Gago-Arias,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,an explainable ai model for predicting the recurrence of dif|,arxiv,1,,An Explainable AI Model for Predicting the Recurrence of Differentiated Thyroid Cancer,,,Mohammad Al-Sayed Ahmad,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,artificial intelligence-enabled analysis of radiology report|,arxiv,1,,Artificial Intelligence-Enabled Analysis of Radiology Reports: Epidemiology and Consequences of Incidental Thyroid Findings,,,Felipe Larios,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,gene expression and pathway bioinformatics analysis detect a|,arxiv,1,,Gene expression and pathway bioinformatics analysis detect a potential predictive value of MAP3K8 in thyroid cancer progression,,,Valentina Di Salvatore,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,improving the diagnosis of thyroid cancer by machine learnin|,arxiv,1,,Improving The Diagnosis of Thyroid Cancer by Machine Learning and Clinical Data,,,Nan Miles Xi,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,interpretable data mining of follicular thyroid cancer ultra|,arxiv,1,,Interpretable Data Mining of Follicular Thyroid Cancer Ultrasound Features Using Enhanced Association Rules,,,Songlin Zhou,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,tracked 3d ultrasound and deep neural network-based thyroid |,arxiv,1,,Tracked 3D Ultrasound and Deep Neural Network-based Thyroid Segmentation reduce Interobserver Variability in Thyroid Volumetry,,,Markus Krönke,0.0,0.0,100.0
BRAF/RAS-negative ('dark matter') PTC subtypes,use of natural language processing to extract and classify p|,arxiv,1,,Use of natural language processing to extract and classify papillary thyroid cancer features from surgical pathology reports,,,Ricardo Loor-Torres,0.0,0.0,100.0
HLA-II PTC autoimmunity (DPB1*05:01 etc.),10.3390/nu17030398,openalex,1,10.3390/nu17030398,Effects of Trace Elements on Endocrine Function and Pathogenesis of Thyroid Diseases—A Literature Review,2025.0,,Bryliński,24.0,0.0,149.0
HLA-II PTC autoimmunity (DPB1*05:01 etc.),10.1007/s10354-021-00879-x,openalex,1,10.1007/s10354-021-00879-x,Hashimoto’s thyroiditis and coexisting disorders in correlation with HLA status—an overview,2021.0,,Mikosch,26.0,0.0,147.0
HLA-II PTC autoimmunity (DPB1*05:01 etc.),10.1002/jmv.28487,openalex,1,10.1002/jmv.28487,"How does SARS‐CoV‐2 infection impact on immunity, procession and treatment of pan cancers",2023.0,,Xiong,16.0,0.0,139.0
HLA-II PTC autoimmunity (DPB1*05:01 etc.),10.1016/j.ajpath.2019.09.019,openalex,1,10.1016/j.ajpath.2019.09.019,The Major Histocompatibility Complex Class II–CD4 Immunologic Synapse in Alcoholic Hepatitis and Autoimmune Liver Pathology,2019.0,,Lu,17.0,0.0,136.0
HLA-II PTC autoimmunity (DPB1*05:01 etc.),10.1111/pcmr.13108,openalex,1,10.1111/pcmr.13108,"Unveiling the mystery of Riehl's melanosis: An update from pathogenesis, diagnosis to treatment",2023.0,,Ding,13.0,0.0,136.0
HLA-II PTC autoimmunity (DPB1*05:01 etc.),10.1186/s12957-022-02652-9,openalex,1,10.1186/s12957-022-02652-9,"Evaluate the diagnostic and prognostic value of NUSAP1 in papillary thyroid carcinoma and identify the relationship with genes, proteins, and immune factors",2022.0,,Gao,12.0,0.0,134.0
