query,nct_id,title,status,start_date,phase,enrollment,study_type,intervention_types,intervention_names,conditions,lead_sponsor,sponsor_class,primary_outcome,min_age,sex
RET fusion thyroid,NCT06530316,RET Inhibitor for Neoadjuvant Therapy in Locally Advanced RET-altered Thyroid Cancer,RECRUITING,2024-07-18,,48,OBSERVATIONAL,"DRUG,PROCEDURE",RET Inhibitor; Surgery,Thyroid Cancer,Fudan University,OTHER,R0/1 resection rate,14 Years,ALL
RET fusion thyroid,NCT07419932,Response to Neoadjuvant Treatment in Locally Advanced Thyroid Cancer,RECRUITING,2025-12-23,,120,OBSERVATIONAL,"DRUG,PROCEDURE",Multitarget Tyrosine Kinase Inhibitors; BRAF inhibitor dabrafenib and MEK inhibitor trametinib; RET Inhibitor; PD(L)-1 inhibitor; Biopsy; Surgery; Surgery,"Thyroid Cancer,Thyroid Neoplasms",Fujian Medical University,OTHER,Radiographic Response; Pathologic Response; Progression-Free Survival (PFS),14 Years,ALL
RET fusion thyroid,NCT05265091,A Study of KL590586 in Patients With Advanced Solid Tumors,ACTIVE_NOT_RECRUITING,2021-09-15,"PHASE1,PHASE2",414,INTERVENTIONAL,DRUG,KL590586 Capsule,Advanced Solid Tumor,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",INDUSTRY,Phase I: Dose limiting toxicities (DLT); Phase II: ORR,18 Years,ALL
RET fusion thyroid,NCT04280081,"A Study of Selpercatinib (LY3527723) in Participants With Advanced Solid Tumors Including RET Fusion-positive Solid Tumors, Medullary Thyroid Cancer and Other Tumors With RET Activation",ACTIVE_NOT_RECRUITING,2020-03-16,PHASE2,77,INTERVENTIONAL,DRUG,Selpercatinib,"Solid Tumor,Medullary Thyroid Cancer",Eli Lilly and Company,INDUSTRY,Primary Analysis Set: Overall Response Rate (ORR): Percentage of Participants With Complete Response (CR) or Partial Response (PR) as Assessed by Independent Review Committee (IRC); Enrolled Population: Overall Response Rate (ORR): Percentage of Participants With Complete Response (CR) or Partial Response (PR) as Assessed by IRC,18 Years,ALL
RET fusion thyroid,NCT03899792,A Study of Oral LOXO-292 (Selpercatinib) in Pediatric Participants With Advanced Solid or Primary Central Nervous System (CNS) Tumors,ACTIVE_NOT_RECRUITING,2019-06-13,"PHASE1,PHASE2",36,INTERVENTIONAL,DRUG,Selpercatinib,"Medullary Thyroid Cancer,Infantile Myofibromatosis,Infantile Fibrosarcoma,Papillary Thyroid Cancer,Soft Tissue Sarcoma",Eli Lilly and Company,INDUSTRY,Phase 1: Number of Participants With Dose Limiting Toxicities (DLTs); Phase 2: Percentage of Participants With Overall Response Rate (ORR) in Study,6 Months,ALL
BRAF V600E thyroid,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL
BRAF V600E thyroid,NCT05786924,Phase 1/2 Trial of S241656 in Selected RAS/MAPK Mutation- Positive Malignancies,RECRUITING,2023-04-18,"PHASE1,PHASE2",554,INTERVENTIONAL,DRUG,S241656; FOLFOX6/FOLFOX7; FOLFIRI; Cetuximab; Panitumumab; Gemcitabine; Nab-paclitaxel,"Non-small Cell Lung Cancer,Histiocytic Neoplasm,Histiocytosis,BRAF Gene Mutation,BRAF V600E,BRAF V600 Mutation,BRAF Mutation-Related Tumors,BRAF,Metastatic Lung Non-Small Cell Carcinoma,Metastatic Lung Cancer,Recurrent Lung Cancer,Recurrent Lung Non-Small Cell Carcinoma,NSCLC,Solid Tumor,Solid Carcinoma,KRAS G12D,KRAS G12V,KRAS Mutation-Related Tumors,NRAS Gene Mutation,Thyroid Cancer,Thyroid Carcinoma,Colorectal Cancer,Colorectal Carcinoma,Recurrent Histiocytic and Dendritic Cell Neoplasm,Brain Metastases,Recurrent NSCLC,KRAS G13C,Acquired Resistance to KRAS G12C Inhibitor,KRAS G12A,KRAS G12F,KRAS G12R,KRAS G13D",Institut de Recherches Internationales Servier,OTHER,Dose Escalation: Incidence of dose-limiting toxicities (DLTs); Dose Escalation: Number of Adverse Events (AEs) and Serious Adverse Events (SAEs); Dose Optimization/Expansion: Objective response (OR),18 Years,ALL
BRAF V600E thyroid,NCT06440850,Vemurafenib and Cobimetinib for the Treatment of Patients With High Risk Differentiated Thyroid Carcinoma With BRAFV600E Mutation,RECRUITING,2024-07-15,PHASE2,21,INTERVENTIONAL,"BIOLOGICAL,DRUG,PROCEDURE,RADIATION",Biospecimen Collection; Cobimetinib; Computed Tomography; Diagnostic Imaging; I-131 Uptake Test; Iodine I-131; Magnetic Resonance Imaging; Positron Emission Tomography; Recombinant Thyrotropin Alfa; Ultrasound Imaging; Vemurafenib,"Thyroid Gland Follicular Carcinoma,Thyroid Gland Oncocytic Carcinoma,Thyroid Gland Papillary Carcinoma",City of Hope Medical Center,OTHER,Patients who achieve excellent or indeterminate response with vemurafenib and cobimetinib treatment prior to radioactive iodine therapy,18 Years,ALL
BRAF V600E thyroid,NCT03181100,Atezolizumab With Chemotherapy in Treating Patients With Anaplastic or Poorly Differentiated Thyroid Cancer,ACTIVE_NOT_RECRUITING,2017-07-27,PHASE2,50,INTERVENTIONAL,"BIOLOGICAL,DRUG",Atezolizumab; Bevacizumab; Cobimetinib; Nab-paclitaxel; Paclitaxel; Vemurafenib,"Metastatic Thyroid Gland Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Stage IVA Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVB Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVC Thyroid Gland Anaplastic Carcinoma AJCC v8,Thyroid Gland Anaplastic Carcinoma,Unresectable Thyroid Gland Carcinoma",M.D. Anderson Cancer Center,OTHER,Overall survival (OS) with targeted therapy + atezolizumab in cohorts 1 and 3 with anaplastic thyroid carcinoma (ATC),18 Years,ALL
BRAF V600E thyroid,NCT06539702,Preoperative Hemogram Parameters and BRAF Molecular Test Detected by Bethesda 3 Cytology.,RECRUITING,2024-07-20,,120,OBSERVATIONAL,,,"Blood Platelet Disorder,BRAF V600E,Thyroid Nodule,Cytologic Atypia",Saglik Bilimleri Universitesi,OTHER,Mean Platelet Volume (MPV) (fL); Neutrophil/lenfosit Ratio (NLR)(103/µL); Platelet/Lenfosit Ratio (PLR)(103/µL); Lenfosit/Monosit Ratio (LMR)(103/µL),18 Years,ALL
BRAF V600E thyroid,NCT02465060,"Targeted Therapy Directed by Genetic Testing in Treating Patients With Advanced Refractory Solid Tumors, Lymphomas, or Multiple Myeloma (The MATCH Screening Trial)",ACTIVE_NOT_RECRUITING,2015-08-17,PHASE2,6452,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER,PROCEDURE",Adavosertib; Afatinib; Afatinib Dimaleate; Binimetinib; Biopsy Procedure; Biospecimen Collection; Capivasertib; Computed Tomography; Copanlisib; Copanlisib Hydrochloride; Crizotinib; Cytology Specimen Collection Procedure; Dabrafenib; Dabrafenib Mesylate; Dasatinib; Defactinib; Defactinib Hydrochloride; Echocardiography Test; Erdafitinib; Fexagratinib; Ipatasertib; Laboratory Biomarker Analysis; Larotrectinib; Larotrectinib Sulfate; Magnetic Resonance Imaging; Multigated Acquisition Scan; Nivolumab; Osimertinib; Palbociclib; Pertuzumab; PI3K-beta Inhibitor GSK2636771; Radiologic Examination; Radionuclide Imaging; Relatlimab; Sapanisertib; Sunitinib Malate; Taselisib; Trametinib; Trastuzumab; Trastuzumab Emtansine; Ulixertinib; Vismodegib,"Advanced Lymphoma,Advanced Malignant Solid Neoplasm,Bladder Carcinoma,Breast Carcinoma,Cervical Carcinoma,Colon Carcinoma,Colorectal Carcinoma,Endometrial Carcinoma,Esophageal Carcinoma,Exocrine Pancreas Carcinoma,Gastric Carcinoma,Glioma,Head and Neck Carcinoma,Hematopoietic and Lymphoid Cell Neoplasm,Kidney Carcinoma,Liver Carcinoma,Lung Carcinoma,Lymphoma,Malignant Uterine Corpus Neoplasm,Malignant Uterine Neoplasm,Melanoma,Multiple Myeloma,Ovarian Carcinoma,Prostate Carcinoma,Rectal Carcinoma,Recurrent Bladder Carcinoma,Recurrent Breast Carcinoma,Recurrent Cervical Carcinoma,Recurrent Colon Carcinoma,Recurrent Colorectal Carcinoma,Recurrent Esophageal Carcinoma,Recurrent Gastric Carcinoma,Recurrent Glioma,Recurrent Head and Neck Carcinoma,Recurrent Liver Carcinoma,Recurrent Lung Carcinoma,Recurrent Lymphoma,Recurrent Malignant Solid Neoplasm,Recurrent Malignant Uterine Corpus Neoplasm,Recurrent Melanoma,Recurrent Multiple Myeloma,Recurrent Ovarian Carcinoma,Recurrent Pancreatic Carcinoma,Recurrent Prostate Carcinoma,Recurrent Rectal Carcinoma,Recurrent Skin Carcinoma,Recurrent Thyroid Gland Carcinoma,Refractory Lymphoma,Refractory Malignant Solid Neoplasm,Refractory Multiple Myeloma,Skin Carcinoma,Thyroid Gland Carcinoma",National Cancer Institute (NCI),NIH,Objective response rate (ORR),18 Years,ALL
BRAF V600E thyroid,NCT05503797,A Study to Assess the Efficacy and Safety of FORE8394 in Participants With Cancer Harboring BRAF Alterations,RECRUITING,2023-02-21,PHASE2,254,INTERVENTIONAL,DRUG,Plixorafenib,"Cancer Harboring BRAF Alterations,HGG,LGG,Solid Tumors",Fore Biotherapeutics,INDUSTRY,"Objective Response Rate (ORR) (Subprotocols A, B and C); Pharmacokinetics (Subprotocol D)",10 Years,ALL
BRAF V600E thyroid,NCT04238624,Study of Cemiplimab Combined With Dabrafenib and Trametinib in People With Anaplastic Thyroid Cancer,ACTIVE_NOT_RECRUITING,2020-01-20,PHASE2,16,INTERVENTIONAL,DRUG,Dabrafenib; Trametinib,"Anaplastic Thyroid Cancer,Thyroid Cancer,BRAF Gene Mutation,BRAF Mutation-Related Tumors",Memorial Sloan Kettering Cancer Center,OTHER,Overall Response Rate per RECIST 1.1 Criteria,18 Years,ALL
BRAF V600E thyroid,NCT04439292,Testing Trametinib and Dabrafenib as a Potential Targeted Treatment in Cancers With BRAF Genetic Changes (MATCH-Subprotocol H),ACTIVE_NOT_RECRUITING,2015-08-12,PHASE2,35,INTERVENTIONAL,DRUG,Dabrafenib Mesylate; Trametinib Dimethyl Sulfoxide,"Advanced Lymphoma,Advanced Malignant Solid Neoplasm,Hematopoietic and Lymphoid Cell Neoplasm,Refractory Lymphoma,Refractory Malignant Solid Neoplasm,Refractory Multiple Myeloma",National Cancer Institute (NCI),NIH,Objective response rate (ORR),18 Years,ALL
BRAF V600E thyroid,NCT06475989,Study of Targeted Therapy vs. Chemotherapy in Patients With Thyroid Cancer,RECRUITING,2024-08-22,PHASE3,264,INTERVENTIONAL,"DRUG,OTHER,PROCEDURE",Biospecimen Collection; Cabozantinib; Computed Tomography; Dabrafenib; Magnetic Resonance Imaging; Questionnaire Administration; Trametinib,Refractory Differentiated Thyroid Gland Carcinoma,ECOG-ACRIN Cancer Research Group,NETWORK,Progression free survival (PFS),18 Years,ALL
BRAF V600E thyroid,NCT04061980,Encorafenib and Binimetinib With or Without Nivolumab in Treating Patients With Metastatic Radioiodine Refractory BRAF V600 Mutant Thyroid Cancer,ACTIVE_NOT_RECRUITING,2020-10-30,PHASE2,24,INTERVENTIONAL,"BIOLOGICAL,DRUG",Binimetinib; Encorafenib; Nivolumab,"BRAF NP_004324.2:p.V600M,BRAF V600E Mutation Present,Metastatic Thyroid Gland Carcinoma,Refractory Thyroid Gland Carcinoma,Stage IV Differentiated Thyroid Gland Carcinoma AJCC v8,Stage IVA Differentiated Thyroid Gland Carcinoma AJCC v8,Stage IVB Differentiated Thyroid Gland Carcinoma AJCC v8",Providence Health & Services,OTHER,Overall response rate (ORR),18 Years,ALL
BRAF V600E thyroid,NCT04675710,"Pembrolizumab, Dabrafenib, and Trametinib Before Surgery for the Treatment of BRAF-Mutated Anaplastic Thyroid Cancer",ACTIVE_NOT_RECRUITING,2021-06-24,PHASE2,30,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER,PROCEDURE,RADIATION",Conventional Surgery; Dabrafenib; Intensity-Modulated Radiation Therapy; Pembrolizumab; Quality-of-Life Assessment; Trametinib,"Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Squamous Cell Carcinoma",M.D. Anderson Cancer Center,OTHER,Complete gross surgical resection (R0 or R1 resection); Overall survival (OS),18 Years,ALL
BRAF V600E thyroid,NCT07419932,Response to Neoadjuvant Treatment in Locally Advanced Thyroid Cancer,RECRUITING,2025-12-23,,120,OBSERVATIONAL,"DRUG,PROCEDURE",Multitarget Tyrosine Kinase Inhibitors; BRAF inhibitor dabrafenib and MEK inhibitor trametinib; RET Inhibitor; PD(L)-1 inhibitor; Biopsy; Surgery; Surgery,"Thyroid Cancer,Thyroid Neoplasms",Fujian Medical University,OTHER,Radiographic Response; Pathologic Response; Progression-Free Survival (PFS),14 Years,ALL
BRAF V600E thyroid,NCT06902376,XL092 and Cemiplimab in BRAF WT Thyroid Cancer,RECRUITING,2025-06-03,PHASE1,12,INTERVENTIONAL,"BIOLOGICAL,DRUG",Cemiplimab; XL092,"Anaplastic Thyroid Cancer,Thyroid Cancer,BRAF Mutation-Related Tumors",UNC Lineberger Comprehensive Cancer Center,OTHER,Complete gross resection; Non-hematologic treatment related adverse events (TRAEs),18 Years,ALL
BRAF V600E thyroid,NCT07054229,Efficacy and Prognosis of Microwave Ablation Treatment for Papillary Thyroid Microcarcinoma Assessed by Contrast-Enhanced Ultrasound Combined With Genetic and Molecular Diagnostics: A Prospective Observational Study,RECRUITING,2024-01-01,,480,OBSERVATIONAL,"DRUG,GENETIC",Contrast enhanced Ultrasound; 88-gene panel for thyroid cancer,"Microwave Ablation,Contrast-enhanced Ultrasound,Genetic and Molecular Diagnostics,Papillary Thyroid Microcarcinoma",Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,OTHER,Efficacy and prognosis of microwave ablation therapy for papillary thyroid microcarcinoma,18 Years,ALL
BRAF V600E thyroid,NCT04940052,"Study of Efficacy and Safety of Dabrafenib in Combination With Trametinib in Previously Treated Patients With Metastatic, Radio-active Iodine Refractory BRAF V600E Mutation Positive Differentiated Thyroid Cancer",ACTIVE_NOT_RECRUITING,2021-11-15,PHASE3,153,INTERVENTIONAL,DRUG,Dabrafenib; Trametinib; Trametinib Placebo; Dabrafenib placebo,Differentiated Thyroid Cancer (DTC),Novartis Pharmaceuticals,INDUSTRY,Progression Free Survival (PFS),18 Years,ALL
anaplastic thyroid carcinoma,NCT06195228,A Retrospective and Prospective Real-world Study of Molecular Typing in the Treatment of Advanced Thyroid Cancer,RECRUITING,2020-01-01,PHASE4,800,INTERVENTIONAL,DRUG,dabrafenib plus trametinib with or without PD-1 antibody; entrectinib or larotrectinib with or without anti-PD-1 antibdoy; pralsetinib or selpercatinib with or without anti-PD-1 antibdoy; anlotinib or anlotinib plus anti-PD-1 antibody; lenvatinib plus anti-PD-1 antibody; Other Targets: precise treatment based on the target,Advanced Thyroid Cancer Patients Who Received Target Therapy,Fudan University,OTHER,Objective Response Rate(ORR),,ALL
anaplastic thyroid carcinoma,NCT05119296,Phase II Trial of Pembrolizumab in Metastatic or Locally Advanced Anaplastic/Undifferentiated Thyroid Cancer,ACTIVE_NOT_RECRUITING,2022-02-15,PHASE2,12,INTERVENTIONAL,DRUG,Pembrolizumab (Keytruda),Thyroid Cancer,Stanford University,OTHER,Overall response rate (OR),18 Years,ALL
