gene	beta_subtype	abs_beta	pvalue_LMM	fdr_LMM	log2FC_raw_DESeq2	padj_raw_DESeq2	is_druggable	is_original_biomarker
CD1B	0.484612	0.484612	2.79914e-10	1.20022e-09	3.26919	2.68615e-28	False	False
SCN9A	0.481306	0.481306	1.99124e-09	7.89349e-09	1.39882	1.30124e-13	False	False
FMO3	0.480585	0.480585	1.66695e-10	7.28628e-10	1.08869	2.36712e-11	False	True
IGLL5	0.479419	0.479419	1.85119e-05	4.7853e-05	4.02949	4.69892e-18	False	False
GRP	0.479056	0.479056	9.37167e-08	3.13102e-07	3.4569	1.87101e-24	False	False
FCGR1A	0.476762	0.476762	2.28775e-08	8.11068e-08	1.10977	6.76879e-10	False	True
TBC1D30	-0.47593	0.47593	1.60222e-47	9.06379e-46	-1.03074	5.65249e-51	False	False
NCAM2	0.474301	0.474301	5.41931e-08	1.85664e-07	1.14442	2.78061e-09	False	False
RETN	0.473927	0.473927	5.00111e-07	1.54113e-06	3.87096	2.81608e-32	False	False
CASS4	0.473441	0.473441	7.05013e-12	3.50263e-11	1.31675	7.10947e-17	False	False
ZDHHC8P1	-0.470758	0.470758	3.38601e-17	2.60002e-16	-1.00287	3.67313e-14	False	False
CR1	0.469082	0.469082	1.63759e-06	4.74659e-06	2.31399	1.33077e-22	False	False
DES	0.465723	0.465723	0.00752488	0.0132966	1.44232	2.91601e-06	False	False
GPR39	0.464988	0.464988	1.14872e-16	8.51358e-16	1.10565	8.51552e-20	False	False
NME8	-0.464267	0.464267	2.21345e-21	2.36061e-20	-2.40627	7.5101e-39	False	False
CNTN1	0.463793	0.463793	7.25019e-05	0.000172982	1.95896	4.58318e-10	False	False
PDE3B	0.463778	0.463778	5.1767e-09	1.97264e-08	1.16681	7.76966e-12	False	False
CD209	0.462136	0.462136	1.57626e-08	5.69866e-08	1.15445	1.0297e-10	False	True
CORIN	0.462007	0.462007	8.56508e-08	2.87384e-07	1.88573	5.15476e-20	False	False
TNFRSF17	0.459847	0.459847	0.000163344	0.000370474	3.181	2.92878e-17	False	False
MMP17	0.457135	0.457135	1.15759e-05	3.06474e-05	1.68309	6.92329e-12	False	False
ADAM23	0.456885	0.456885	5.68747e-11	2.60056e-10	2.04178	3.47838e-23	False	False
SIRPB1	0.455931	0.455931	1.72037e-07	5.58513e-07	1.31318	2.2358e-10	False	False
GAS1	0.450685	0.450685	0.00128976	0.00258218	1.25702	2.0333e-08	False	False
PYY	-0.450481	0.450481	4.54519e-25	6.23965e-24	-1.49872	6.88934e-20	False	False
LILRA6	0.449279	0.449279	6.79312e-10	2.82546e-09	1.35164	4.24732e-14	False	False
EPYC	0.448714	0.448714	0.000144406	0.000330014	6.05754	5.06021e-30	False	False
TESPA1	0.44852	0.44852	4.20314e-07	1.30415e-06	1.41355	2.16641e-16	False	False
FGF18	0.447353	0.447353	2.66654e-10	1.14546e-09	1.1068	3.22112e-12	False	True
SLC6A4	-0.447244	0.447244	5.01352e-33	1.23857e-31	-1.79313	5.76411e-38	False	False
PLA2G2D	0.445348	0.445348	0.00114999	0.00231779	2.29901	3.67389e-12	False	False
PIWIL2	-0.443742	0.443742	4.94238e-19	4.48298e-18	-1.13176	4.38707e-15	False	False
KCNC1	-0.442808	0.442808	5.00534e-45	2.46271e-43	-1.9301	1.87584e-41	False	False
PLA2G2E	0.441449	0.441449	1.42394e-13	8.26278e-13	5.34093	4.89428e-60	False	False
CCKBR	0.439728	0.439728	7.01438e-10	2.91374e-09	1.71544	1.16821e-17	False	False
HPSE2	0.439675	0.439675	1.96165e-07	6.32806e-07	1.24623	6.43707e-10	False	False
GZMB	0.437617	0.437617	7.98673e-06	2.15445e-05	1.38582	4.15469e-11	False	False
CXCL3	0.436128	0.436128	9.90347e-10	4.04357e-09	1.50524	8.24451e-13	False	False
KRT5	0.435806	0.435806	0.0122787	0.0209109	2.01932	4.30733e-07	False	False
BCAP29	-0.435055	0.435055	5.21097e-29	9.56433e-28	-1.06632	1.77965e-24	False	False
UBASH3A	0.433032	0.433032	1.39576e-07	4.57314e-07	1.70791	6.40842e-17	False	False
PLA2G5	0.432758	0.432758	0.000178023	0.000401822	1.16864	7.83626e-08	False	False
CALCA	0.432489	0.432489	0.0210511	0.0344238	2.95803	2.44169e-12	False	False
CD19	0.430843	0.430843	0.000834451	0.00171188	3.86827	2.23692e-28	False	False
MATN3	0.430253	0.430253	2.92386e-05	7.34415e-05	1.35626	3.36735e-10	False	False
NPAS1	0.428838	0.428838	1.8773e-09	7.45446e-09	1.09194	6.29811e-13	False	False
APOBEC3B	0.42882	0.42882	5.23317e-08	1.79497e-07	1.13468	3.29136e-10	False	False
CA7	0.425427	0.425427	1.50175e-08	5.44441e-08	1.7068	4.5162e-17	False	False
SOSTDC1	-0.423739	0.423739	2.74013e-08	9.63859e-08	-1.78078	1.5929e-09	False	False
NOS1AP	0.422714	0.422714	3.79819e-11	1.76635e-10	1.07224	1.50971e-14	False	False
