gene	beta_subtype	abs_beta	pvalue_LMM	fdr_LMM	log2FC_raw_DESeq2	padj_raw_DESeq2	is_druggable	is_original_biomarker
PRSS21	0.12538	0.12538	0.00157047	0.00310226	1.76239	5.72102e-09	False	False
C22orf31	-0.12491	0.12491	1.38315e-06	4.04436e-06	-1.36318	4.01228e-12	False	False
MLNR	-0.124262	0.124262	4.80761e-06	1.335e-05	-1.7915	6.41757e-09	False	False
GABRP	0.121436	0.121436	4.04298e-06	1.13207e-05	1.01701	3.59823e-10	False	False
TPSD1	0.119711	0.119711	0.0179549	0.0297934	1.75373	3.90569e-06	False	False
GPR12	0.118764	0.118764	0.00040319	0.000865509	3.10346	4.89794e-14	False	False
CDH10	-0.117988	0.117988	0.000149729	0.000341513	-1.0428	0.00787578	False	False
LRRTM4	-0.117415	0.117415	0.000376716	0.000812702	-2.30308	1.364e-06	False	False
GRM3	-0.115617	0.115617	6.29889e-10	2.63428e-09	-1.90451	5.45444e-14	False	False
PDE6A	0.115539	0.115539	2.13805e-08	7.60759e-08	1.58651	3.05779e-16	False	False
P2RY4	0.112853	0.112853	8.13584e-07	2.4466e-06	1.27102	2.46063e-11	False	False
GLRA1	0.112058	0.112058	0.0101658	0.0175577	3.62548	9.48953e-11	False	False
BCL2L14	0.110102	0.110102	7.73223e-05	0.000183325	1.23587	1.54185e-08	False	False
ELAVL4	0.109817	0.109817	1.22208e-07	4.02886e-07	1.16358	1.5082e-10	False	False
SP3P	-0.107898	0.107898	4.14557e-05	0.000101813	-1.50387	2.47144e-08	False	False
DCC	0.107482	0.107482	0.0114591	0.0196293	1.54679	1.30663e-06	False	False
SLC13A2	-0.107342	0.107342	8.0892e-06	2.18109e-05	-1.87433	2.91471e-06	False	False
KERA	0.107083	0.107083	0.000255042	0.000563074	4.06554	1.41068e-12	False	False
STEAP1B	0.106747	0.106747	2.24871e-06	6.43352e-06	1.09606	9.12864e-11	False	False
SFRP5	0.106433	0.106433	0.00642781	0.0114688	2.37588	5.27395e-10	False	False
ELF5	0.105357	0.105357	4.52553e-08	1.56232e-07	1.49093	1.40979e-13	False	False
MATN4	0.104897	0.104897	0.00144743	0.00287717	1.02335	1.99528e-06	False	False
NTNG1	0.104717	0.104717	0.00112679	0.00227416	1.08103	1.87947e-05	False	False
C6orf15	0.103872	0.103872	5.91053e-09	2.23771e-08	4.1468	8.58415e-24	False	False
LUZP2	0.103299	0.103299	0.00109809	0.00222198	1.49871	1.24738e-08	False	False
SCRG1	0.103231	0.103231	0.00118791	0.00239011	1.03138	6.39698e-06	False	False
IGLJ3	0.100253	0.100253	1.05502e-05	2.80842e-05	2.66393	0.00034242	False	False
TRAV12-2	0.0996306	0.0996306	0.00112547	0.00227189	1.60756	2.35162e-09	False	False
NTN3	-0.0988872	0.0988872	4.40313e-15	2.88371e-14	-1.44299	4.39724e-14	False	False
KLK8	0.0982069	0.0982069	5.00458e-06	1.3851e-05	3.05403	3.75738e-17	False	False
GPR25	0.0970908	0.0970908	0.00198767	0.00386778	1.77536	9.91538e-10	False	False
IL12B	0.0963377	0.0963377	0.000103814	0.000241966	2.43171	1.5787e-15	False	False
ANKRD55	0.0943986	0.0943986	0.000166482	0.000377006	1.13696	1.85555e-08	False	False
AMHR2	-0.0940654	0.0940654	1.20037e-05	3.17084e-05	-1.16406	9.52191e-08	False	False
HRG	-0.093615	0.093615	0.000192692	0.000433011	-1.67176	5.47261e-11	False	False
MYT1L	-0.0935904	0.0935904	2.51886e-13	1.4263e-12	-1.52986	1.33318e-10	False	False
PLAC1	-0.0924078	0.0924078	3.81094e-10	1.62159e-09	-1.84535	1.94644e-10	False	False
ANXA2P3	0.0915847	0.0915847	3.44552e-16	2.44231e-15	1.55457	1.70853e-10	False	False
TACR3	-0.0907481	0.0907481	7.63232e-08	2.57489e-07	-2.27307	1.5929e-11	False	False
CDX1	0.0906141	0.0906141	0.000109616	0.00025443	1.26037	2.33845e-07	False	False
PI3	0.0899178	0.0899178	0.00108374	0.00219598	1.81512	2.73727e-08	False	False
CA10	0.0898145	0.0898145	0.0100011	0.0172912	1.86006	4.57939e-08	False	False
DNAI2	-0.0895884	0.0895884	2.92922e-09	1.14375e-08	-1.59696	9.28805e-21	False	False
HCG9	-0.0890191	0.0890191	1.31227e-08	4.78119e-08	-1.15829	4.80546e-17	False	False
DAB1	0.0878678	0.0878678	9.69579e-05	0.000226849	1.31061	2.16674e-13	False	False
NELL1	-0.0875245	0.0875245	2.9674e-13	1.6714e-12	-2.53051	5.09784e-15	False	False
INSRR	0.0871065	0.0871065	0.00021718	0.000483769	2.49937	1.41433e-13	False	False
RPL23AP32	-0.0870619	0.0870619	2.69586e-07	8.54588e-07	-1.07331	1.39041e-05	False	False
BCAS1	0.0870128	0.0870128	0.000418761	0.000896798	1.09934	6.99351e-07	False	False
AMELY	-0.0868976	0.0868976	0.000532602	0.00112764	-1.65039	0.0408367	False	False
TM6SF2	-0.0857871	0.0857871	0.000295038	0.000645293	-1.42962	6.48275e-10	False	False
CLCN1	0.0848523	0.0848523	3.47238e-05	8.62204e-05	1.15715	1.10531e-08	False	False
SERPINB7	0.0842836	0.0842836	0.000382959	0.00082541	3.07886	1.3736e-14	False	False
FOXG1	0.0828569	0.0828569	0.00112484	0.00227158	2.21893	4.07448e-10	False	False
AQP8	0.0828464	0.0828464	0.0043461	0.00799447	1.21759	1.32193e-07	False	False
MT1HL1	-0.0828209	0.0828209	0.000299961	0.000655324	-1.49024	0.000173922	False	False
ZBBX	-0.0821234	0.0821234	8.59015e-07	2.57331e-06	-1.3916	9.37347e-08	False	False
OTOF	0.0820828	0.0820828	0.00100985	0.00205658	1.01365	4.29058e-06	False	False
GRIA4	-0.0809936	0.0809936	4.06863e-06	1.13898e-05	-1.20276	3.83911e-09	False	False
MMP20	0.0808012	0.0808012	5.18955e-07	1.59752e-06	3.81683	1.40849e-18	False	False
CEACAM8	0.0793356	0.0793356	0.0300872	0.0477149	3.32892	3.49366e-12	False	False
CLEC4A	0.0789462	0.0789462	1.6356e-09	6.52568e-09	1.10077	7.73897e-08	False	False
KRT1	0.0789449	0.0789449	0.000217536	0.00048447	1.375	4.66032e-06	False	False
EFNA2	0.0789007	0.0789007	0.00130396	0.0026057	1.7665	3.65407e-12	False	False
SPRR3	0.0774018	0.0774018	0.0277356	0.0442725	4.07388	3.13835e-13	False	False
CRISP2	-0.0767859	0.0767859	0.00172271	0.00338131	-1.3992	0.0120595	False	False
ATP2B3	-0.0767064	0.0767064	9.2835e-06	2.48761e-05	-1.82765	3.7014e-07	False	False
PAX2	-0.0761536	0.0761536	0.000946254	0.00193042	-2.02187	1.9167e-07	False	False
FETUB	-0.0759524	0.0759524	2.00371e-07	6.45841e-07	-1.71705	2.54545e-05	False	False
EDAR	0.0756295	0.0756295	0.00909417	0.0158471	1.29329	0.000162262	False	False
KNG1	-0.0753088	0.0753088	0.000108939	0.00025311	-1.06751	0.00246371	False	False
TRHDE	0.075232	0.075232	0.00648956	0.0115734	1.26946	6.19559e-06	False	False
CGA	0.0751198	0.0751198	0.00668524	0.0118973	4.24657	9.14925e-16	False	False
FSD1	0.0740465	0.0740465	7.26672e-05	0.000173341	1.54876	3.71464e-12	False	False
HTR2A	0.0738656	0.0738656	0.000468017	0.000996813	1.16719	2.79382e-06	False	False
IGLL1	0.0737333	0.0737333	0.0274733	0.0438958	1.58765	1.72118e-05	False	False
TRDV3	0.073097	0.073097	0.000148552	0.00033898	1.54858	0.00185856	False	False
CCL11	0.0726614	0.0726614	0.00388617	0.00720618	4.21313	5.84225e-15	False	False
SERPINA3	0.0709987	0.0709987	0.000447886	0.000956371	2.47627	6.94099e-07	False	False
AGRP	0.0707551	0.0707551	0.0109	0.0187429	1.54577	4.39177e-10	False	False
NEFM	0.0697336	0.0697336	0.00827748	0.0145452	1.59994	2.86658e-06	False	False
FCAR	0.0680484	0.0680484	9.23372e-05	0.000216731	1.21817	7.31975e-08	False	False
ADAMTS20	0.0659788	0.0659788	0.000199603	0.000446656	2.20848	4.81845e-11	False	False
CHST4	0.0659565	0.0659565	0.000302938	0.000661335	1.10317	6.97373e-07	False	False
CYP4F8	-0.0654393	0.0654393	3.53257e-07	1.10546e-06	-2.79938	9.30944e-14	False	False
NCR1	0.0651075	0.0651075	0.00251559	0.00481412	1.02979	1.90346e-05	False	False
DKKL1	0.0647378	0.0647378	0.000177511	0.000400898	1.16472	4.63847e-09	False	False
PSG9	0.064328	0.064328	0.00442363	0.00812711	3.65027	3.53694e-13	False	False
CEACAM3	0.0642625	0.0642625	4.37122e-05	0.000106907	1.38599	8.45475e-09	False	False
BPIFA1	0.0632937	0.0632937	0.00367132	0.00683811	2.63171	7.16773e-14	False	False
CAMKV	0.0622118	0.0622118	0.0188299	0.0311219	1.07692	0.00023473	False	False
TRAV8-3	0.0617398	0.0617398	0.0101458	0.0175257	2.00083	3.48158e-14	False	False
ZNF80	0.061569	0.061569	0.00316367	0.00595125	1.79329	5.38965e-11	False	False
POU6F2	-0.0611197	0.0611197	0.00103343	0.00210058	-1.09407	4.98791e-06	False	False
OR2B6	-0.0610657	0.0610657	2.50207e-07	7.96608e-07	-1.07197	4.53982e-07	False	False
DRD2	0.0604156	0.0604156	0.0132438	0.0224338	1.56978	3.41146e-07	False	False
GP9	-0.0590873	0.0590873	5.06727e-11	2.32697e-10	-1.90665	4.15408e-14	False	False
HTR4	0.0578272	0.0578272	0.00139809	0.00278428	2.03026	1.05569e-08	False	False
KRT24	-0.0562896	0.0562896	7.64442e-11	3.45089e-10	-2.13946	1.31696e-09	False	False
ZG16	-0.0557383	0.0557383	1.48212e-09	5.94779e-09	-1.37093	7.56714e-11	False	False
FXYD3	0.055379	0.055379	0.00201453	0.00391316	1.24688	0.000508557	False	False
NXPE4	0.0551971	0.0551971	0.0181108	0.0300392	2.44608	4.25911e-07	False	False
MOGAT2	-0.0537	0.0537	0.0227786	0.0370006	-1.86221	7.64238e-07	False	False
TSPO2	0.0534929	0.0534929	1.64076e-07	5.34444e-07	1.58425	3.41391e-15	False	False
CHP2	-0.0534808	0.0534808	7.57047e-09	2.8359e-08	-1.19782	9.63267e-07	False	False
KRT23	0.0531873	0.0531873	0.0022389	0.00431991	1.32188	9.62976e-05	False	False
DIAPH2-AS1	0.0527663	0.0527663	7.35365e-08	2.48446e-07	1.73448	2.13037e-11	False	False
ALOX15	0.0519287	0.0519287	0.0215702	0.035189	1.00643	4.3642e-05	False	False
PSORS1C2	0.0518522	0.0518522	0.00498371	0.00908598	1.3456	1.29547e-06	False	False
OR3A1	-0.051314	0.051314	1.35474e-05	3.56015e-05	-1.2292	0.00190859	False	False
EMX1	-0.0510254	0.0510254	3.67468e-11	1.71164e-10	-1.73144	2.92492e-13	False	False
GNAT3	-0.0510003	0.0510003	1.22954e-10	5.45169e-10	-2.62155	5.23989e-08	False	False
CASP5	0.0501259	0.0501259	0.000985828	0.00200941	1.14977	5.02977e-06	False	False
MMP8	0.0487561	0.0487561	0.00383158	0.00711179	2.47663	4.23718e-11	False	False
CLEC1B	0.0484321	0.0484321	3.80623e-05	9.39324e-05	1.42838	7.90701e-08	False	False
IL36A	0.0480983	0.0480983	0.000317476	0.000691398	3.87257	9.18966e-12	False	False
WT1-AS	0.0480061	0.0480061	0.000414104	0.000887637	2.84349	4.13742e-08	False	False
IL36G	0.0469513	0.0469513	0.00931505	0.0162031	2.90132	6.84465e-08	False	False
MAGEA12	-0.0457721	0.0457721	0.00388805	0.00720853	-3.10518	9.94149e-08	False	False
GRID2	-0.0450504	0.0450504	0.000137019	0.000313869	-1.11709	8.35405e-05	False	False
RHBG	-0.0449856	0.0449856	8.49825e-05	0.000200311	-1.01646	2.73559e-06	False	False
ASIC2	0.0443209	0.0443209	0.00158198	0.00312237	1.32713	2.59389e-06	False	False
NTSR1	0.0441199	0.0441199	0.00453484	0.00832205	1.29506	5.14436e-05	False	False
LRRC31	-0.0439158	0.0439158	0.0027613	0.00525769	-1.01919	0.0019532	False	False
PRDM12	-0.0435207	0.0435207	4.45244e-05	0.000108802	-1.17163	9.77628e-09	False	False
CRH	0.0430943	0.0430943	0.0116459	0.0199231	2.47821	9.22927e-12	False	False
HBQ1	-0.0429404	0.0429404	0.000184174	0.000415065	-1.11846	1.95917e-05	False	False
SLC30A10	-0.0428156	0.0428156	4.87466e-06	1.35234e-05	-1.08669	1.43386e-05	False	False
FGF21	-0.0425342	0.0425342	1.37193e-05	3.6045e-05	-2.75615	5.76077e-06	False	False
TRPC7	-0.0425154	0.0425154	0.0212806	0.0347699	-1.28295	4.55423e-06	False	False
NPC1L1	0.0424797	0.0424797	3.17485e-05	7.93204e-05	1.38411	7.43009e-10	False	False
FKBP6	-0.0424011	0.0424011	3.22041e-09	1.24995e-08	-1.41738	4.29333e-10	False	False
PADI4	0.0423721	0.0423721	0.00206694	0.0040066	1.22716	3.55683e-07	False	False
FGF23	0.042011	0.042011	0.000764777	0.00158128	-1.59231	0.00132993	False	False
HOXA11	0.0403397	0.0403397	0.0163311	0.0272612	1.10557	0.000217576	False	False
RBPJL	0.0391138	0.0391138	0.00104376	0.00211973	1.07404	0.00140641	False	False
UGT2B17	0.0389289	0.0389289	0.0237374	0.0383982	2.10321	6.33735e-05	False	False
CCL1	0.0373664	0.0373664	0.000746028	0.00154565	3.18658	3.37753e-10	False	False
PCDHB1	-0.0368354	0.0368354	0.000524224	0.00111087	-1.17165	7.26209e-06	False	False
MC5R	0.0366696	0.0366696	0.0234412	0.0379768	1.44081	2.18503e-05	False	False
RALYL	-0.0361715	0.0361715	1.61716e-05	4.21571e-05	-2.20384	7.51085e-06	False	False
CXCL6	0.0360992	0.0360992	0.0197923	0.0325562	1.34685	0.000675326	False	False
CLDN14	0.0357637	0.0357637	0.0052539	0.00954736	1.23691	9.31746e-05	False	False
KLHL1	-0.0355938	0.0355938	5.36957e-06	1.48157e-05	-1.81673	9.51893e-05	False	False
GPR31	0.0346509	0.0346509	0.0221406	0.0360092	1.38815	0.000106773	False	False
SNCB	-0.0341374	0.0341374	0.00707737	0.0125475	-1.53078	4.68825e-08	False	False
TMEM212	-0.0339867	0.0339867	8.34018e-07	2.50291e-06	-2.10575	0.000155467	False	False
GPR87	0.0333084	0.0333084	0.00371557	0.00691282	1.53785	0.00383695	False	False
KRT2	-0.0331093	0.0331093	6.94196e-05	0.000166068	-1.07637	0.00310885	False	False
TEX11	0.0316356	0.0316356	0.000449545	0.000959389	1.58204	4.09738e-06	False	False
MCHR1	0.0315559	0.0315559	0.0132818	0.0224949	1.94446	1.47956e-08	False	False
DAZL	0.0308212	0.0308212	0.0206099	0.0337447	2.21479	0.000108168	False	False
MYL7	-0.0307854	0.0307854	0.000416017	0.000891411	-2.09364	3.2157e-08	False	False
ST8SIA3	0.0302418	0.0302418	0.019268	0.0317742	1.59454	0.00538834	False	False
TRPA1	0.0297969	0.0297969	0.00241279	0.00462898	1.57852	1.00107e-06	False	False
GABRG2	-0.0296047	0.0296047	4.2145e-05	0.00010342	-1.94204	1.44897e-10	False	False
RNF186	-0.0290872	0.0290872	0.0012785	0.00256182	-1.36595	0.0486967	False	False
PSG7	0.0284911	0.0284911	0.00238112	0.00457398	1.52047	0.00363447	False	False
OR1F1	-0.0280988	0.0280988	2.33534e-08	8.27189e-08	-2.69336	8.19953e-06	False	False
LIPF	-0.0272201	0.0272201	0.0087588	0.0153129	-1.08735	0.0250883	False	False
KCNB2	0.0271934	0.0271934	0.000732916	0.00152077	1.84055	2.16855e-06	False	False
AFP	-0.0271236	0.0271236	4.26947e-06	1.19219e-05	-1.61415	1.87481e-07	False	False
SERPINB10	0.0270318	0.0270318	0.0242799	0.0392024	2.30664	1.02058e-05	False	False
MMP27	0.0261182	0.0261182	0.001412	0.00281009	2.77607	1.76985e-05	False	False
PLA2G2F	0.0257736	0.0257736	0.00166087	0.00326926	1.32201	0.000184961	False	False
LGALS14	0.0256633	0.0256633	0.0180061	0.0298741	2.50672	1.9652e-05	False	False
ONECUT1	-0.0253199	0.0253199	0.00044819	0.000956846	-1.30204	3.27497e-05	False	False
CLCA4	-0.0246135	0.0246135	0.000122201	0.000281466	-1.04425	0.000115937	False	False
PDYN	0.0241841	0.0241841	0.000855115	0.00175212	2.43634	1.2499e-07	False	False
SPRR1A	0.0215059	0.0215059	0.0304197	0.0481892	1.29182	0.046172	False	False
GOLGA6A	-0.0213202	0.0213202	9.27302e-07	2.76796e-06	-1.02465	0.0187364	False	False
KLRC3	0.0211173	0.0211173	0.0132216	0.0223995	1.75741	0.000182932	False	False
GLRA2	-0.0208887	0.0208887	0.00198645	0.00386657	-1.86071	2.48138e-08	False	False
HSD17B3	-0.0206341	0.0206341	0.000271984	0.000598109	-1.16841	0.0178511	False	False
DRD5	0.0203545	0.0203545	0.00237315	0.0045594	2.04422	7.78295e-05	False	False
NPPB	-0.0202407	0.0202407	2.55546e-05	6.46177e-05	-1.75301	1.99168e-08	False	False
IL2	0.0199929	0.0199929	0.00917292	0.0159725	1.06983	0.00582872	False	False
DEFA5	-0.0195592	0.0195592	1.02665e-05	2.73665e-05	-2.10291	0.0115477	False	False
TRIM15	0.0195569	0.0195569	0.015276	0.0256279	1.97697	2.99935e-07	False	False
PIK3C2G	-0.0194167	0.0194167	0.030196	0.0478738	-1.09152	0.0265377	False	False
SLC34A1	0.0192998	0.0192998	0.0190519	0.0314444	1.50513	5.52609e-05	False	False
SERPINA2	0.0191501	0.0191501	2.06923e-05	5.31026e-05	2.07494	5.95539e-05	False	False
RNASE3	0.0180425	0.0180425	0.0207147	0.0339115	1.4617	2.53201e-06	False	False
TFDP3	-0.0180206	0.0180206	0.000105028	0.000244605	-1.45905	0.00264371	False	False
GRM5	0.0174819	0.0174819	0.00221082	0.00426925	1.6178	6.70883e-05	False	False
CCDC177	-0.0159723	0.0159723	0.00294657	0.00557962	-1.3203	1.10918e-06	False	False
IL25	-0.0149132	0.0149132	0.00253783	0.00485293	-1.26548	0.00193373	False	False
OR3A3	-0.0142415	0.0142415	0.0119938	0.0204705	-1.06815	0.00949848	False	False
NCR2	-0.0141594	0.0141594	0.00204729	0.00397246	-1.05787	0.00182203	False	False
RGS7	-0.0140412	0.0140412	0.0212551	0.0347331	-1.02659	0.0105608	False	False
PHOX2A	-0.0122061	0.0122061	0.00427374	0.00787375	-1.1831	0.0016404	False	False
MLN	-0.0117955	0.0117955	0.00546858	0.00989753	-1.0537	0.023761	False	False
