stratum	gene_a	gene_b	n_eval	n11	n10	n01	n00	odds_ratio	log2_or	fisher_p	relation
cohort=Landa2016_MSK	CDKN2A_mut	EIF1AX	117	0	2	12	103	1.656	0.7277026728372381	1.0	co_occur
cohort=Landa2016_MSK	PIK3CA	PTEN	117	1	7	7	102	2.7333333333333334	1.4506614090095653	0.4428896094747612	co_occur
cohort=Landa2016_MSK	PIK3CA	EIF1AX	117	0	8	12	97	0.4588235294117647	-1.1239887172754535	1.0	mutually_exclusive
cohort=Landa2016_MSK	PTEN	EIF1AX	117	0	8	12	97	0.4588235294117647	-1.1239887172754535	1.0	mutually_exclusive
cohort=Pozdeyev2018	BRAF_V600E	RAS_any	779	0	406	140	233	0.002044184142909045	-8.934259122586292	8.3165563900195825e-53	mutually_exclusive
cohort=Pozdeyev2018	BRAF_V600E	TERT_promoter	779	233	173	167	206	1.6591767387844638	0.7304675732057115	0.00044497591093736066	co_occur
cohort=Pozdeyev2018	BRAF_V600E	TP53	779	72	334	110	263	0.5168448890421985	-0.9521967183807433	0.00013005111887083142	mutually_exclusive
cohort=Pozdeyev2018	BRAF_V600E	CDKN2A_loss	779	9	397	9	364	0.9169811320754717	-0.1250360458447806	1.0	mutually_exclusive
cohort=Pozdeyev2018	RAS_any	TERT_promoter	779	72	68	328	311	1.0036218600362186	0.005215799756079965	1.0	co_occur
cohort=Pozdeyev2018	RAS_any	TP53	779	38	102	144	495	1.2879905477255464	0.36512200587526467	0.2699809283901898	co_occur
cohort=Pozdeyev2018	RAS_any	CDKN2A_loss	779	3	137	15	624	1.0255718475073314	0.03642856486666438	1.0	co_occur
cohort=Pozdeyev2018	TERT_promoter	TP53	779	95	305	87	292	1.0449848024316108	0.0634819608554571	0.8000547204256199	co_occur
cohort=Pozdeyev2018	TERT_promoter	CDKN2A_loss	779	10	390	8	371	1.17519017850418	0.23289424392503766	0.8135995547194887	co_occur
cohort=Pozdeyev2018	TP53	CDKN2A_loss	779	7	175	11	586	2.1794871794871793	1.1239887172754532	0.15375399944507914	co_occur
cohort=Wang2023	BRAF_V600E	RAS_any	458	4	342	16	96	0.07684140676841407	-3.7019722584959496	1.3414230537230365e-07	mutually_exclusive
cohort=Wang2023	BRAF_V600E	TERT_promoter	458	16	330	13	99	0.3679610018490503	-1.442375223769058	0.013064323407898466	mutually_exclusive
cohort=Wang2023	BRAF_V600E	TP53	458	6	340	7	105	0.2685266764561919	-1.8968626767723125	0.019972659097300966	mutually_exclusive
cohort=Wang2023	RAS_any	TERT_promoter	458	9	11	20	418	16.86426299045599	4.075897365318832	4.7328696900287244e-07	co_occur
cohort=Wang2023	RAS_any	TP53	458	5	15	8	430	17.971537001897534	4.167641894396927	9.70073195688447e-05	co_occur
cohort=Wang2023	TERT_promoter	TP53	458	4	25	9	420	7.811145510835913	2.9655341362823755	0.006258526555839824	co_occur
