axis	variable	test	effect	p	n	note	fdr
aggressive_dedifferentiation_score	tumor_status	mann_whitney_median_delta	0.01295711535885552	0.6197420914022804	493	exploratory	0.7511252918168227
aggressive_dedifferentiation_score	gender	mann_whitney_median_delta	0.13056697178125676	0.3941709037956338	505	exploratory	0.5693579721492488
rai_differentiation_score	OS	cox_zscore	1.0058187658504505	0.980838388714068	504	exploratory_survival	0.980838388714068
immune_visibility_score	OS	cox_zscore	0.5615300722017669	0.05727849238390717	504	exploratory_survival	0.16923190931608936
cd8_exclusion_proxy	OS	cox_zscore	1.5377728174710918	0.07518304450536137	504	exploratory_survival	0.19547591571393955
drug_delivery_failure_proxy	OS	cox_zscore	1.66693375298239	0.0537886113184323	504	exploratory_survival	0.16923190931608936
aggressive_dedifferentiation_score	OS	cox_zscore	0.7521193845043911	0.2448947358293193	504	exploratory_survival	0.40949326806845565
rai_differentiation_score	OS_xena	cox_zscore	1.0349363602844608	0.8870121793187272	505	exploratory_survival	0.9151712961224963
immune_visibility_score	OS_xena	cox_zscore	0.5531364616919971	0.05354726832778687	505	exploratory_survival	0.16923190931608936
cd8_exclusion_proxy	OS_xena	cox_zscore	1.503433930122468	0.09793423790328941	505	exploratory_survival	0.2195077746108211
drug_delivery_failure_proxy	OS_xena	cox_zscore	1.6096471633729479	0.07376843909634753	505	exploratory_survival	0.19547591571393955
aggressive_dedifferentiation_score	OS_xena	cox_zscore	0.7231229250918407	0.18707015014899597	505	exploratory_survival	0.34741599313384963
rai_differentiation_score	PFI_xena	cox_zscore	0.7990128497135834	0.05552387415375489	505	exploratory_survival	0.16923190931608936
immune_visibility_score	PFI_xena	cox_zscore	1.0357437309664947	0.8039595245581876	505	exploratory_survival	0.8811474412187026
cd8_exclusion_proxy	PFI_xena	cox_zscore	1.0678969859506806	0.6422263604170042	505	exploratory_survival	0.7511252918168227
drug_delivery_failure_proxy	PFI_xena	cox_zscore	1.2680758840066582	0.09361993453861768	505	exploratory_survival	0.2173319908932196
aggressive_dedifferentiation_score	PFI_xena	cox_zscore	1.2338156849670918	0.17194718259452776	505	exploratory_survival	0.3317210522625582
