source	target	drug_id	drug_label	spearman_lineage_sensitivity_metric	p_lineage_sensitivity	n_models	spearman_lineage_sensitivity_thyroid	p_lineage_sensitivity_thyroid	n_thyroid_models	metric_direction	notes	mechanism_axis	evidence_category	fdr_pan_cancer	fdr_thyroid	rank_score
CTRP_AUC	JAK2	DPC-004334	MOMELOTINIB DPC-004334	-0.0696553709309882	0.0641593385947863	707	0.6242424242424242	0.0537177672171674	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.14557245623525938	0.3731971196140051	1.5665233291020921
CTRP_AUC	HDAC1	DPC-005908	SELUMETINIB:VORINOSTAT (8:1 MOL/MOL) DPC-005908	-0.0067165525682687	0.8622340808172893	670	0.6484848484848483	0.0425401276844894	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	RAI redifferentiation / MAPK	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.33031157966780006	1.561715305231454
CTRP_AUC	HDAC2	DPC-005908	SELUMETINIB:VORINOSTAT (8:1 MOL/MOL) DPC-005908	-0.0067165525682687	0.8622340808172893	670	0.6484848484848483	0.0425401276844894	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	RAI redifferentiation / MAPK	A: thyroid line sensitivity + mechanistic relevance	0.8843493703314019	0.33031157966780006	1.561715305231454
GDSC1_AUC	JAK1	DPC-005700	RUXOLITINIB DPC-005700	-0.0305305461559355	0.4322085679762352	664	0.5486526200010714	0.0647142974043995	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.6309010341292566	0.40677558368479694	1.4377967312972724
GDSC1_AUC	JAK2	DPC-005700	RUXOLITINIB DPC-005700	-0.0305305461559355	0.4322085679762352	664	0.5486526200010714	0.0647142974043995	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.6309010341292566	0.40677558368479694	1.4377967312972724
GDSC2_AUC	DNMT1	DPC-000141	AZACITIDINE DPC-000141	0.0590673573561654	0.1616225910696815	563	-0.5272727272727273	0.0955652183531542	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.28641978164247356	0.5484612531572328	1.36929086360802
GDSC2_AUC	DNMT3B	DPC-000141	AZACITIDINE DPC-000141	0.0590673573561654	0.1616225910696815	563	-0.5272727272727273	0.0955652183531542	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	A: thyroid line sensitivity + mechanistic relevance	0.28641978164247356	0.5484612531572328	1.36929086360802
CTRP_AUC	HDAC1	DPC-000965	BELINOSTAT DPC-000965	-0.203135139801372	6.361093154259894e-05	382	-1.0	0.0	4	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0006850408012279886	0.0	1.8125730522354724
CTRP_AUC	HDAC2	DPC-000965	BELINOSTAT DPC-000965	-0.203135139801372	6.361093154259894e-05	382	-1.0	0.0	4	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0006850408012279886	0.0	1.8125730522354724
CTRP_AUC	HDAC1	DPC-003577	JQ-1:VORINOSTAT (2:1 MOL/MOL) DPC-003577	-0.1320273716748309	0.0004082358546011	713	0.7166666666666667	0.0298180356958452	9	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.003361942332009059	0.30276774706550513	1.7822133549872303
CTRP_AUC	HDAC2	DPC-003577	JQ-1:VORINOSTAT (2:1 MOL/MOL) DPC-003577	-0.1320273716748309	0.0004082358546011	713	0.7166666666666667	0.0298180356958452	9	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.003361942332009059	0.30276774706550513	1.7822133549872303
CTRP_AUC	CHEK2	DPC-000855	AZD7762 DPC-000855	-0.082119834539664	0.0233918799852247	762	-0.5181818181818182	0.1024915397909638	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.06822631662357205	0.5637034688503009	1.3697532803389008
GDSC1_AUC	AURKA	DPC-000428	ALISERTIB DPC-000428	-0.0899562812124594	0.0208148811249917	660	0.5	0.1173068030142381	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.06475740794441863	0.6193799199151772	1.3324096061064596
CTRP_AUC	MYC	DPC-004225	MITOMYCIN DPC-004225	-0.1050915737416337	0.0040593379378201	746	-0.4363636363636364	0.1796648765800111	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0162373517512804	0.7186595063200444	1.1894144754673068
CTRP_AUC	MYC	DPC-001134	BLEOMYCIN A2 DPC-001134	-0.1239433707695361	0.0009908551511368	703	-0.3833333333333333	0.3084952723803716	9	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.00554878884636608	0.9473516110407616	1.006600989750587
CTRP_AUC	CDK7	DPC-006008	SNS-032 DPC-006008	-0.1285224946220901	0.0007274825498311	688	-0.3272727272727273	0.3258949410128415	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.004243648207348083	0.9473516110407616	0.9417646709163449
CTRP_AUC	CDK9	DPC-006008	SNS-032 DPC-006008	-0.1285224946220901	0.0007274825498311	688	-0.3272727272727273	0.3258949410128415	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.004243648207348083	0.9473516110407616	0.9417646709163449
CTRP_AUC	MYC	DPC-006011	SNX-2112:BORTEZOMIB (250:1 MOL/MOL) DPC-006011	-0.0790227685135319	0.0313743501734748	742	0.3363636363636363	0.3118243139003863	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0844694043132014	0.9473516110407616	0.9148550052604045
CTRP_AUC	MYC	DPC-006266	TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL) DPC-006266	-0.0831204778783398	0.0251137919169725	726	0.2909090909090909	0.3854569696913654	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.070318617367523	0.9473516110407616	0.8060024123621217
CTRP_AUC	DNMT1	DPC-002110	DECITABINE DPC-002110	-0.1461353825955974	5.7617629049586896e-05	752	-0.2484848484848484	0.4887763045192432	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0006850408012279886	0.9473516110407616	0.7419760261394348
CTRP_AUC	DNMT3B	DPC-002110	DECITABINE DPC-002110	-0.1461353825955974	5.7617629049586896e-05	752	-0.2484848484848484	0.4887763045192432	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0006850408012279886	0.9473516110407616	0.7419760261394348
CTRP_AUC	DNMT1	DPC-002112	DECITABINE:NAVITOCLAX (2:1 MOL/MOL) DPC-002112	-0.1264683722773233	0.0006097378656061	731	-0.2484848484848484	0.4887763045192432	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0038801500538569998	0.9473516110407616	0.7223090158211607
CTRP_AUC	DNMT3B	DPC-002112	DECITABINE:NAVITOCLAX (2:1 MOL/MOL) DPC-002112	-0.1264683722773233	0.0006097378656061	731	-0.2484848484848484	0.4887763045192432	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0038801500538569998	0.9473516110407616	0.7223090158211607
CTRP_AUC	BCL2L1	DPC-002112	DECITABINE:NAVITOCLAX (2:1 MOL/MOL) DPC-002112	-0.1264683722773233	0.0006097378656061	731	-0.2484848484848484	0.4887763045192432	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0038801500538569998	0.9473516110407616	0.7223090158211607
CTRP_AUC	AURKA	DPC-000428	ALISERTIB DPC-000428	-0.1041156978733597	0.0045526001826143	741	0.2454545454545454	0.4669223669820161	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.017704556265722277	0.9473516110407616	0.7140473300940505
CTRP_AUC	BCL2L1	DPC-006611	TRETINOIN:NAVITOCLAX (4:1 MOL/MOL) DPC-006611	-0.1463218851784183	7.165382420639253e-05	731	-0.2277910237891026	0.5005338307078093	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	RAI redifferentiation / MAPK	B: pan-cancer association + thyroid expression support	0.0007165382420639254	0.9473516110407616	0.7123613149539759
GDSC1_AUC	MYC	DPC-001132	BLEOMYCIN DPC-001132	0.176711869536325	6.660964270758656e-06	642	0.1958041958041958	0.5419358857313173	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.00013321928541517312	0.9473516110407616	0.67893971575257
GDSC1_AUC	JAK1	DPC-006431	FEDRATINIB DPC-006431	-0.0804112036247524	0.0381659345651055	665	0.2307692307692307	0.470531995381542	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.09894871924286612	0.9473516110407616	0.6723225938081838
GDSC1_AUC	JAK2	DPC-006431	FEDRATINIB DPC-006431	-0.0804112036247524	0.0381659345651055	665	0.2307692307692307	0.470531995381542	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.09894871924286612	0.9473516110407616	0.6723225938081838
GDSC2_AUC	MCL1	DPC-000850	AZD5991 DPC-000850	-0.205948993757586	1.2410744689643908e-06	545	-0.1860968420796941	0.5837844345326316	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	5.791680855167158e-05	0.9473516110407616	0.6683822741459652
CTRP_AUC	MYC	DPC-004005	MANUMYCIN A DPC-004005	-0.1069409355297468	0.0038190606266291	730	-0.2121212121212121	0.5563057751029299	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0162373517512804	0.9473516110407616	0.6155853873354618
CTRP_AUC	MYC	DPC-003508	ISOX:BORTEZOMIB (250:1 MOL/MOL) DPC-003508	-0.1304698717565203	0.000514823835744	705	0.1999999999999999	0.5795840000000002	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0038801500538569998	0.9473516110407616	0.6100489263161941
CTRP_AUC	BCL2L1	DPC-001207	BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL) DPC-001207	-0.1011556865553728	0.0077444301580214	692	0.2121212121212121	0.5563057751029299	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0271055055530749	0.9473516110407616	0.6098001383610877
CTRP_AUC	AURKA	DPC-000429	ALISERTIB:NAVITOCLAX (2:1 MOL/MOL) DPC-000429	-0.1131498297028106	0.0030645653084541	683	-0.1909090909090909	0.5739131682855213	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.013839972360760452	0.9473516110407616	0.5875410992077924
CTRP_AUC	BCL2L1	DPC-000429	ALISERTIB:NAVITOCLAX (2:1 MOL/MOL) DPC-000429	-0.1131498297028106	0.0030645653084541	683	-0.1909090909090909	0.5739131682855213	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.013839972360760452	0.9473516110407616	0.5875410992077924
CTRP_AUC	BCL2L1	DPC-003575	JQ-1:NAVITOCLAX (2:1 MOL/MOL) DPC-003575	-0.131909960778332	0.0003059818836897	745	-0.1818181818181818	0.5926152128455	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0028558309144372	0.9473516110407616	0.5837111698306956
CTRP_AUC	MYC	DPC-004751	OLIGOMYCIN A DPC-004751	-0.1014056968273267	0.0055679094639834	746	-0.1878787878787878	0.6032176100292089	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.021067765539396648	0.9473516110407616	0.5519193541409598
CTRP_AUC	MYC	DPC-002314	DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL) DPC-002314	-0.0832349539931795	0.0223593217998436	753	0.1878787878787878	0.6032176100292089	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0666022351484703	0.9473516110407616	0.5337486113068126
GDSC1_AUC	MYC	DPC-004226	MITOMYCIN-C DPC-004226	0.0885189443129534	0.0249031646801388	642	-0.1608391608391608	0.6175234895401425	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.070318617367523	0.9473516110407616	0.5010632465620116
CTRP_AUC	CDK9	DPC-002267	DINACICLIB DPC-002267	-0.15461131122442	0.0024119238387026	383	-0.1999999999999999	0.8	4	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.01289160550870331	0.9473516110407616	0.47649889371123993
CTRP_AUC	MYC	DPC-005968	SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL) DPC-005968	-0.1650020225337856	5.326339042205198e-06	753	0.1272727272727272	0.7260570147627894	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.00012428124431812127	0.9473516110407616	0.47018869361721444
CTRP_AUC	MYC	DPC-007474	RAPAMYCIN DPC-007474	-0.1523221814774163	2.699703125631603e-05	753	0.1272727272727272	0.7260570147627894	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.00043177590651078047	0.9473516110407616	0.45750885256084517
CTRP_AUC	BCL2L1	DPC-004481	NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL) DPC-004481	-0.1302023610779679	0.0005743034282808	696	-0.1272727272727272	0.7260570147627894	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.0038801500538569998	0.9473516110407616	0.43538903216139674
CTRP_AUC	HDAC1	DPC-006875	VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL) DPC-006875	-0.1691684121096638	4.575669894192641e-06	726	0.0909090909090908	0.8027717312071619	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.00012428124431812127	0.9473516110407616	0.38715889145496996
CTRP_AUC	HDAC2	DPC-006875	VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL) DPC-006875	-0.1691684121096638	4.575669894192641e-06	726	0.0909090909090908	0.8027717312071619	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.00012428124431812127	0.9473516110407616	0.38715889145496996
CTRP_AUC	JAK1	DPC-006431	FEDRATINIB DPC-006431	-0.1001969669303315	0.0066288742588995	733	-0.1090909090909091	0.7495085962341481	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.023795958878100768	0.9473516110407616	0.3712776923617498
CTRP_AUC	JAK2	DPC-006431	FEDRATINIB DPC-006431	-0.1001969669303315	0.0066288742588995	733	-0.1090909090909091	0.7495085962341481	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.023795958878100768	0.9473516110407616	0.3712776923617498
CTRP_AUC	ATR	DPC-000757	ATRA DPC-000757	-0.1846040704998005	6.331759155321984e-07	718	0.0637814866609487	0.8522059712863589	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	5.791680855167158e-05	0.9557415935684802	0.34309511083695654
CTRP_AUC	HDAC1	DPC-006876	VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL) DPC-006876	-0.1131907159519387	0.0026704039982314	702	0.0818181818181818	0.8109903943000459	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.01289160550870331	0.9473516110407616	0.31650126002550233
CTRP_AUC	HDAC2	DPC-006876	VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL) DPC-006876	-0.1131907159519387	0.0026704039982314	702	0.0818181818181818	0.8109903943000459	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.01289160550870331	0.9473516110407616	0.31650126002550233
CTRP_AUC	BCL2L1	DPC-006876	VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL) DPC-006876	-0.1131907159519387	0.0026704039982314	702	0.0818181818181818	0.8109903943000459	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.01289160550870331	0.9473516110407616	0.31650126002550233
CTRP_AUC	ATR	DPC-003867	LOMEGUATRIB DPC-003867	-0.1524986385404387	2.7757022561407317e-05	749	-0.0636363636363636	0.8525390725425217	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.00043177590651078047	0.9557415935684802	0.3106290617087659
GDSC1_AUC	HDAC1	DPC-000965	BELINOSTAT DPC-000965	-0.0769470001117759	0.0476484793897645	663	-0.0909090909090909	0.7787253962454419	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.11703135288714087	0.9473516110407616	0.31012421442646104
GDSC1_AUC	HDAC2	DPC-000965	BELINOSTAT DPC-000965	-0.0769470001117759	0.0476484793897645	663	-0.0909090909090909	0.7787253962454419	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.11703135288714087	0.9473516110407616	0.31012421442646104
CTRP_AUC	MYC	DPC-003773	LEPTOMYCIN B DPC-003773	-0.0892239771255615	0.0130197071137845	774	0.0818181818181818	0.8109903943000459	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.04142634081658704	0.9473516110407616	0.29253452119912515
GDSC1_AUC	MYC	DPC-007403	BLEOMYCIN (10 UM) DPC-007403	0.1889406841775843	9.227910107849072e-07	665	0.0279720279720279	0.9312343512018808	12	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	5.791680855167158e-05	0.9755788441162561	0.2606875193513334
CTRP_AUC	MYC	DPC-000884	BAFILOMYCIN A1 DPC-000884	0.2479267889994811	0.0213580713853591	86			0	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.06500282595544074		0.2479267889994811
CTRP_AUC	BCL2L1	DPC-004478	NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL) DPC-004478	-0.075645708543641	0.0410266800983175	730	0.066869609804807	0.8543750609172778	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.10443154934117183	0.9557415935684802	0.23599202978845926
CTRP_AUC	BCL2L1	DPC-006752	UNC0638:NAVITOCLAX (1:1 MOL/MOL) DPC-006752	-0.0837146841815304	0.0284613307653548	685	-0.0363636363636363	0.9154683168905348	11	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	Proliferation stress	B: pan-cancer association + thyroid expression support	0.07812914327744455	0.9667345426364048	0.17407492599200297
CTRP_AUC	DNMT1	DPC-002111	DECITABINE:CARBOPLATIN (1:1 MOL/MOL) DPC-002111	-0.1064499713254243	0.0039846277889389	730	-0.006060606060606	0.9867429111949892	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0162373517512804	0.9867429111949892	0.12098266994844459
CTRP_AUC	DNMT3B	DPC-002111	DECITABINE:CARBOPLATIN (1:1 MOL/MOL) DPC-002111	-0.1064499713254243	0.0039846277889389	730	-0.006060606060606	0.9867429111949892	10	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	HLA/APM restoration / IFN-epigenetic	B: pan-cancer association + thyroid expression support	0.0162373517512804	0.9867429111949892	0.12098266994844459
CTRP_AUC	DNMT1	DPC-005899	SELUMETINIB:DECITABINE (4:1 MOL/MOL) DPC-005899	-0.0278511218872392	0.4684073231596376	680	0.9333333333333332	0.0002358998121594	9	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	RAI redifferentiation / MAPK	C: literature/plausibility only	0.6623941943671643	0.0077846938012602	2.176930542015015
CTRP_AUC	DNMT3B	DPC-005899	SELUMETINIB:DECITABINE (4:1 MOL/MOL) DPC-005899	-0.0278511218872392	0.4684073231596376	680	0.9333333333333332	0.0002358998121594	9	lower_more_sensitive	positive correlation means higher lineage silencing associates with greater sensitivity after direction normalization	RAI redifferentiation / MAPK	C: literature/plausibility only	0.6623941943671643	0.0077846938012602	2.176930542015015
