sample	lineage	DM1_portable	HLA1_module	HLA2_module
TCGA-AB-2825-03	acute myeloid leukemia	0.3543545742308172	0.026548760954648934	0.5534256790194256
TCGA-AB-2826-03	acute myeloid leukemia	-0.509820516717661	-0.06574582580739585	0.16268077304408599
TCGA-AB-2828-03	acute myeloid leukemia	0.4715234175472822	0.03171021837156756	0.3995186406049203
TCGA-AB-2830-03	acute myeloid leukemia	0.4068074878935033	0.15225323612917485	0.36626431814779625
TCGA-AB-2832-03	acute myeloid leukemia	0.3379794080210537	0.7501398626069734	1.764591170512828
TCGA-AB-2833-03	acute myeloid leukemia	0.7494828772347489	0.3073317723079037	0.7002803679951173
TCGA-AB-2834-03	acute myeloid leukemia	0.3230193543552688	0.3084052700151027	-0.2857497115551876
TCGA-AB-2835-03	acute myeloid leukemia	-0.3241307515586543	0.29406795497634003	-0.17569266084364535
TCGA-AB-2836-03	acute myeloid leukemia	0.7727088791324364	0.25213928913125694	0.3018399713005168
TCGA-AB-2837-03	acute myeloid leukemia	0.4971334674939346	0.026727895277302863	-0.22300015431758144
TCGA-AB-2838-03	acute myeloid leukemia	1.0768240921094248	0.20044710915493447	0.09449785026412638
TCGA-AB-2839-03	acute myeloid leukemia	-0.9589336499552206	-0.9612488494056282	-0.7086113607094036
TCGA-AB-2840-03	acute myeloid leukemia	-1.210785604517664	-0.6359628285592893	-0.83856643119572
TCGA-AB-2841-03	acute myeloid leukemia	-1.301247616748312	0.5616642044231321	-1.5482702874304322
TCGA-AB-2842-03	acute myeloid leukemia	0.1481113333534338	-0.031664712505487684	-0.35738458978824
TCGA-AB-2843-03	acute myeloid leukemia	1.853466406255765	0.38674392094701043	0.9818717296365135
TCGA-AB-2844-03	acute myeloid leukemia	-0.6407860481821412	-0.6775249714821447	0.11576544617205349
TCGA-AB-2845-03	acute myeloid leukemia	0.5214298340195671	0.04662905612605426	0.9122785307595463
TCGA-AB-2846-03	acute myeloid leukemia	0.1686435908906554	-0.14651871581498774	0.5425400837706971
TCGA-AB-2847-03	acute myeloid leukemia	0.6893983482743634	0.3013797955867439	1.1171509155812462
TCGA-AB-2848-03	acute myeloid leukemia	-0.9394048617144451	0.24721240397896577	-0.11787621098309022
TCGA-AB-2849-03	acute myeloid leukemia	1.5331174426053495	0.0007498046956177477	-1.2807112352174583
TCGA-AB-2851-03	acute myeloid leukemia	-0.2557999794926632	0.3782652362528472	0.4694249048076753
TCGA-AB-2853-03	acute myeloid leukemia	-1.195936290481331	-0.8540682128554374	-0.6040956761515898
TCGA-AB-2854-03	acute myeloid leukemia	0.5043867407127665	-0.03028113926537843	0.3636330048110508
TCGA-AB-2855-03	acute myeloid leukemia	-0.7221569378179458	-0.18336109761207883	-0.17323415591297223
TCGA-AB-2856-03	acute myeloid leukemia	-0.6783020056789743	0.5167620253268621	0.701614983789726
TCGA-AB-2857-03	acute myeloid leukemia	1.4182586799506782	-0.3266142363497515	0.43712946879085157
TCGA-AB-2858-03	acute myeloid leukemia	-0.1340811232966321	0.21873590849780172	0.6511534551910352
TCGA-AB-2859-03	acute myeloid leukemia	0.7285025385543895	0.5779064650321261	-0.32784789503215356
TCGA-AB-2860-03	acute myeloid leukemia	1.5553775164978432	0.248224250042799	-0.37493173652634937
TCGA-AB-2861-03	acute myeloid leukemia	-0.5698079419439736	-0.06276267453126676	0.3448210522405673
TCGA-AB-2862-03	acute myeloid leukemia	-1.4899932618819467	-0.07975858572098908	-0.8623444896150764
TCGA-AB-2863-03	acute myeloid leukemia	-0.3035138278935777	-0.09648392757316197	-0.869378581165796
TCGA-AB-2865-03	acute myeloid leukemia	0.9813847861952474	0.884649821375905	1.0405396235367863
TCGA-AB-2866-03	acute myeloid leukemia	1.2176638853796085	0.4878391711093059	0.7649892977311645
TCGA-AB-2867-03	acute myeloid leukemia	0.4748145069553299	0.1445865493516301	0.19544564537760747
TCGA-AB-2868-03	acute myeloid leukemia	0.3763758541366421	0.28004618193680275	0.03327908558949164
TCGA-AB-2869-03	acute myeloid leukemia	-0.6288988032493319	0.6064263432584479	-0.5158466780668175
TCGA-AB-2870-03	acute myeloid leukemia	0.7158064163778355	0.07283576246521116	0.7777494074367864
TCGA-AB-2871-03	acute myeloid leukemia	0.1169427449311001	-0.03256623658683108	-0.1744911939598063
TCGA-AB-2872-03	acute myeloid leukemia	-1.5636220410900323	0.628666419632866	-1.2004407871652532
TCGA-AB-2873-03	acute myeloid leukemia	1.3752004259778678	0.16344351525529835	-0.06811698191022113
TCGA-AB-2874-03	acute myeloid leukemia	-1.4237860233809447	-0.17048552969993158	0.3718040843110224
TCGA-AB-2875-03	acute myeloid leukemia	0.2589501427930917	0.2224056062544678	1.0227975192178498
TCGA-AB-2877-03	acute myeloid leukemia	-2.281926091954686	-1.6088719396358468	-2.020483700616513
TCGA-AB-2879-03	acute myeloid leukemia	-2.0310093580299124	-1.1710963951600002	-2.3780789841191905
TCGA-AB-2880-03	acute myeloid leukemia	0.0635361940780878	-0.13864779194314042	0.4898400142780462
TCGA-AB-2881-03	acute myeloid leukemia	0.692590625712802	0.4556213201740964	0.6766933781779566
TCGA-AB-2882-03	acute myeloid leukemia	1.0192447623673069	0.7364474138853506	0.5502208263449001
TCGA-AB-2884-03	acute myeloid leukemia	0.1098903241904432	-0.041114202448430344	-0.19743465604381658
TCGA-AB-2885-03	acute myeloid leukemia	0.7137276481074408	0.08118880992961905	0.05116327910025226
TCGA-AB-2886-03	acute myeloid leukemia	0.264221240462442	0.20114061592683913	0.7724635072168362
TCGA-AB-2887-03	acute myeloid leukemia	0.3516668667471611	0.3910212715470423	0.5438886098751069
TCGA-AB-2888-03	acute myeloid leukemia	1.318785381571962	0.44694934230873307	0.9612149296888033
TCGA-AB-2889-03	acute myeloid leukemia	0.2490955826394913	-0.16916765677807358	0.5028917172357389
TCGA-AB-2890-03	acute myeloid leukemia	1.182240340238135	0.357937969133369	0.5129968772312016
TCGA-AB-2891-03	acute myeloid leukemia	1.2143318593485173	0.2244761806462541	0.18430337772043193
TCGA-AB-2895-03	acute myeloid leukemia	-1.5353100363412522	-0.5051132308728047	-0.7547510754909816
TCGA-AB-2896-03	acute myeloid leukemia	-1.076725712141026	-0.15782479137329666	0.22711970270004814
TCGA-AB-2897-03	acute myeloid leukemia	-1.979749763220244	0.278685385081588	-1.7665665634942898
TCGA-AB-2898-03	acute myeloid leukemia	-0.1182481237625081	0.04493616844959908	-0.7275123284525424
TCGA-AB-2899-03	acute myeloid leukemia	0.9791669534945592	0.2520315572834102	1.1617984282218383
TCGA-AB-2900-03	acute myeloid leukemia	-0.5151506004011976	-0.1079371878213764	-0.5896511341299243
TCGA-AB-2901-03	acute myeloid leukemia	-0.6326767600033181	-1.391368854553076	-1.7672476373640524
TCGA-AB-2903-03	acute myeloid leukemia	-1.921146754620634	-1.7236286870616853	-2.6849811478475822
