lineage	n	DM1hi_HLA1lo	DM1hi_HLA1hi	DM1lo_HLA1lo	DM1lo_HLA1hi	frac_DM1hi_HLA1lo	frac_DM1hi_HLA1hi	frac_DM1lo_HLA1lo	frac_DM1lo_HLA1hi	DM1hi_HLA2lo	frac_DM1hi_HLA2lo	chi2	chi2_p	odds_ratio_DM1hi_HLA1lo_vs_rest
brain lower grade glioma	542	89	182	182	89	0.16420664206642066	0.33579335793357934	0.33579335793357934	0.16420664206642066	75	0.13837638376383765	62.464944649446494	2.7122977779205898e-15	0.23913174737350562
glioblastoma multiforme	178	29	60	60	29	0.16292134831460675	0.33707865168539325	0.33707865168539325	0.16292134831460675	22	0.12359550561797752	20.224719101123597	6.8857407607492545e-06	0.2336111111111111
rectum adenocarcinoma	171	27	58	58	28	0.15789473684210525	0.3391812865497076	0.3391812865497076	0.16374269005847952	27	0.15789473684210525	20.362153464605388	6.408477070474649e-06	0.22473246135552913
stomach adenocarcinoma	450	71	154	154	71	0.15777777777777777	0.3422222222222222	0.3422222222222222	0.15777777777777777	76	0.1688888888888889	59.76888888888889	1.0667640659344624e-14	0.21255692359588463
ovarian serous cystadenocarcinoma	311	49	106	106	50	0.15755627009646303	0.3408360128617363	0.3408360128617363	0.1607717041800643	50	0.1607717041800643	39.62047790822688	3.084321280747319e-10	0.21804912780348878
colon adenocarcinoma	495	77	170	170	78	0.15555555555555556	0.3434343434343434	0.3434343434343434	0.15757575757575756	63	0.12727272727272726	67.65659142914781	1.946010841142469e-16	0.20782006920415225
skin cutaneous melanoma	474	68	169	169	68	0.14345991561181434	0.35654008438818563	0.35654008438818563	0.14345991561181434	43	0.09071729957805907	84.38818565400844	4.0657006084335615e-20	0.1618990931690067
thymoma	122	17	44	44	17	0.13934426229508196	0.36065573770491804	0.36065573770491804	0.13934426229508196	19	0.1557377049180328	22.16393442622951	2.503324064585479e-06	0.14927685950413222
adrenocortical cancer	79	11	28	28	12	0.13924050632911392	0.35443037974683544	0.35443037974683544	0.1518987341772152	13	0.16455696202531644	12.178395689513483	0.0004834620753867681	0.1683673469387755
breast invasive carcinoma	1218	167	442	442	167	0.13711001642036125	0.36288998357963875	0.36288998357963875	0.13711001642036125	158	0.1297208538587849	246.55500821018063	1.4638596300700556e-55	0.14275403861509797
head & neck squamous cell carcinoma	566	76	207	207	76	0.13427561837455831	0.3657243816254417	0.3657243816254417	0.13427561837455831	47	0.08303886925795052	119.43462897526501	8.412240209645286e-28	0.13479894513290858
kidney clear cell carcinoma	606	79	224	224	79	0.13036303630363036	0.3696369636963696	0.3696369636963696	0.13036303630363036	68	0.11221122112211221	136.87128712871288	1.2866027523175148e-31	0.12438217474489796
sarcoma	265	34	98	98	35	0.12830188679245283	0.36981132075471695	0.36981132075471695	0.1320754716981132	30	0.11320754716981132	58.967503566265925	1.6029754837523673e-14	0.1239067055393586
esophageal carcinoma	196	25	73	73	25	0.12755102040816327	0.37244897959183676	0.37244897959183676	0.12755102040816327	23	0.11734693877551021	45.08163265306123	1.889896817034876e-11	0.11728279226871834
lung squamous cell carcinoma	556	64	214	214	64	0.11510791366906475	0.38489208633093525	0.38489208633093525	0.11510791366906475	49	0.08812949640287769	159.71942446043167	1.3030198697583899e-36	0.08944012577517688
uveal melanoma	80	9	31	31	9	0.1125	0.3875	0.3875	0.1125	8	0.1	22.05	2.6563968243191764e-06	0.08428720083246619
bladder urothelial carcinoma	427	48	165	165	49	0.11241217798594848	0.3864168618266979	0.3864168618266979	0.11475409836065574	56	0.13114754098360656	124.97111783584717	5.164087116784987e-29	0.08639118457300275
thyroid carcinoma	572	61	225	225	61	0.10664335664335664	0.39335664335664333	0.39335664335664333	0.10664335664335664	52	0.09090909090909091	185.7972027972028	2.62883721447191e-42	0.07350123456790124
testicular germ cell tumor	156	16	62	62	16	0.10256410256410256	0.3974358974358974	0.3974358974358974	0.10256410256410256	21	0.1346153846153846	51.92307692307692	5.771805924659395e-13	0.06659729448491156
