lineage	module	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance	fdr_bh
glioblastoma multiforme	HLA-II	DSS	159	124	HLA2_module+age	1.139017415274947	0.8966675125935535	1.4468692732572503	0.2862443406730668	0.6065168297666416	0.4218337652024142
head & neck squamous cell carcinoma	HLA-I	OS	489	221	HLA1_module+age+stage_int	1.0019305763404875	0.8355731487340964	1.2014087352218645	0.9833892167373138	0.5961958931547483	0.986008931629245
head & neck squamous cell carcinoma	HLA-I	DSS	463	133	HLA1_module+age+stage_int	1.0810565299874912	0.8512883119810325	1.372840675221951	0.5226253803497978	0.5749338040600177	0.7111445555090601
head & neck squamous cell carcinoma	HLA-II	OS	489	221	HLA2_module+age+stage_int	0.9047537881330683	0.7810989428173056	1.047984285049273	0.18191065638332327	0.6010121859853523	0.3779619283717989
head & neck squamous cell carcinoma	HLA-II	DSS	463	133	HLA2_module+age+stage_int	0.8998262255890196	0.7450443850034844	1.0867637587175354	0.2730725978548654	0.5885764720716177	0.4218337652024142
kidney clear cell carcinoma	HLA-I	OS	601	201	HLA1_module+age+stage_int	1.0296967659198544	0.8632106713009879	1.228292773707041	0.7450102527001274	0.7560764351580406	0.8553821419890352
kidney clear cell carcinoma	HLA-I	DSS	587	125	HLA1_module+age+stage_int	1.0266257002804953	0.8190067241853476	1.2868762823953297	0.8196862955093516	0.8406180743659197	0.8863799831678362
kidney clear cell carcinoma	HLA-II	OS	601	201	HLA2_module+age+stage_int	0.9728086421615212	0.8372192214265338	1.1303570558875249	0.7188693567969856	0.7564628751132669	0.7428316686902184
kidney clear cell carcinoma	HLA-II	DSS	587	125	HLA2_module+age+stage_int	0.9298481142992633	0.7662849881591107	1.1283237033561297	0.46121410785805395	0.8413773290650907	0.6149521438107386
kidney papillary cell carcinoma	HLA-I	OS	288	46	HLA1_module+age+stage_int	1.285536445495858	0.8211368592597986	2.0125804049130616	0.2720809370736264	0.824822695035461	0.5733861300044045
kidney papillary cell carcinoma	HLA-I	DSS	286	31	HLA1_module+age+stage_int	1.6631936354098267	0.9490532396301569	2.914707998832332	0.07552102940546358	0.9065240266573132	0.24560068941173654
kidney papillary cell carcinoma	HLA-II	OS	288	46	HLA2_module+age+stage_int	0.8894247882918613	0.6212608903308382	1.2733401801725404	0.5221327964850955	0.8133333333333334	0.6275572957767223
kidney papillary cell carcinoma	HLA-II	DSS	286	31	HLA2_module+age+stage_int	0.9027974022490143	0.561226962910626	1.4522523032047592	0.6733122554443761	0.9030164854437039	0.7541097260977012
liver hepatocellular carcinoma	HLA-I	OS	388	143	HLA1_module+age+stage_int	0.936085157125299	0.7370343502308625	1.1888935992139644	0.5881749325144442	0.6227363874749344	0.7968998328383624
liver hepatocellular carcinoma	HLA-I	DSS	377	77	HLA1_module+age+stage_int	0.9011323058304063	0.6494223889091733	1.2504025830941823	0.5333584166317951	0.6966521502449646	0.7111445555090601
liver hepatocellular carcinoma	HLA-II	OS	388	143	HLA2_module+age+stage_int	0.9774403655809585	0.809577586323255	1.1801088424470805	0.8123858720597902	0.6235076353540028	0.8123858720597902
liver hepatocellular carcinoma	HLA-II	DSS	377	77	HLA2_module+age+stage_int	0.9807619517150258	0.7554770330272713	1.2732273303894652	0.8840116551657243	0.6946107784431138	0.916661750929544
lung adenocarcinoma	HLA-I	OS	544	203	HLA1_module+age+stage_int	1.079644968436062	0.873096232440361	1.3350570241395776	0.47935918193828286	0.6738714870212623	0.7968998328383624
lung adenocarcinoma	HLA-I	DSS	508	125	HLA1_module+age+stage_int	1.0947506868000998	0.8330202290944563	1.4387154409828797	0.5160862219615349	0.6857493926107961	0.7111445555090601
lung adenocarcinoma	HLA-II	OS	544	203	HLA2_module+age+stage_int	0.8279304910572157	0.7178866840294298	0.9548427534200391	0.009459095915285435	0.6882755382654773	0.05068456425560852
lung adenocarcinoma	HLA-II	DSS	508	125	HLA2_module+age+stage_int	0.8189774528991136	0.6858818765207679	0.9779002643421076	0.027318644552737588	0.7054371805970566	0.12826814669415532
lung squamous cell carcinoma	HLA-I	OS	539	242	HLA1_module+age+stage_int	1.2266689454983297	1.0105327833522408	1.4890330394412212	0.03883650660798995	0.5868329333790424	0.14244864301495283
lung squamous cell carcinoma	HLA-I	DSS	477	98	HLA1_module+age+stage_int	1.2903828080921642	0.9522631028353732	1.748558551163017	0.10008307346609752	0.6639652188594825	0.25870062479915645
lung squamous cell carcinoma	HLA-II	OS	539	242	HLA2_module+age+stage_int	1.1486313236100496	0.9961311014363015	1.324478189342572	0.05656880552689109	0.5875471374700034	0.1753632971333624
lung squamous cell carcinoma	HLA-II	DSS	477	98	HLA2_module+age+stage_int	1.1435636202959412	0.9086307943919023	1.439239966040946	0.25289956355804444	0.6595753661728082	0.4165404576250144
mesothelioma	HLA-I	OS	85	73	HLA1_module+age+stage_int	0.6274772795714447	0.44282225799306113	0.8891326695338575	0.008773409389403755	0.5884137094328177	0.049031591653379246
mesothelioma	HLA-I	DSS	65	43	HLA1_module+age+stage_int	0.6218953107764855	0.39873687457623286	0.9699473568297724	0.03621384230403827	0.5984455958549223	0.16899793075217862
mesothelioma	HLA-II	OS	85	73	HLA2_module+age+stage_int	0.8074049977220473	0.5959430767872717	1.0939011723417387	0.16736762782926054	0.5535335153169548	0.3779619283717989
mesothelioma	HLA-II	DSS	65	43	HLA2_module+age+stage_int	0.6605040463084825	0.4494589658987808	0.9706461062968893	0.034716252186074846	0.6055699481865285	0.12826814669415532
ovarian serous cystadenocarcinoma	HLA-I	OS	310	185	HLA1_module+age	0.8784358465010268	0.7229021155012318	1.0674329482117286	0.19236240382591957	0.6036150427605781	0.4587103475848851
ovarian serous cystadenocarcinoma	HLA-I	DSS	286	156	HLA1_module+age	0.8668183872837076	0.7033660410587584	1.0682547531042357	0.18003744315855835	0.5903351141330743	0.3600748863171167
ovarian serous cystadenocarcinoma	HLA-II	OS	310	185	HLA2_module+age	0.9585717242538947	0.8163661704953221	1.1255485390600835	0.6055594698905562	0.6009635134630467	0.6704408416645444
ovarian serous cystadenocarcinoma	HLA-II	DSS	286	156	HLA2_module+age	0.9748094428709573	0.8201366155342409	1.1586526340997303	0.7722525271158324	0.5862068965517241	0.8316565676632041
pancreatic adenocarcinoma	HLA-I	OS	179	95	HLA1_module+age+stage_int	1.6611050474337457	1.1749668174517236	2.3483811947933906	0.004069959974500385	0.588088296543107	0.03154218980237798
pancreatic adenocarcinoma	HLA-I	DSS	173	74	HLA1_module+age+stage_int	1.6076883691210244	1.0819540253629225	2.38888329043375	0.018783811889778717	0.5770900434112869	0.13148668322845103
pancreatic adenocarcinoma	HLA-II	OS	179	95	HLA2_module+age+stage_int	1.112567146605125	0.9032394316430158	1.3704070176093501	0.31584576468470443	0.5593502707205331	0.46503522207897713
pancreatic adenocarcinoma	HLA-II	DSS	173	74	HLA2_module+age+stage_int	1.0934642065226297	0.8675556468357084	1.378198591994861	0.44921923428853006	0.5546842178966531	0.6149521438107386
pheochromocytoma & paraganglioma	HLA-I	OS	187	8	HLA1_module+age	1.0093413801571922	0.3570365562182021	2.8534053557109895	0.986008931629245	0.6703853955375254	0.986008931629245
pheochromocytoma & paraganglioma	HLA-I	DSS	187	6	HLA1_module+age	0.9325108693417927	0.27742913912983047	3.134409471795405	0.9100568295542568	0.6092436974789915	0.9437626380562664
pheochromocytoma & paraganglioma	HLA-II	OS	187	8	HLA2_module+age	0.515137829523097	0.23764725592308256	1.1166423208844312	0.09286736206996309	0.6845841784989858	0.2617171112880778
pheochromocytoma & paraganglioma	HLA-II	DSS	187	6	HLA2_module+age	0.5301406426695434	0.21301536035171473	1.3193842009610464	0.17251467443178775	0.592436974789916	0.32202739227267047
prostate adenocarcinoma	HLA-I	OS	550	10	HLA1_module+age	0.7190822154489956	0.28130787316236044	1.8381257046317963	0.49101660387184964	0.617878647522001	0.7968998328383624
prostate adenocarcinoma	HLA-I	DSS	548	5	HLA1_module+age	0.5082745698972165	0.1451127134993005	1.7802922443831621	0.2899977628180024	0.8679593721144968	0.48007638041536566
prostate adenocarcinoma	HLA-II	OS	550	10	HLA2_module+age	0.7508236829662639	0.35875639112160573	1.5713621188477676	0.4469192182950015	0.6276053728578045	0.577270656964377
prostate adenocarcinoma	HLA-II	DSS	548	5	HLA2_module+age	0.430810162516633	0.14195753578946635	1.3074148906251977	0.13708997889595714	0.8578024007386889	0.2741799577919143
rectum adenocarcinoma	HLA-I	OS	154	23	HLA1_module+age+stage_int	0.6005925333139437	0.3184500318955421	1.1327095460639836	0.11525475239984782	0.7055718475073314	0.3248088476722984
rectum adenocarcinoma	HLA-I	DSS	148	13	HLA1_module+age+stage_int	0.4701322221698582	0.19044521754892288	1.1605663254084642	0.10163238831395431	0.7771797631862217	0.25870062479915645
rectum adenocarcinoma	HLA-II	OS	154	23	HLA2_module+age+stage_int	1.1055981650011475	0.6936929389113935	1.762086989629913	0.6729396321142751	0.7219941348973608	0.7193492619152596
rectum adenocarcinoma	HLA-II	DSS	148	13	HLA2_module+age+stage_int	1.031807019355094	0.5739720623042197	1.854838928773792	0.916661750929544	0.767491926803014	0.916661750929544
sarcoma	HLA-I	OS	265	99	HLA1_module+age	0.6728112634565266	0.4987093090628533	0.9076930949707142	0.009489985481299208	0.6194430250383239	0.049031591653379246
sarcoma	HLA-I	DSS	259	82	HLA1_module+age	0.7486153265656954	0.5419762972016355	1.0340395143896186	0.07894307873948675	0.6102865306770379	0.24560068941173654
sarcoma	HLA-II	OS	265	99	HLA2_module+age	0.7501538786547638	0.6003234010773679	0.9373794868747137	0.011444901606105149	0.6158661216147164	0.05068456425560852
sarcoma	HLA-II	DSS	259	82	HLA2_module+age	0.7847032384532396	0.6151488408006369	1.0009921690457395	0.050940588705806436	0.6108421303278038	0.15848183152917555
skin cutaneous melanoma	HLA-I	OS	410	191	HLA1_module+age+stage_int	0.5656108504992565	0.46586574754856347	0.6867120750686724	8.568776604772735e-09	0.6829022336509857	1.328160373739774e-07
skin cutaneous melanoma	HLA-I	DSS	405	169	HLA1_module+age+stage_int	0.5533507618991552	0.450822745345696	0.6791961338587302	1.513751923364212e-08	0.6842120765832106	4.2385053854197934e-07
skin cutaneous melanoma	HLA-II	OS	410	191	HLA2_module+age+stage_int	0.6043117526699183	0.516449190868911	0.7071222123527047	3.317947545909149e-10	0.689154439570413	1.0285637392318363e-08
skin cutaneous melanoma	HLA-II	DSS	405	169	HLA2_module+age+stage_int	0.5998483023735379	0.5075745286691454	0.7088968526530556	2.0101762776001184e-09	0.685478645066274	5.628493577280332e-08
stomach adenocarcinoma	HLA-I	OS	403	155	HLA1_module+age+stage_int	0.9228280026349802	0.7205082324793997	1.1819594614716853	0.5247545315172726	0.6336964299912539	0.7968998328383624
stomach adenocarcinoma	HLA-I	DSS	384	93	HLA1_module+age+stage_int	0.9452249439079368	0.685414444843259	1.303518187145993	0.7312019272528943	0.6413953263341236	0.8863799831678362
stomach adenocarcinoma	HLA-II	OS	403	155	HLA2_module+age+stage_int	0.9234858179872288	0.782846623074741	1.0893909878207637	0.34502613251020886	0.6343590151334446	0.46503522207897713
stomach adenocarcinoma	HLA-II	DSS	384	93	HLA2_module+age+stage_int	0.9443298095380128	0.7644512753379181	1.1665345038346706	0.5952321501623595	0.6414920896027868	0.7541097260977012
thymoma	HLA-I	OS	121	9	HLA1_module+age	2.551498048863024	1.0333537271741344	6.300013366337594	0.04224398021074736	0.7741935483870968	0.14244864301495283
thymoma	HLA-II	OS	121	9	HLA2_module+age	2.9893924259983136	1.3026507170734094	6.860217370235001	0.009771311542012731	0.8438030560271647	0.05068456425560852
thyroid carcinoma	HLA-I	OS	569	20	HLA1_module+age+stage_int	0.38457015637122294	0.18302124283689122	0.8080712538007971	0.011653211333406969	0.9331945495836488	0.05160707876223086
thyroid carcinoma	HLA-I	DSS	563	10	HLA1_module+age+stage_int	0.33554101297951244	0.12477813146646707	0.9023037135443418	0.03049085510311386	0.9464861379754996	0.16899793075217862
thyroid carcinoma	HLA-II	OS	569	20	HLA2_module+age+stage_int	0.5466323462830436	0.34513611298579105	0.8657654495147161	0.010043248548440228	0.9242997728993188	0.05068456425560852
thyroid carcinoma	HLA-II	DSS	563	10	HLA2_module+age+stage_int	0.49983470458435963	0.2622015550539032	0.9528346689460834	0.03514027597850905	0.9393939393939394	0.12826814669415532
uterine carcinosarcoma	HLA-I	OS	56	35	HLA1_module+age	0.8605660590047284	0.5111610052218412	1.4488075857616025	0.5720658816797605	0.6003536693191865	0.7968998328383624
uterine carcinosarcoma	HLA-I	DSS	54	31	HLA1_module+age	0.6798090798290327	0.3569098666381452	1.2948377958027688	0.24039936240143822	0.6143856143856143	0.4487454764826847
uterine carcinosarcoma	HLA-II	OS	56	35	HLA2_module+age	0.7799930121216712	0.5112564712220998	1.1899880650984294	0.2489589731989526	0.618921308576481	0.4539840099510313
uterine carcinosarcoma	HLA-II	DSS	54	31	HLA2_module+age	0.5806093226856631	0.34867680560112757	0.9668184983177278	0.0366480419126158	0.6343656343656343	0.12826814669415532
uterine corpus endometrioid carcinoma	HLA-I	OS	551	91	HLA1_module+age	0.869995215208455	0.6462864259999017	1.1711396743550375	0.3584628776898219	0.6009865531454828	0.6945218255240299
uterine corpus endometrioid carcinoma	HLA-I	DSS	549	60	HLA1_module+age	1.0058424564701172	0.7000514410588583	1.4452067203912478	0.974868074266557	0.5227622499131211	0.974868074266557
uterine corpus endometrioid carcinoma	HLA-II	OS	551	91	HLA2_module+age	0.7635119210863203	0.601736329355157	0.9687805525480483	0.0263482965077078	0.6203459693222515	0.09075524352654908
uterine corpus endometrioid carcinoma	HLA-II	DSS	549	60	HLA2_module+age	0.7548544478294102	0.5636669775083092	1.0108898696295263	0.05912276352847993	0.5844710321203396	0.16134561448833115
uveal melanoma	HLA-I	OS	79	22	HLA1_module+age+stage_int	2.4973468321454955	1.4718851770333712	4.237247101433197	0.0006913743518362072	0.8024439918533605	0.007144201635640808
uveal melanoma	HLA-I	DSS	79	20	HLA1_module+age+stage_int	2.351915308732476	1.3648834429643193	4.052731130972319	0.002067399323539311	0.7935135135135135	0.019295727019700237
uveal melanoma	HLA-II	OS	79	22	HLA2_module+age+stage_int	1.8474963187855413	1.1900066688848916	2.8682550587086557	0.006236468435420337	0.7810590631364562	0.05068456425560852
uveal melanoma	HLA-II	DSS	79	20	HLA2_module+age+stage_int	1.7246543661972529	1.0933740471093123	2.720416394286221	0.01908544604046858	0.7686486486486487	0.12826814669415532
