lineage	module	outcome	n	events	DM1_alone_HR	DM1_alone_p	DM1_adj_HR	DM1_adj_p	module_adj_HR	module_adj_p	DM1_HR_attenuation
colon adenocarcinoma	HLA-I	OS	461	103	1.004492348928008	0.9531834756686864	1.036082398872664	0.6880741273411697	0.8810176546150738	0.4826919758513464	1.0314487710915556
colon adenocarcinoma	HLA-I	DSS	446	63	1.1693214951962718	0.11573713713691729	1.1622995302198986	0.19714155164495592	1.024055830637571	0.9212487863454122	0.9939948380276764
colon adenocarcinoma	HLA-II	OS	461	103	1.004492348928008	0.9531834756686864	0.9577003723055038	0.6587432104839622	1.1173756208528678	0.4411324761917268	0.953417289168563
colon adenocarcinoma	HLA-II	DSS	446	63	1.1693214951962718	0.11573713713691729	1.0670154646488772	0.6087780392290356	1.243916622503302	0.2578496777008026	0.9125082101306772
diffuse large B-cell lymphoma	HLA-I	OS	47	9	1.132314760850074	0.6627944472294329	1.1597941558022726	0.677943320707652	0.917584482840666	0.9095536039583225	1.0242683358923703
diffuse large B-cell lymphoma	HLA-II	OS	47	9	1.132314760850074	0.6627944472294329	1.2877298328342501	0.37186456996946915	2.488055966217307	0.1857918634787644	1.1372543018581687
esophageal carcinoma	HLA-I	OS	171	68	1.073993170855706	0.5688784711282695	1.0547860247501633	0.7569245236828283	1.0405123632091793	0.8789442389138996	0.9821161375819183
esophageal carcinoma	HLA-I	DSS	168	40	1.1032854375038548	0.5367104482009424	1.14866496250064	0.5364254274597755	0.9137380929790289	0.7980710118719738	1.041131264362063
esophageal carcinoma	HLA-II	OS	171	68	1.073993170855706	0.5688784711282695	1.4188654043823214	0.06813738553909646	0.6501554861892925	0.04658564342480195	1.3211121289084529
esophageal carcinoma	HLA-II	DSS	168	40	1.1032854375038548	0.5367104482009424	1.4365303589835245	0.14624148275788826	0.6629478867909321	0.15571048501326534	1.3020477839657023
glioblastoma multiforme	HLA-I	OS	172	139	1.112801921476479	0.24018870936373476	1.1104782077953135	0.26949932536341636	1.0099889441526682	0.9374147710655419	0.9979118353084057
glioblastoma multiforme	HLA-I	DSS	159	124	1.1779015154995214	0.0992538664424222	1.2128909682700901	0.08646365553224564	0.9166528953527937	0.5839391067251647	1.0297049051301461
glioblastoma multiforme	HLA-II	OS	172	139	1.112801921476479	0.24018870936373476	1.0810707590328255	0.46385531223616483	1.069149165983341	0.5815986719381038	0.971485345386938
glioblastoma multiforme	HLA-II	DSS	159	124	1.1779015154995214	0.0992538664424222	1.180420711124757	0.22371340631639872	0.9962234087786108	0.9817590843065885	1.002138714987702
head & neck squamous cell carcinoma	HLA-I	OS	489	221	0.9366938609252309	0.28958663155901104	0.9105713836346083	0.20471741878677044	1.081184819468352	0.48151137668193567	0.9721120438807832
head & neck squamous cell carcinoma	HLA-I	DSS	463	133	0.9341514921880295	0.38840887426244963	0.8747093859779601	0.156287133028265	1.206547621287428	0.19643780078335	0.9363678089612207
head & neck squamous cell carcinoma	HLA-II	OS	489	221	0.9366938609252309	0.28958663155901104	0.9949141743595931	0.9579354943333069	0.9091348870536269	0.4208482722018798	1.0621551137068992
head & neck squamous cell carcinoma	HLA-II	DSS	463	133	0.9341514921880295	0.38840887426244963	0.9960890023119262	0.9747193515754371	0.9031883453684608	0.5030670095170917	1.0663034964262839
kidney clear cell carcinoma	HLA-I	OS	601	201	1.0640722185111797	0.29415226342717704	1.1157465022726916	0.21829070787887894	0.9068991258196694	0.4767499748611401	1.0485627599918106
kidney clear cell carcinoma	HLA-I	DSS	587	125	1.055792764831213	0.4667481206220985	1.0972338218519944	0.39999836890131113	0.9218229561229211	0.63709231401221	1.0392511280633812
kidney clear cell carcinoma	HLA-II	OS	601	201	1.0640722185111797	0.29415226342717704	1.2390294930835515	0.02516336380546771	0.7756708569273448	0.04537304585731693	1.1644223686406991
kidney clear cell carcinoma	HLA-II	DSS	587	125	1.055792764831213	0.4667481206220985	1.298891704137549	0.02773389829942156	0.7002052135827647	0.028137775811837656	1.230252514891215
kidney papillary cell carcinoma	HLA-I	OS	288	46	1.3241122868293629	0.029901161871126816	1.3105952971119708	0.05780577511059312	1.0434119826624202	0.8609786385351355	0.9897916590217896
kidney papillary cell carcinoma	HLA-I	DSS	286	31	1.5599035420872664	0.005713296510464821	1.5130248691807513	0.03124334457321033	1.1016291693811304	0.7681662255788547	0.9699477104566427
kidney papillary cell carcinoma	HLA-II	OS	288	46	1.3241122868293629	0.029901161871126816	1.5540226645603101	0.0007652104932803631	0.6332336048831793	0.02182602452955208	1.1736335958950102
kidney papillary cell carcinoma	HLA-II	DSS	286	31	1.5599035420872664	0.005713296510464821	1.9887708892315452	3.884874706506719e-05	0.5054456685573098	0.008913695029350716	1.2749319657101505
liver hepatocellular carcinoma	HLA-I	OS	388	143	1.0577931115879733	0.35423398715301346	1.0928384889941805	0.1819633047464336	0.8637928891171749	0.28553944434099066	1.0331306538322949
liver hepatocellular carcinoma	HLA-I	DSS	377	77	1.0382858829258161	0.6654443030930359	1.0791994617117098	0.4205077331256888	0.8443640048848737	0.36460731392065393	1.0394049263875207
liver hepatocellular carcinoma	HLA-II	OS	388	143	1.0577931115879733	0.35423398715301346	1.1393969887268123	0.1111780957248382	0.8442003448430044	0.2107849415868697	1.0771454041862063
liver hepatocellular carcinoma	HLA-II	DSS	377	77	1.0382858829258161	0.6654443030930359	1.097996105415781	0.4353402052779213	0.8853367457989054	0.5192085194734921	1.0575084603112446
lung adenocarcinoma	HLA-I	OS	544	203	1.1016838304145593	0.06508537358007638	1.1131038185948006	0.08225333047124904	0.9611768606624687	0.7510025184500443	1.010365939723327
lung adenocarcinoma	HLA-I	DSS	508	125	1.1056924313006857	0.1305031495293726	1.1129518706269617	0.16876934485783976	0.9743881871732087	0.8716720192230143	1.0065655141708225
lung adenocarcinoma	HLA-II	OS	544	203	1.1016838304145593	0.06508537358007638	1.132739394513049	0.017236884053413764	0.7978922468149856	0.0026368706798218663	1.028189180272169
lung adenocarcinoma	HLA-II	DSS	508	125	1.1056924313006857	0.1305031495293726	1.1284865996079965	0.06617190730122056	0.7969129553560271	0.014515229238716978	1.0206152883587136
lung squamous cell carcinoma	HLA-I	OS	539	242	1.1324970849391787	0.008401531372749202	1.1086109268860638	0.09102120476298695	1.072968820993268	0.5805797826022449	0.9789084154204267
lung squamous cell carcinoma	HLA-I	DSS	477	98	1.217873946729253	0.008356770186095566	1.2119900790525533	0.04111800135818435	1.0167579586252251	0.9325183172797812	0.9951687383636857
lung squamous cell carcinoma	HLA-II	OS	539	242	1.1324970849391787	0.008401531372749202	1.154966809522999	0.06808219938273867	0.9634083363231134	0.7564382802137031	1.0198408674800492
lung squamous cell carcinoma	HLA-II	DSS	477	98	1.217873946729253	0.008356770186095566	1.3857397373018463	0.005012257873032725	0.7716734722311923	0.15149306664711915	1.137835110951685
mesothelioma	HLA-I	OS	85	73	1.1992019292643372	0.027801286247307416	1.287524929217127	0.0046858148896710625	0.5762154297912769	0.0015490875646589066	1.0736514825380346
mesothelioma	HLA-I	DSS	65	43	1.1811156622613919	0.09437027911995129	1.305060092168711	0.018164854963809218	0.5466407093818139	0.00753621111612542	1.1049384356397511
mesothelioma	HLA-II	OS	85	73	1.1992019292643372	0.027801286247307416	1.628024800426728	1.7793839045701136e-05	0.4791545106897403	9.3146093071561e-05	1.3575902112044271
mesothelioma	HLA-II	DSS	65	43	1.1811156622613919	0.09437027911995129	2.1308670056122914	4.6693327272760025e-06	0.27518489715745353	1.9979005724611696e-06	1.8041137491416237
ovarian serous cystadenocarcinoma	HLA-I	OS	310	185	0.9947611297964175	0.9344981776544904	1.0314065901286689	0.642041556555238	0.8621090233589355	0.164205997386363	1.0368384522018377
ovarian serous cystadenocarcinoma	HLA-I	DSS	286	156	0.9803430669808983	0.7752722238341451	1.019171568625696	0.7933180210083413	0.8569418137002033	0.17873462209061877	1.0396070548694503
ovarian serous cystadenocarcinoma	HLA-II	OS	310	185	0.9947611297964175	0.9344981776544904	1.0084900770517558	0.9014583582838539	0.9546148827581944	0.5991060922182667	1.0138012502138558
ovarian serous cystadenocarcinoma	HLA-II	DSS	286	156	0.9803430669808983	0.7752722238341451	0.9860179924172476	0.8519445117470437	0.9817162626683754	0.847798136930872	1.005788713795698
pancreatic adenocarcinoma	HLA-I	OS	179	95	1.1574172316694773	0.014940927925187213	1.0773989738191694	0.287541523901371	1.516257899388034	0.03689752535170759	0.9308648120480388
pancreatic adenocarcinoma	HLA-I	DSS	173	74	1.1845543519440964	0.010830107386360973	1.1205169163236541	0.14825829083104364	1.377716110838627	0.16952661469367517	0.9459396392277453
pancreatic adenocarcinoma	HLA-II	OS	179	95	1.1574172316694773	0.014940927925187213	1.2262326650607454	0.014136851997146618	0.8683870460858298	0.3295611012316476	1.0594560297776174
pancreatic adenocarcinoma	HLA-II	DSS	173	74	1.1845543519440964	0.010830107386360973	1.2957723099806377	0.0036209341105575073	0.7983684503862538	0.15370460198127456	1.0938901265729257
pheochromocytoma & paraganglioma	HLA-I	OS	187	8	0.847562262588982	0.5731730872638959	0.7982967717936562	0.5026018515656179	1.2590919433098837	0.7117523848520037	0.9418738976829403
pheochromocytoma & paraganglioma	HLA-I	DSS	187	6	0.8233697828321523	0.5671362852512435	0.7911162338281469	0.5419736013819785	1.1747247975012611	0.824575621232416	0.9608273831800548
pheochromocytoma & paraganglioma	HLA-II	OS	187	8	0.847562262588982	0.5731730872638959	1.209642054305061	0.5950087963051504	0.4378015606587986	0.10251792692933584	1.4272014077291055
pheochromocytoma & paraganglioma	HLA-II	DSS	187	6	0.8233697828321523	0.5671362852512435	1.1097697468573238	0.801275675079655	0.48577086209278536	0.2159912876001747	1.3478388082691581
prostate adenocarcinoma	HLA-I	OS	550	10	1.0860342712921924	0.7507836014315654	1.2457757618223395	0.44422829849476575	0.5904377202635792	0.3294287274085419	1.1470869702298458
prostate adenocarcinoma	HLA-I	DSS	548	5	0.9993223358736931	0.9985546267032562	1.1889512721511994	0.6538961203604834	0.4525999442570539	0.24731915921973885	1.1897575281470283
prostate adenocarcinoma	HLA-II	OS	550	10	1.0860342712921924	0.7507836014315654	1.592934324533512	0.16655067369768178	0.4630021245734836	0.12126107014592755	1.4667440675128938
prostate adenocarcinoma	HLA-II	DSS	548	5	0.9993223358736931	0.9985546267032562	1.8368852911744897	0.14724269467864767	0.23675767181412297	0.03970951313577595	1.8381309265628767
rectum adenocarcinoma	HLA-I	OS	154	23	1.1460000842085463	0.5054990523254432	1.213038028097145	0.36463051293230564	0.5747355642263868	0.09085888867368636	1.0584973289377169
rectum adenocarcinoma	HLA-I	DSS	148	13	0.983845323904374	0.9493032045712506	1.1121893044167404	0.6958524354400446	0.4481290188812521	0.09060491622054247	1.1304513803074607
rectum adenocarcinoma	HLA-II	OS	154	23	1.1460000842085463	0.5054990523254432	1.1320643748490815	0.6025832226875647	1.0282546450249583	0.920247751876988	0.9878396960423532
rectum adenocarcinoma	HLA-II	DSS	148	13	0.983845323904374	0.9493032045712506	0.963958504604279	0.8989112490649286	1.0524500212048329	0.8788035479755218	0.9797866404231363
sarcoma	HLA-I	OS	265	99	0.7936921586476499	0.0022383135783095795	0.8430842301486406	0.0790995603187592	0.821550574582866	0.3034024459897259	1.0622307666301611
sarcoma	HLA-I	DSS	259	82	0.8025635886628595	0.013036121852900272	0.8183615767990214	0.08880800329890129	0.9470496709186264	0.8007367714423477	1.0196844067676716
sarcoma	HLA-II	OS	265	99	0.7936921586476499	0.0022383135783095795	0.836027258678861	0.07473567058799778	0.8867709405646402	0.417774119683859	1.0533394459929462
sarcoma	HLA-II	DSS	259	82	0.8025635886628595	0.013036121852900272	0.8322162416405007	0.11982028314784814	0.9252510604881353	0.6345771505574966	1.0369474187422894
skin cutaneous melanoma	HLA-I	OS	410	191	0.7752536492656527	2.7420631753852237e-06	0.8598014707955492	0.007885377957996183	0.6317700327550584	3.833606448617886e-05	1.109058269651466
skin cutaneous melanoma	HLA-I	DSS	405	169	0.7716271446454677	7.863464952082578e-06	0.8619151762197371	0.01416539156905287	0.6160602041439316	3.9589270455727885e-05	1.117009921437838
skin cutaneous melanoma	HLA-II	OS	410	191	0.7752536492656527	2.7420631753852237e-06	0.9494608887993263	0.44044756187088596	0.6373896972008893	2.139985900267766e-05	1.2247099896900697
skin cutaneous melanoma	HLA-II	DSS	405	169	0.7716271446454677	7.863464952082578e-06	0.9485601193770593	0.4596852870230185	0.6329333347495895	4.550242447278228e-05	1.2292985361639726
stomach adenocarcinoma	HLA-I	OS	403	155	0.9654830085335452	0.58225523910755	0.9807595138222006	0.7951036581600853	0.9415663874091132	0.6849346246550523	1.0158226557625893
stomach adenocarcinoma	HLA-I	DSS	384	93	0.9825798470239859	0.8279733765223258	0.995704478816083	0.9638170714402368	0.9495432881388242	0.7878566287355754	1.013357318320591
stomach adenocarcinoma	HLA-II	OS	403	155	0.9654830085335452	0.58225523910755	0.9962515012152042	0.9605570706823129	0.9259914820504747	0.4443806198776571	1.0318684973321206
stomach adenocarcinoma	HLA-II	DSS	384	93	0.9825798470239859	0.8279733765223258	1.0082157902478615	0.9323729924791172	0.9387140471638387	0.6231513038829272	1.0260904427273987
thymoma	HLA-I	OS	121	9	1.281276523009495	0.49094753132480007	1.1595972116569675	0.7123782743800631	2.413314431824173	0.060944928358424716	0.905032747289614
thymoma	HLA-II	OS	121	9	1.281276523009495	0.49094753132480007	0.9757541205597389	0.955945978698805	3.0199639853579723	0.01715695921474196	0.7615484269296239
thyroid carcinoma	HLA-I	OS	569	20	0.7652666303730518	0.032375820240750516	0.9122919565406739	0.6075974489310385	0.47023620061817206	0.16694028878833989	1.1921230069785616
thyroid carcinoma	HLA-I	DSS	563	10	0.672030864967347	0.029535517124497673	0.7790105742128358	0.3148200811080531	0.5441138979559084	0.3843861746895231	1.159188684363012
thyroid carcinoma	HLA-II	OS	569	20	0.7652666303730518	0.032375820240750516	0.9949387889126123	0.9828387900551806	0.5511663893281308	0.18553083810016785	1.3001204409339004
thyroid carcinoma	HLA-II	DSS	563	10	0.672030864967347	0.029535517124497673	0.7641935138832913	0.38533325403758056	0.7478546698461584	0.6066475046187706	1.1371405001173902
uterine carcinosarcoma	HLA-I	OS	56	35	0.9135471624370041	0.6213895235344884	0.9493338135123893	0.8048035675070916	0.8917173417896538	0.7051190299586185	1.039173293450904
uterine carcinosarcoma	HLA-I	DSS	54	31	0.8245666080555896	0.31580698557387354	0.8833438234283295	0.5526260309841877	0.726616167269388	0.36568878558241324	1.0712825559494126
uterine carcinosarcoma	HLA-II	OS	56	35	0.9135471624370041	0.6213895235344884	1.0120366104656755	0.9553513925859379	0.7752214786364462	0.291523634606466	1.107809921674912
uterine carcinosarcoma	HLA-II	DSS	54	31	0.8245666080555896	0.31580698557387354	0.9392808234969586	0.7724957368468596	0.5938516272482376	0.05793952010348711	1.1391206172074766
uterine corpus endometrioid carcinoma	HLA-I	OS	551	91	1.066288040043389	0.4510431443983087	1.1193249629989228	0.22637977357543748	0.8090388984338092	0.18734781139668663	1.0497397710222611
uterine corpus endometrioid carcinoma	HLA-I	DSS	549	60	1.136694126440379	0.21967464242933676	1.1640250981561044	0.1870872595742074	0.9070970112361187	0.6207784270659361	1.0240442622865606
uterine corpus endometrioid carcinoma	HLA-II	OS	551	91	1.066288040043389	0.4510431443983087	1.2207384872737053	0.04432734442909582	0.6768549011541848	0.00376780945517429	1.1448487101328
uterine corpus endometrioid carcinoma	HLA-II	DSS	549	60	1.136694126440379	0.21967464242933676	1.3265025413182343	0.020608322054209358	0.641569336823523	0.006485043503370621	1.1669828412611325
uveal melanoma	HLA-I	OS	79	22	1.5541041128071065	0.002031413582579226	1.0429978085313993	0.891335007366089	2.325133652356272	0.15141751681232596	0.6711247978409121
uveal melanoma	HLA-I	DSS	79	20	1.5302403270180747	0.0038588394584703188	1.1046486530437902	0.7575766781512843	1.9865742819583383	0.2624056796172828	0.7218791934443265
uveal melanoma	HLA-II	OS	79	22	1.5541041128071065	0.002031413582579226	1.4481559044957295	0.17766752090213112	1.1341949703458298	0.7648836680861288	0.9318268271486602
uveal melanoma	HLA-II	DSS	79	20	1.5302403270180747	0.0038588394584703188	1.5733048772439522	0.11869693299089526	0.9521585105226342	0.9115417677223755	1.0281423443530573
