lineage	outcome	covariates	n	events	HR	HR_lo	HR_hi	p	fdr_bh	concordance
lung adenocarcinoma	OS	in_q+age+stage_int	544	203	1.1224837804598833	0.7962439094473965	1.5823918053827837	0.5095863778569194	0.8823159865011669	0.6772670869944329
lung adenocarcinoma	DSS	in_q+age+stage_int	508	125	1.084659303798295	0.7055586977275541	1.667452770556721	0.7110936080096122	0.90502822837587	0.6911251361389594
lung squamous cell carcinoma	OS	in_q+age+stage_int	539	242	0.9872428990894563	0.663209357867713	1.4695940734855593	0.9495637122227655	0.9495637122227655	0.5787481430693635
lung squamous cell carcinoma	DSS	in_q+age+stage_int	477	98	1.4757302866181417	0.8559021409072476	2.544426254774451	0.1614733427486036	0.6722145163876998	0.649086150858976
mesothelioma	OS	in_q+age+stage_int	85	73	1.7161498200053653	0.9989853822038569	2.9481614617894825	0.05043135762139298	0.3126744172526365	0.5705186533212011
mesothelioma	DSS	in_q+age+stage_int	65	43	1.626957717689	0.7870612566761068	3.363132656696244	0.18895648962339934	0.6722145163876998	0.5825777202072538
ovarian serous cystadenocarcinoma	OS	in_q+age	310	185	1.114622314393925	0.7372358608607125	1.685190547153261	0.6068831458493062	0.8991333776201185	0.601747768607387
ovarian serous cystadenocarcinoma	DSS	in_q+age	286	156	1.21788292506565	0.7776197178584775	1.9074089623797383	0.38915883712605626	0.7783176742521125	0.5936376881981544
pancreatic adenocarcinoma	OS	in_q+age+stage_int	179	95	1.255480692993624	0.7470727183186093	2.1098773008700924	0.39032826784111296	0.8823159865011669	0.5637234485630988
pancreatic adenocarcinoma	DSS	in_q+age+stage_int	173	74	1.3940944634060675	0.796804321938443	2.4391175090157153	0.24438272292014335	0.6842716241764013	0.5744293516314242
pheochromocytoma & paraganglioma	OS	in_q+age	187	8	0.7353488569596123	0.09369041440792393	5.771539648415463	0.7699559686621731	0.8991333776201185	0.6632860040567952
pheochromocytoma & paraganglioma	DSS	in_q+age	187	6	1.0194602580248162	0.12299749494727553	8.44975922588939	0.9857492011191864	0.9857492011191864	0.5938375350140056
prostate adenocarcinoma	OS	in_q+age	550	10	1.2666022259447134	0.27390473212938454	5.857077335963249	0.7622750913675833	0.8991333776201185	0.5416859657248726
prostate adenocarcinoma	DSS	in_q+age	548	5	1.3084131512321335	0.1548328746409297	11.05672796095367	0.8050117488195936	0.921514715114049	0.7359187442289935
rectum adenocarcinoma	OS	in_q+age+stage_int	154	23	1.1252924336205952	0.39877563869848304	3.1754273287521633	0.8235205926929787	0.8991333776201185	0.7146627565982405
rectum adenocarcinoma	DSS	in_q+age+stage_int	148	13	2.4721162473950287	0.6311921303603524	9.682247998157802	0.193819938431393	0.6722145163876998	0.7508073196986006
sarcoma	OS	in_q+age	265	99	1.0931946720172891	0.6091847925185059	1.961760381421019	0.7651950516723489	0.8991333776201185	0.581087123147675
sarcoma	DSS	in_q+age	259	82	1.0179060577515822	0.5246370727655646	1.9749514401365338	0.958144815585057	0.9857492011191864	0.5741328676879117
skin cutaneous melanoma	OS	in_q+age+stage_int	420	196	0.8150995914872753	0.554125978898419	1.1989824865520642	0.2991233236593496	0.8823159865011669	0.6565796112539343
skin cutaneous melanoma	DSS	in_q+age+stage_int	414	173	0.8727427692168617	0.5813075072706385	1.3102874669494022	0.5114971185856225	0.8424658423763195	0.6400681747753332
stomach adenocarcinoma	OS	in_q+age+stage_int	403	155	1.036340732077111	0.6755516995486517	1.5898148338309008	0.8701290751162437	0.8991333776201185	0.6348095730301344
stomach adenocarcinoma	DSS	in_q+age+stage_int	384	93	1.0437842351982476	0.6007314971571339	1.8135981462670219	0.8791640672297248	0.9467920724012421	0.6398229232183463
thymoma	OS	in_q+age	121	9	0.44433319619179423	0.051435003001906794	3.8384753128272653	0.4609181419171574	0.8823159865011669	0.7139219015280136
thyroid carcinoma	OS	in_q+age+stage_int	569	20	2.6708863342789106	0.9204660455473952	7.750023854921788	0.07068649874593093	0.3652135768539765	0.9254352763058289
thyroid carcinoma	DSS	in_q+age+stage_int	563	10	2.397348474746366	0.5999154925373517	9.580148839064847	0.2160689516960464	0.6722145163876998	0.9326241134751773
uterine carcinosarcoma	OS	in_q+age	56	35	0.7546850442133165	0.3062491850755813	1.8597584702754149	0.5407743143071668	0.8823159865011669	0.610079575596817
uterine carcinosarcoma	DSS	in_q+age	54	31	0.7687024928215331	0.30367668298681777	1.9458310617008738	0.5788062434342349	0.852977621903083	0.6178821178821179
uterine corpus endometrioid carcinoma	OS	in_q+age	551	91	1.053688770566121	0.6125427638329483	1.8125428798958632	0.8501209664605788	0.8991333776201185	0.6001756875464559
uterine corpus endometrioid carcinoma	DSS	in_q+age	549	60	0.9170078505068165	0.46508438697706683	1.8080662809534318	0.8024899457427844	0.921514715114049	0.5144715285707193
uveal melanoma	OS	in_q+age+stage_int	79	22	4.807274279773371	1.4624295204317863	15.80239298926852	0.009710208876155004	0.10033882505360171	0.755091649694501
uveal melanoma	DSS	in_q+age+stage_int	79	20	4.793499670864296	1.4585005724016926	15.754288705378537	0.009833078400028434	0.10413430001655026	0.7551351351351351
